Orthogroup	Duplications (all)	Duplications (50% support)
OG0000000	968	751
OG0000001	1172	1172
OG0000002	806	702
OG0000003	506	321
OG0000004	642	546
OG0000005	506	370
OG0000006	689	689
OG0000007	452	346
OG0000008	386	302
OG0000009	347	259
OG0000010	573	573
OG0000011	366	279
OG0000012	460	414
OG0000013	527	527
OG0000014	428	390
OG0000015	339	235
OG0000016	364	292
OG0000017	462	460
OG0000018	415	381
OG0000019	449	449
OG0000020	335	298
OG0000021	294	261
OG0000022	166	137
OG0000023	237	139
OG0000024	197	156
OG0000025	304	267
OG0000026	347	329
OG0000027	127	77
OG0000028	198	146
OG0000029	248	190
OG0000030	163	125
OG0000031	228	172
OG0000032	232	173
OG0000033	338	338
OG0000034	136	100
OG0000035	215	170
OG0000036	315	308
OG0000037	298	269
OG0000038	212	134
OG0000039	268	227
OG0000040	177	121
OG0000041	214	160
OG0000042	174	124
OG0000043	194	128
OG0000044	119	68
OG0000045	288	286
OG0000046	210	179
OG0000047	247	227
OG0000048	149	122
OG0000049	181	109
OG0000050	178	152
OG0000051	135	101
OG0000052	121	89
OG0000053	272	272
OG0000054	175	122
OG0000055	120	93
OG0000056	116	88
OG0000057	262	262
OG0000058	184	156
OG0000059	195	180
OG0000060	102	39
OG0000061	116	80
OG0000062	164	130
OG0000063	160	104
OG0000064	210	194
OG0000065	90	57
OG0000066	143	58
OG0000067	165	119
OG0000068	133	119
OG0000069	120	87
OG0000070	122	108
OG0000071	240	240
OG0000072	156	127
OG0000073	130	86
OG0000074	141	96
OG0000075	110	84
OG0000076	144	119
OG0000077	85	46
OG0000078	110	91
OG0000079	161	135
OG0000080	175	162
OG0000081	165	143
OG0000082	139	93
OG0000083	152	85
OG0000084	140	103
OG0000085	219	219
OG0000086	93	69
OG0000087	212	208
OG0000088	219	219
OG0000089	54	40
OG0000090	150	121
OG0000091	80	49
OG0000092	120	70
OG0000093	215	215
OG0000094	212	212
OG0000095	100	69
OG0000096	102	74
OG0000097	138	103
OG0000098	105	78
OG0000099	184	171
OG0000100	77	45
OG0000101	136	95
OG0000102	92	69
OG0000103	166	143
OG0000104	204	204
OG0000105	92	47
OG0000106	132	110
OG0000107	73	54
OG0000108	74	40
OG0000109	160	143
OG0000110	143	123
OG0000111	143	136
OG0000112	195	192
OG0000113	178	154
OG0000114	135	113
OG0000115	119	83
OG0000116	115	79
OG0000117	65	51
OG0000118	95	66
OG0000119	73	49
OG0000120	135	104
OG0000121	134	107
OG0000122	67	45
OG0000123	136	124
OG0000124	130	110
OG0000125	53	36
OG0000126	90	53
OG0000127	55	34
OG0000128	68	49
OG0000129	70	56
OG0000130	93	58
OG0000131	182	182
OG0000132	87	65
OG0000133	179	179
OG0000134	82	55
OG0000135	179	179
OG0000136	100	68
OG0000137	55	36
OG0000138	89	72
OG0000139	176	176
OG0000140	94	66
OG0000141	74	51
OG0000142	151	127
OG0000143	133	116
OG0000144	141	134
OG0000145	151	133
OG0000146	175	175
OG0000147	175	175
OG0000148	81	60
OG0000149	173	173
OG0000150	137	112
OG0000151	42	31
OG0000152	141	110
OG0000153	66	47
OG0000154	69	45
OG0000155	105	83
OG0000156	169	169
OG0000157	90	69
OG0000158	76	57
OG0000159	109	97
OG0000160	29	23
OG0000161	125	114
OG0000162	58	41
OG0000163	127	107
OG0000164	110	97
OG0000165	121	106
OG0000166	72	39
OG0000167	76	56
OG0000168	158	156
OG0000169	88	64
OG0000170	64	46
OG0000171	33	23
OG0000172	93	64
OG0000173	74	54
OG0000174	104	94
OG0000175	57	16
OG0000176	60	36
OG0000177	58	38
OG0000178	58	52
OG0000179	71	44
OG0000180	148	147
OG0000181	149	147
OG0000182	70	53
OG0000183	55	14
OG0000184	70	52
OG0000185	67	54
OG0000186	69	42
OG0000187	82	74
OG0000188	80	71
OG0000189	37	22
OG0000190	148	148
OG0000191	94	76
OG0000192	63	43
OG0000193	67	53
OG0000194	129	120
OG0000195	66	37
OG0000196	69	43
OG0000197	60	47
OG0000198	48	43
OG0000199	81	68
OG0000200	43	28
OG0000201	110	97
OG0000202	74	57
OG0000203	56	44
OG0000204	133	129
OG0000205	109	85
OG0000206	126	112
OG0000207	136	128
OG0000208	101	71
OG0000209	71	56
OG0000210	50	33
OG0000211	119	112
OG0000212	140	139
OG0000213	142	142
OG0000214	79	55
OG0000215	93	82
OG0000216	55	41
OG0000217	95	76
OG0000218	119	116
OG0000219	60	36
OG0000220	134	128
OG0000221	86	63
OG0000222	111	94
OG0000223	90	40
OG0000224	130	127
OG0000225	63	52
OG0000226	63	35
OG0000227	67	52
OG0000228	136	136
OG0000229	69	55
OG0000230	60	51
OG0000231	136	136
OG0000232	83	72
OG0000233	38	33
OG0000234	69	56
OG0000235	62	49
OG0000236	52	33
OG0000237	59	47
OG0000238	39	27
OG0000239	100	89
OG0000240	133	133
OG0000241	42	38
OG0000242	86	74
OG0000243	64	49
OG0000244	69	58
OG0000245	91	83
OG0000246	44	39
OG0000247	72	68
OG0000248	56	43
OG0000249	66	38
OG0000250	46	18
OG0000251	36	29
OG0000252	51	40
OG0000253	44	34
OG0000254	52	40
OG0000255	107	97
OG0000256	54	38
OG0000257	73	52
OG0000258	100	92
OG0000259	62	42
OG0000260	45	34
OG0000261	101	84
OG0000262	72	61
OG0000263	75	59
OG0000264	126	126
OG0000265	99	87
OG0000266	74	62
OG0000267	72	50
OG0000268	69	38
OG0000269	46	35
OG0000270	52	23
OG0000271	123	123
OG0000272	123	123
OG0000273	48	33
OG0000274	78	64
OG0000275	54	49
OG0000276	78	56
OG0000277	59	12
OG0000278	47	36
OG0000279	59	48
OG0000280	88	82
OG0000281	120	120
OG0000282	60	46
OG0000283	70	53
OG0000284	73	51
OG0000285	43	28
OG0000286	42	35
OG0000287	85	63
OG0000288	89	80
OG0000289	55	35
OG0000290	45	26
OG0000291	46	36
OG0000292	69	52
OG0000293	115	113
OG0000294	52	41
OG0000295	34	22
OG0000296	48	37
OG0000297	81	63
OG0000298	44	27
OG0000299	108	105
OG0000300	51	36
OG0000301	69	55
OG0000302	90	83
OG0000303	63	45
OG0000304	41	32
OG0000305	68	61
OG0000306	94	90
OG0000307	60	47
OG0000308	62	53
OG0000309	76	62
OG0000310	112	112
OG0000311	106	104
OG0000312	79	70
OG0000313	38	26
OG0000314	49	32
OG0000315	84	75
OG0000316	56	39
OG0000317	112	112
OG0000318	44	22
OG0000319	111	111
OG0000320	72	52
OG0000321	43	21
OG0000322	59	47
OG0000323	38	22
OG0000324	110	110
OG0000325	26	16
OG0000326	46	33
OG0000327	57	48
OG0000328	37	25
OG0000329	52	45
OG0000330	42	35
OG0000331	24	18
OG0000332	40	29
OG0000333	107	107
OG0000334	61	44
OG0000335	49	33
OG0000336	68	58
OG0000337	106	106
OG0000338	84	51
OG0000339	37	27
OG0000340	105	105
OG0000341	48	34
OG0000342	49	33
OG0000343	83	79
OG0000344	41	27
OG0000345	28	18
OG0000346	26	19
OG0000347	26	21
OG0000348	42	30
OG0000349	36	20
OG0000350	53	50
OG0000351	69	64
OG0000352	85	77
OG0000353	102	102
OG0000354	102	102
OG0000355	50	45
OG0000356	32	26
OG0000357	51	44
OG0000358	58	54
OG0000359	35	26
OG0000360	101	101
OG0000361	66	49
OG0000362	63	54
OG0000363	37	26
OG0000364	55	49
OG0000365	29	25
OG0000366	100	100
OG0000367	39	22
OG0000368	35	28
OG0000369	66	62
OG0000370	55	44
OG0000371	45	30
OG0000372	99	99
OG0000373	99	99
OG0000374	73	60
OG0000375	84	81
OG0000376	21	15
OG0000377	26	22
OG0000378	94	92
OG0000379	25	18
OG0000380	49	45
OG0000381	45	36
OG0000382	38	31
OG0000383	52	45
OG0000384	47	45
OG0000385	71	61
OG0000386	34	19
OG0000387	83	82
OG0000388	37	32
OG0000389	43	31
OG0000390	23	19
OG0000391	43	38
OG0000392	36	30
OG0000393	44	41
OG0000394	32	22
OG0000395	27	23
OG0000396	77	70
OG0000397	41	29
OG0000398	57	51
OG0000399	23	16
OG0000400	94	94
OG0000401	93	93
OG0000402	38	24
OG0000403	31	17
OG0000404	33	12
OG0000405	23	10
OG0000406	51	33
OG0000407	29	24
OG0000408	85	85
OG0000409	34	29
OG0000410	46	38
OG0000411	52	48
OG0000412	16	16
OG0000413	30	21
OG0000414	17	11
OG0000415	59	49
OG0000416	75	69
OG0000417	89	88
OG0000418	91	91
OG0000419	41	34
OG0000420	43	40
OG0000421	31	26
OG0000422	65	56
OG0000423	46	32
OG0000424	20	15
OG0000425	46	38
OG0000426	41	26
OG0000427	65	44
OG0000428	58	52
OG0000429	28	19
OG0000430	26	20
OG0000431	43	33
OG0000432	33	20
OG0000433	55	51
OG0000434	34	27
OG0000435	88	88
OG0000436	19	15
OG0000437	30	24
OG0000438	41	31
OG0000439	31	28
OG0000440	46	38
OG0000441	82	76
OG0000442	27	17
OG0000443	15	13
OG0000444	19	15
OG0000445	35	24
OG0000446	29	23
OG0000447	45	35
OG0000448	26	20
OG0000449	30	26
OG0000450	38	28
OG0000451	33	24
OG0000452	34	30
OG0000453	86	86
OG0000454	85	85
OG0000455	86	86
OG0000456	77	69
OG0000457	38	12
OG0000458	33	30
OG0000459	23	9
OG0000460	21	16
OG0000461	55	45
OG0000462	43	38
OG0000463	24	16
OG0000464	43	37
OG0000465	62	55
OG0000466	43	35
OG0000467	35	28
OG0000468	38	27
OG0000469	45	28
OG0000470	35	24
OG0000471	32	27
OG0000472	38	23
OG0000473	28	23
OG0000474	23	17
OG0000475	33	31
OG0000476	58	57
OG0000477	24	8
OG0000478	31	24
OG0000479	77	73
OG0000480	24	15
OG0000481	19	16
OG0000482	45	37
OG0000483	41	36
OG0000484	26	22
OG0000485	19	16
OG0000486	41	32
OG0000487	82	82
OG0000488	82	82
OG0000489	82	82
OG0000490	82	82
OG0000491	24	20
OG0000492	21	16
OG0000493	45	41
OG0000494	27	17
OG0000495	40	32
OG0000496	18	14
OG0000497	19	16
OG0000498	26	10
OG0000499	19	10
OG0000500	43	37
OG0000501	14	13
OG0000502	33	28
OG0000503	61	55
OG0000504	81	81
OG0000505	81	81
OG0000506	40	36
OG0000507	48	34
OG0000508	33	23
OG0000509	27	23
OG0000510	31	20
OG0000511	32	23
OG0000512	49	42
OG0000513	33	22
OG0000514	47	33
OG0000515	80	80
OG0000516	56	54
OG0000517	38	35
OG0000518	30	22
OG0000519	26	23
OG0000520	30	25
OG0000521	30	23
OG0000522	21	18
OG0000523	22	14
OG0000524	40	32
OG0000525	27	16
OG0000526	23	10
OG0000527	48	40
OG0000528	79	79
OG0000529	21	14
OG0000530	45	41
OG0000531	30	20
OG0000532	61	54
OG0000533	39	30
OG0000534	41	35
OG0000535	32	25
OG0000536	17	12
OG0000537	23	22
OG0000538	26	16
OG0000539	26	21
OG0000540	41	36
OG0000541	68	63
OG0000542	16	14
OG0000543	16	10
OG0000544	48	42
OG0000545	63	60
OG0000546	33	25
OG0000547	23	18
OG0000548	23	15
OG0000549	25	19
OG0000550	77	77
OG0000551	77	77
OG0000552	35	22
OG0000553	20	17
OG0000554	42	37
OG0000555	29	18
OG0000556	45	42
OG0000557	26	20
OG0000558	54	44
OG0000559	76	76
OG0000560	76	76
OG0000561	18	15
OG0000562	21	12
OG0000563	29	18
OG0000564	32	22
OG0000565	24	16
OG0000566	28	21
OG0000567	29	19
OG0000568	24	16
OG0000569	17	14
OG0000570	48	44
OG0000571	32	22
OG0000572	25	17
OG0000573	23	16
OG0000574	61	57
OG0000575	62	59
OG0000576	74	74
OG0000577	72	72
OG0000578	33	19
OG0000579	21	16
OG0000580	24	20
OG0000581	18	15
OG0000582	24	19
OG0000583	10	10
OG0000584	29	20
OG0000585	45	40
OG0000586	60	57
OG0000587	31	28
OG0000588	19	13
OG0000589	24	15
OG0000590	32	28
OG0000591	23	20
OG0000592	12	9
OG0000593	29	21
OG0000594	32	25
OG0000595	23	17
