	Alyssum_gmelinii	Arabidopsis_arenosa	Arabidopsis_lyrata_NCBI	Arabidopsis_lyrata_Rawat	Arabidopsis_thaliana	Arabis_alpina	Brassica_oleracea	Brassica_rapa	Camelina_sativa	Capsella_rubella	Cardamine_glauca	Cardamine_hirsuta	Cochlearia_excelsa	Conringia_planisiliqua	Euclidium_syriacum	Eutrema_salsugineum	Noccaea_praecox	Raphanus_sativus	Rorippa_islandica
Alyssum_gmelinii	19404	17554	17792	17750	17652	16876	17621	17545	17945	17593	17162	17589	16523	16587	16791	17412	17378	17608	17647
Arabidopsis_arenosa	17554	21479	19623	20013	19176	17520	18445	18358	19313	18810	17981	18655	17382	17414	17554	18268	18246	18400	18857
Arabidopsis_lyrata_NCBI	17792	19623	21294	20499	19923	17783	18757	18762	19696	19305	18203	18943	17438	17626	17651	18705	18404	18842	19174
Arabidopsis_lyrata_Rawat	17750	20013	20499	21885	19469	17754	18653	18596	19534	19051	18118	18887	17413	17560	17647	18506	18383	18668	19092
Arabidopsis_thaliana	17652	19176	19923	19469	20641	17632	18609	18626	19525	19200	18086	18877	17331	17488	17531	18623	18246	18666	19065
Arabis_alpina	16876	17520	17783	17754	17632	19669	17551	17471	17864	17518	17059	17577	16439	16537	16607	17335	17310	17512	17625
Brassica_oleracea	17621	18445	18757	18653	18609	17551	21113	19912	18942	18530	17885	18476	17400	17565	17439	18462	18227	19599	18626
Brassica_rapa	17545	18358	18762	18596	18626	17471	19912	20687	18872	18563	17849	18420	17236	17500	17359	18480	18159	19532	18556
Camelina_sativa	17945	19313	19696	19534	19525	17864	18942	18872	22167	19503	18224	19020	17587	17746	17816	18728	18521	18997	19161
Capsella_rubella	17593	18810	19305	19051	19200	17518	18530	18563	19503	19864	18020	18609	17220	17420	17418	18539	18179	18532	18831
Cardamine_glauca	17162	17981	18203	18118	18086	17059	17885	17849	18224	18020	18854	18101	16761	16891	16876	17773	17675	17824	18226
Cardamine_hirsuta	17589	18655	18943	18887	18877	17577	18476	18420	19020	18609	18101	20412	17257	17419	17465	18294	18155	18493	19020
Cochlearia_excelsa	16523	17382	17438	17413	17331	16439	17400	17236	17587	17220	16761	17257	20103	16376	16356	17150	17065	17304	17369
Conringia_planisiliqua	16587	17414	17626	17560	17488	16537	17565	17500	17746	17420	16891	17419	16376	19486	17036	17313	17240	17499	17568
Euclidium_syriacum	16791	17554	17651	17647	17531	16607	17439	17359	17816	17418	16876	17465	16356	17036	19583	17215	17225	17416	17597
Eutrema_salsugineum	17412	18268	18705	18506	18623	17335	18462	18480	18728	18539	17773	18294	17150	17313	17215	19344	18044	18439	18466
Noccaea_praecox	17378	18246	18404	18383	18246	17310	18227	18159	18521	18179	17675	18155	17065	17240	17225	18044	20016	18202	18261
Raphanus_sativus	17608	18400	18842	18668	18666	17512	19599	19532	18997	18532	17824	18493	17304	17499	17416	18439	18202	21235	18629
Rorippa_islandica	17647	18857	19174	19092	19065	17625	18626	18556	19161	18831	18226	19020	17369	17568	17597	18466	18261	18629	20453
