	Alyssum_gmelinii	Arabidopsis_arenosa	Arabidopsis_lyrata_NCBI	Arabidopsis_lyrata_Rawat	Arabidopsis_thaliana	Arabis_alpina	Brassica_oleracea	Brassica_rapa	Camelina_sativa	Capsella_rubella	Cardamine_glauca	Cardamine_hirsuta	Cochlearia_excelsa	Conringia_planisiliqua	Euclidium_syriacum	Eutrema_salsugineum	Noccaea_praecox	Raphanus_sativus	Rorippa_islandica
Alyssum_gmelinii	0.0	23095.0	23284.0	23305.0	22798.0	21877.0	23065.0	22918.0	24040.0	22844.0	21883.0	22893.0	21364.0	20919.0	23532.0	22450.0	22796.0	23168.0	22857.0
Arabidopsis_arenosa	21326.0	0.0	25662.0	26306.0	24322.0	20879.0	22332.0	22109.0	25044.0	23611.0	21746.0	23002.0	20686.0	20672.0	23035.0	22074.0	22150.0	22300.0	23732.0
Arabidopsis_lyrata_NCBI	21307.0	25438.0	0.0	27197.0	25166.0	20858.0	22462.0	22367.0	25315.0	24095.0	21776.0	23052.0	20333.0	20624.0	22570.0	22409.0	21969.0	22552.0	23802.0
Arabidopsis_lyrata_Rawat	21410.0	26218.0	27352.0	0.0	24362.0	21063.0	22500.0	22369.0	25090.0	23762.0	21806.0	23067.0	20699.0	20717.0	22915.0	22336.0	22216.0	22576.0	23850.0
Arabidopsis_thaliana	20215.0	23353.0	24450.0	23531.0	0.0	19967.0	21291.0	21355.0	23735.0	22969.0	20808.0	22225.0	19449.0	19613.0	21455.0	21445.0	20836.0	21380.0	22588.0
Arabis_alpina	20677.0	21339.0	21264.0	21367.0	20927.0	0.0	21134.0	20888.0	22014.0	20790.0	20020.0	21105.0	19703.0	19508.0	21435.0	20705.0	20975.0	21010.0	21372.0
Brassica_oleracea	30435.0	31386.0	31998.0	31870.0	31118.0	29634.0	0.0	36942.0	33515.0	31643.0	30293.0	31359.0	29993.0	29929.0	32578.0	32606.0	31914.0	36351.0	32025.0
Brassica_rapa	29574.0	30690.0	31436.0	31110.0	30726.0	28788.0	36157.0	0.0	32369.0	31122.0	29446.0	30640.0	28861.0	28957.0	31666.0	31499.0	30906.0	35176.0	31201.0
Camelina_sativa	57562.0	63910.0	65491.0	64703.0	63749.0	56312.0	61365.0	60792.0	0.0	66020.0	58829.0	61697.0	55661.0	55792.0	61110.0	60579.0	59693.0	61336.0	62955.0
Capsella_rubella	20320.0	22922.0	23561.0	23072.0	23154.0	19958.0	21533.0	21541.0	24606.0	0.0	20943.0	21979.0	19482.0	19687.0	21530.0	21540.0	20983.0	21604.0	22475.0
Cardamine_glauca	19881.0	21391.0	21746.0	21501.0	21324.0	19470.0	20657.0	20583.0	21945.0	21256.0	0.0	21867.0	19053.0	19231.0	20597.0	20520.0	20493.0	20560.0	22226.0
Cardamine_hirsuta	21039.0	22789.0	23072.0	22938.0	22793.0	20794.0	22006.0	21928.0	23579.0	22309.0	21790.0	0.0	20298.0	20311.0	22498.0	21738.0	21557.0	22168.0	23857.0
Cochlearia_excelsa	22094.0	23451.0	22350.0	23934.0	21475.0	21377.0	25115.0	23483.0	25959.0	22586.0	21749.0	22343.0	0.0	22735.0	24627.0	23476.0	23912.0	23117.0	24007.0
Conringia_planisiliqua	19054.0	20149.0	20486.0	20214.0	19759.0	18821.0	21107.0	20905.0	20772.0	19797.0	19213.0	20249.0	19002.0	0.0	21585.0	20466.0	20360.0	20779.0	20836.0
Euclidium_syriacum	20832.0	21863.0	21808.0	21856.0	21484.0	20295.0	21549.0	21365.0	22283.0	21288.0	20305.0	21661.0	19965.0	20958.0	0.0	21081.0	21234.0	21492.0	21877.0
Eutrema_salsugineum	20092.0	21404.0	21924.0	21760.0	21180.0	19861.0	22276.0	22044.0	22592.0	21574.0	20225.0	20990.0	19829.0	20218.0	21339.0	0.0	21478.0	21958.0	21659.0
Noccaea_praecox	20912.0	22146.0	22077.0	22140.0	21545.0	20547.0	22282.0	22102.0	22601.0	21628.0	20867.0	21620.0	20239.0	20659.0	22100.0	21837.0	0.0	22190.0	21953.0
Raphanus_sativus	35071.0	36134.0	37017.0	36659.0	36164.0	33848.0	41306.0	40691.0	38203.0	36580.0	34582.0	36245.0	33961.0	34043.0	37331.0	37001.0	36440.0	0.0	36847.0
Rorippa_islandica	21043.0	23198.0	23471.0	23474.0	23049.0	20699.0	22387.0	22269.0	24132.0	22822.0	22249.0	23881.0	20627.0	20762.0	22637.0	22107.0	21932.0	22580.0	0.0
