Number of species	19
Number of genes	699429
Number of genes in orthogroups	670684
Number of unassigned genes	28745
Percentage of genes in orthogroups	95.9
Percentage of unassigned genes	4.1
Number of orthogroups	34764
Number of species-specific orthogroups	6771
Number of genes in species-specific orthogroups	36892
Percentage of genes in species-specific orthogroups	5.3
Mean orthogroup size	19.3
Median orthogroup size	20.0
G50 (assigned genes)	25
G50 (all genes)	25
O50 (assigned genes)	7336
O50 (all genes)	7911
Number of orthogroups with all species present	12627
Number of single-copy orthogroups	53
Date	2025-01-02
Orthogroups file	Orthogroups.tsv
Unassigned genes file	Orthogroups_UnassignedGenes.tsv
Per-species statistics	Statistics_PerSpecies.tsv
Overall statistics	Statistics_Overall.tsv
Orthogroups shared between species	Orthogroups_SpeciesOverlaps.tsv

Average number of genes per-species in orthogroup	Number of orthogroups	Percentage of orthogroups	Number of genes	Percentage of genes
<1	15853	45.6	78557	11.7
'1	15795	45.4	378409	56.4
'2	2134	6.1	96198	14.3
'3	414	1.2	26945	4.0
'4	166	0.5	13928	2.1
'5	91	0.3	9379	1.4
'6	68	0.2	8343	1.2
'7	58	0.2	8226	1.2
'8	30	0.1	4822	0.7
'9	31	0.1	5552	0.8
'10	25	0.1	4987	0.7
11-15	59	0.2	14649	2.2
16-20	17	0.0	5983	0.9
21-50	21	0.1	12151	1.8
51-100	2	0.0	2555	0.4
101-150	0	0.0	0	0.0
151-200	0	0.0	0	0.0
201-500	0	0.0	0	0.0
501-1000	0	0.0	0	0.0
'1001+	0	0.0	0	0.0

Number of species in orthogroup	Number of orthogroups
1	6771
2	4086
3	1839
4	861
5	488
6	432
7	291
8	263
9	219
10	197
11	217
12	258
13	245
14	319
15	441
16	652
17	1467
18	3091
19	12627
