	Aethionema_saxatile	Alyssum_gmelinii	Arabidopsis_arenosa	Arabidopsis_lyrata_NCBI	Arabidopsis_lyrata_Rawat	Arabidopsis_thaliana	Arabis_alpina	Brassica_napus	Brassica_oleracea	Brassica_rapa	Camelina_sativa	Capsella_rubella	Cardamine_amara	Cardamine_glauca	Cardamine_hirsuta	Cochlearia_excelsa	Conringia_planisiliqua	Erysimum_linariifolium	Euclidium_syriacum	Eutrema_salsugineum	Noccaea_praecox	Odontarrhena_muralis	Raphanus_sativus
Aethionema_saxatile	17593	16102	16613	16829	16768	16757	16021	16818	16716	16690	16865	16698	16286	16510	16665	15881	15853	16748	15833	16610	16509	16341	16671
Alyssum_gmelinii	16102	19333	17334	17576	17540	17437	16698	17583	17429	17360	17672	17366	16903	17114	17367	16370	16401	17411	16588	17194	17168	17537	17427
Arabidopsis_arenosa	16613	17334	21096	19230	19624	18840	17265	18340	18144	18050	18937	18480	17775	17871	18344	17170	17138	18568	17283	17967	17953	17575	18088
Arabidopsis_lyrata_NCBI	16829	17576	19230	20836	20039	19532	17504	18697	18417	18434	19284	18931	17981	18109	18595	17207	17325	18639	17373	18363	18080	17760	18504
Arabidopsis_lyrata_Rawat	16768	17540	19624	20039	21484	19096	17481	18581	18346	18283	19151	18699	17916	18043	18561	17204	17269	18698	17376	18178	18076	17731	18364
Arabidopsis_thaliana	16757	17437	18840	19532	19096	20269	17375	18600	18317	18321	19143	18843	17836	18002	18571	17130	17200	18486	17252	18302	17955	17622	18376
Arabis_alpina	16021	16698	17265	17504	17481	17375	19410	17448	17309	17230	17576	17262	16843	17000	17336	16271	16307	17279	16393	17092	17075	16846	17258
Brassica_napus	16818	17583	18340	18697	18581	18600	17448	23606	21257	20757	18868	18401	17767	17915	18408	17339	17430	18353	17352	18344	18106	17751	19778
Brassica_oleracea	16716	17429	18144	18417	18346	18317	17309	21257	21862	19648	18611	18227	17647	17795	18170	17201	17293	18183	17205	18163	17942	17599	19309
Brassica_rapa	16690	17360	18050	18434	18283	18321	17230	20757	19648	21066	18539	18256	17592	17772	18117	17042	17239	18106	17120	18182	17874	17559	19244
Camelina_sativa	16865	17672	18937	19284	19151	19143	17576	18868	18611	18539	21755	19094	18046	18117	18645	17352	17423	18733	17528	18382	18198	17855	18675
Capsella_rubella	16698	17366	18480	18931	18699	18843	17262	18401	18227	18256	19094	19458	17769	17924	18281	17005	17133	18375	17154	18211	17870	17574	18229
Cardamine_amara	16286	16903	17775	17981	17916	17836	16843	17767	17647	17592	18046	17769	19009	17582	17977	16629	16698	17783	16738	17483	17396	17125	17593
Cardamine_glauca	16510	17114	17871	18109	18043	18002	17000	17915	17795	17772	18117	17924	17582	18768	18005	16746	16809	17946	16811	17689	17570	17298	17755
Cardamine_hirsuta	16665	17367	18344	18595	18561	18571	17336	18408	18170	18117	18645	18281	17977	18005	20113	17053	17143	18276	17210	17978	17862	17535	18204
Cochlearia_excelsa	15881	16370	17170	17207	17204	17130	16271	17339	17201	17042	17352	17005	16629	16746	17053	20025	16178	17088	16193	16947	16882	16607	17103
Conringia_planisiliqua	15853	16401	17138	17325	17269	17200	16307	17430	17293	17239	17423	17133	16698	16809	17143	16178	19179	17225	16775	17043	16988	16643	17239
Erysimum_linariifolium	16748	17411	18568	18639	18698	18486	17279	18353	18183	18106	18733	18375	17783	17946	18276	17088	17225	20176	17287	18026	18012	17697	18130
Euclidium_syriacum	15833	16588	17283	17373	17376	17252	16393	17352	17205	17120	17528	17154	16738	16811	17210	16193	16775	17287	19325	16976	16969	16793	17173
Eutrema_salsugineum	16610	17194	17967	18363	18178	18302	17092	18344	18163	18182	18382	18211	17483	17689	17978	16947	17043	18026	16976	18987	17745	17421	18158
Noccaea_praecox	16509	17168	17953	18080	18076	17955	17075	18106	17942	17874	18198	17870	17396	17570	17862	16882	16988	18012	16969	17745	19712	17427	17923
Odontarrhena_muralis	16341	17537	17575	17760	17731	17622	16846	17751	17599	17559	17855	17574	17125	17298	17535	16607	16643	17697	16793	17421	17427	19355	17592
Raphanus_sativus	16671	17427	18088	18504	18364	18376	17258	19778	19309	19244	18675	18229	17593	17755	18204	17103	17239	18130	17173	18158	17923	17592	21007
