	Aethionema_saxatile	Alyssum_gmelinii	Arabidopsis_arenosa	Arabidopsis_lyrata_NCBI	Arabidopsis_lyrata_Rawat	Arabidopsis_thaliana	Arabis_alpina	Brassica_napus	Brassica_oleracea	Brassica_rapa	Camelina_sativa	Capsella_rubella	Cardamine_amara	Cardamine_glauca	Cardamine_hirsuta	Cochlearia_excelsa	Conringia_planisiliqua	Erysimum_linariifolium	Euclidium_syriacum	Eutrema_salsugineum	Noccaea_praecox	Odontarrhena_muralis	Raphanus_sativus
Aethionema_saxatile	0.0	1015.0	904.0	843.0	808.0	732.0	764.0	2743.0	1696.0	1630.0	2832.0	758.0	653.0	669.0	708.0	998.0	652.0	824.0	811.0	646.0	833.0	956.0	1891.0
Alyssum_gmelinii	1226.0	0.0	1532.0	1413.0	1387.0	1105.0	1380.0	5876.0	2902.0	2859.0	6162.0	1187.0	1005.0	1127.0	1316.0	1476.0	892.0	1412.0	1843.0	1091.0	1498.0	1687.0	3580.0
Arabidopsis_arenosa	992.0	1329.0	0.0	451.0	466.0	402.0	818.0	3217.0	1568.0	1544.0	2642.0	786.0	564.0	651.0	739.0	1019.0	616.0	1042.0	1293.0	808.0	1007.0	1076.0	1921.0
Arabidopsis_lyrata_NCBI	851.0	1165.0	409.0	0.0	569.0	351.0	732.0	3032.0	1448.0	1450.0	2499.0	709.0	502.0	596.0	708.0	901.0	539.0	735.0	1140.0	716.0	825.0	959.0	1830.0
Arabidopsis_lyrata_Rawat	859.0	1186.0	443.0	570.0	0.0	283.0	738.0	3315.0	1632.0	1613.0	2749.0	716.0	536.0	585.0	677.0	996.0	510.0	843.0	1154.0	696.0	869.0	1032.0	2010.0
Arabidopsis_thaliana	775.0	838.0	361.0	309.0	284.0	0.0	573.0	1999.0	1048.0	1102.0	1452.0	477.0	373.0	413.0	558.0	693.0	402.0	482.0	887.0	503.0	538.0	706.0	1284.0
Arabis_alpina	792.0	1229.0	865.0	797.0	816.0	663.0	0.0	3284.0	1546.0	1557.0	3379.0	712.0	658.0	543.0	738.0	901.0	519.0	912.0	1046.0	569.0	874.0	946.0	1898.0
Brassica_napus	4878.0	8425.0	5278.0	5161.0	5668.0	3424.0	4950.0	0.0	1371.0	1052.0	59901.0	4283.0	3789.0	4174.0	4457.0	10357.0	2819.0	5572.0	5994.0	3840.0	5598.0	5846.0	16816.0
Brassica_oleracea	1971.0	2842.0	1840.0	1681.0	1917.0	1191.0	1775.0	1084.0	0.0	277.0	19186.0	1569.0	1380.0	1391.0	1533.0	4162.0	999.0	1956.0	2193.0	1480.0	1974.0	2074.0	2336.0
Brassica_rapa	1891.0	2790.0	1824.0	1735.0	1922.0	1290.0	1642.0	784.0	250.0	0.0	18508.0	1599.0	1354.0	1332.0	1554.0	4027.0	997.0	1844.0	2182.0	1394.0	1880.0	1983.0	2054.0
Camelina_sativa	4612.0	8105.0	4007.0	3963.0	4227.0	2425.0	4823.0	56274.0	25444.0	24943.0	0.0	3000.0	3093.0	3865.0	4048.0	9079.0	2697.0	4706.0	5884.0	3347.0	5022.0	5380.0	30796.0
Capsella_rubella	765.0	995.0	692.0	672.0	651.0	505.0	634.0	2259.0	1233.0	1256.0	1692.0	0.0	423.0	465.0	618.0	736.0	401.0	623.0	1019.0	587.0	701.0	801.0	1504.0
Cardamine_amara	556.0	764.0	462.0	452.0	487.0	347.0	567.0	2113.0	1099.0	1059.0	1972.0	366.0	0.0	321.0	208.0	691.0	324.0	492.0	737.0	384.0	575.0	613.0	1310.0
Cardamine_glauca	632.0	866.0	564.0	577.0	544.0	437.0	512.0	2446.0	1174.0	1154.0	2471.0	451.0	376.0	0.0	379.0	694.0	376.0	628.0	841.0	449.0	528.0	676.0	1458.0
