	Aethionema_saxatile	Alyssum_gmelinii	Arabidopsis_arenosa	Arabidopsis_lyrata_NCBI	Arabidopsis_lyrata_Rawat	Arabidopsis_thaliana	Arabis_alpina	Brassica_napus	Brassica_oleracea	Brassica_rapa	Camelina_sativa	Capsella_rubella	Cardamine_amara	Cardamine_glauca	Cardamine_hirsuta	Cochlearia_excelsa	Conringia_planisiliqua	Erysimum_linariifolium	Euclidium_syriacum	Eutrema_salsugineum	Noccaea_praecox	Odontarrhena_muralis	Raphanus_sativus
Aethionema_saxatile	0.0	2044.0	2193.0	2168.0	2163.0	2184.0	2034.0	374.0	1250.0	1321.0	223.0	2159.0	2188.0	2128.0	2219.0	1928.0	2194.0	2199.0	3041.0	2386.0	2198.0	2328.0	1100.0
Alyssum_gmelinii	4988.0	0.0	5171.0	5217.0	5318.0	5077.0	4671.0	1044.0	3556.0	3504.0	851.0	5096.0	4953.0	5076.0	5020.0	4552.0	4696.0	5119.0	6172.0	5387.0	5291.0	5867.0	3057.0
Arabidopsis_arenosa	3290.0	2649.0	0.0	2147.0	2480.0	2486.0	2626.0	713.0	2048.0	2066.0	937.0	2384.0	2575.0	2615.0	2872.0	2683.0	2640.0	2442.0	4612.0	3047.0	2859.0	3006.0	1790.0
Arabidopsis_lyrata_NCBI	3348.0	2430.0	1798.0	0.0	987.0	2138.0	2345.0	532.0	1902.0	1913.0	778.0	2308.0	2436.0	2472.0	2694.0	2473.0	2346.0	2202.0	4063.0	2792.0	2634.0	2617.0	1640.0
Arabidopsis_lyrata_Rawat	3646.0	2791.0	2370.0	1276.0	0.0	2334.0	2750.0	622.0	2072.0	2066.0	828.0	2587.0	2822.0	2752.0	3013.0	2782.0	2712.0	2561.0	4680.0	3131.0	3000.0	3011.0	1821.0
Arabidopsis_thaliana	2495.0	1707.0	1063.0	1096.0	1040.0	0.0	1587.0	386.0	1146.0	1179.0	308.0	1323.0	1353.0	1510.0	1731.0	1713.0	1486.0	1299.0	3046.0	1825.0	1689.0	1790.0	1043.0
Arabis_alpina	3607.0	3004.0	3027.0	2840.0	2947.0	2931.0	0.0	597.0	2192.0	2019.0	779.0	2753.0	2757.0	3012.0	3000.0	2810.0	2898.0	2743.0	4260.0	3060.0	3016.0	3074.0	1806.0
Brassica_napus	51379.0	49883.0	55018.0	56814.0	56183.0	56849.0	52017.0	0.0	61876.0	62186.0	3788.0	56750.0	54383.0	54998.0	55961.0	46916.0	54453.0	55752.0	57394.0	58596.0	55570.0	53757.0	49198.0
Brassica_oleracea	16953.0	16088.0	17358.0	17985.0	17913.0	17941.0	16548.0	1962.0	0.0	2981.0	1261.0	17930.0	17253.0	17606.0	17667.0	14257.0	16471.0	17786.0	19848.0	18350.0	17422.0	17203.0	5259.0
Brassica_rapa	16408.0	15424.0	16761.0	17388.0	17103.0	17245.0	15891.0	1194.0	2174.0	0.0	996.0	17306.0	16543.0	16969.0	17019.0	13448.0	15719.0	16992.0	18764.0	17522.0	16752.0	16526.0	4424.0
Camelina_sativa	49956.0	48466.0	57947.0	59933.0	58680.0	59921.0	50474.0	4649.0	34137.0	34458.0	0.0	61537.0	54669.0	54903.0	56493.0	45446.0	51971.0	56807.0	54516.0	56232.0	53343.0	51609.0	28816.0
Capsella_rubella	2464.0	1691.0	1391.0	1402.0	1433.0	1434.0	1583.0	433.0	1198.0	1246.0	412.0	0.0	1556.0	1608.0	1703.0	1737.0	1553.0	1320.0	3120.0	1922.0	1727.0	1836.0	1111.0
Cardamine_amara	2608.0	1793.0	1692.0	1713.0	1706.0	1680.0	1792.0	396.0	1283.0	1268.0	342.0	1699.0	0.0	1526.0	1328.0	1870.0	1783.0	1726.0	3299.0	2104.0	1906.0	2024.0	1110.0
Cardamine_glauca	2880.0	2034.0	2114.0	2171.0	2077.0	2136.0	2053.0	421.0	1535.0	1547.0	370.0	2170.0	2048.0	0.0	2061.0	2126.0	2081.0	2015.0	3299.0	2274.0	2325.0	2219.0	1274.0
