	Aethionema_saxatile	Alyssum_gmelinii	Arabidopsis_arenosa	Arabidopsis_lyrata_NCBI	Arabidopsis_lyrata_Rawat	Arabidopsis_thaliana	Arabis_alpina	Brassica_napus	Brassica_oleracea	Brassica_rapa	Camelina_sativa	Capsella_rubella	Cardamine_amara	Cardamine_glauca	Cardamine_hirsuta	Cochlearia_excelsa	Conringia_planisiliqua	Erysimum_linariifolium	Euclidium_syriacum	Eutrema_salsugineum	Noccaea_praecox	Odontarrhena_muralis	Raphanus_sativus
Aethionema_saxatile	0.0	2049.0	1379.0	1424.0	1563.0	1061.0	1444.0	15573.0	7156.0	6954.0	15869.0	1046.0	1167.0	1291.0	1385.0	2580.0	968.0	1559.0	1308.0	976.0	1435.0	1375.0	8552.0
Alyssum_gmelinii	879.0	0.0	1073.0	1040.0	1178.0	719.0	1148.0	15533.0	6914.0	6708.0	15844.0	702.0	796.0	903.0	1002.0	2301.0	646.0	1181.0	1014.0	631.0	1115.0	1134.0	8394.0
Arabidopsis_arenosa	926.0	2015.0	0.0	789.0	986.0	462.0	1164.0	17277.0	7473.0	7290.0	19575.0	587.0	759.0	943.0	1033.0	2505.0	618.0	1230.0	1226.0	597.0	1180.0	1215.0	9148.0
Arabidopsis_lyrata_NCBI	948.0	2048.0	867.0	0.0	494.0	497.0	1201.0	17779.0	7725.0	7553.0	20168.0	596.0	763.0	948.0	1020.0	2471.0	604.0	1200.0	1200.0	629.0	1141.0	1210.0	9432.0
Arabidopsis_lyrata_Rawat	941.0	2037.0	980.0	357.0	0.0	471.0	1203.0	17437.0	7608.0	7413.0	19680.0	597.0	751.0	943.0	1008.0	2541.0	631.0	1265.0	1195.0	629.0	1179.0	1230.0	9272.0
Arabidopsis_thaliana	959.0	2020.0	966.0	924.0	1016.0	0.0	1206.0	17875.0	7748.0	7559.0	20198.0	600.0	753.0	971.0	1036.0	2467.0	593.0	1199.0	1238.0	619.0	1191.0	1193.0	9500.0
Arabis_alpina	896.0	1855.0	1042.0	998.0	1177.0	680.0	0.0	16272.0	7094.0	6907.0	16652.0	662.0	784.0	921.0	1022.0	2342.0	625.0	1191.0	1070.0	590.0	1115.0	1127.0	8687.0
Brassica_napus	123.0	319.0	261.0	215.0	234.0	165.0	218.0	0.0	828.0	458.0	1421.0	152.0	158.0	162.0	283.0	387.0	165.0	235.0	226.0	154.0	206.0	229.0	1377.0
Brassica_oleracea	545.0	1397.0	824.0	805.0	878.0	488.0	872.0	28185.0	0.0	854.0	11287.0	498.0	560.0	682.0	747.0	1159.0	424.0	933.0	801.0	457.0	846.0	825.0	6767.0
Brassica_rapa	561.0	1366.0	835.0	816.0	869.0	505.0	839.0	28411.0	1186.0	0.0	11416.0	509.0	553.0	686.0	735.0	1018.0	407.0	908.0	786.0	455.0	801.0	826.0	6774.0
Camelina_sativa	88.0	270.0	324.0	262.0	287.0	130.0	228.0	1085.0	428.0	369.0	0.0	168.0	138.0	137.0	245.0	350.0	148.0	262.0	226.0	139.0	182.0	194.0	542.0
Capsella_rubella	945.0	2006.0	979.0	1000.0	1101.0	572.0	1165.0	17887.0	7738.0	7550.0	20760.0	0.0	758.0	966.0	964.0	2441.0	592.0	1206.0	1198.0	621.0	1130.0	1197.0	9478.0
Cardamine_amara	953.0	1937.0	1015.0	1013.0	1168.0	593.0	1144.0	16973.0	7355.0	7141.0	18116.0	634.0	0.0	887.0	716.0	2455.0	592.0	1214.0	1181.0	589.0	1127.0	1156.0	8952.0
Cardamine_glauca	934.0	1967.0	1044.0	1052.0	1182.0	642.0	1181.0	17093.0	7517.0	7357.0	18149.0	665.0	668.0	0.0	803.0	2421.0	598.0	1213.0	1135.0	579.0	1150.0	1170.0	9108.0
Cardamine_hirsuta	962.0	1993.0	1154.0	1153.0	1276.0	744.0	1240.0	17553.0	7598.0	7411.0	18790.0	714.0	603.0	900.0	0.0	2473.0	615.0	1266.0	1219.0	633.0	1165.0	1185.0	9312.0
Cochlearia_excelsa	833.0	1786.0	1076.0	1053.0	1174.0	731.0	1118.0	15207.0	6167.0	5932.0	14863.0	722.0	825.0	922.0	1021.0	0.0	641.0	1166.0	1072.0	644.0	1116.0	1088.0	7696.0
Conringia_planisiliqua	916.0	1857.0	1077.0	1007.0	1168.0	646.0	1144.0	17524.0	7056.0	6871.0	17122.0	641.0	782.0	922.0	987.0	2251.0	0.0	1196.0	1177.0	549.0	1134.0	1144.0	8854.0
Erysimum_linariifolium	938.0	1993.0	960.0	934.0	1067.0	540.0	1115.0	17326.0	7565.0	7372.0	19038.0	556.0	762.0	901.0	992.0	2457.0	632.0	0.0	1164.0	563.0	1153.0	1173.0	9219.0
Euclidium_syriacum	1270.0	2296.0	1753.0	1659.0	1831.0	1252.0	1652.0	16684.0	7943.0	7717.0	17015.0	1248.0	1365.0	1430.0	1692.0	3100.0	1174.0	1805.0	0.0	1135.0	1728.0	1595.0	9437.0
Eutrema_salsugineum	995.0	2069.0	1209.0	1206.0	1315.0	788.0	1233.0	18435.0	7782.0	7595.0	18465.0	800.0	870.0	998.0	1126.0	2398.0	573.0	1300.0	1195.0	0.0	1229.0	1261.0	9652.0
Noccaea_praecox	945.0	2048.0	1154.0	1097.0	1247.0	721.0	1220.0	17446.0	7475.0	7296.0	17521.0	717.0	836.0	1002.0	1099.0	2334.0	620.0	1271.0	1190.0	612.0	0.0	1254.0	9177.0
Odontarrhena_muralis	981.0	2216.0	1194.0	1142.0	1290.0	768.0	1250.0	16582.0	7303.0	7134.0	16924.0	766.0	883.0	993.0	1074.0	2503.0	721.0	1317.0	1154.0	671.0	1201.0	0.0	8888.0
Raphanus_sativus	455.0	1164.0	715.0	693.0	763.0	448.0	742.0	20855.0	2249.0	1902.0	9445.0	436.0	486.0	563.0	669.0	929.0	372.0	784.0	678.0	392.0	695.0	695.0	0.0
