	Aethionema_saxatile	Alyssum_gmelinii	Arabidopsis_arenosa	Arabidopsis_lyrata_NCBI	Arabidopsis_lyrata_Rawat	Arabidopsis_thaliana	Arabis_alpina	Brassica_napus	Brassica_oleracea	Brassica_rapa	Camelina_sativa	Capsella_rubella	Cardamine_amara	Cardamine_glauca	Cardamine_hirsuta	Cochlearia_excelsa	Conringia_planisiliqua	Erysimum_linariifolium	Euclidium_syriacum	Eutrema_salsugineum	Noccaea_praecox	Odontarrhena_muralis	Raphanus_sativus
Aethionema_saxatile	0.0	13505.0	14726.0	14964.0	14723.0	15214.0	14148.0	854.0	9068.0	9198.0	665.0	15182.0	14661.0	14762.0	14908.0	12747.0	14345.0	14822.0	14084.0	15142.0	14623.0	14386.0	7611.0
Alyssum_gmelinii	13505.0	0.0	15153.0	15507.0	15262.0	15617.0	14576.0	1114.0	9445.0	9557.0	930.0	15546.0	14864.0	15026.0	15388.0	12734.0	14679.0	15216.0	14428.0	15422.0	14969.0	16487.0	7931.0
Arabidopsis_arenosa	14726.0	15153.0	0.0	22301.0	22295.0	20993.0	16076.0	1358.0	10767.0	10854.0	1742.0	19730.0	17695.0	17660.0	18431.0	14294.0	16557.0	18989.0	15873.0	17560.0	16923.0	16146.0	8993.0
Arabidopsis_lyrata_NCBI	14964.0	15507.0	22301.0	0.0	25032.0	22096.0	16458.0	1451.0	11003.0	11212.0	1756.0	20373.0	18015.0	18046.0	18822.0	14422.0	16855.0	19210.0	16067.0	18141.0	17239.0	16482.0	9330.0
Arabidopsis_lyrata_Rawat	14723.0	15262.0	22295.0	25032.0	0.0	21127.0	16191.0	1405.0	10816.0	10948.0	1728.0	19764.0	17746.0	17763.0	18552.0	14270.0	16592.0	18987.0	15887.0	17708.0	17037.0	16218.0	9086.0
Arabidopsis_thaliana	15214.0	15617.0	20993.0	22096.0	21127.0	0.0	16521.0	1459.0	11143.0	11324.0	1719.0	20550.0	18114.0	18176.0	19035.0	14567.0	16973.0	19222.0	16253.0	18370.0	17363.0	16648.0	9381.0
Arabis_alpina	14148.0	14576.0	16076.0	16458.0	16191.0	16521.0	0.0	1201.0	10088.0	10157.0	1004.0	16444.0	15781.0	15775.0	16257.0	13480.0	15421.0	16011.0	14982.0	16380.0	15817.0	15441.0	8409.0
Brassica_napus	854.0	1114.0	1358.0	1451.0	1405.0	1459.0	1201.0	0.0	9327.0	8540.0	671.0	1297.0	1176.0	1075.0	1376.0	1225.0	1472.0	1230.0	1075.0	1429.0	1285.0	1110.0	4382.0
Brassica_oleracea	9068.0	9445.0	10767.0	11003.0	10816.0	11143.0	10088.0	9327.0	0.0	30665.0	1061.0	11075.0	10521.0	10393.0	10907.0	9923.0	11567.0	10647.0	9565.0	11675.0	10915.0	10100.0	21158.0
Brassica_rapa	9198.0	9557.0	10854.0	11212.0	10948.0	11324.0	10157.0	8540.0	30665.0	0.0	928.0	11297.0	10620.0	10483.0	11045.0	9987.0	11588.0	10770.0	9698.0	11780.0	10977.0	10170.0	21241.0
