Orthogroup	Arabidopsis_arenosa	Alyssum_gmelinii
OG0000000	jg21092	Ag006G573260
OG0000000	jg27456, jg2001, jg27197, jg21191, jg32817, jg27337, jg72, jg32155, jg20829, jg8262	Ag004G340890, Ag001G084200
OG0000000	jg6905, jg17418	Ag002G167150
OG0000002	jg11830	Ag005G410720
OG0000003	jg11917	Ag004G365940
OG0000003	jg11918	Ag007G647490
OG0000004	jg25786	Ag004G374310
OG0000004	jg27616	Ag006G503330
OG0000005	jg19324, jg12452	Ag008G703520
OG0000005	jg12267, jg12278	Ag005G473830, Ag001G076570
OG0000005	jg1846, jg6872, jg23533	Ag006G527380
OG0000005	jg13854	Ag003G254650
OG0000005	jg1845	Ag008G663850, Ag004G399930, Ag002G157290, Ag001G061510, Ag004G314920
OG0000005	jg21901, jg12230	Ag003G219140, Ag007G614800
OG0000007	jg7091	Ag007G600770, Ag006G520860, Ag004G322400, Ag002G115840, Ag008G694060, Ag006G551070, Ag003G220220
OG0000007	jg6465	Ag001G051310, Ag007G627650, Ag001G052980, Ag007G623070, Ag003G244540
OG0000007	jg6816	Ag007G621080
OG0000007	jg33137	Ag004G393060, Ag004G376540
OG0000008	jg15069, jg15062, jg15057, jg15054	Ag001G015890
OG0000008	jg20324	Ag005G426820
OG0000012	jg26919	Ag005G452520
OG0000012	jg12454, jg31920	Ag007G638410
OG0000012	jg1757, jg32331, jg12319, jg3735	Ag007G621260, Ag005G417190
OG0000012	jg27744, jg1550, jg27237, jg26946, jg7019, jg10010, jg11974, jg21172, jg12128, jg11895, jg21243, jg32109, jg17207, jg1599, jg12143, jg31034, jg32719, jg17365, jg31024	Ag007G633420
OG0000012	jg32355, jg32390, jg32436, jg32336, jg17412	Ag002G161720
OG0000013	jg1575	Ag006G559810
OG0000015	jg11869	Ag008G676660
OG0000015	jg21314, jg11868	Ag004G376340
OG0000017	jg32618	Ag005G432180, Ag001G042370
OG0000017	jg27354	Ag004G336140, Ag001G069670
OG0000017	jg6965	Ag002G124100, Ag004G375560, Ag001G050140
OG0000018	jg25715	Ag007G609170
OG0000019	jg13840	Ag006G545360
OG0000019	jg13839	Ag003G263160, Ag006G497030
OG0000020	jg27281, jg27158, jg13794, jg18577, jg25717, jg19520	Ag005G440730
OG0000020	jg27186	Ag006G521270
OG0000021	jg17386, jg13577, jg12206	Ag002G201670
OG0000023	jg10174	Ag006G545600, Ag006G549030
OG0000023	jg7515, jg7514, jg10181	Ag006G569900, Ag006G545580, Ag006G549040
OG0000023	jg7517, jg7516, jg7519, jg7518	Ag002G145570, Ag002G145600
OG0000023	jg7521	Ag002G145500
OG0000023	jg7533, jg7537, jg7530	Ag002G145450
OG0000023	jg10191	Ag006G547270
OG0000023	jg10192	Ag006G545510, Ag006G549380, Ag006G547220, Ag004G376920
OG0000025	jg22442, jg11446, jg22446, jg22952, jg22443, jg22441, jg22353, jg22247, jg22250, jg12583, jg12582, jg22219	Ag003G230310
OG0000026	jg1482, jg6966, jg6980, jg14688, jg1903, jg7349	Ag013G741580
OG0000027	jg33002, jg33003	Ag006G546200, Ag005G439390
OG0000028	jg21311, jg32932, jg1778	Ag005G466640, Ag009G736690, Ag001G053260, Ag004G352900, Ag006G577790, Ag003G259760, Ag002G132790, Ag005G466920, Ag005G466830, Ag005G466750
OG0000029	jg21060	Ag002G114660
OG0000029	jg5864, jg27798, jg17174, jg18126	Ag002G168100, Ag004G354120
OG0000029	jg16768	Ag002G175390
OG0000029	jg17949	Ag003G258710
OG0000030	jg32380	Ag002G145320
OG0000030	jg12236	Ag008G659630, Ag006G491030
OG0000030	jg20585	Ag004G349980, Ag003G277490
OG0000030	jg11609	Ag008G691940, Ag005G407260, Ag002G169900, Ag005G426520, Ag002G126760, Ag003G226280, Ag002G123900, Ag006G510430, Ag004G380470
OG0000030	jg900, jg26487, jg11586, jg11588, jg2222, jg2223	Ag001G021090, Ag003G292130, Ag005G430740
OG0000031	jg618, jg613, jg617, jg616, jg643	Ag001G078560, Ag004G386130
OG0000031	jg29724	Ag004G316410, Ag004G316200, Ag004G317440, Ag004G317450, Ag004G315780, Ag004G316420
OG0000031	jg12744	Ag002G111150, Ag002G107580
OG0000031	jg638, jg372	Ag004G401670
OG0000033	jg10203, jg10197, jg10193	Ag006G547230, Ag006G549390
OG0000033	jg10204	Ag006G547260, Ag006G549410
OG0000033	jg10186, jg10200, jg10207	Ag006G543630, Ag006G543880
OG0000033	jg10425	Ag006G564890, Ag003G210460
OG0000033	jg10176, jg10175	Ag006G548990
OG0000033	jg10177	Ag006G547250, Ag006G549400, Ag008G717210
OG0000033	jg10208, jg10195, jg10202	Ag006G547380, Ag006G549570
OG0000033	jg7784	Ag002G130680, Ag002G130760
OG0000034	jg32357	Ag004G372350
OG0000034	jg32391, jg32356, jg32339, jg32338	Ag005G442050
OG0000034	jg11749, jg11798	Ag005G441910
OG0000035	jg740	Ag007G590010
OG0000035	jg23606, jg20747, jg20748	Ag005G405240, Ag002G183820
OG0000035	jg18271, jg18309	Ag003G212430, Ag007G589940, Ag007G589950, Ag007G590070, Ag007G590080, Ag007G590100
OG0000036	jg16618	Ag003G262470, Ag003G288580, Ag005G424740
OG0000036	jg299, jg1839, jg32415, jg11724, jg17278, jg1046, jg1567, jg11852, jg13931, jg6976, jg17098, jg1485, jg16419, jg27812, jg17384, jg21000, jg17522, jg31083	Ag004G360850, Ag004G351140, Ag006G523870, Ag004G387130, Ag003G230730
OG0000038	jg20023, jg549	Ag003G226390, Ag003G216540, Ag004G301790, Ag004G301770, Ag003G211230, Ag003G211160, Ag003G211040
OG0000038	jg31063, jg31071, jg31062, jg31070, jg31999, jg31068, jg31060	Ag001G003660
OG0000038	jg18146	Ag007G594740, Ag007G591770, Ag004G335660
OG0000038	jg6336	Ag006G511550, Ag006G511600
OG0000038	jg15287	Ag001G056400
OG0000038	jg28841, jg7751	Ag002G135290, Ag002G133990, Ag002G133520
OG0000038	jg20757, jg20756	Ag002G200370, Ag002G200380, Ag002G200390, Ag002G200460, Ag002G200420
OG0000038	jg25018	Ag005G471060
OG0000038	jg31052	Ag004G312700
OG0000038	jg25017, jg25016, jg25015	Ag005G474640, Ag005G474620, Ag004G393210, Ag004G388210, Ag004G388220, Ag004G388090, Ag005G471010, Ag007G610580, Ag005G471020, Ag005G471040, Ag005G471080, Ag005G474650, Ag002G141090
OG0000039	jg6819, jg32205	Ag004G347330, Ag007G622120
OG0000040	jg30787, jg31202, jg31203, jg25536	Ag005G468330, Ag005G409970, Ag005G409830, Ag005G409790, Ag005G470150, Ag005G469490, Ag005G470890, Ag005G470920, Ag005G470910
OG0000040	jg25347	Ag005G483190
OG0000040	jg25272, jg738, jg25360	Ag002G192690, Ag002G188830
OG0000040	jg2112, jg25382, jg14799, jg17824, jg14802, jg14804, jg1537	Ag005G441920, Ag005G467750, Ag005G452660
OG0000040	jg26152, jg26153	Ag005G446880, Ag005G447100, Ag005G447140
OG0000041	jg6878	Ag003G296430, Ag003G296390, Ag008G683020, Ag003G251790, Ag004G400760, Ag002G143210, Ag008G685490, Ag006G552710, Ag019G742960
OG0000042	jg26952	Ag002G176270
OG0000044	jg13501, jg20886	Ag006G512870
OG0000044	jg12140	Ag001G054960
OG0000045	jg21055	Ag002G197550, Ag008G703200
OG0000046	jg10780	Ag006G575430
OG0000046	jg2195, jg2209, jg2212	Ag002G129690, Ag002G129740
OG0000047	jg20815, jg24929, jg1126, jg28031, jg17679	Ag008G717960, Ag004G337790, Ag001G100560, Ag002G180790
OG0000047	jg14037	Ag001G041020, Ag007G643260, Ag004G339660, Ag007G603900, Ag006G556180
OG0000048	jg24239	Ag005G486620, Ag005G486520
OG0000050	jg7029, jg13871	Ag007G641850
OG0000052	jg29349	Ag004G301370, Ag004G301320
OG0000052	jg19557	Ag002G195160, Ag002G194240, Ag002G194190
OG0000052	jg19555	Ag002G194170
OG0000052	jg19554	Ag002G194060
OG0000052	jg19558	Ag002G194250
OG0000052	jg19560	Ag002G194410, Ag002G194400, Ag002G194390
OG0000052	jg19563, jg19562, jg19561	Ag002G194440, Ag002G194380
OG0000053	jg1077, jg28178, jg4817, jg5943, jg25268, jg33384, jg11480, jg32839	Ag003G279130
OG0000055	jg674, jg739	Ag004G382900
OG0000055	jg743, jg744, jg745, jg746, jg747	Ag002G180760, Ag003G281400, Ag003G282390
OG0000056	jg20178	Ag003G260670, Ag001G057120, Ag001G056190, Ag002G182200, Ag002G173290, Ag004G362510, Ag004G358070, Ag006G495710, Ag008G686470, Ag003G254900, Ag003G270180, Ag001G008210, Ag006G553330
OG0000056	jg25787	Ag002G181330
OG0000056	jg16912, jg12160, jg20957, jg21612, jg13720, jg21424, jg6475, jg20956, jg11849, jg7332, jg7100, jg12084, jg27349	Ag002G121000, Ag006G542770
