Orthogroup	Arabis_alpina	Arabidopsis_arenosa
OG0000002	Aa_G417360.h1.t1, Aa_G109850.h1.t1	jg11830
OG0000002	Aa_G973590.h1.t1	jg21985
OG0000002	Aa_G497900.h1.t1, Aa_G169610.h1.t1, Aa_G62810.h1.t1, Aa_G534810.h1.t1, Aa_G722140.h1.t1, Aa_G211950.h2.t1, Aa_G211950.h1.t1, Aa_G884540.h1.t1, Aa_G181880.h1.t1, Aa_G945300.h1.t1, Aa_G1002640.h1.t1, Aa_G441820.h1.t1, Aa_G919120.h1.t1, Aa_G934630.h1.t1, Aa_G396950.h1.t1, Aa_G36530.h1.t1, Aa_G571690.h1.t1, Aa_G17980.h1.t1, Aa_G55520.h1.t1, Aa_G450290.h1.t1, Aa_G920110.h1.t1, Aa_G177660.h1.t1, Aa_G395200.h1.t1, Aa_G272260.h1.t1, Aa_G272260.h2.t1, Aa_G473920.h1.t1, Aa_G671100.h1.t1, Aa_G294770.h1.t1, Aa_G277830.h1.t1, Aa_G202910.h1.t1	jg1034, jg12348, jg27118, jg1783
OG0000004	Aa_G305790.h1.t1	jg27064, jg6905
OG0000008	Aa_G302250.h1.t1	jg15054, jg15062, jg15069, jg15057
OG0000011	Aa_G396980.h1.t1	jg33383, jg21637
OG0000011	Aa_G277650.h1.t1	jg13651
OG0000012	Aa_G57270.h1.t1, Aa_G57260.h1.t1, Aa_G57300.h1.t1, Aa_G57280.h1.t1	jg27079
OG0000012	Aa_G727670.h1.t1	jg27473, jg29119
OG0000015	Aa_G962140.h1.t1	jg11869
OG0000020	Aa_G135640.h1.t1	jg6965, jg21095, jg27354, jg2142, jg32618
OG0000022	Aa_G447870.h1.t1	jg5495
OG0000022	Aa_G319760.h1.t1	jg29675
OG0000022	Aa_G291980.h1.t1, Aa_G291990.h1.t1, Aa_G291960.h1.t1, Aa_G328340.h1.t1	jg29722, jg29734, jg29678, jg29676
OG0000022	Aa_G97120.h1.t1	jg12744, jg25741
OG0000023	Aa_G297380.h1.t1	jg26919, jg32331, jg12319, jg1757, jg31920, jg12454, jg3735
OG0000024	Aa_G565560.h1.t1, Aa_G381220.h1.t1	jg18272
OG0000024	Aa_G737030.h1.t1, Aa_G731070.h1.t1	jg31712, jg31673, jg31700, jg31701, jg31702, jg31695, jg7351, jg31682, jg31706, jg31676, jg31674, jg31678, jg31679, jg31677, jg31671
OG0000024	Aa_G565550.h1.t1, Aa_G614530.h1.t1, Aa_G511000.h1.t1, Aa_G14060.h1.t1	jg15695, jg15696, jg15770, jg15771, jg14278
OG0000025	Aa_G387540.h1.t1	jg7349, jg6966, jg1482, jg14688, jg1903, jg6980, jg21506, jg20543, jg32153, jg27936, jg1637, jg14016, jg1257, jg27352
OG0000027	Aa_G200970.h1.t1	jg10174, jg10184, jg10183, jg10189
OG0000027	Aa_G200900.h1.t1	jg10191
OG0000027	Aa_G597270.h1.t1	jg7537, jg7533, jg7530
OG0000027	Aa_G191740.h1.t1	jg10199
OG0000028	Aa_G687010.h2.t1, Aa_G687010.h3.t1, Aa_G687010.h1.t1, Aa_G687040.h1.t1, Aa_G604290.h1.t1, Aa_G604300.h1.t1	jg22446, jg11446, jg22442, jg22443, jg22441, jg22952
OG0000028	Aa_G123410.h1.t1, Aa_G71570.h1.t1, Aa_G123400.h1.t1	jg23436, jg23431, jg8750, jg8748, jg4646, jg4645, jg21837, jg21838, jg23433, jg23437, jg23430, jg14606, jg29584, jg14605, jg28212
OG0000028	Aa_G553200.h1.t1	jg22006, jg22007, jg22259, jg22445, jg22074, jg22278, jg22269, jg22270, jg22279, jg22262, jg22242, jg22244
OG0000029	Aa_G248570.h1.t1	jg33138, jg30060, jg20837, jg1780, jg13951, jg6737, jg11997, jg26958, jg13640, jg2465, jg2197, jg27218, jg11460, jg13681, jg14797, jg11165, jg17461, jg12004, jg3965
OG0000029	Aa_G288600.h1.t1, Aa_G637980.h1.t1, Aa_G988890.h1.t1	jg21311
OG0000030	Aa_G522160.h1.t1, Aa_G425920.h1.t1, Aa_G89020.h1.t1	jg1537, jg14799, jg17824, jg14802, jg14804
OG0000030	Aa_G152820.h1.t1	jg25272
OG0000032	Aa_G209100.h1.t1	jg27281, jg13794, jg27158, jg18577, jg19520, jg25717
OG0000034	Aa_G782810.h1.t1, Aa_G619140.h1.t1	jg10193, jg10203, jg10197
OG0000034	Aa_G191730.h1.t1	jg10200
OG0000034	Aa_G58870.h2.t1, Aa_G58870.h1.t1, Aa_G58900.h1.t1, Aa_G58880.h1.t1, Aa_G58910.h1.t1, Aa_G317980.h1.t1	jg10426
OG0000034	Aa_G58920.h1.t1	jg10425
OG0000034	Aa_G191690.h1.t1	jg10202, jg10195, jg10208
OG0000034	Aa_G92800.h1.t1, Aa_G474070.h1.t1	jg10177
OG0000035	Aa_G7660.h1.t1, Aa_G44290.h1.t1	jg32621, jg13872
OG0000035	Aa_G9270.h1.t1	jg6998, jg7008, jg32675, jg6987, jg1581
OG0000035	Aa_G246010.h1.t1	jg11910, jg27526, jg7415, jg23144, jg12740, jg13724, jg27973, jg27423, jg13741, jg10108, jg1332, jg28701, jg17048, jg13502, jg17311, jg27930, jg1081, jg11470, jg12280
OG0000035	Aa_G104090.h1.t1	jg1580
OG0000042	Aa_G963460.h1.t1, Aa_G338960.h1.t1, Aa_G347570.h1.t1, Aa_G618610.h1.t1, Aa_G125500.h1.t1	jg11609
OG0000042	Aa_G67230.h1.t1	jg12236, jg6978
OG0000042	Aa_G392560.h1.t1, Aa_G500830.h1.t1	jg17129
OG0000044	Aa_G685510.h1.t1	jg21039
OG0000044	Aa_G639660.h1.t1	jg21834
OG0000044	Aa_G208050.h1.t1	jg20587
OG0000044	Aa_G89780.h1.t1, Aa_G403300.h1.t1, Aa_G208070.h1.t1	jg13687, jg20423
OG0000044	Aa_G313590.h1.t1	jg20412, jg20415
OG0000044	Aa_G33030.h1.t1	jg6091, jg1752, jg21037
OG0000044	Aa_G173310.h1.t1, Aa_G620000.h1.t1, Aa_G197680.h1.t1, Aa_G173300.h1.t1, Aa_G685500.h1.t1, Aa_G565790.h1.t1, Aa_G902620.h1.t1, Aa_G685490.h1.t1, Aa_G628640.h1.t1, Aa_G295910.h1.t1, Aa_G628620.h1.t1, Aa_G565810.h1.t1, Aa_G173340.h1.t1, Aa_G715510.h1.t1	jg21833
OG0000046	Aa_G675110.h1.t1	jg1572
OG0000048	Aa_G20510.h1.t1	jg20748, jg20747
OG0000048	Aa_G154560.h1.t1	jg18309, jg18271
OG0000048	Aa_G7360.h1.t1, Aa_G393810.h1.t1, Aa_G274300.h1.t1	jg33607
OG0000048	Aa_G584300.h1.t1	jg18210, jg18207
OG0000048	Aa_G312310.h1.t1	jg25048, jg18270
OG0000051	Aa_G217710.h1.t1, Aa_G818500.h2.t1, Aa_G818500.h1.t1, Aa_G18920.h1.t1	jg29349
OG0000051	Aa_G399340.h1.t1	jg19557
OG0000051	Aa_G678670.h1.t1	jg497
OG0000051	Aa_G599340.h1.t1	jg907
OG0000051	Aa_G271540.h1.t1	jg19561, jg19562, jg19563, jg19564
OG0000052	Aa_G465260.h1.t1, Aa_G247990.h1.t1, Aa_G247980.h1.t1, Aa_G247970.h1.t1	jg13389, jg13391
OG0000052	Aa_G521750.h1.t1	jg20913, jg15189
OG0000052	Aa_G555640.h1.t1, Aa_G207450.h1.t1, Aa_G61370.h1.t1	jg15039
OG0000052	Aa_G521780.h1.t1, Aa_G61380.h1.t1	jg21516
OG0000055	Aa_G659190.h1.t1	jg12073
