Orthogroup	Erysimum_linariifolium	Alyssum_gmelinii
OG0000000	El001G044730	Ag004G340890, Ag001G084200
OG0000000	El005G264610	Ag002G196660
OG0000000	El001G044760, El004G210980, El005G262990, El005G263050, El005G264050, El003G177780	Ag002G167150
OG0000000	El003G182470	Ag007G637890, Ag001G032720
OG0000000	El006G298040	Ag008G692330, Ag002G155080, Ag008G696910
OG0000003	El003G189560	Ag001G024370
OG0000004	El001G052930, El004G230860, El003G157040, El005G268240	Ag005G427550
OG0000005	El001G038630	Ag008G703520, Ag005G473830, Ag001G076570
OG0000005	El001G081400	Ag005G414560, Ag002G110220, Ag005G402610
OG0000005	El002G122730	Ag007G583430, Ag005G451500, Ag005G435920, Ag003G226760
OG0000005	El003G167150	Ag006G527380
OG0000005	El002G123530	Ag005G402580, Ag007G622540
OG0000005	El004G214890	Ag003G254650
OG0000005	El002G120930, El007G348880	Ag008G663850, Ag004G399930, Ag002G157290, Ag001G061510, Ag004G314920
OG0000005	El002G135590, El005G263180	Ag003G219140, Ag007G614800
OG0000005	El007G348140	Ag004G380930, Ag002G153530, Ag002G106450, Ag002G110480, Ag004G343590, Ag005G404130
OG0000007	El007G349510	Ag003G244530, Ag008G714080, Ag002G134780, Ag004G397570, Ag006G558070, Ag005G410540
OG0000007	El007G352010	Ag001G051310
OG0000007	El006G311480	Ag007G627650, Ag001G052980, Ag007G623070, Ag003G244540
OG0000007	El001G053750, El002G123330, El004G208390, El007G348150	Ag006G520850, Ag003G220210
OG0000007	El002G114670	Ag004G330770, Ag002G136200, Ag001G003030
OG0000007	El006G293980	Ag002G132800
OG0000008	El001G021720	Ag002G148400
OG0000008	El004G212460	Ag002G152740, Ag007G618090, Ag001G039140
OG0000008	El001G021990, El001G021710, El003G174670	Ag001G015890
OG0000012	El002G120760	Ag005G452520, Ag007G638410, Ag007G621260, Ag005G417190, Ag003G250790
OG0000012	El005G268860, El003G182880	Ag003G250910
OG0000012	El002G129160	Ag002G161720
OG0000013	El006G310100	Ag006G559810
OG0000013	El006G310400	Ag008G708120, Ag001G014560
OG0000015	El060G376140, El053G375740	Ag008G676660, Ag008G687430
