Orthogroup	Conringia_planisiliqua	Noccaea_praecox
OG0000000	CP15_g35524_DN2_SP0_c.t1	Np002G1063700, Np003G1750900
OG0000000	CP42_g27277_DN1_SP0_c.t1	Np007G4029000
OG0000000	CP7_g44628_DN3_SP0_c.t1	Np003G1264600
OG0000000	CP24_g46939_DN1_SP0_c.t1	Np006G3574100, Np005G2997500, Np001G0689700
OG0000000	CP18_g12262_DN2_SP0_c.t1, CP2_g50571_DN2_SP0_c.t1, CP3_g14987_DN2_SP0_c.t1	Np003G1298000, Np005G3158100, Np003G1529800, Np005G3074100
OG0000000	CP27_g41816_DN1_SP0_c.t1	Np003G1708100, Np006G3568800, Np003G1709000
OG0000000	CP2_g50561_DN2_SP0_c.t1	Np001G0314800
OG0000000	CP3_g14989_DN1_SP0_c.t1	Np002G0926900, Np004G2012200
OG0000000	CP6_g8047_DN1_SP0_c.t1, CP6_g8613_DN2_SP0_c.t1, CP15_g35744_DN2_SP0_c.t1, CP18_g11729_DN2_SP0_c.t1, CP1_g39877_DN1_SP0_c.t1	Np006G3485200
OG0000000	CP2_g49699_DN2_SP0_c.t1	Np002G1002000
OG0000002	CP35_g52018_DN2_SP0_c.t1	Np002G1017600
OG0000002	CP3_g16153_DN2_SP0_c.t1	Np002G1056700
OG0000003	CP5_g2027_DN3_SP0_c.t1, CP2_g50573_DN1_SP0_c.t1, CP36_g50971_DN3_SP0_c.t1, CP5_g3096_DN1_SP0_c.t1	Np005G3039000
OG0000003	CP15_g34583_DN2_SP0_c.t1, CP15_g34567_DN1_SP0_c.t1, CP15_g34636_DN1_SP0_c.t1, CP15_g34623_DN2_SP0_c.t1, CP3_g16075_DN1_SP0_c.t1, CP6_g8581_DN1_SP0_c.t1	Np003G1537900
OG0000003	CP26_g51160_DN1_SP0_c.t1	Np004G2165300
OG0000003	CP9_g27953_DN3_SP0_c.t1, CP3_g16740_DN2_SP0_c.t1, CP5_g1881_DN3_SP0_c.t1, CP26_g51312_DN2_SP0_c.t1, CP50_g6564_DN3_SP0_c.t1, CP5_g3316_DN2_SP0_c.t1	Np006G3523600
OG0000003	CP17_g5083_DN2_SP0_c.t1, CP13_g20572_DN1_SP0_c.t1	Np003G1349400
OG0000003	CP4_g26010_DN1_SP0_c.t1	Np003G1737800
OG0000003	CP8_g52216_DN3_SP0_c.t1, CP15_g35250_DN2_SP0_c.t1	Np002G1201600, Np007G4024900, Np003G1475700
OG0000003	CP21_g11065_DN2_SP0_c.t1	Np004G1991400
OG0000004	CP1_g39844_DN3_SP0_c.t1	Np003G1676800
OG0000005	CP1_g38464_DN1_SP0_c.t1	Np006G3440400
OG0000008	CP5_g2806_DN2_SP0_c.t1	Np002G0964800
OG0000009	CP18_g12171_DN2_SP0_c.t1	Np002G0805000
OG0000009	CP9_g27891_DN2_SP0_c.t1	Np001G0414800, Np003G1742400, Np001G0151500, Np001G0364100
OG0000009	CP15_g34443_DN2_SP0_c.t1	Np004G1970200
OG0000009	CP1_g39903_DN2_SP0_c.t1, CP3_g15091_DN1_SP0_c.t1	Np007G3953500
OG0000009	CP12_g31672_DN2_SP0_c.t1	Np003G1663900
OG0000011	CP18_g11548_DN1_SP0_c.t1	Np001G0276300
OG0000011	CP15_g35899_DN2_SP0_c.t1	Np001G0276200
OG0000015	CP12_g31767_DN3_SP0_c.t1	Np001G0295000, Np001G0361200
OG0000015	CP3_g15512_DN1_SP0_c.t1	Np001G0486700
OG0000015	CP9_g27744_DN1_SP0_c.t1	Np007G4026300
OG0000015	CP31_g46711_DN2_SP0_c.t1, CP7_g44381_DN2_SP0_c.t1	Np007G4092100, Np007G4161100
OG0000016	CP24_g47422_DN2_SP0_c.t1	Np008G4282100, Np002G1011300, Np009G4311500
OG0000021	CP7_g44363_DN3_SP0_c.t1, CP14_g23481_DN3_SP0_c.t1	Np005G2819900, Np003G1499900, Np004G2262900, Np003G1806100, Np001G0282400, Np002G1064200, Np002G0964900, Np003G1389200, Np005G3017500, Np007G3934300, Np003G1720200
OG0000023	CP35_g52033_DN3_SP0_c.t1	Np006G3526600, Np006G3415000, Np002G1065700, Np005G3185500, Np002G1007500, Np002G0951100, Np002G1112500, Np002G1180000, Np002G1070000, Np007G4015700, Np002G1103400, Np004G2177800, Np006G3543300, Np005G2842200, Np006G3594200, Np004G2178800, Np003G1712400, Np006G3415100, Np004G2391200, Np010G4349100, Np007G4034700, Np005G2845400, Np003G1695200, Np006G3508300, Np007G4040200, Np005G3091400, Np004G2182900, Np006G3436400, Np002G1005200
OG0000024	CP2_g48829_DN3_SP0_c.t1	Np004G1980700, Np004G1980500
OG0000024	CP3_g13494_DN2_SP0_c.t1	Np001G0579500, Np001G0579400
OG0000026	CP13_g20815_DN3_SP0_c.t1, CP2_g49593_DN1_SP0_c.t1, CP12_g31225_DN3_SP0_c.t1, CP47_g21233_DN3_SP0_c.t1, CP6_g8604_DN1_SP0_c.t1, CP98_g41597_DN1_SP0_c.t1, CP5_g3430_DN1_SP0_c.t1, CP53_g22292_DN1_SP0_c.t1, CP3_g16558_DN3_SP0_c.t1, CP5_g2206_DN2_SP0_c.t1, CP13_g20693_DN2_SP0_c.t1, CP5_g2172_DN3_SP0_c.t1, CP30_g10047_DN2_SP0_c.t1, CP12_g31518_DN3_SP0_c.t1, CP8_g52462_DN1_SP0_c.t1, CP6_g8834_DN3_SP0_c.t1, CP2_g50599_DN2_SP0_c.t1, CP5_g2195_DN2_SP0_c.t1, CP13_g20401_DN2_SP0_c.t1, CP6_g9301_DN3_SP0_c.t1, CP13_g20788_DN2_SP0_c.t1, CP31_g46751_DN2_SP0_c.t1, CP25_g55852_DN1_SP0_c.t1, CP14_g23533_DN3_SP0_c.t1, CP14_g23215_DN1_SP0_c.t1, CP31_g46690_DN3_SP0_c.t1, CP17_g5112_DN2_SP0_c.t1, CP6_g8299_DN3_SP0_c.t1, CP13_g20402_DN3_SP0_c.t1, CP1_g38785_DN3_SP0_c.t1, CP12_g31428_DN3_SP0_c.t1, CP15_g34701_DN3_SP0_c.t1, CP16_g55448_DN1_SP0_c.t1, CP12_g31561_DN3_SP0_c.t1, CP22_g17082_DN2_SP0_c.t1, CP2_g49627_DN3_SP0_c.t1, CP5_g2181_DN1_SP0_c.t1, CP13_g20683_DN3_SP0_c.t1, CP16_g55627_DN3_SP0_c.t1, CP25_g55794_DN2_SP0_c.t1, CP5_g3238_DN1_SP0_c.t1, CP17_g5496_DN3_SP0_c.t1, CP2_g50449_DN3_SP0_c.t1, CP17_g5596_DN2_SP0_c.t1, CP14_g23436_DN1_SP0_c.t1, CP21_g11163_DN2_SP0_c.t1, CP18_g12000_DN1_SP0_c.t1, CP2_g50743_DN2_SP0_c.t1, CP17_g5983_DN2_SP0_c.t1, CP6_g8924_DN2_SP0_c.t1, CP23_g21572_DN1_SP0_c.t1, CP17_g5297_DN2_SP0_c.t1, CP6_g7636_DN2_SP0_c.t1, CP14_g23306_DN1_SP0_c.t1	Np002G1023700, Np003G1714900, Np004G2296200, Np002G1036400, Np006G3505400
OG0000026	CP14_g23437_DN2_SP0_c.t1, CP12_g31707_DN3_SP0_c.t1, CP12_g31562_DN3_SP0_c.t1, CP17_g5595_DN2_SP0_c.t1	Np002G0982000, Np002G0982200, Np004G2241900, Np002G1073000, Np002G1127100, Np004G2249100, Np002G1005400, Np001G0243300, Np002G0966100, Np004G2247000, Np001G0260700, Np002G1000900, Np004G2249200, Np006G3466700
OG0000026	CP9_g27992_DN1_SP0_c.t1, CP15_g35167_DN2_SP0_c.t1, CP8_g52460_DN2_SP0_c.t1, CP9_g27945_DN1_SP0_c.t1, CP17_g5295_DN1_SP0_c.t1, CP18_g12003_DN1_SP0_c.t1, CP14_g23883_DN1_SP0_c.t1, CP15_g34866_DN2_SP0_c.t1, CP56_g20967_DN2_SP0_c.t1, CP12_g31227_DN2_SP0_c.t1, CP6_g8601_DN2_SP0_c.t1, CP1_g41347_DN1_SP0_c.t1, CP6_g9661_DN1_SP0_c.t1, CP13_g20695_DN2_SP0_c.t1, CP25_g55850_DN1_SP0_c.t1, CP16_g55449_DN3_SP0_c.t1, CP219_g10340_DN3_SP0_c.t1, CP1_g40152_DN3_SP0_c.t1, CP1_g38419_DN3_SP0_c.t1, CP2_g49629_DN3_SP0_c.t1, CP1_g40281_DN2_SP0_c.t1, CP12_g31175_DN2_SP0_c.t1, CP17_g5981_DN2_SP0_c.t1, CP12_g31566_DN2_SP0_c.t1, CP15_g35230_DN3_SP0_c.t1, CP21_g11165_DN2_SP0_c.t1, CP4_g26254_DN2_SP0_c.t1, CP25_g55796_DN1_SP0_c.t1, CP13_g20398_DN1_SP0_c.t1, CP17_g5856_DN1_SP0_c.t1, CP6_g7632_DN3_SP0_c.t1, CP16_g55625_DN3_SP0_c.t1, CP18_g12549_DN3_SP0_c.t1, CP5_g3431_DN3_SP0_c.t1, CP1_g41249_DN1_SP0_c.t1, CP102_g10409_DN2_SP0_c.t1, CP14_g23630_DN1_SP0_c.t1, CP13_g20685_DN1_SP0_c.t1, CP148_g19023_DN1_SP0_c.t1, CP103_g21015_DN2_SP0_c.t1, CP98_g41599_DN2_SP0_c.t1, CP3_g16126_DN1_SP0_c.t1, CP14_g23220_DN3_SP0_c.t1	Np001G0460600, Np001G0205400, Np002G1009300, Np006G3527300, Np001G0460700, Np003G1715000
OG0000028	CP10_g43844_DN3_SP0_c.t1	Np003G1832500
OG0000029	CP4_g26313_DN1_SP0_c.t1	Np003G1680700
OG0000029	CP6_g8507_DN1_SP0_c.t1, CP15_g35521_DN1_SP0_c.t1, CP3_g15880_DN1_SP0_c.t1	Np003G1751100
OG0000029	CP2_g49681_DN3_SP0_c.t1, CP1_g38511_DN1_SP0_c.t1, CP24_g47109_DN1_SP0_c.t1	Np002G1063900
OG0000029	CP4_g26137_DN1_SP0_c.t1	Np006G3568700
OG0000029	CP18_g12498_DN1_SP0_c.t1	Np002G1054100, Np003G1452300
OG0000030	CP11_g31940_DN3_SP0_c.t1	Np001G0090700
OG0000030	CP10_g43326_DN2_SP0_c.t1, CP13_g19590_DN2_SP0_c.t1	Np004G2249500, Np004G2249800
OG0000031	CP34_g51549_DN2_SP0_c.t1	Np002G0985700
