Orthogroup	Brassica_rapa	Raphanus_sativus
OG0000000	XP_009119930.2	XP_018487582.1
OG0000000	XP_009123079.1	XP_018436035.1
OG0000000	XP_033148634.1	XP_018453416.1, XP_018443455.1, XP_018474257.1
OG0000000	XP_009123632.2, XP_009150012.1, XP_033128757.1, XP_009106474.1	XP_018435931.1
OG0000000	XP_009150345.1	XP_018488005.1, XP_018435927.1, XP_018479789.1, XP_018463775.1
OG0000000	XP_033133908.1, XP_033139542.1	XP_018473866.1, XP_018473869.1, XP_018473811.1, XP_018487729.1, XP_018479554.1, XP_018487722.1, XP_018458508.1
OG0000000	XP_033134352.1, XP_033141135.1, XP_033131653.1, XP_033136613.1, XP_033143400.1, XP_033131005.1, XP_033136774.1, XP_033131803.1, XP_033131796.1, XP_033131795.1, XP_033132141.1, XP_033141150.1, XP_033143342.1, XP_033132082.1	XP_018458831.1
OG0000000	XP_033131560.1	XP_018435953.1, XP_018461970.1
OG0000000	XP_033132135.1, XP_033148733.1, XP_033135014.1	XP_018462044.1, XP_018478488.1
OG0000000	XP_033138739.1, XP_033148515.1, XP_033131337.1, XP_033143353.1	XP_018473859.1, XP_018453885.1
OG0000000	XP_033143430.1	XP_018473827.1
OG0000000	XP_033143372.1	XP_018474641.1, XP_018463709.1, XP_018435631.1, XP_018453541.1
OG0000000	XP_009140188.1	XP_018435281.1, XP_018435286.1, XP_018460172.1, XP_018443746.1, XP_018479968.1, XP_018461263.1, XP_018435287.1
OG0000000	XP_018514383.1	XP_018453921.1
OG0000000	XP_009150816.2	XP_018479757.1
OG0000000	XP_009103791.2, XP_009103405.1	XP_018487416.1, XP_018487413.1, XP_018479119.1, XP_018487613.1, XP_018435875.1, XP_018453704.1, XP_018478228.1, XP_018463849.1, XP_018478413.1, XP_018479618.1, XP_018462177.1, XP_018479420.1
OG0000000	XP_033128765.1	XP_018448498.1, XP_018435739.1, XP_018435737.1, XP_018435702.1, XP_018463622.1, XP_018443673.1
OG0000000	XP_009108636.2	XP_018453689.1
OG0000000	XP_033132438.1	XP_018479455.1
OG0000000	XP_009113628.1	XP_018488079.1
OG0000000	XP_033146231.1	XP_018473662.1
OG0000000	XP_033131903.1, XP_009103419.1	XP_018459162.1
OG0000000	XP_033138224.1	XP_018435536.1
OG0000000	XP_009117187.1	XP_018443699.1, XP_018459856.1
OG0000000	XP_033147600.1	XP_018443671.1, XP_018488129.1
OG0000000	XP_033146511.1	XP_018462308.1
OG0000000	XP_033145007.1	XP_018448539.1
