Orthogroup	Arabidopsis_thaliana	Raphanus_sativus
OG0000003	AT1G43760.1	XP_018473970.1
OG0000007	AT2G13770.1	XP_018455976.1
OG0000008	AT3G51690.1, AT3G51700.1	XP_018438736.1
OG0000009	AT1G10000.1	XP_018435786.1, XP_018461258.1
OG0000009	AT2G06845.1	XP_018459193.1
OG0000016	AT2G12880.1	XP_018467165.1
OG0000020	AT2G06420.1	XP_018460984.1, XP_018460983.1
OG0000021	AT1G52950.1	XP_018454009.1, XP_018435368.1, XP_018462063.1, XP_018473966.1, XP_018462293.1, XP_018435614.1, XP_018469340.1, XP_018470860.1, XP_018437387.1, XP_018463883.1, XP_018443708.1, XP_018462647.1, XP_018460228.1, XP_018463561.1, XP_018444645.1, XP_018443745.1, XP_018443744.1, XP_018479594.1, XP_018486634.1, XP_018463665.1, XP_018463095.1, XP_018479103.1, XP_018435392.1
OG0000022	AT4G26800.2	XP_018467852.1
OG0000022	AT5G16640.1	XP_018446660.1
OG0000022	AT1G62680.1	XP_018452507.1
OG0000022	AT1G12615.1, AT1G62720.1	XP_018456914.1, XP_018456330.1
OG0000022	AT1G12700.2	XP_018439379.1
OG0000022	AT1G12300.1, AT1G12775.1	XP_018490861.1, XP_018490862.1, XP_018439418.1, XP_018436026.1, XP_018438506.1, XP_018438505.1, XP_018435012.1, XP_018491224.1, XP_018491225.1, XP_018485652.1, XP_018440869.1, XP_018451491.1, XP_018438507.1, XP_018440496.1, XP_018463937.1, XP_018451058.1, XP_018448229.1
OG0000022	AT1G06580.1	XP_018493478.1, XP_018487942.1
OG0000022	AT5G41170.1	XP_018478989.1
OG0000022	AT3G16710.1	XP_018437843.1
OG0000027	AT4G23320.3	XP_018468520.1, XP_018468522.1
OG0000027	AT4G11460.1	XP_018464962.1, XP_018461167.1, XP_018471375.1
OG0000027	AT4G23260.1	XP_018451933.1, XP_018448914.1
OG0000027	AT4G23250.2	XP_018451939.1, XP_018448955.1
OG0000027	AT4G23200.1	XP_018458837.1, XP_018459041.1
OG0000027	AT4G11530.1	XP_018454312.1
OG0000027	AT4G11521.1	XP_018453781.1
OG0000027	AT4G23210.3	XP_018463400.1, XP_018480408.1
OG0000028	AT4G13680.1	XP_018467289.1, XP_018480012.1
OG0000028	AT5G53240.1	XP_018474154.1, XP_018475339.1
OG0000028	AT5G55870.1, AT5G54330.1, AT5G54320.1	XP_018474185.1, XP_018475245.1, XP_018465891.1, XP_018474187.1
OG0000028	AT5G55270.1, AT5G55880.1, AT5G55890.1, AT5G53230.1	XP_018475306.1, XP_018475278.1
