Orthogroup	Erysimum_linariifolium	Euclidium_syriacum
OG0000000	El003G159590	ESY13_g56188_DN3_SP0_c88.t1
OG0000000	El003G182470, El006G298040, El001G044720, El001G051780, El004G209750	ESY7_g17009_DN2_SP0_c60.t1
OG0000002	El004G212920, El002G130310, El001G051980, El004G212930, El004G208640, El002G130320, El006G293750, El001G039400	ESY9_g43349_DN2_SP0_c0.t1
OG0000003	El003G189560	ESY8_g60803_DN3_SP0_c6.t1
OG0000005	El003G166140, El001G039730	ESY7_g17772_DN2_SP0_c0.t1
OG0000005	El002G120600	ESY4_g24391_DN2_SP0_c0.t1, ESY9_g43818_DN1_SP0_c0.t1, ESY5_g1712_DN1_SP0_c0.t1, ESY19_g41266_DN2_SP0_c0.t1
OG0000005	El003G167150, El003G184490, El004G208560	ESY6_g47492_DN1_SP0_c0.t1
OG0000005	El006G313160	ESY16_g61766_DN2_SP0_c0.t1
OG0000005	El002G123530	ESY6_g47366_DN1_SP0_c0.t1
OG0000005	El004G214890, El002G120930, El007G348880	ESY1_g10225_DN1_SP0_c0.t1
OG0000005	El002G122720, El007G349440, El001G070000, El002G135590, El005G263180, El006G313170	ESY6_g47698_DN2_SP0_c100.t1, ESY12_g51083_DN2_SP0_c0.t1
OG0000005	El007G348140	ESY11_g53352_DN1_SP0_c0.t1
OG0000007	El006G311470, El007G349510	ESY7_g16535_DN2_SP0_c0.t1
OG0000007	El007G352010, El006G311480	ESY16_g61843_DN2_SP0_c0.t1, ESY17_g39043_DN1_SP0_c0.t1
OG0000007	El002G108270, El006G310450, El004G211980, El007G348570, El001G053750, El002G123330, El004G208390, El007G348150, El006G310200, El002G114670, El008G369640	ESY19_g41595_DN1_SP0_c0.t1
OG0000007	El006G293980	ESY6_g47093_DN2_SP0_c0.t1
OG0000008	El007G351000, El005G264190, El001G021720, El004G212460, El003G182320, El001G077860, El003G167760, El001G021990, El001G021710, El003G174670	ESY15_g64840_DN3_SP0_c0.t1
OG0000012	El002G120760	ESY8_g61320_DN3_SP0_c0.t1
OG0000013	El006G310100, El007G353330, El004G207030, El006G312640, El003G182060, El001G045710, El006G310400, El007G349810, El007G350800	ESY8_g60272_DN2_SP0_c0.t1
OG0000015	El001G070750, El003G167160	ESY13_g57357_DN1_SP0_c0.t1
OG0000015	El060G376140, El053G375740	ESY18_g63644_DN2_SP0_c0.t1, ESY14_g21118_DN1_SP0_c0.t1, ESY5_g1619_DN2_SP0_c2.t1, ESY4_g23103_DN1_SP0_c0.t1
OG0000015	El001G047930	ESY7_g16245_DN2_SP0_c0.t1
OG0000017	El007G356670	ESY1_g7308_DN3_SP0_c0.t1, ESY18_g63484_DN3_SP0_c0.t1
OG0000017	El004G210020	ESY1_g7621_DN3_SP0_c100.t1, ESY6_g46672_DN3_SP0_c94.t1
