Orthogroup	Arabis_alpina	Camelina_sativa
OG0000002	Aa_G871860.h1.t1, Aa_G879130.h1.t1, Aa_G251820.h1.t1, Aa_G700320.h1.t1	XP_010424742.1
OG0000002	Aa_G179770.h1.t1	XP_010495565.1
OG0000002	Aa_G645190.h1.t1	XP_010495465.1, XP_010513345.1
OG0000003	Aa_G505500.h1.t1	XP_019095265.1, XP_010468638.1, XP_019085542.1, XP_019096508.1, XP_019082748.1
OG0000004	Aa_G305790.h1.t1	XP_010488713.1, XP_019098283.1, XP_019097715.1, XP_010479590.1, XP_019094707.1
OG0000005	Aa_G834150.h1.t1, Aa_G80970.h1.t1, Aa_G4640.h1.t1	XP_010501919.1, XP_010419138.1
OG0000005	Aa_G169510.h1.t1	XP_019089029.1
OG0000007	Aa_G508230.h1.t1	XP_010469447.1
OG0000007	Aa_G596260.h1.t1	XP_019099816.1, XP_010463256.1
OG0000008	Aa_G302250.h1.t1	XP_010431254.1, XP_010507402.1, XP_010507400.1, XP_019101905.1, XP_010431252.2
OG0000011	Aa_G277650.h1.t1	XP_010506471.1, XP_010420141.1, XP_010423040.1, XP_019095544.1, XP_010481212.1, XP_010507282.1, XP_010415695.1
OG0000012	Aa_G57270.h1.t1, Aa_G57260.h1.t1, Aa_G57300.h1.t1, Aa_G57280.h1.t1	XP_010420789.1, XP_010464671.1, XP_010500083.1, XP_010517357.1, XP_010446274.1, XP_010474320.1, XP_010418947.1, XP_010451621.1, XP_010436204.1, XP_010445208.1, XP_010463434.1
OG0000012	Aa_G727670.h1.t1	XP_010456918.1, XP_010489976.1, XP_019087426.1, XP_019097606.1, XP_010507182.1, XP_019094134.1, XP_010473919.1, XP_010462803.1, XP_019100981.1, XP_010513730.1
OG0000014	Aa_G17450.h1.t1	XP_019096531.1, XP_019095899.1, XP_010496850.1, XP_010507594.1
OG0000014	Aa_G227980.h1.t1, Aa_G848940.h1.t1, Aa_G286860.h1.t1, Aa_G162930.h1.t1, Aa_G7690.h1.t1	XP_010495824.1, XP_019100932.1
OG0000015	Aa_G592580.h1.t1, Aa_G411050.h1.t1, Aa_G121380.h1.t1, Aa_G212210.h1.t1	XP_019098184.1, XP_010412474.1
OG0000015	Aa_G962140.h1.t1	XP_010480818.1, XP_010497195.1, XP_010456599.1
OG0000015	Aa_G12580.h1.t1, Aa_G1870.h1.t1, Aa_G564620.h1.t1, Aa_G201940.h1.t1, Aa_G367160.h1.t1, Aa_G253910.h1.t1, Aa_G1010780.h1.t1, Aa_G461040.h1.t1, Aa_G413430.h1.t1, Aa_G252900.h1.t1	XP_010418862.1, XP_019084456.1, XP_019090265.1, XP_010497072.1, XP_010501828.1, XP_010496259.1
OG0000016	Aa_G370.h1.t1	XP_010456869.1
OG0000016	Aa_G830.h1.t1	XP_019087427.1
OG0000016	Aa_G1030250.h1.t1	XP_019094511.1
OG0000016	Aa_G540.h1.t1, Aa_G280.h1.t1	XP_019096116.1, XP_019092317.1, XP_010484717.1
OG0000016	Aa_G590.h1.t1	XP_010463195.1
OG0000020	Aa_G135640.h1.t1	XP_019087487.1, XP_010473965.2, XP_010496135.2, XP_010417447.2, XP_010506998.1, XP_010419513.2, XP_010485084.1, XP_019093393.1, XP_010490144.2, XP_010445327.2, XP_019084343.1, XP_010513440.1, XP_019085424.1, XP_019094593.1, XP_019085440.1, XP_010495727.1, XP_019085626.1, XP_019101996.1, XP_019086627.1
OG0000022	Aa_G447870.h1.t1	XP_010453827.1, XP_019084725.1, XP_010492576.1
OG0000022	Aa_G357190.h1.t1	XP_010419482.1
OG0000022	Aa_G683730.h1.t1	XP_010462675.2
OG0000022	Aa_G10820.h1.t1	XP_010501563.1
OG0000022	Aa_G291980.h1.t1, Aa_G291990.h1.t1, Aa_G291960.h1.t1, Aa_G328340.h1.t1	XP_019091381.1, XP_010476184.1, XP_010476252.1, XP_019094809.1, XP_019098970.1, XP_019090986.1, XP_010458712.1, XP_010462662.1, XP_010493846.1, XP_010494656.1
OG0000022	Aa_G97120.h1.t1	XP_010447152.1, XP_010436064.1, XP_019096254.1, XP_010504570.1, XP_010465692.1
OG0000023	Aa_G50170.h1.t1	XP_010431149.1, XP_019092394.1
OG0000023	Aa_G297380.h1.t1	XP_010451510.1, XP_010424636.1, XP_010417428.1, XP_010489881.1
OG0000024	Aa_G565560.h1.t1, Aa_G381220.h1.t1	XP_019082533.1
OG0000024	Aa_G737030.h1.t1, Aa_G731070.h1.t1	XP_010480784.1, XP_010463034.1, XP_010480482.1, XP_010480750.1, XP_019091876.1, XP_010501690.1, XP_010478534.1, XP_019094488.1, XP_019095769.1, XP_010480790.1, XP_010460917.1, XP_010478547.1, XP_019094487.1, XP_019095766.1, XP_010499647.1, XP_010478535.1, XP_019092749.1, XP_010501501.1, XP_010476927.1, XP_010463023.1, XP_019097335.1, XP_019091875.1, XP_010451757.1
OG0000024	Aa_G565550.h1.t1, Aa_G614530.h1.t1, Aa_G511000.h1.t1, Aa_G14060.h1.t1	XP_010431261.1, XP_010515603.1, XP_010504688.1, XP_010427639.1, XP_010427857.1, XP_010431427.1, XP_010427640.1, XP_010504689.1, XP_010427641.1, XP_019100391.1
OG0000025	Aa_G387540.h1.t1	XP_019100880.1, XP_010430821.1, XP_010495810.1, XP_019086251.1, XP_019096500.1, XP_010430881.1, XP_010451597.1, XP_010480550.1, XP_019085625.1, XP_010472603.1, XP_010513491.1, XP_019085450.1, XP_010507266.1, XP_019099615.1, XP_019094547.1, XP_010420286.1, XP_010425957.1, XP_019087697.1, XP_010484799.1, XP_010436691.1, XP_010490058.1, XP_019083352.1, XP_010445918.1, XP_010438543.1, XP_010496538.1, XP_010424792.1, XP_010468591.1, XP_019095109.1, XP_010423392.1, XP_010495239.1, XP_010495240.1, XP_010507228.1, XP_010474036.1, XP_010424602.1, XP_010496134.1, XP_010490452.1, XP_010474526.1, XP_010424785.1, XP_010474094.1, XP_010419434.1, XP_019084250.1, XP_010445859.1, XP_010501852.1, XP_010445838.1
OG0000027	Aa_G200970.h1.t1	XP_010439188.2, XP_010433919.1, XP_010445177.2, XP_019087868.1, XP_019089322.1, XP_010433921.1, XP_010448734.2, XP_019087877.1, XP_019087876.1
OG0000027	Aa_G92870.h1.t1, Aa_G92760.h1.t1, Aa_G494730.h1.t1	XP_019086460.1
OG0000027	Aa_G522580.h1.t1	XP_010442801.1
OG0000027	Aa_G200950.h1.t1, Aa_G200910.h1.t1	XP_010427119.1, XP_010514748.1, XP_010503063.1
OG0000027	Aa_G191740.h1.t1	XP_019087878.1
OG0000027	Aa_G200830.h1.t1	XP_010451240.1, XP_010445190.1
OG0000028	Aa_G687010.h2.t1, Aa_G687010.h3.t1, Aa_G687010.h1.t1, Aa_G687040.h1.t1, Aa_G604290.h1.t1, Aa_G604300.h1.t1	XP_010450001.1, XP_010436592.1, XP_010440401.1, XP_019087714.1, XP_010436629.2, XP_010451562.1, XP_019089771.1, XP_010446183.1, XP_019095667.1
OG0000028	Aa_G123410.h1.t1, Aa_G71570.h1.t1, Aa_G123400.h1.t1	XP_010446868.1, XP_019090606.1, XP_010452778.1, XP_019084603.1, XP_010444978.1
OG0000028	Aa_G553200.h1.t1	XP_019088142.1, XP_010446182.1, XP_010446112.1, XP_019088072.1, XP_010475515.1, XP_010475493.1, XP_010446106.1, XP_019095829.1, XP_010446107.1, XP_010475504.1, XP_010448142.1, XP_010446108.1
OG0000029	Aa_G248570.h1.t1	XP_019085353.1, XP_019083999.1, XP_019095330.1, XP_019088516.1, XP_019092964.1, XP_019097126.1, XP_010501650.1, XP_010484850.2, XP_019097927.1, XP_019092098.1, XP_019098406.1, XP_019093987.1, XP_010431039.1
OG0000030	Aa_G522160.h1.t1, Aa_G425920.h1.t1, Aa_G89020.h1.t1	XP_019099946.1, XP_019099931.1, XP_010431180.1
OG0000030	Aa_G152820.h1.t1	XP_010419025.2, XP_010489797.1, XP_019096559.1, XP_010468083.1
OG0000034	Aa_G782810.h1.t1, Aa_G619140.h1.t1	XP_010433941.1, XP_010439209.1, XP_010448753.1
OG0000034	Aa_G191730.h1.t1	XP_010439226.1, XP_010439227.1
OG0000034	Aa_G317970.h1.t1	XP_019086474.1
OG0000034	Aa_G58870.h2.t1, Aa_G58870.h1.t1, Aa_G58900.h1.t1, Aa_G58880.h1.t1, Aa_G58910.h1.t1, Aa_G317980.h1.t1	XP_019089519.1, XP_010434185.1
OG0000034	Aa_G58920.h1.t1	XP_019088150.1, XP_019089518.1
OG0000034	Aa_G917140.h1.t1	XP_019087869.1
OG0000034	Aa_G191750.h1.t1, Aa_G92790.h1.t1, Aa_G92810.h1.t1	XP_019099660.1, XP_019101865.1, XP_010426013.1
