Orthogroup	Euclidium_syriacum	Eutrema_salsugineum
OG0000002	ESY9_g43349_DN2_SP0_c0.t1	XP_024004920.1, XP_024009397.1, XP_024013097.1, XP_024013294.1, XP_024016289.1, XP_024016302.1, XP_024016271.1, XP_024010360.1, XP_024015836.1, XP_024006551.1, XP_024016294.1, XP_024010911.1, XP_024010912.1, XP_024010711.1, XP_024016369.1, XP_024014502.1, XP_024010212.1, XP_024006099.1, XP_024014218.1, XP_024011203.1, XP_024007922.1, XP_024009744.1, XP_024013327.1, XP_024015214.1, XP_024010428.1, XP_024014055.1, XP_024004035.1, XP_024010274.1, XP_024009787.1, XP_024014545.1, XP_024015965.1, XP_024015835.1, XP_024011225.1, XP_024014994.1, XP_024013910.1, XP_024004913.1, XP_024011113.1, XP_024016286.1, XP_024005018.1, XP_024014765.1, XP_024010367.1, XP_024011386.1, XP_024010917.1, XP_024013995.1, XP_024016214.1, XP_024013252.1, XP_024015942.1, XP_024016545.1, XP_024016832.1, XP_024007222.1, XP_024013919.1, XP_024016563.1, XP_024011289.1, XP_024013913.1, XP_024004935.1, XP_024014816.1, XP_024009618.1, XP_024004973.1, XP_024004934.1, XP_024011355.1, XP_024010481.1, XP_024015298.1, XP_024013904.1, XP_024016251.1, XP_024012926.1, XP_024015916.1, XP_024010916.1, XP_024004042.1, XP_024016831.1, XP_024010385.1, XP_024004936.1, XP_024014573.1, XP_024009949.1, XP_024007765.1, XP_024004949.1, XP_024014451.1, XP_024004820.1, XP_024009486.1, XP_024014438.1, XP_024006401.1, XP_024015242.1, XP_024007240.1, XP_024013349.1, XP_024004011.1, XP_024016328.1, XP_024011378.1, XP_024009474.1, XP_024005004.1, XP_024016543.1, XP_024006422.1, XP_024013731.1, XP_024014482.1, XP_024013994.1, XP_024016829.1, XP_024004771.1, XP_024007242.1, XP_024009437.1, XP_024016221.1, XP_024016325.1, XP_024006459.1, XP_024010365.1, XP_024006657.1, XP_024004145.1, XP_024013154.1, XP_024004829.1, XP_024009451.1, XP_024013993.1, XP_024016193.1, XP_024013954.1, XP_024016116.1, XP_024013210.1, XP_024015869.1, XP_024011258.1, XP_024010357.1, XP_024015134.1, XP_024014549.1, XP_024010591.1, XP_024010553.1, XP_024009251.1, XP_024010604.1, XP_024014521.1, XP_024006130.1, XP_024009464.1, XP_024009904.1, XP_024010307.1, XP_024013058.1, XP_024015923.1, XP_024011338.1, XP_024007318.1
OG0000003	ESY7_g19226_DN2_SP0_c46.t1	XP_024004423.1
OG0000003	ESY8_g60366_DN2_SP0_c0.t1	XP_024006452.1
OG0000003	ESY9_g43283_DN2_SP0_c0.t1	XP_024010659.1, XP_024010914.1
OG0000003	ESY2_g37194_DN1_SP0_c0.t1	XP_024011300.1
OG0000003	ESY9_g43824_DN1_SP0_c0.t1	XP_024006446.1, XP_024009777.1
OG0000004	ESY3_g27908_DN2_SP0_c72.t1, ESY3_g29030_DN1_SP0_c59.t1, ESY2_g38064_DN2_SP0_c54.t1	XP_024007302.1
OG0000007	ESY9_g43616_DN3_SP0_c12.t1	XP_024006790.1, XP_024009204.1, XP_024014376.1, XP_024006867.1, XP_024007289.1, XP_024011309.1, XP_024006428.1, XP_024007896.1, XP_024005305.1, XP_024004058.1, XP_024010431.1, XP_024004804.1, XP_024006809.1, XP_024010444.1, XP_024014464.1, XP_024016297.1, XP_024010253.1, XP_024009329.1, XP_024006490.1, XP_024007931.1, XP_024016514.1, XP_024014672.1, XP_024011120.1, XP_024008018.1, XP_024006274.1, XP_024010318.1, XP_024006492.1, XP_024006841.1, XP_024016334.1, XP_024014517.1, XP_024013385.1, XP_024016102.1, XP_024008005.1, XP_024014636.1, XP_024004080.1, XP_024013187.1, XP_024010848.1, XP_024014172.1, XP_024004788.1, XP_024015267.1, XP_024013221.1, XP_024016233.1, XP_024004172.1, XP_024013856.1, XP_024015025.1, XP_024013606.1, XP_024006104.1, XP_024007990.1, XP_024004157.1, XP_024010052.1, XP_024008043.1, XP_024004924.1, XP_024004856.1, XP_024004074.1, XP_024014006.1, XP_024012322.1, XP_024012910.1, XP_024010245.1, XP_024016256.1, XP_024013573.1, XP_024016234.1, XP_024007956.1, XP_024014249.1, XP_024011210.1, XP_024004167.1, XP_024004498.1, XP_024016181.1, XP_024013999.1, XP_024004407.1, XP_024006094.1, XP_024004777.1, XP_024013813.1, XP_024012279.1, XP_024010251.1, XP_024008087.1, XP_024007934.1, XP_024013544.1, XP_024008877.1, XP_024004851.1, XP_024009378.1, XP_024009383.1, XP_024015931.1, XP_024004816.1, XP_024014990.1, XP_024008056.1, XP_024008023.1, XP_024013959.1, XP_024008092.1, XP_024004051.1, XP_024016262.1, XP_024004096.1, XP_024006097.1, XP_024011350.1, XP_024004963.1, XP_024013926.1, XP_024004117.1, XP_024013935.1, XP_024016848.1, XP_024013889.1, XP_024007769.1, XP_024013556.1, XP_024014247.1, XP_024016122.1, XP_006397474.2, XP_024004398.1, XP_024011387.1, XP_024013912.1, XP_024004241.1, XP_024005863.1, XP_024004112.1, XP_024007214.1, XP_024006883.1
OG0000008	ESY1_g7826_DN2_SP0_c27.t1	XP_024004796.1, XP_024004794.1, XP_024014490.1
OG0000009	ESY23_g520_DN2_SP0_c0.t1, ESY2_g33779_DN2_SP0_c0.t1, ESY4_g25202_DN1_SP0_c0.t1	XP_024014484.1, XP_024013044.1, XP_024009292.1
