Orthogroup	Aethionema_saxatile	Arabis_alpina
OG0000002	As006G147770	Aa_G450290.h1.t1, Aa_G55520.h1.t1, Aa_G920110.h1.t1, Aa_G177660.h1.t1, Aa_G17980.h1.t1
OG0000002	As004G091160	Aa_G251820.h1.t1, Aa_G700320.h1.t1, Aa_G879130.h1.t1, Aa_G871860.h1.t1
OG0000002	As004G091170	Aa_G940570.h1.t1, Aa_G202640.h1.t1
OG0000006	As010G228090	Aa_G596260.h1.t1, Aa_G188000.h1.t1, Aa_G437570.h1.t1, Aa_G727680.h1.t1, Aa_G70820.h1.t1, Aa_G508230.h1.t1, Aa_G85610.h1.t1
OG0000010	As002G038660, As004G091490, As006G148670, As002G039770	Aa_G192810.h1.t1
OG0000011	As007G165830	Aa_G378160.h1.t1, Aa_G870430.h1.t1
OG0000014	As010G230580	Aa_G482960.h1.t1
OG0000015	As010G225860	Aa_G1870.h1.t1, Aa_G12580.h1.t1, Aa_G564620.h1.t1, Aa_G201940.h1.t1, Aa_G367160.h1.t1, Aa_G253910.h1.t1, Aa_G1010780.h1.t1, Aa_G461040.h1.t1, Aa_G252900.h1.t1, Aa_G11720.h1.t1
OG0000015	As001G010760	Aa_G522550.h1.t1
OG0000015	As011G262470	Aa_G212210.h1.t1
OG0000017	As001G010690	Aa_G813170.h5.t1, Aa_G813170.h4.t1, Aa_G813170.h1.t1, Aa_G813170.h3.t1, Aa_G813170.h2.t1
OG0000019	As009G203070	Aa_G277650.h1.t1
OG0000020	As007G165150, As001G010310, As001G015320	Aa_G907350.h1.t1
OG0000023	As003G061290	Aa_G200970.h1.t1
OG0000023	As004G084560, As004G084580, As004G084570	Aa_G597270.h1.t1
OG0000023	As003G061350	Aa_G200830.h1.t1
OG0000026	As001G006500, As007G166710, As007G165250	Aa_G387540.h1.t1
OG0000027	As003G071460	Aa_G381220.h1.t1, Aa_G565560.h1.t1
OG0000029	As004G091740, As005G109110	Aa_G154360.h1.t1
OG0000030	As011G260570, As011G260600, As010G228030, As011G258250	Aa_G67230.h1.t1
OG0000030	As001G013350	Aa_G347570.h1.t1, Aa_G618610.h1.t1, Aa_G125500.h1.t1
OG0000031	As009G202600	Aa_G447870.h1.t1
OG0000031	As006G134510	Aa_G97120.h1.t1
OG0000033	As003G061230, As003G061200, As003G061190, As003G061240	Aa_G619140.h1.t1, Aa_G782810.h1.t1
OG0000033	As003G059410, As003G059430, As003G059400	Aa_G58920.h1.t1
OG0000033	As003G061210, As003G061160	Aa_G6160.h1.t1, Aa_G474070.h1.t1, Aa_G92800.h1.t1, Aa_G191700.h1.t1, Aa_G191690.h1.t1, Aa_G92840.h1.t1, Aa_G191750.h1.t1, Aa_G92810.h1.t1, Aa_G92790.h1.t1
OG0000036	As008G192160	Aa_G527390.h1.t1
OG0000038	As009G211050, As009G210990, As009G210820	Aa_G525570.h1.t1
OG0000038	As007G157540	Aa_G678930.h2.t1, Aa_G678930.h1.t1, Aa_G180860.h1.t1, Aa_G572080.h1.t1, Aa_G136980.h1.t1, Aa_G73290.h1.t1
OG0000048	As006G137090, As006G137040, As006G137120, As006G137000	Aa_G339740.h1.t1
OG0000048	As006G137100, As006G137070, As006G137030	Aa_G339720.h1.t1
OG0000048	As006G136970	Aa_G438190.h1.t1, Aa_G339690.h1.t1, Aa_G339750.h1.t1, Aa_G759390.h1.t1
OG0000048	As001G017720, As001G017740, As001G017730, As001G017710	Aa_G85810.h1.t1, Aa_G253710.h1.t1, Aa_G253680.h1.t1, Aa_G253690.h1.t1, Aa_G253640.h1.t1, Aa_G253730.h1.t1
OG0000054	As007G163390, As001G010300	Aa_G319750.h1.t1, Aa_G362310.h1.t1
OG0000054	As007G163400	Aa_G158060.h1.t1
OG0000055	As001G022060	Aa_G162440.h1.t1
OG0000056	As007G178620	Aa_G652160.h1.t1, Aa_G44560.h1.t1
OG0000060	As009G209930, As010G227950, As004G090090, As010G230600, As010G228570, As005G110370, As003G065870, As001G010980	Aa_G746520.h1.t1
OG0000063	As006G129610	Aa_G257700.h5.t1
OG0000063	As010G224630	Aa_G375890.h5.t1
OG0000063	As006G129470	Aa_G318860.h3.t1
OG0000063	As006G129480, As005G114650	Aa_G550780.h4.t1
OG0000063	As010G224620	Aa_G448310.h5.t1
OG0000063	As005G114950	Aa_G375890.h6.t1
OG0000063	As012G277450	Aa_G448310.h7.t1
OG0000066	As002G052230	Aa_G503390.h2.t1, Aa_G64790.h4.t1, Aa_G503380.h1.t1, Aa_G64790.h1.t1, Aa_G503380.h3.t1, Aa_G64790.h3.t1, Aa_G64790.h2.t1, Aa_G503390.h3.t1, Aa_G432280.h2.t1, Aa_G432280.h4.t1, Aa_G432280.h1.t1, Aa_G503380.h2.t1, Aa_G432280.h3.t1, Aa_G503390.h1.t1, Aa_G503380.h4.t1, Aa_G503390.h4.t1, Aa_G155110.h1.t1, Aa_G586620.h1.t1, Aa_G266510.h1.t1, Aa_G486090.h1.t1
OG0000066	As005G118450	Aa_G159190.h1.t1, Aa_G37430.h1.t1, Aa_G19080.h1.t1, Aa_G159180.h1.t1, Aa_G19080.h5.t1, Aa_G37430.h4.t1, Aa_G37410.h2.t1, Aa_G159190.h2.t1, Aa_G37430.h3.t1, Aa_G37430.h2.t1, Aa_G159190.h5.t1, Aa_G37410.h3.t1, Aa_G37410.h4.t1, Aa_G159190.h3.t1, Aa_G19080.h3.t1, Aa_G159180.h3.t1, Aa_G159190.h4.t1, Aa_G159180.h4.t1, Aa_G159180.h2.t1, Aa_G19080.h2.t1, Aa_G159180.h5.t1, Aa_G37430.h5.t1, Aa_G19080.h4.t1, Aa_G37410.h1.t1, Aa_G37410.h5.t1
OG0000067	As011G256020	Aa_G484910.h1.t1, Aa_G72500.h1.t1
OG0000070	As010G229730	Aa_G280.h1.t1, Aa_G540.h1.t1
OG0000073	As006G137430	Aa_G208030.h1.t1, Aa_G197680.h1.t1, Aa_G173300.h1.t1, Aa_G173310.h1.t1, Aa_G620000.h1.t1, Aa_G639660.h1.t1, Aa_G295890.h1.t1, Aa_G685510.h1.t1, Aa_G295940.h1.t1, Aa_G645470.h1.t1, Aa_G295880.h1.t1, Aa_G369060.h1.t1, Aa_G295950.h1.t1, Aa_G628620.h1.t1, Aa_G902620.h1.t1, Aa_G685490.h1.t1, Aa_G685500.h1.t1, Aa_G565790.h1.t1, Aa_G173340.h1.t1, Aa_G565810.h1.t1, Aa_G715510.h1.t1, Aa_G295910.h1.t1, Aa_G565780.h1.t1, Aa_G628640.h1.t1, Aa_G628630.h1.t1
OG0000073	As002G034500, As002G034570, As002G034640	Aa_G33030.h1.t1
OG0000079	As012G285110	Aa_G111800.h1.t1, Aa_G111810.h1.t1, Aa_G46620.h1.t1, Aa_G111790.h1.t1, Aa_G175740.h1.t1, Aa_G175730.h1.t1, Aa_G449530.h1.t1, Aa_G175720.h1.t1, Aa_G111830.h1.t1, Aa_G284870.h1.t1, Aa_G175680.h1.t1, Aa_G262340.h1.t1, Aa_G517120.h1.t1, Aa_G175640.h1.t1, Aa_G262350.h1.t1, Aa_G175840.h1.t1, Aa_G175830.h1.t1, Aa_G175820.h1.t1, Aa_G175780.h1.t1, Aa_G111820.h1.t1, Aa_G391440.h1.t1, Aa_G724740.h1.t1, Aa_G175750.h1.t1, Aa_G175760.h1.t1
OG0000082	As009G206420, As012G278670, As011G260840	Aa_G566090.h1.t1
OG0000083	As006G138550	Aa_G595900.h1.t1, Aa_G319560.h1.t1, Aa_G319590.h1.t1, Aa_G319580.h1.t1, Aa_G245790.h1.t1, Aa_G319570.h1.t1, Aa_G245780.h1.t1, Aa_G729280.h1.t1, Aa_G704230.h1.t1, Aa_G74650.h1.t1, Aa_G21020.h1.t1
OG0000087	As010G222260	Aa_G630880.h1.t1
OG0000087	As006G128780	Aa_G199760.h1.t1
OG0000087	As010G224130	Aa_G409550.h1.t1, Aa_G88860.h1.t1
OG0000087	As002G051000	Aa_G256660.h1.t1
OG0000087	As012G274980	Aa_G562810.h1.t1
OG0000087	As004G086530	Aa_G103150.h1.t1
OG0000087	As003G058850	Aa_G580380.h1.t1
OG0000087	As010G237710	Aa_G656110.h1.t1
OG0000088	As010G225400, As010G225450, As010G225490, As010G225520, As010G223920	Aa_G363940.h1.t1, Aa_G89030.h1.t1, Aa_G425930.h1.t1
OG0000088	As010G223910	Aa_G89050.h1.t1
OG0000089	As002G053510	Aa_G152880.h1.t1
OG0000089	As006G146590, As012G277570	Aa_G367680.h1.t1
OG0000089	As010G224530, As005G115200	Aa_G99370.h1.t1, Aa_G27970.h1.t1
OG0000090	As003G065330	Aa_G410840.h1.t1
OG0000090	As012G273080	Aa_G349440.h1.t1, Aa_G349450.h1.t1, Aa_G614230.h1.t1, Aa_G171940.h1.t1, Aa_G171950.h1.t1, Aa_G349430.h1.t1, Aa_G171960.h1.t1, Aa_G171980.h1.t1, Aa_G171970.h1.t1
OG0000093	As012G284680, As012G284700, As012G284660	Aa_G526230.h1.t1, Aa_G526200.h1.t1, Aa_G526220.h1.t1, Aa_G835690.h1.t1, Aa_G367660.h1.t1, Aa_G526180.h1.t1
OG0000096	As004G087370, As004G087300, As004G087270	Aa_G122040.h1.t1
OG0000096	As004G087380, As004G087360	Aa_G362960.h1.t1
OG0000097	As004G086430, As004G086420, As004G086450, As004G086440	Aa_G42050.h1.t1
OG0000098	As008G184800, As008G185150, As008G185550, As008G185540, As008G184910, As008G186330	Aa_G193750.h1.t1, Aa_G193730.h1.t1, Aa_G124650.h1.t1, Aa_G366140.h1.t1, Aa_G193720.h1.t1, Aa_G521440.h1.t1
OG0000102	As010G228120	Aa_G998790.h1.t1
OG0000106	As002G041170, As002G041390, As002G041440	Aa_G32180.h1.t1
OG0000107	As011G252340	Aa_G323970.h1.t1, Aa_G641990.h1.t1, Aa_G247880.h1.t1, Aa_G323960.h1.t1
OG0000108	As007G178740, As007G178690, As007G178710, As007G178650, As007G179450, As007G178680, As007G178630, As007G178700, As007G178760, As007G178720, As006G126350	Aa_G539300.h1.t1, Aa_G70590.h1.t1, Aa_G539290.h1.t1
OG0000111	As002G048150	Aa_G482020.h1.t1, Aa_G601860.h1.t1, Aa_G116920.h1.t1
OG0000114	As006G137050, As006G137080	Aa_G270450.h1.t1, Aa_G186190.h1.t1, Aa_G360810.h1.t1, Aa_G332260.h1.t1, Aa_G753220.h1.t1, Aa_G84490.h1.t1, Aa_G17720.h1.t1, Aa_G563350.h1.t1, Aa_G578400.h1.t1, Aa_G69050.h1.t1, Aa_G339770.h1.t1, Aa_G339800.h1.t1, Aa_G339780.h1.t1, Aa_G217290.h1.t1, Aa_G146330.h1.t1, Aa_G146320.h1.t1
OG0000117	As002G041560	Aa_G896890.h1.t1
OG0000122	As002G036520	Aa_G592750.h1.t1
OG0000123	As008G183790, As008G183770, As008G183760, As008G183730, As008G183740, As008G183750, As008G183720	Aa_G184310.h1.t1, Aa_G43430.h1.t1, Aa_G420330.h1.t1, Aa_G457510.h1.t1
OG0000125	As012G277440	Aa_G311330.h1.t1
OG0000125	As005G107620	Aa_G506920.h1.t1, Aa_G403520.h1.t1
OG0000125	As005G113770	Aa_G552180.h1.t1
OG0000125	As005G114700, As010G224880	Aa_G33880.h1.t1
OG0000125	As006G129500	Aa_G69270.h1.t1
OG0000127	As008G186440	Aa_G232630.h1.t1
OG0000130	As012G279550, As005G110830, As010G226930, As002G040800, As008G191120	Aa_G717270.h1.t1, Aa_G429650.h1.t1, Aa_G429650.h2.t1, Aa_G726870.h1.t1, Aa_G439950.h1.t1, Aa_G741540.h1.t1
OG0000136	As001G028730	Aa_G703520.h1.t1
OG0000138	As001G027950, As001G027940, As007G161530	Aa_G783970.h1.t1, Aa_G283280.h1.t1, Aa_G376680.h1.t1, Aa_G638390.h1.t1, Aa_G638390.h2.t1, Aa_G638390.h3.t1, Aa_G110250.h1.t1, Aa_G182200.h1.t1, Aa_G691670.h1.t1, Aa_G298280.h1.t1, Aa_G514480.h1.t1, Aa_G105030.h1.t1, Aa_G531570.h1.t1
OG0000139	As001G010560, As008G191170	Aa_G803880.h1.t1
OG0000140	As005G115230	Aa_G297060.h1.t1
OG0000140	As005G115280, As005G115270, As005G115260, As005G115240, As008G190370	Aa_G701760.h1.t1, Aa_G848610.h1.t1, Aa_G650690.h2.t1, Aa_G650690.h1.t1
OG0000145	As004G091580, As004G089820, As003G069750	Aa_G11550.h1.t1
OG0000146	As002G047180	Aa_G643480.h1.t1
