Aethionema_saxatile	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
As001G000020	315	AT4G28100.1	AT4G28100.1	orthologue	GO:0005886;GO:0003674;GO:0016020;GO:0098552	Uncharacterized GPI-anchored protein At4g28100
As001G000030	389	AT4G28140.1	AT4G28140.1	orthologue	GO:0000976;GO:0009408;GO:0006355;GO:0003700;GO:0005634;GO:0009873;GO:0003677	Ethylene-responsive transcription factor ERF054 (Transcription factor QRAP2)
As001G000050	377	ATMG00810.1	ATMG00810.1	other	GO:0008150;GO:0003674;GO:0005575;GO:0005739	Uncharacterized mitochondrial protein AtMg00810 (ORF240b)
As001G000060	68					
As001G000070	237	AT4G28190.2	AT4G28190.2	orthologue	GO:0005829;GO:0009910;GO:0005515;GO:0009909;GO:0010582;GO:0010080;GO:0005634;GO:1901000;GO:0010081;GO:0010022;GO:0040029;GO:0003677;GO:0005737;GO:0008270	Developmental regulator, ULTRAPETALA;Protein ULTRAPETALA 1
As001G000080	93	AT4G23160.2	AT4G23160.2	other	GO:0042742;GO:0004674;GO:0004672;GO:0009626;GO:0016301;GO:0005886;GO:0007165;GO:0005524;GO:0106310;GO:0016020	Cysteine-rich RECEPTOR-like kinase;Cysteine-rich receptor-like protein kinase 8 (Cysteine-rich RLK8) (EC 2.7.11.-)
As001G000090	350	AT4G28210.1	AT4G28210.1	orthologue	GO:0009507;GO:0009409;GO:0009793;GO:0005886;GO:0003674	At4g28210 (Embryo defective 1923)
As001G000110	570	AT4G28220.1	AT4G28220.1	orthologue	GO:0005509;GO:0099617;GO:0005758;GO:0006116;GO:0003959;GO:0070995;GO:0005777;GO:0005739;GO:0003954;GO:0016491;GO:0031314;GO:0050136;GO:0005743	External alternative NAD(P)H-ubiquinone oxidoreductase B1, mitochondrial (EC 1.6.5.9) (External alternative NADH dehydrogenase NDB1) (NADH:ubiquinone reductase (non-electrogenic) NDB1);NAD(P)H dehydrogenase B1
As001G000120	411	AT4G28230.1	AT4G28230.1	orthologue	GO:0003674;GO:0005634	At4g28230
As001G000130	82	AT4G28240.1	AT4G28240.1	orthologue	GO:0005634;GO:0003674;GO:0005886	AT4g28240/F26K10_120 (Putative wound-induced protein) (Wound-responsive family protein)
