Orthogroup	Conringia_planisiliqua	Brassica_rapa
OG0000000	CP24_g46939_DN1_SP0_c.t1	XP_009139680.2, XP_009119930.2, XP_009128546.1
OG0000000	CP18_g11997_DN3_SP0_c.t1	XP_009123079.1
OG0000000	CP1_g39688_DN1_SP0_c.t1, CP7_g45495_DN1_SP0_c.t1, CP22_g17660_DN2_SP0_c.t1	XP_033138771.1
OG0000000	CP18_g12259_DN2_SP0_c.t1	XP_033134315.1
OG0000000	CP18_g12261_DN2_SP0_c.t1, CP18_g11996_DN1_SP0_c.t1, CP5_g2400_DN1_SP0_c.t1	XP_033146952.1
OG0000000	CP5_g2387_DN3_SP0_c.t1, CP7_g44192_DN2_SP0_c.t1	XP_033143372.1
OG0000000	CP2_g50561_DN2_SP0_c.t1	XP_009108636.2
OG0000000	CP3_g14989_DN1_SP0_c.t1	XP_033132438.1
OG0000000	CP5_g2386_DN1_SP0_c.t1	XP_033131903.1
OG0000000	CP1_g40811_DN1_SP0_c.t1	XP_009103419.1
OG0000000	CP9_g28197_DN3_SP0_c.t1	XP_033129351.1
OG0000000	CP1_g40809_DN2_SP0_c.t1	XP_009117187.1
OG0000000	CP12_g30577_DN2_SP0_c.t1, CP6_g9323_DN3_SP0_c.t1	XP_009129274.1
OG0000000	CP2_g49699_DN2_SP0_c.t1	XP_009124577.2
OG0000002	CP3_g16174_DN2_SP0_c.t1	XP_033138748.1
OG0000003	CP2_g50573_DN1_SP0_c.t1, CP36_g50971_DN3_SP0_c.t1, CP5_g3096_DN1_SP0_c.t1	XP_033145314.1, XP_009145336.1
OG0000003	CP10_g44057_DN2_SP0_c.t1, CP12_g31265_DN3_SP0_c.t1, CP15_g36147_DN2_SP0_c.t1	XP_009123480.1
OG0000003	CP5_g1517_DN2_SP0_c.t1	XP_018510870.2
OG0000003	CP15_g36037_DN2_SP0_c.t1	XP_033131784.1
OG0000003	CP26_g51160_DN1_SP0_c.t1, CP13_g20625_DN2_SP0_c.t1, CP3_g15709_DN2_SP0_c.t1, CP14_g22797_DN2_SP0_c.t1, CP3_g14977_DN3_SP0_c.t1, CP21_g10913_DN3_SP0_c.t1, CP15_g34654_DN1_SP0_c.t1, CP15_g34596_DN2_SP0_c.t1	XP_033129527.1
OG0000003	CP26_g51312_DN2_SP0_c.t1, CP50_g6564_DN3_SP0_c.t1	XP_009136045.1
OG0000003	CP15_g34739_DN2_SP0_c.t1, CP15_g34597_DN1_SP0_c.t1, CP15_g34655_DN1_SP0_c.t1, CP3_g14978_DN3_SP0_c.t1, CP3_g15708_DN2_SP0_c.t1	XP_033129372.1
OG0000003	CP14_g22798_DN1_SP0_c.t1	XP_033138751.1
OG0000003	CP13_g20572_DN1_SP0_c.t1	XP_009102097.1, XP_033129330.1
OG0000003	CP4_g26010_DN1_SP0_c.t1, CP6_g7989_DN2_SP0_c.t1	XP_033136094.1
OG0000003	CP8_g52216_DN3_SP0_c.t1, CP15_g35250_DN2_SP0_c.t1	XP_033146211.1, XP_033142170.1, XP_033143214.1
OG0000004	CP1_g39844_DN3_SP0_c.t1	XP_033138950.1, XP_033130324.1
OG0000005	CP12_g30974_DN2_SP0_c.t1	XP_033148793.1
OG0000007	CP8_g52162_DN2_SP0_c.t1	XP_033140542.1, XP_033128538.1
OG0000008	CP15_g34920_DN2_SP0_c.t1	XP_033147955.1
OG0000008	CP14_g23480_DN3_SP0_c.t1	XP_033145226.1
OG0000009	CP9_g27891_DN2_SP0_c.t1	XP_009117682.2
OG0000009	CP15_g34443_DN2_SP0_c.t1	XP_009107743.1
OG0000009	CP4_g26834_DN1_SP0_c.t1, CP5_g3355_DN3_SP0_c.t1	XP_033139816.1
OG0000009	CP12_g31672_DN2_SP0_c.t1	XP_009117702.1, XP_009147334.1, XP_009135550.2, XP_033134013.1, XP_009113005.2, XP_033131870.1, XP_009102722.2, XP_009129720.1, XP_009124848.1, XP_009140864.1, XP_009139318.2, XP_018509100.1, XP_009146774.1
OG0000011	CP18_g11548_DN1_SP0_c.t1	XP_033140208.1, XP_033129445.1, XP_033136844.1, XP_033130854.1, XP_033144009.1, XP_033128807.1
OG0000011	CP2_g50477_DN1_SP0_c.t1, CP26_g51198_DN2_SP0_c.t1, CP6_g8727_DN1_SP0_c.t1, CP12_g31720_DN3_SP0_c.t1, CP3_g16438_DN3_SP0_c.t1, CP18_g11618_DN2_SP0_c.t1	XP_018511928.1
OG0000011	CP47_g21270_DN3_SP0_c.t1	XP_033144010.1
OG0000011	CP20_g3893_DN1_SP0_c.t1, CP1_g39554_DN1_SP0_c.t1, CP3_g16756_DN2_SP0_c.t1, CP3_g16698_DN2_SP0_c.t1	XP_009119519.1
OG0000011	CP17_g5859_DN2_SP0_c.t1	XP_033143848.1, XP_033134783.1, XP_033132530.1
