Orthogroup	Arabidopsis_lyrata_Rawat	Brassica_oleracea
OG0000000	AL1G56600	XP_013615253.1
OG0000000	AL7G44730	XP_013631219.1
OG0000000	AL3G23500, AL3G28120, AL7G39870	XP_013639798.1
OG0000000	AL3G39580, AL2G19540	XP_013589426.1, XP_013608138.1, XP_013601226.1
OG0000000	AL2G12570, AL4G43860	XP_013624139.1
OG0000000	AL5G23220, AL8G18100, AL4G24130, AL1G50800, AL2G17910, AL8G39270	XP_013639528.1, XP_013623967.1, XP_013595003.1, XP_013608296.1, XP_013617205.1, XP_013594406.1, XP_013601638.1, XP_013594455.1, XP_013607556.1, XP_013624151.1, XP_013628112.1, XP_013632833.1, XP_013594838.1, XP_013624723.1, XP_013617764.1
OG0000000	AL6G33910, AL4G36510	XP_013624532.1, XP_013624835.1, XP_013589327.1, XP_013633450.1
OG0000000	AL8G17890	XP_013624623.1
OG0000000	AL6G49130	XP_013601459.1, XP_013624458.1, XP_013633199.1
OG0000000	AL7G52320, AL7G41970, AL7G39420, AL9U11110, AL5G16040, AL6G34180	XP_013617747.1, XP_013625011.1, XP_013583433.1, XP_013601125.1, XP_013608309.1, XP_013617255.1, XP_013624915.1, XP_013595166.1
OG0000000	AL7G47010	XP_013601024.1, XP_013601437.1
OG0000000	AL6G44150, AL5G22440	XP_013632885.1, XP_013624410.1
OG0000000	AL8G17990, AL4G17570	XP_013632878.1
OG0000000	AL7G35400	XP_013633487.1, XP_013633135.1, XP_013639278.1
OG0000002	AL8G20200	XP_013594451.1, XP_013608132.1, XP_013617459.1, XP_013624531.1
OG0000003	AL7G30150, AL5G20380, AL488U10010, AL4G29570	XP_013589605.1, XP_013624294.1
OG0000003	AL1G64130, AL5G19200, AL5G16490	XP_013589325.1
OG0000003	AL1G46060, AL4G47110, AL6G10850	XP_013589254.1
OG0000003	AL8G41490, AL4G39950, AL363U10020	XP_013614571.1, XP_013624212.1
OG0000003	AL7G48880	XP_013601688.1
OG0000003	AL433U10010	XP_013639726.1
OG0000003	AL4G19540	XP_013600128.1, XP_013633271.1, XP_013595102.1, XP_013589262.1
OG0000003	AL6G19270	XP_013639646.1, XP_013608327.1, XP_013608171.1, XP_013617581.1
OG0000003	AL3G36170	XP_013639347.1
OG0000003	AL3G44960	XP_013601566.1, XP_013639497.1
OG0000003	AL4G18440	XP_013632720.1, XP_013639355.1, XP_013588945.1, XP_013632709.1, XP_013583280.1, XP_013601339.1
OG0000003	AL3G46190	XP_013595094.1, XP_013633631.1, XP_013601807.1, XP_013589218.1, XP_013633247.1, XP_013601581.1, XP_013594653.1, XP_013617757.1, XP_013594768.1, XP_013615239.1, XP_013601482.1, XP_013633133.1, XP_013613644.1
OG0000003	AL8G18370	XP_013617846.1, XP_013632539.1
OG0000003	AL96U10010	XP_013639486.1, XP_013624949.1, XP_013624679.1, XP_013608037.1, XP_013617230.1, XP_013601547.1
OG0000003	AL1G46090	XP_013624393.1, XP_013589306.1
OG0000003	AL7G34100	XP_013624580.1
OG0000003	AL3G40240, AL2G10360	XP_013607533.1
OG0000004	AL1G59120	XP_013624852.1, XP_013624387.1, XP_013633000.1
OG0000004	AL2G22640	XP_013590901.1, XP_013608188.1
OG0000004	AL7G43300	XP_013588715.1, XP_013608377.1, XP_013620525.1, XP_013639090.1, XP_013617768.1, XP_013634238.1, XP_013594179.1, XP_013594371.1, XP_013595201.1, XP_013602945.1, XP_013601532.1, XP_013623778.1, XP_013607655.1
OG0000004	AL4G11460	XP_013601368.1
OG0000004	AL6G45170	XP_013608060.1, XP_013632935.1, XP_013632641.1, XP_013624469.1, XP_013614693.1
OG0000004	AL1G65200	XP_013601294.1
OG0000005	AL4G12740	XP_013614810.1, XP_013624578.1
OG0000005	AL8G18430	XP_013624326.1
OG0000005	AL63U10040	XP_013601863.1
OG0000005	AL7G13490	XP_013639428.1, XP_013607867.1, XP_013615207.1, XP_013632538.1, XP_013624806.1, XP_013589160.1, XP_013589558.1, XP_013615216.1
OG0000005	AL97U10030, AL8G11290	XP_013633002.1, XP_013624018.1, XP_013624595.1, XP_013624390.1, XP_013601099.1, XP_013624698.1, XP_013601267.1, XP_013624493.1, XP_013607686.1, XP_013589115.1, XP_013632587.1, XP_013617697.1, XP_013617299.1, XP_013624966.1, XP_013601292.1, XP_013615213.1, XP_013627530.1, XP_013589557.1, XP_013632989.1, XP_013594796.1, XP_013624327.1
OG0000005	AL2G18790	XP_013616730.1
OG0000005	AL1G65770	XP_013589090.1
OG0000007	AL1G53130	XP_013634604.1, XP_013617289.1
OG0000007	AL4G24120	XP_013610211.1
OG0000007	AL8G18310, AL1G37680, AL3G20440	XP_013601610.1, XP_013595036.1
OG0000007	AL2G22610	XP_013632862.1
OG0000007	AL5G31160	XP_013595054.1, XP_013617368.1, XP_013589618.1
OG0000007	AL5G15300	XP_013632912.1, XP_013594580.1, XP_013607658.1
OG0000008	AL8G22780	XP_013639786.1
OG0000008	AL2G17460, AL6G27010, AL5G18950, AL7G45220	XP_013608259.1, XP_013584735.1, XP_013639639.1
OG0000008	AL877U10020, AL6G44830	XP_013624621.1, XP_013639785.1
OG0000008	AL5G32180, AL5G32140, AL5G32150	XP_013601615.1
OG0000009	AL1G49730	XP_013608210.1
OG0000009	AL6G36520	XP_013635062.1, XP_013639201.1, XP_013608026.1
OG0000009	AL2G12600	XP_013633205.1
OG0000009	AL3G38620, AL3G49760, AL4G40870, AL5G22670, AL1G55360	XP_013594815.1
OG0000009	AL8G14160	XP_013624783.1, XP_013639114.1, XP_013588892.1, XP_013595202.1, XP_013617786.1, XP_013613616.1
OG0000009	AL7G37950	XP_013614431.1
OG0000009	AL4G34770	XP_013608016.1
OG0000009	AL2G39630	XP_013633284.1, XP_013589640.1, XP_013617979.1, XP_013608540.1, XP_013595158.1, XP_013589654.1, XP_013601782.1, XP_013588992.1, XP_013633488.1
OG0000009	AL4G46120, AL8G23160	XP_013639216.1, XP_013589238.1, XP_013589005.1, XP_013608331.1, XP_013589604.1, XP_013595149.1, XP_013639361.1, XP_013601764.1
OG0000009	AL1G62100	XP_013616754.1, XP_013615524.1
OG0000011	AL6G32670	XP_013617429.1
