Orthogroup	Aethionema_saxatile	Raphanus_sativus
OG0000000	As006G148660, As007G164610, As002G036700, As010G230770	XP_018459207.1, XP_018459208.1
OG0000000	As002G040030	XP_018465985.1, XP_018462320.1
OG0000000	As001G006630, As006G147610	XP_018459921.1
OG0000003	As008G191470	XP_018448581.1, XP_018459978.1, XP_018463503.1, XP_018460948.1, XP_018465356.1, XP_018467176.1, XP_018462233.1, XP_018487755.1, XP_018460462.1, XP_018463058.1
OG0000003	As010G230320	XP_018461854.1
OG0000003	As007G166450, As007G166410, As003G066730, As003G066690, As007G166480	XP_018463188.1, XP_018462737.1
OG0000003	As012G279590	XP_018462024.1, XP_018463630.1, XP_018463010.1
OG0000004	As007G177100	XP_018462059.1, XP_018453573.1
OG0000004	As009G212350	XP_018454128.1, XP_018466708.1
OG0000006	As010G228090	XP_018468724.1, XP_018465863.1, XP_018448282.1, XP_018438060.1, XP_018455359.1, XP_018459674.1, XP_018463970.1, XP_018453972.1, XP_018483196.1, XP_018458777.1, XP_018443248.1, XP_018480139.1, XP_018443641.1, XP_018460028.1, XP_018462285.1, XP_018479784.1, XP_018459734.1, XP_018436126.1, XP_018487899.1, XP_018487674.1, XP_018478058.1, XP_018478071.1, XP_018487797.1, XP_018473323.1, XP_018436427.1, XP_018487572.1, XP_018461127.1, XP_018465497.1, XP_018474045.1, XP_018488171.1, XP_018461527.1, XP_018443685.1, XP_018474163.1, XP_018453152.1, XP_018452687.1, XP_018436278.1, XP_018462108.1, XP_018479202.1, XP_018436374.1, XP_018487746.1, XP_018466154.1, XP_018479922.1, XP_018485455.1, XP_018471975.1, XP_018466130.1, XP_018467308.1, XP_018464921.1, XP_018479810.1, XP_018479657.1, XP_018462223.1, XP_018455976.1, XP_018466179.1, XP_018487693.1, XP_018473766.1, XP_018454081.1, XP_018453629.1, XP_018477728.1, XP_018459130.1, XP_018443492.1, XP_018437596.1, XP_018474159.1, XP_018439630.1, XP_018487830.1, XP_018489312.1, XP_018479768.1, XP_018460608.1, XP_018479975.1, XP_018437591.1, XP_018450753.1, XP_018448724.1, XP_018448723.1
OG0000008	As009G213820	XP_018462957.1
OG0000008	As006G149000	XP_018487720.1
OG0000008	As001G006420	XP_018487412.1
OG0000010	As012G279130	XP_018467318.1
