Orthogroup	Raphanus_sativus	Erysimum_linariifolium
OG0000000	XP_018462257.1, XP_018435900.1	El004G225890
OG0000000	XP_018456393.1	El005G264600
OG0000000	XP_018462401.1, XP_018463541.1, XP_018459749.1	El005G264610
OG0000000	XP_018459921.1	El004G210980, El005G262990, El005G263050, El005G264050, El003G177780
OG0000002	XP_018436084.1	El004G212920
OG0000003	XP_018460938.1	El004G210360
OG0000003	XP_018435851.1, XP_018435852.1	El007G351530
OG0000003	XP_018463109.1	El006G306960
OG0000003	XP_018461854.1	El003G181070
OG0000004	XP_018462059.1, XP_018453573.1	El002G127280
OG0000004	XP_018454128.1, XP_018466708.1	El001G079820
OG0000004	XP_018435931.1	El001G052930, El004G230860, El003G157040, El005G268240
OG0000004	XP_018473616.1, XP_018461587.1, XP_018479550.1, XP_018435819.1, XP_018479791.1	El005G268230
OG0000004	XP_018463796.1, XP_018473896.1, XP_018448677.1	El006G301060
OG0000005	XP_018479454.1	El001G038630
OG0000005	XP_018479571.1, XP_018488331.1	El003G166140, El001G039730
OG0000005	XP_018435561.1, XP_018479324.1	El001G081400
OG0000005	XP_018474243.1, XP_018458174.1, XP_018436426.1, XP_018436425.1, XP_018463676.1, XP_018474023.1, XP_018479849.1	El002G096830
OG0000005	XP_018458816.1	El003G167150
OG0000005	XP_018473658.1	El002G120930, El007G348880
OG0000005	XP_018479530.1, XP_018462391.1	El002G122720
OG0000006	XP_018465863.1, XP_018448282.1, XP_018438060.1, XP_018455359.1, XP_018459674.1, XP_018463970.1, XP_018453972.1, XP_018483196.1	El006G316810
OG0000006	XP_018454081.1, XP_018453629.1	El001G046690
OG0000006	XP_018477728.1, XP_018459130.1, XP_018443492.1, XP_018437596.1, XP_018474159.1, XP_018439630.1, XP_018487830.1, XP_018489312.1, XP_018479768.1, XP_018460608.1, XP_018479975.1, XP_018437591.1, XP_018450753.1	El007G324910, El001G079730
OG0000007	XP_018435927.1, XP_018463775.1, XP_018479789.1	El007G348570
OG0000007	XP_018463622.1, XP_018435702.1, XP_018448498.1, XP_018435739.1, XP_018435737.1, XP_018443673.1, XP_018475855.1, XP_018453689.1, XP_018479455.1	El001G053750, El002G123330, El004G208390, El007G348150
OG0000007	XP_018459162.1	El002G114670
OG0000007	XP_018459875.1, XP_018472282.1, XP_018460558.1, XP_018463849.1, XP_018453704.1, XP_018479420.1, XP_018462177.1, XP_018478413.1, XP_018479618.1, XP_018487613.1, XP_018478228.1, XP_018479119.1, XP_018487413.1, XP_018487416.1, XP_018435875.1	El008G369640
OG0000007	XP_018463500.1, XP_018465308.1	El006G293980
OG0000008	XP_018488004.1, XP_018453879.1	El004G212460
OG0000008	XP_018462648.1, XP_018454207.1, XP_018448605.1	El003G182320
OG0000008	XP_018476077.1	El003G167760
OG0000008	XP_018438736.1	El003G174670
OG0000010	XP_018458906.1	El007G350710
OG0000011	XP_018479316.1, XP_018481586.1, XP_018466155.1	El002G121150
OG0000011	XP_018463968.1, XP_018477654.1, XP_018458558.1	El002G082610
OG0000012	XP_018480111.1	El002G120760
OG0000012	XP_018458669.1	El006G310180, El001G048000
OG0000012	XP_018458672.1	El003G154210, El007G344400, El007G350120
OG0000012	XP_018448717.1	El002G129160
OG0000013	XP_018473864.1, XP_018476696.1	El001G045710
OG0000013	XP_018467319.1, XP_018453656.1, XP_018458136.1, XP_018458135.1, XP_018458664.1, XP_018459125.1, XP_018453657.1, XP_018458096.1, XP_018476282.1, XP_018459495.1, XP_018476229.1, XP_018464964.1, XP_018476861.1, XP_018464106.1, XP_018436081.1	El007G350800
OG0000014	XP_018473881.1	El005G242270
OG0000015	XP_018467773.1	El060G376140, El053G375740
OG0000015	XP_018459146.1	El001G079510
OG0000017	XP_018459067.1, XP_018471648.1, XP_018460984.1, XP_018460983.1, XP_018435883.1, XP_018487868.1, XP_018466125.1, XP_018463332.1, XP_018467394.1, XP_018461261.1, XP_018458674.1, XP_018479532.1, XP_018473772.1, XP_018461992.1, XP_018476168.1, XP_018435266.1, XP_018436016.1	El007G336340
OG0000018	XP_018437387.1, XP_018473966.1, XP_018435614.1, XP_018469340.1, XP_018470860.1, XP_018462293.1, XP_018435368.1, XP_018462063.1, XP_018454009.1, XP_018443708.1, XP_018463883.1, XP_018462647.1, XP_018435392.1, XP_018479103.1, XP_018463665.1, XP_018463095.1, XP_018479594.1, XP_018486634.1, XP_018463561.1, XP_018444645.1, XP_018460228.1, XP_018443745.1, XP_018443744.1, XP_018454082.1, XP_018464618.1, XP_018461870.1, XP_018463351.1, XP_018487902.1, XP_018460936.1, XP_018489964.1	El004G194720, El003G167750, El004G215650, El001G009450, El004G215630, El001G041830
OG0000018	XP_018465850.1	El001G045850, El001G048290, El003G146330
OG0000018	XP_018487788.1, XP_018435524.1, XP_018463527.1, XP_018454070.1, XP_018459374.1, XP_018442989.1, XP_018473906.1, XP_018479172.1, XP_018473760.1, XP_018465161.1, XP_018477832.1, XP_018436350.1, XP_018435707.1, XP_018435708.1, XP_018480047.1, XP_018489333.1, XP_018490274.1, XP_018479751.1, XP_018469035.1, XP_018481163.1, XP_018436132.1, XP_018464713.1, XP_018465008.1, XP_018457861.1, XP_018462470.1, XP_018448883.1, XP_018454217.1, XP_018448606.1, XP_018448885.1, XP_018463040.1, XP_018454208.1, XP_018460929.1, XP_018459042.1, XP_018461247.1, XP_018488201.1, XP_018462856.1, XP_018458112.1, XP_018442987.1, XP_018464922.1, XP_018458110.1, XP_018462516.1, XP_018454216.1, XP_018475052.1	El001G077880, El004G225550
OG0000019	XP_018475002.1	El002G122780, El006G281410, El004G213790
OG0000020	XP_018482431.1	El003G191190, El002G120700, El006G296260
OG0000020	XP_018459344.1	El005G264160
OG0000020	XP_018487698.1	El001G045320, El004G206630
OG0000021	XP_018473849.1	El007G346120, El007G348120
OG0000021	XP_018461971.1, XP_018467689.1, XP_018453433.1, XP_018453884.1	El001G064400
OG0000021	XP_018435394.1	El001G063330, El006G289540
OG0000021	XP_018443605.1, XP_018443313.1, XP_018443314.1, XP_018435962.1, XP_018436465.1, XP_018473666.1, XP_018448333.1, XP_018448335.1	El005G277430, El007G325630
OG0000023	XP_018483533.1, XP_018478194.1	El007G357800
OG0000023	XP_018458837.1, XP_018459041.1	El001G012210
OG0000023	XP_018448922.1, XP_018448923.1	El003G162170
OG0000023	XP_018468502.1	El003G162000
OG0000023	XP_018439285.1	El003G162130
