HOG	OG	Gene Tree Parent Clade	Alyssum_gmelinii	Arabidopsis_arenosa	Arabidopsis_lyrata_NCBI	Arabidopsis_lyrata_Rawat	Arabidopsis_thaliana	Arabis_alpina	Brassica_oleracea	Brassica_rapa	Camelina_sativa	Capsella_rubella	Cardamine_glauca	Cardamine_hirsuta	Cochlearia_excelsa	Conringia_planisiliqua	Euclidium_syriacum	Eutrema_salsugineum	Noccaea_praecox	Raphanus_sativus	Rorippa_islandica
N6.HOG0000000	OG0000000	n50																			Roisl.0214s0322.1.p, Roisl.0008s0147.1.p, Roisl.0082s0510.1.p, Roisl.0009s0190.1.p, Roisl.0191s0689.1.p, Roisl.0053s0029.1.p, Roisl.0055s0043.1.p, Roisl.0046s1083.1.p
N6.HOG0000001	OG0000000	n59																			Roisl.0185s0067.1.p
N6.HOG0000002	OG0000000	n67																			Roisl.0204s0096.1.p, Roisl.0185s0075.1.p
N6.HOG0000003	OG0000000	n118											Cg005G1732700, Cg005G1732800, Cg005G1732600, Cg005G1732500, Cg005G1732900, Cg008G2794500								
N6.HOG0000004	OG0000000	n161												CARHR219390							
N6.HOG0000005	OG0000000	n165												CARHR219240, CARHR166210							
N6.HOG0000006	OG0000000	n188											Cg003G0947300	CARHR219900, CARHR034550							Roisl.0046s1371.1.p, Roisl.0091s0126.1.p
N6.HOG0000007	OG0000000	n224																			Roisl.0053s0186.1.p
N6.HOG0000008	OG0000000	n258																			Roisl.0188s0090.1.p
N6.HOG0000009	OG0000000	n307											Cg005G1542700	CARHR228880, CARHR142010							Roisl.0012s0255.1.p, Roisl.0053s0040.1.p
N6.HOG0000010	OG0000000	n334												CARHR214930							
N6.HOG0000011	OG0000000	n370											Cg003G0820400								Roisl.0179s0101.1.p, Roisl.0179s0099.1.p
N6.HOG0000012	OG0000000	n373											Cg001G0384000								Roisl.0213s0782.1.p
N6.HOG0000013	OG0000000	n386																			Roisl.0210s2160.1.p
N6.HOG0000014	OG0000000	n397											Cg006G1881000								Roisl.0053s0185.1.p
N6.HOG0000015	OG0000000	n403																			Roisl.0046s0703.1.p, Roisl.0210s0593.1.p
N6.HOG0000016	OG0000000	n411																			Roisl.0023s0049.1.p, Roisl.0214s0436.1.p, Roisl.0214s0718.1.p, Roisl.0047s0012.1.p
N6.HOG0000017	OG0000000	n416																			Roisl.0002s0055.1.p, Roisl.0038s0044.1.p, Roisl.0022s0187.1.p, Roisl.0210s1364.1.p
N6.HOG0000018	OG0000000	n427																			Roisl.0185s0050.1.p
N6.HOG0000019	OG0000000	n430																			Roisl.0185s0025.1.p, Roisl.0006s0325.1.p, Roisl.0214s0371.1.p, Roisl.0005s0243.1.p
N6.HOG0000020	OG0000000	n434																			Roisl.0083s0016.1.p
N6.HOG0000021	OG0000000	n435																			Roisl.0037s0056.1.p
N6.HOG0000022	OG0000000	n543											Cg003G0793800								Roisl.0213s0402.1.p
N6.HOG0000023	OG0000000	n561																			Roisl.0052s0046.1.p
N6.HOG0000024	OG0000000	n766											Cg002G0574500								
N6.HOG0000025	OG0000000	n822											Cg001G0315700								Roisl.0020s0052.1.p
N6.HOG0000026	OG0000000	n850																			Roisl.0003s0086.1.p
N6.HOG0000027	OG0000000	n853																			Roisl.0082s0610.1.p
N6.HOG0000028	OG0000000	n857																			Roisl.0020s0162.1.p, Roisl.0213s0727.1.p
N6.HOG0000029	OG0000000	n1203											Cg007G2381100								
N6.HOG0000030	OG0000000	n1307											Cg004G1415700								
N6.HOG0000031	OG0000002	n10																			Roisl.0058s0007.1.p
N6.HOG0000032	OG0000002	n63																			Roisl.0194s0020.1.p
N6.HOG0000033	OG0000002	n242																			Roisl.0006s0264.1.p
N6.HOG0000034	OG0000002	n437																			Roisl.0012s0025.1.p
N6.HOG0000035	OG0000002	n444																			Roisl.0038s0052.1.p, Roisl.0184s0176.1.p
N6.HOG0000036	OG0000002	n488											Cg002G0472400, Cg005G1504200								
N6.HOG0000037	OG0000002	n581																			Roisl.0213s0015.1.p
N6.HOG0000038	OG0000002	n584																			Roisl.0008s0085.1.p
