Orthogroup	Erysimum_linariifolium	Raphanus_sativus
OG0000000	El004G225890	XP_018462257.1, XP_018435900.1
OG0000000	El005G264600	XP_018456393.1
OG0000000	El005G264610	XP_018462401.1, XP_018463541.1, XP_018459749.1
OG0000000	El004G210980, El005G262990, El005G263050, El005G264050, El003G177780	XP_018459921.1
OG0000002	El004G212920	XP_018436084.1
OG0000003	El004G210360	XP_018460938.1
OG0000003	El007G351530	XP_018435851.1, XP_018435852.1
OG0000003	El006G306960	XP_018463109.1
OG0000003	El003G181070	XP_018461854.1
OG0000004	El002G127280	XP_018462059.1, XP_018453573.1
OG0000004	El001G079820	XP_018454128.1, XP_018466708.1
OG0000004	El001G052930, El004G230860, El003G157040, El005G268240	XP_018435931.1
OG0000004	El005G268230	XP_018473616.1, XP_018461587.1, XP_018479550.1, XP_018435819.1, XP_018479791.1
OG0000004	El006G301060	XP_018463796.1, XP_018473896.1, XP_018448677.1
OG0000005	El001G038630	XP_018479454.1
OG0000005	El003G166140, El001G039730	XP_018479571.1, XP_018488331.1
OG0000005	El001G081400	XP_018435561.1, XP_018479324.1
OG0000005	El002G096830	XP_018474243.1, XP_018458174.1, XP_018436426.1, XP_018436425.1, XP_018463676.1, XP_018474023.1, XP_018479849.1
OG0000005	El003G167150	XP_018458816.1
OG0000005	El002G120930, El007G348880	XP_018473658.1
OG0000005	El002G122720	XP_018479530.1, XP_018462391.1
OG0000006	El006G316810	XP_018465863.1, XP_018448282.1, XP_018438060.1, XP_018455359.1, XP_018459674.1, XP_018463970.1, XP_018453972.1, XP_018483196.1
OG0000006	El001G046690	XP_018454081.1, XP_018453629.1
OG0000006	El007G324910, El001G079730	XP_018477728.1, XP_018459130.1, XP_018443492.1, XP_018437596.1, XP_018474159.1, XP_018439630.1, XP_018487830.1, XP_018489312.1, XP_018479768.1, XP_018460608.1, XP_018479975.1, XP_018437591.1, XP_018450753.1
OG0000007	El007G348570	XP_018435927.1, XP_018463775.1, XP_018479789.1
OG0000007	El001G053750, El002G123330, El004G208390, El007G348150	XP_018463622.1, XP_018435702.1, XP_018448498.1, XP_018435739.1, XP_018435737.1, XP_018443673.1, XP_018475855.1, XP_018453689.1, XP_018479455.1
OG0000007	El002G114670	XP_018459162.1
OG0000007	El008G369640	XP_018459875.1, XP_018472282.1, XP_018460558.1, XP_018463849.1, XP_018453704.1, XP_018479420.1, XP_018462177.1, XP_018478413.1, XP_018479618.1, XP_018487613.1, XP_018478228.1, XP_018479119.1, XP_018487413.1, XP_018487416.1, XP_018435875.1
OG0000007	El006G293980	XP_018463500.1, XP_018465308.1
OG0000008	El004G212460	XP_018488004.1, XP_018453879.1
OG0000008	El003G182320	XP_018462648.1, XP_018454207.1, XP_018448605.1
OG0000008	El003G167760	XP_018476077.1
OG0000008	El003G174670	XP_018438736.1
OG0000010	El007G350710	XP_018458906.1
OG0000011	El002G121150	XP_018479316.1, XP_018481586.1, XP_018466155.1
OG0000011	El002G082610	XP_018463968.1, XP_018477654.1, XP_018458558.1
OG0000012	El002G120760	XP_018480111.1
OG0000012	El006G310180, El001G048000	XP_018458669.1
OG0000012	El003G154210, El007G344400, El007G350120	XP_018458672.1
OG0000012	El002G129160	XP_018448717.1
OG0000013	El001G045710	XP_018473864.1, XP_018476696.1
OG0000013	El007G350800	XP_018467319.1, XP_018453656.1, XP_018458136.1, XP_018458135.1, XP_018458664.1, XP_018459125.1, XP_018453657.1, XP_018458096.1, XP_018476282.1, XP_018459495.1, XP_018476229.1, XP_018464964.1, XP_018476861.1, XP_018464106.1, XP_018436081.1
OG0000014	El005G242270	XP_018473881.1
OG0000015	El060G376140, El053G375740	XP_018467773.1
OG0000015	El001G079510	XP_018459146.1
OG0000017	El007G336340	XP_018459067.1, XP_018471648.1, XP_018460984.1, XP_018460983.1, XP_018435883.1, XP_018487868.1, XP_018466125.1, XP_018463332.1, XP_018467394.1, XP_018461261.1, XP_018458674.1, XP_018479532.1, XP_018473772.1, XP_018461992.1, XP_018476168.1, XP_018435266.1, XP_018436016.1
