Orthogroup	Alyssum_gmelinii	Cardamine_glauca
OG0000000	Ag071G5244500, Ag014G1982800, Ag013G1560600	Cg005G1732700, Cg005G1732800, Cg005G1732600, Cg005G1732500, Cg005G1732900, Cg008G2794500
OG0000000	Ag017G2413700, Ag016G2404700, Ag018G2474800, Ag004G0601400, Ag033G3558200, Ag032G3454800	Cg003G0947300
OG0000000	Ag028G3079600, Ag058G4972900, Ag034G4051300, Ag022G2647900	Cg003G0820400, Cg001G0384000
OG0000000	Ag036G4123700	Cg006G1881000
OG0000000	Ag054G4887300	Cg003G0793800
OG0000000	Ag077G5323300, Ag003G0363000, Ag013G1740700, Ag055G4904400	Cg002G0506900
OG0000000	Ag052G4861800, Ag004G0706900, Ag033G3514900, Ag018G2438300, Ag032G3442900, Ag016G2353100, Ag067G5186800, Ag031G3358900, Ag047G4548700, Ag013G1396900, Ag016G2398200, Ag013G1719000, Ag014G2113700, Ag016G2347700	Cg002G0574500
OG0000000	Ag058G4977700	Cg001G0315700
OG0000000	Ag067G5173700	Cg004G1415700
OG0000002	Ag027G3030200, Ag013G1414500	Cg002G0472400, Cg005G1504200
OG0000003	Ag005G0787400	Cg006G1905700
OG0000003	Ag004G0503900, Ag004G0543600, Ag031G3303800	Cg003G0916000
OG0000003	Ag022G2672700, Ag014G2084900	Cg004G1341600, Cg005G1702400, Cg001G0274200, Cg002G0686800
OG0000003	Ag013G1682200, Ag011G1271000	Cg001G0323400, Cg008G2981700
OG0000004	Ag033G3561100	Cg008G2652500, Cg014G3042600
OG0000004	Ag014G1801700, Ag035G4075300, Ag012G1323700, Ag071G5244600, Ag012G1283500, Ag054G4887800, Ag042G4418600, Ag014G2066300, Ag034G4033900, Ag038G4153200, Ag024G2851700, Ag068G5218800, Ag004G0700600	Cg005G1712500, Cg005G1670400, Cg002G0621600, Cg001G0187300, Cg004G1344800, Cg008G2898200, Cg004G1359700, Cg004G1347000, Cg003G0835900, Cg006G1875200, Cg006G1877400, Cg007G2356200, Cg005G1738500, Cg005G1738100, Cg005G1737900
OG0000004	Ag010G0992800, Ag014G1774700	Cg002G0566400, Cg004G1175600, Cg008G2960200, Cg001G0254800, Cg008G2671600, Cg008G2922100, Cg007G2351100, Cg005G1719500, Cg004G1384700, Cg002G0576600, Cg002G0577700
OG0000004	Ag039G4237400, Ag015G2248700, Ag012G1335000, Ag008G0950900, Ag016G2280500, Ag002G0174700, Ag011G1226600, Ag034G4031200, Ag002G0145400, Ag002G0123900, Ag014G1970800, Ag068G5216500, Ag011G1178300, Ag031G3300400	Cg004G1187900
OG0000004	Ag066G5158800	Cg011G3014900, Cg001G0291700, Cg002G0631600, Cg001G0232800, Cg005G1551600
OG0000005	Ag013G1642000	Cg005G1502300
OG0000005	Ag042G4407900, Ag078G5366100	Cg008G2853000, Cg008G2868800, Cg006G1917300
OG0000008	Ag027G3054100	Cg002G0653600
OG0000008	Ag001G0025300	Cg002G0512100, Cg002G0565700
OG0000009	Ag078G5396800, Ag034G3985100, Ag014G2137100, Ag030G3127000	Cg005G1728900
OG0000009	Ag040G4348900, Ag088G5430700	Cg008G2714900
OG0000009	Ag055G4920300, Ag019G2551400	Cg005G1711000
OG0000009	Ag014G1796900, Ag018G2446400, Ag034G3932700, Ag042G4419400, Ag010G1025100	Cg005G1737500
OG0000009	Ag016G2319900, Ag025G2919200	Cg005G1717900, Cg003G0717800, Cg005G1769300
OG0000011	Ag027G3007700	Cg005G1679200
OG0000015	Ag034G3936100	Cg001G0251200
OG0000015	Ag058G4974300	Cg008G2857400
OG0000018	Ag007G0926800, Ag014G2174700, Ag054G4876900, Ag021G2605500, Ag075G5287400, Ag011G1256400, Ag025G2901700, Ag033G3478600, Ag014G1898500, Ag004G0480500, Ag004G0446600, Ag004G0716400, Ag024G2890600, Ag016G2280700, Ag004G0729200, Ag004G0729400, Ag004G0775100, Ag002G0196500, Ag014G2112900, Ag034G4006200, Ag014G2046300, Ag048G4699400, Ag031G3375000, Ag033G3505000, Ag067G5182000, Ag034G3751500, Ag013G1482900, Ag020G2558500, Ag034G3945000, Ag063G5069800, Ag016G2344300, Ag013G1402000, Ag016G2394800, Ag015G2197700, Ag044G4497700, Ag036G4103800, Ag001G0002700, Ag054G4885000, Ag020G2572000, Ag016G2390500, Ag031G3400200, Ag014G2174600, Ag004G0769100, Ag034G3891500, Ag064G5103000, Ag013G1384600, Ag074G5275600, Ag020G2558600	Cg003G0814300
OG0000020	Ag068G5227400	Cg004G1313600
OG0000020	Ag039G4234300	Cg008G2915200, Cg003G0729100
OG0000021	Ag013G1488900, Ag031G3408800	Cg006G1871200, Cg003G0793000, Cg001G0263700, Cg003G0871900, Cg005G1666000, Cg006G1912000, Cg004G1333000, Cg003G0818700
OG0000022	Ag024G2896000	Cg007G2258400
OG0000022	Ag006G0805800, Ag058G4977300, Ag022G2695300	Cg001G0385000
OG0000022	Ag014G2040000	Cg004G1232100
OG0000023	Ag013G1378800	Cg007G2371000
OG0000023	Ag054G4895500, Ag002G0253500	Cg006G2067800
OG0000024	Ag052G4846900	Cg001G0380300
OG0000024	Ag013G1754200	Cg006G1963900, Cg006G1963800, Cg002G0447000, Cg002G0448700
OG0000025	Ag015G2255100	Cg007G2444400
OG0000025	Ag067G5188200, Ag030G3132300	Cg005G1690200, Cg004G1264500
OG0000027	Ag021G2619200	Cg003G0758800, Cg003G0758600
OG0000027	Ag021G2619800	Cg003G0758500
OG0000027	Ag077G5324400	Cg001G0170600
OG0000027	Ag077G5325000, Ag033G3496200	Cg003G0758900
OG0000027	Ag093G5459600	Cg001G0172400
OG0000027	Ag021G2620200	Cg003G0757800
