Erysimum_linariifolium	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
El001G000010	175	AT1G75210.1	AT1G75210.1	other	GO:0005737;GO:0009507;GO:0008253;GO:0016787;GO:0046872	Cytosolic IMP-GMP specific 5-nucleotidase, putative (HAD-superfamily hydrolase, subfamily IG, 5'-nucleotidase);HAD-superfamily hydrolase, subfamily IG, 5'-nucleotidase
El001G000030	166	AT2G44840.1	AT2G44840.1	other	GO:0003700;GO:0000976;GO:0005634;GO:0009873;GO:0006355;GO:0003677;GO:0005622;GO:0005515;GO:0006952	Ethylene-responsive transcription factor 13 (AtERF13) (Ethylene-responsive element-binding factor 13) (EREBP-13)
El001G000040	567	AT1G05940.1	AT1G05940.1	orthologue	GO:0015174;GO:0005739;GO:0022857;GO:0009507;GO:0000325;GO:0055085;GO:0015171;GO:0006865;GO:0031969;GO:0016020	Cationic amino acid transporter 9;Cationic amino acid transporter 9, chloroplastic
El001G000050	132	AT4G01710.1	AT4G01710.1	other	GO:0051015;GO:0009825;GO:0005737;GO:0030041;GO:0007015;GO:0010090;GO:0005885;GO:0003779;GO:0034314;GO:0030833;GO:0030036;GO:0042995;GO:0015629	Actin-related protein 2/3 complex subunit 5A (Actin-related protein C5A) (Arp2/3 complex 16 kDa subunit) (p16-ARC) (Protein CROOKED)
El001G000060	274	AT4G00026.1	AT4G00026.1	orthologue	GO:0005739;GO:0005744;GO:0030150;GO:0005829;GO:0090351;GO:0003674	Probable mitochondrial import inner membrane translocase subunit TIM21 (Protein SEGREGATION DISTORTION 3)
El001G000070	214	AT4G00030.1	AT4G00030.1	orthologue	GO:0005739;GO:0003674;GO:0009534	Probable plastid-lipid-associated protein 11, chloroplastic (Fibrillin-9)
El001G000080	394	AT4G00040.1	AT4G00040.1	orthologue	GO:0005737;GO:0030639;GO:0016747;GO:0009813;GO:0005783;GO:0016746;GO:0009058	Type III polyketide synthase C (PKS-C) (EC 2.3.1.-)
El001G000090	402	AT4G00050.1	AT4G00050.1	orthologue	GO:0005515;GO:0003700;GO:0006351;GO:0009416;GO:0009753;GO:0009959;GO:0005634;GO:0009637;GO:0006355;GO:0043565;GO:0046983;GO:0010187;GO:0009567;GO:0009506;GO:0009845;GO:0010218;GO:0090351;GO:0009704;GO:0003677	Basic helix-loop-helix (BHLH) DNA-binding superfamily protein;Transcription factor UNE10 (Basic helix-loop-helix protein 16) (AtbHLH16) (bHLH 16) (Phytochrome-interacting factor 8) (Protein UNFERTILIZED EMBRYO SAC 10) (Transcription factor EN 108) (bHLH transcription factor bHLH016)
El001G000100	1480	AT4G00060.1	AT4G00060.1	orthologue	GO:0005634;GO:0043634;GO:0031499;GO:0005730;GO:0009793;GO:0005515;GO:0031123;GO:1990817;GO:0003729	Nucleotidyltransferase family protein
El001G000110	215	AT4G00080.1	AT4G00080.1	orthologue	GO:0009505;GO:0004857;GO:0005575;GO:0009827;GO:0009567;GO:0048046;GO:0043086	At4g00080 (F6N15.9 protein) (Plant invertase/pectin methylesterase inhibitor superfamily protein)
