Orthogroup	Euclidium_syriacum	Cochlearia_excelsa
OG0000000	ESY9_g43878_DN2_SP0_c0.t1	g8658, g33256, g11635, g52490, g26594, g26034, g8926, g1669, g8852
OG0000000	ESY7_g17009_DN2_SP0_c60.t1	g1729, g35908, g30157, g32840, g10045, g42250, g52647, g43953, g41522, g50695, g3546, g43959, g43633, g43714, g48225, g33221, g16179, g33570, g53344, g22394, g28170, g25254, g41562, g42198, g3678, g8618, g48844, g29953, g30349, g42202, g45346, g33172, g42917, g5670, g4379, g26806, g26418, g3791, g53423, g17359, g46217, g1846, g24660, g16587, g22593, g42663, g35498, g11488, g50102, g52659, g41697, g42264, g14281, g48987, g18658, g16215, g29885, g42520, g43654, g8678, g51092, g18221, g42791, g16396, g30119, g30252, g34845, g9059, g21875, g30199, g22028, g21099, g36650, g9224, g52509, g9287
OG0000002	ESY9_g43349_DN2_SP0_c0.t1	g19234, g36477, g26238, g91, g25759, g5461, g22857, g4776, g34979, g16823, g16351, g32695, g11929, g28129, g37738, g26240, g26182, g34796, g19117, g42699, g1903, g41840, g36551, g28189, g19054, g5152, g31608, g5108, g16824, g34797, g35474, g6621, g22481, g22518, g22300, g40393, g33608, g12826, g30782, g26452, g18734, g16254, g48969, g22268, g22354, g53783, g35211, g32330, g19106, g4895, g38552, g40259, g12705, g17829, g45326, g2353, g4579, g19249, g3132, g1175, g18891, g16869, g19554, g30785, g15938, g43320, g3257, g32846, g17951, g36764, g6620, g28463, g44741, g24144, g47321, g49476, g4702, g25505, g40394, g22754, g52049, g56, g5458, g24147, g19235, g36478, g33083, g44743, g20017, g4705, g22706, g51652, g5878, g40197, g22483, g16025, g35637, g22858, g4202, g36769, g6617, g22281, g49477, g50475, g31092, g38312, g43961, g37679, g4011, g51790, g16350, g16610, g46300, g35125, g18735, g50561, g37142, g2226, g28809, g44629, g11930, g19637, g46088, g54220, g22302, g17417, g6622, g50261, g51105, g47319, g32048, g16022, g31609, g51802, g40654, g518, g12892, g47601, g50078, g23649, g49634, g32237, g28166, g39923, g29768, g37989, g24257, g43934, g33084, g517, g42698, g10421, g38467, g194, g14098, g42704, g32759, g32847, g43885, g43957, g92, g31909, g43321, g5460, g5880, g13170, g23112, g10785, g12570, g1173, g38549, g23052, g45323, g29104, g54127, g51347, g4740, g43933, g16868, g26181, g6840, g3990, g50949, g39578, g32031, g35402, g50453, g53909, g3931, g17597, g2906, g30784, g18733, g51654, g51782, g51595, g22499, g38313, g49645, g37246, g42581, g14412, g53437, g9948, g41839, g43414, g3748, g17952, g50576, g32694, g22355, g46798, g22280, g22501, g17598, g51597, g28460, g25506, g14097, g4778, g53950, g36079, g52214, g39438, g23770, g9964, g31362, g42923, g35831, g54196, g53818, g2533, g18045, g23774, g25411, g5655, g22726, g5204, g26709, g36393, g17831, g22441, g53912, g22482, g23050, g45382, g43921, g32761, g36765, g14069, g17547, g14322, g41536, g45709, g24274, g47656, g12054, g47868, g1902, g19537, g26066, g35225, g28127, g22356, g22360, g22520, g44403, g12891, g44628, g35850, g4203, g35639, g26118, g50077, g31091, g4823, g32236, g44742, g2225, g49283, g24145, g22362, g11797, g37739, g31863, g39437, g26239, g22299, g22517, g35849, g15943, g22279, g17546, g39920, g50076, g50948, g9965, g36751, g31361, g40655, g36749, g37143, g29002, g12407, g13031, g36480, g51473, g1614, g15078, g35122, g9947, g12827, g14099, g16024, g3989, g16867, g54126, g32227, g12708, g12890, g2531, g40366, g51791, g33609, g22707, g54221, g17420, g33085, g52853, g12053, g57, g36475, g22753, g36550, g50260, g51102, g50562, g23648, g37011, g46087, g46299, g35126, g28808, g17293, g12952, g16611, g49632, g19055, g14321, g2075, g46797, g51805, g6616, g29227, g53784, g34980, g41750, g28791, g47542, g49137, g35212, g4894, g16051, g40258, g39577, g23771, g3932, g19116, g52852, g43884, g51104, g38468, g47320, g16056, g26461
OG0000003	ESY8_g60803_DN3_SP0_c6.t1	g36078
OG0000003	ESY1_g7388_DN1_SP0_c0.t1	g14576
OG0000003	ESY1_g7389_DN1_SP0_c0.t1, ESY33_g12634_DN2_SP0_c75.t1	g26269, g14435, g41143
OG0000003	ESY1_g7089_DN3_SP0_c0.t1	g8357, g30183, g8315, g48435, g38569, g48098, g21770, g22560
OG0000005	ESY6_g47492_DN1_SP0_c0.t1	g47996, g36759, g22674, g50707, g1267, g22012, g54239, g2983, g43671, g6090, g9847, g53582
OG0000005	ESY16_g61766_DN2_SP0_c0.t1	g35969, g32059, g53845
OG0000005	ESY6_g47366_DN1_SP0_c0.t1	g10582
