Orthogroup	Cardamine_hirsuta	Alyssum_gmelinii
OG0000000	CARHR219240, CARHR166210	Ag046G4528700, Ag013G1557700, Ag033G3510800, Ag004G0752300, Ag037G4141800, Ag048G4661000, Ag034G3877500, Ag017G2425100
OG0000000	CARHR219900, CARHR034550	Ag017G2413700, Ag016G2404700, Ag018G2474800, Ag004G0601400, Ag033G3558200, Ag032G3454800
OG0000000	CARHR153350	Ag045G4516900, Ag044G4496600, Ag078G5351600, Ag066G5137400, Ag013G1386400, Ag033G3486500, Ag020G2571600, Ag013G1635500
OG0000008	CARHR284250, CARHR101910, CARHR159360, CARHR217630	Ag005G0786100
OG0000008	CARHR183140	Ag027G3054100
OG0000008	CARHR291920, CARHR221030, CARHR117380, CARHR217880, CARHR161310, CARHR161290, CARHR161300, CARHR161340, CARHR161350, CARHR051890, CARHR217020, CARHR131120, CARHR164530, CARHR288680, CARHR103530, CARHR257810, CARHR218380, CARHR259120, CARHR119350, CARHR214330, CARHR286130, CARHR178960	Ag001G0025300
OG0000008	CARHR118910, CARHR216990, CARHR111800	Ag033G3526400
OG0000009	CARHR145720	Ag002G0216700, Ag075G5300000, Ag004G0685200
OG0000009	CARHR091740	Ag027G3009300
OG0000011	CARHR218510	Ag015G2211300
OG0000015	CARHR110600	Ag012G1294500, Ag048G4644700, Ag011G1263600, Ag066G5170100, Ag019G2552700, Ag018G2438800, Ag076G5308600, Ag002G0203200, Ag058G4974300, Ag024G2875100
OG0000021	CARHR146600	Ag013G1488900, Ag031G3408800
OG0000022	CARHR048840	Ag002G0155300
OG0000022	CARHR055270	Ag002G0133100, Ag034G3959000, Ag031G3344400, Ag002G0130300, Ag002G0130100, Ag002G0130000
OG0000022	CARHR048820, CARHR051020, CARHR048770	Ag002G0160300, Ag002G0160500
OG0000022	CARHR013000	Ag034G3829100
OG0000022	CARHR046360, CARHR046370	Ag024G2896000
OG0000022	CARHR213210	Ag006G0805800, Ag058G4977300, Ag022G2695300
OG0000022	CARHR091960	Ag014G2040000
OG0000024	CARHR030400	Ag013G1663800
OG0000024	CARHR030420	Ag031G3235600
OG0000024	CARHR213730	Ag052G4846900
OG0000024	CARHR062310, CARHR168020, CARHR167830, CARHR030470, CARHR148710, CARHR030440, CARHR030410, CARHR045190	Ag013G1754200
OG0000026	CARHR104160	Ag063G5074400, Ag063G5074600, Ag020G2577200, Ag030G3131700, Ag002G0272200, Ag055G4904800, Ag003G0347700, Ag014G2059100, Ag016G2402300, Ag016G2403500, Ag053G4869800, Ag287G5488300, Ag015G2272200, Ag023G2829200, Ag013G1736700, Ag015G2272100, Ag016G2403600, Ag025G2906900, Ag031G3406200, Ag063G5074500, Ag063G5074300, Ag016G2402400
OG0000027	CARHR264010, CARHR255080, CARHR255070, CARHR255050	Ag021G2619200
OG0000027	CARHR255040	Ag021G2619800
OG0000027	CARHR255010, CARHR263990, CARHR255060, CARHR254990	Ag021G2619900
OG0000027	CARHR057450	Ag077G5324400
OG0000027	CARHR230510	Ag077G5325100, Ag033G3496300, Ag033G3642400
OG0000027	CARHR254870	Ag021G2620200
OG0000027	CARHR230300	Ag093G5459100, Ag033G3498600, Ag002G0200100, Ag077G5325600
OG0000028	CARHR028790	Ag034G4010900
OG0000028	CARHR267520, CARHR267660	Ag078G5387500
OG0000030	CARHR060010, CARHR059990, CARHR134370	Ag014G2144800, Ag014G2145600, Ag014G2146200, Ag014G2146400, Ag014G2146900, Ag014G2147100, Ag014G2147000, Ag014G2146700, Ag014G2145800, Ag014G2145100, Ag014G2144300, Ag014G2147700
OG0000030	CARHR025790, CARHR162370, CARHR260760, CARHR260790	Ag014G1952600, Ag014G1958800, Ag014G1958700, Ag014G1965000, Ag042G4396900, Ag042G4397700, Ag042G4398200, Ag014G1952300, Ag014G1952400
OG0000030	CARHR158520, CARHR158510, CARHR158530, CARHR088150	Ag014G2099300, Ag027G3062200, Ag014G1975300
OG0000030	CARHR088860, CARHR095910, CARHR026350	Ag013G1357800
OG0000030	CARHR154640	Ag014G1839700, Ag014G1840100
OG0000032	CARHR158150, CARHR057520, CARHR108030, CARHR217640	Ag037G4132500
OG0000032	CARHR287070, CARHR115000, CARHR258320, CARHR152520, CARHR154280, CARHR217870, CARHR103550, CARHR183020, CARHR149880	Ag005G0786000
OG0000032	CARHR266460	Ag011G1160200, Ag011G1160300, Ag011G1160400
OG0000034	CARHR230270, CARHR230290	Ag093G5459200, Ag033G3498700
OG0000034	CARHR055320, CARHR230240	Ag033G3477100, Ag052G4847100
OG0000034	CARHR228000, CARHR228050, CARHR228010, CARHR228060, CARHR228080, CARHR228070, CARHR289950	Ag048G4579800
OG0000034	CARHR230230, CARHR230200	Ag033G3500200, Ag093G5460400
OG0000034	CARHR230540, CARHR230590, CARHR230570, CARHR230620, CARHR230650	Ag033G3498800, Ag093G5459400
OG0000035	CARHR034500, CARHR120350, CARHR104490	Ag061G5042200, Ag007G0851700, Ag007G0851600, Ag015G2256800, Ag031G3385600
OG0000035	CARHR034790	Ag023G2841600, Ag033G3643700, Ag036G4119400, Ag002G0276700, Ag036G4121400
OG0000042	CARHR116060	Ag015G2214400
OG0000042	CARHR260310	Ag011G1070600
OG0000042	CARHR285900	Ag013G1341100
OG0000042	CARHR181500	Ag009G0976800, Ag006G0824100
OG0000043	CARHR098760	Ag020G2574500
OG0000043	CARHR288090	Ag036G4114100
OG0000043	CARHR216370	Ag013G1650200
OG0000044	CARHR116340	Ag087G5424800
OG0000046	CARHR159300, CARHR215510, CARHR037550, CARHR118760, CARHR104690, CARHR258020, CARHR150330	Ag019G2498100
OG0000046	CARHR159290, CARHR150320, CARHR273180, CARHR286710, CARHR217190, CARHR117470	Ag004G0691700
OG0000048	CARHR125110	Ag034G3744100, Ag013G1648400, Ag016G2390700, Ag013G1573400, Ag013G1573000, Ag013G1626000, Ag013G1648500, Ag013G1647900
OG0000048	CARHR126110	Ag032G3445200, Ag048G4573000, Ag013G1577300, Ag013G1657800
OG0000050	CARHR154060	Ag019G2535000, Ag013G1454200, Ag002G0129500, Ag014G1805000, Ag002G0202200, Ag015G2221900, Ag015G2264900, Ag025G2919100, Ag014G2113900
OG0000050	CARHR071180, CARHR153550	Ag031G3328800, Ag019G2527600, Ag020G2554600
OG0000051	CARHR002800	Ag034G3687900
OG0000051	CARHR137510	Ag003G0386800
OG0000051	CARHR137530	Ag003G0386200
OG0000051	CARHR127280	Ag003G0387400, Ag003G0387300, Ag003G0387500, Ag003G0387800, Ag003G0387600, Ag003G0387700
OG0000051	CARHR137540	Ag003G0385100, Ag003G0385000, Ag003G0384900
OG0000052	CARHR148050, CARHR278920, CARHR148010, CARHR065350	Ag032G3434200, Ag032G3433000
OG0000055	CARHR100810, CARHR107470, CARHR177430, CARHR192030	Ag034G4065400
OG0000055	CARHR092560, CARHR092720, CARHR094260, CARHR107830, CARHR149830, CARHR108270	Ag014G2041700
OG0000055	CARHR111010	Ag014G2046500, Ag014G2046000, Ag014G2045800, Ag001G0027100
OG0000056	CARHR155600	Ag002G0180000
OG0000059	CARHR104020	Ag038G4156200
OG0000060	CARHR132050	Ag004G0636900, Ag004G0629900
OG0000060	CARHR154770	Ag016G2302600, Ag013G1610000
OG0000061	CARHR228580	Ag025G2916200, Ag025G2916400, Ag025G2916000, Ag025G2915500, Ag025G2917200, Ag025G2915700, Ag025G2913000, Ag002G0098300
OG0000061	CARHR270010	Ag007G0932800, Ag024G2852400, Ag002G0098400, Ag025G2913600
OG0000061	CARHR039590	Ag025G2914700
OG0000061	CARHR123140	Ag013G1627600
OG0000061	CARHR151510, CARHR219570	Ag056G4940400
OG0000065	CARHR214320	Ag003G0361000
OG0000065	CARHR059130, CARHR059070, CARHR059140, CARHR059270, CARHR059250	Ag016G2372900, Ag016G2372400
OG0000065	CARHR059360, CARHR263420	Ag016G2372600
OG0000066	CARHR202910, CARHR279310	Ag004G0438400
OG0000066	CARHR279320, CARHR202900	Ag034G3780100
OG0000066	CARHR202310	Ag048G4702700
OG0000066	CARHR246640	Ag011G1062500
OG0000068	CARHR210960	Ag011G1073300, Ag011G1073200, Ag014G1989500, Ag011G1073900
OG0000069	CARHR264470	Ag048G4643500
OG0000069	CARHR070150	Ag031G3335200, Ag031G3335500, Ag031G3335400
OG0000070	CARHR010350, CARHR145510, CARHR145520, CARHR286680, CARHR145480, CARHR145500	Ag039G4215000
OG0000070	CARHR020650	Ag034G3976800
OG0000070	CARHR069500	Ag048G4685000
OG0000072	CARHR153090, CARHR049910, CARHR219260, CARHR119870, CARHR260200	Ag039G4320700
OG0000075	CARHR247180	Ag011G1157100, Ag011G1157200, Ag011G1157900, Ag011G1158100, Ag011G1157500, Ag011G1157400, Ag011G1157700, Ag011G1157800, Ag011G1157600, Ag048G4682200, Ag011G1050300, Ag011G1158000, Ag034G3817800, Ag001G0065600, Ag001G0065500, Ag001G0065400
OG0000075	CARHR247150	Ag021G2601300
OG0000075	CARHR247160	Ag011G1119800, Ag011G1120100, Ag011G1120000
OG0000076	CARHR247830	Ag011G1037000
OG0000076	CARHR260300	Ag006G0792900, Ag025G2903400, Ag013G1628100, Ag013G1627300, Ag013G1626200, Ag006G0795200, Ag013G1628200, Ag013G1627800, Ag011G1200000
OG0000076	CARHR176370	Ag013G1400700
OG0000077	CARHR176910, CARHR176920, CARHR177280, CARHR112190, CARHR254980, CARHR254940, CARHR177080	Ag033G3566700
OG0000077	CARHR288740, CARHR145630	Ag034G3937600, Ag034G3937000, Ag001G0019700, Ag025G2944900
OG0000078	CARHR077950	Ag014G1810600
OG0000078	CARHR077940	Ag014G1809300, Ag014G1810300
OG0000078	CARHR077910	Ag014G1810500
OG0000079	CARHR151670, CARHR119610	Ag018G2444300, Ag022G2658800
OG0000081	CARHR217030	Ag034G4022300
OG0000081	CARHR264280	Ag019G2512100, Ag066G5159500, Ag002G0249600, Ag043G4447600, Ag014G2017300
OG0000081	CARHR258030	Ag013G1532900, Ag015G2210200, Ag033G3619800, Ag034G3937400, Ag066G5128300, Ag050G4763200, Ag033G3590000, Ag011G1174500
OG0000086	CARHR214870	Ag025G2922800
OG0000089	CARHR189700	Ag004G0519800
OG0000089	CARHR155480	Ag055G4906500, Ag004G0479400
OG0000089	CARHR122890	Ag013G1621300
OG0000089	CARHR200860	Ag013G1488000
OG0000089	CARHR178800	Ag016G2360800
OG0000089	CARHR227450	Ag033G3591100
OG0000089	CARHR128920	Ag023G2824600
OG0000089	CARHR069200	Ag048G4693300
OG0000090	CARHR116840, CARHR259920	Ag013G1764600, Ag056G4937000, Ag003G0343600, Ag068G5212400, Ag002G0264300, Ag048G4621900, Ag019G2531000, Ag006G0823200, Ag013G1384300
OG0000091	CARHR192340, CARHR192330	Ag004G0570300
OG0000095	CARHR117030, CARHR118620	Ag016G2362700, Ag016G2305100, Ag024G2851600, Ag006G0800000, Ag016G2308200, Ag006G0799900
OG0000095	CARHR117880, CARHR117220	Ag039G4205200
OG0000096	CARHR120290, CARHR120300, CARHR266870, CARHR084920, CARHR248580	Ag002G0154900
OG0000096	CARHR092810	Ag044G4496300
OG0000096	CARHR159090, CARHR101800, CARHR101790, CARHR120380	Ag002G0165500
OG0000098	CARHR103960	Ag013G1485800, Ag021G2621100, Ag004G0531500
OG0000098	CARHR046250	Ag040G4345100
OG0000098	CARHR174970	Ag004G0482500, Ag004G0482700, Ag014G2044400
OG0000100	CARHR047460, CARHR047540	Ag002G0106500
OG0000100	CARHR047580, CARHR047440, CARHR261260, CARHR047450	Ag002G0112700, Ag063G5079400
OG0000100	CARHR051270, CARHR051280, CARHR051250	Ag063G5086400, Ag002G0116500
OG0000101	CARHR154270	Ag015G2195700
OG0000102	CARHR252130	Ag016G2368300
OG0000105	CARHR077960	Ag014G1812600, Ag011G1082500, Ag011G1083100
OG0000105	CARHR181190, CARHR228760	Ag011G1082700
OG0000105	CARHR106060, CARHR104310	Ag011G1082400
OG0000105	CARHR178690, CARHR116320	Ag016G2285400
OG0000105	CARHR175110, CARHR175150, CARHR175080	Ag016G2287900
OG0000105	CARHR222460	Ag050G4782400
OG0000105	CARHR288500	Ag048G4578200
OG0000105	CARHR047590, CARHR048050, CARHR288100, CARHR047560, CARHR047570	Ag002G0112600
OG0000105	CARHR047200, CARHR047260	Ag063G5086100
OG0000105	CARHR262020	Ag002G0105600
OG0000105	CARHR047480	Ag024G2859800, Ag002G0126400, Ag002G0126500, Ag013G1589800
OG0000105	CARHR215710	Ag002G0105300, Ag002G0104800, Ag063G5087100, Ag025G2961900
OG0000106	CARHR183910	Ag014G1942900, Ag862G5518700, Ag001G0029000, Ag013G1729500, Ag034G3929600, Ag033G3563600, Ag006G0804600, Ag078G5342100, Ag006G0794900
OG0000107	CARHR119260, CARHR119250	Ag014G1858900
OG0000107	CARHR095660	Ag014G2149500
OG0000107	CARHR095650	Ag014G2149100
OG0000107	CARHR096820, CARHR096830, CARHR097220, CARHR095680, CARHR095690, CARHR095670	Ag014G2150100
OG0000108	CARHR285740, CARHR155270	Ag004G0614200, Ag004G0644200
OG0000108	CARHR086670	Ag014G1944700
OG0000108	CARHR203590	Ag013G1537900
OG0000108	CARHR094190	Ag014G2095200
OG0000110	CARHR151660	Ag001G0067200, Ag060G5005400, Ag010G1016200
OG0000115	CARHR155450	Ag032G3465800
OG0000117	CARHR023940	Ag088G5442700
OG0000117	CARHR024100	Ag088G5431700
OG0000118	CARHR101240, CARHR101220, CARHR133050, CARHR115930, CARHR115940, CARHR115970, CARHR133070, CARHR133060	Ag078G5395500, Ag034G4070400, Ag002G0250500
OG0000119	CARHR150070, CARHR118170	Ag048G4660700, Ag013G1597500
OG0000119	CARHR118700, CARHR273840	Ag004G0623100, Ag004G0623400
OG0000119	CARHR059580, CARHR150110	Ag034G3967000
OG0000119	CARHR256190, CARHR263010	Ag019G2548800, Ag013G1361500
OG0000119	CARHR150140, CARHR143200, CARHR207890	Ag031G3224900
OG0000121	CARHR114800	Ag001G0038000, Ag013G1486800, Ag034G3979800, Ag075G5293000, Ag034G3918700, Ag012G1325100, Ag048G4615600, Ag022G2667600, Ag013G1657600, Ag033G3603300, Ag088G5429800, Ag004G0527800, Ag004G0752500, Ag032G3454000, Ag013G1348300, Ag034G4049200, Ag034G4062600, Ag013G1643800, Ag004G0663600, Ag011G1257700, Ag042G4409800, Ag050G4765300, Ag025G2939600, Ag033G3480100, Ag066G5155600, Ag048G4631500, Ag002G0194900, Ag039G4332100, Ag074G5275500, Ag013G1525700
OG0000121	CARHR054110, CARHR100990	Ag038G4148800, Ag002G0147900
OG0000122	CARHR129080, CARHR031770, CARHR269910, CARHR269890	Ag011G1267200
OG0000122	CARHR269930	Ag004G0718500
OG0000124	CARHR059180	Ag075G5298000, Ag056G4938600
OG0000124	CARHR259840	Ag005G0788500, Ag031G3394500, Ag067G5193700
OG0000125	CARHR122240	Ag013G1613200
OG0000125	CARHR122140	Ag013G1612600
OG0000125	CARHR007350	Ag034G3743800
OG0000125	CARHR039100	Ag001G0065100
OG0000125	CARHR041970	Ag001G0066100
OG0000125	CARHR041980	Ag001G0065800
OG0000125	CARHR097260	Ag027G3062400
OG0000125	CARHR258870, CARHR041960	Ag001G0065900
OG0000127	CARHR007600	Ag034G3746600
OG0000127	CARHR190650	Ag004G0605400
OG0000127	CARHR163570	Ag031G3386800, Ag039G4310500
OG0000127	CARHR273520, CARHR154340, CARHR154390, CARHR121850	Ag013G1609800
OG0000128	CARHR061820	Ag031G3351100
OG0000128	CARHR169630	Ag031G3245700, Ag031G3245600
OG0000128	CARHR169580	Ag031G3246800, Ag031G3247000, Ag031G3246900
OG0000128	CARHR169600	Ag031G3246700
OG0000128	CARHR169570	Ag031G3249200, Ag031G3249100, Ag031G3248800, Ag031G3351900, Ag031G3350800, Ag031G3350000, Ag031G3350700, Ag002G0204500, Ag031G3349900
OG0000129	CARHR038520, CARHR038560	Ag013G1553100, Ag013G1550500, Ag013G1552900, Ag016G2401500, Ag013G1550300
OG0000129	CARHR056680, CARHR056760, CARHR056690	Ag013G1673500, Ag013G1673600
OG0000132	CARHR277270	Ag004G0468600, Ag004G0468500
OG0000132	CARHR214020	Ag039G4243000, Ag039G4243200, Ag039G4241900
OG0000134	CARHR202050	Ag013G1506600
OG0000136	CARHR186370	Ag013G1519100, Ag024G2872900, Ag033G3633700, Ag006G0798400, Ag020G2576300, Ag039G4209200, Ag033G3590600, Ag012G1284000
OG0000137	CARHR268700	Ag004G0742000
OG0000137	CARHR268690	Ag004G0742300
OG0000137	CARHR268680	Ag004G0742500, Ag004G0742600
OG0000138	CARHR169360	Ag031G3253900
OG0000138	CARHR169320	Ag033G3506400, Ag078G5363200
OG0000138	CARHR169390	Ag031G3253700, Ag031G3403500
OG0000138	CARHR052010, CARHR052020, CARHR053570	Ag001G0033000, Ag001G0031700, Ag032G3458900, Ag001G0033100, Ag001G0032800, Ag001G0032400, Ag001G0031800, Ag001G0032900, Ag001G0031500, Ag001G0032500, Ag001G0031600, Ag001G0033500, Ag001G0033400
OG0000140	CARHR146770	Ag038G4173300, Ag022G2672800, Ag033G3478700
OG0000150	CARHR217380, CARHR294480	Ag002G0131000, Ag068G5224900, Ag025G2934900
OG0000151	CARHR165130	Ag031G3356400
OG0000151	CARHR165120	Ag031G3356700
OG0000151	CARHR134140	Ag039G4248200
OG0000151	CARHR165110	Ag031G3356800
OG0000151	CARHR163410	Ag031G3389200
OG0000151	CARHR132240	Ag039G4314300
OG0000151	CARHR199860	Ag013G1463800
OG0000153	CARHR124170, CARHR124160, CARHR124140	Ag013G1616400
OG0000153	CARHR122540	Ag013G1615700
OG0000153	CARHR122550	Ag013G1615400
OG0000154	CARHR040870, CARHR121480	Ag001G0045800
OG0000154	CARHR290670	Ag053G4872200
OG0000154	CARHR040880, CARHR041470	Ag001G0045900
OG0000154	CARHR041490, CARHR040850, CARHR040760, CARHR040790, CARHR041510	Ag001G0045400, Ag001G0045500, Ag001G0045200, Ag001G0045100, Ag001G0045300, Ag001G0049100, Ag002G0262200
OG0000158	CARHR245230	Ag011G1092000
OG0000158	CARHR210870	Ag014G2168100, Ag027G3073200, Ag027G3072400
OG0000158	CARHR104280, CARHR150520	Ag014G1900800
OG0000160	CARHR109500	Ag042G4405700
OG0000160	CARHR238090	Ag068G5221600
OG0000160	CARHR271150	Ag004G0692900
OG0000160	CARHR073860	Ag048G4572800
OG0000161	CARHR059960, CARHR284490	Ag015G2193300, Ag055G4906800
OG0000162	CARHR145900, CARHR145910, CARHR145930	Ag011G1165200, Ag011G1165400, Ag011G1163300, Ag011G1163400, Ag011G1167300, Ag011G1167100, Ag011G1166900, Ag011G1222300
OG0000162	CARHR145920	Ag011G1166800
OG0000162	CARHR102810, CARHR103310	Ag014G2098100
OG0000162	CARHR127190	Ag013G1672600
OG0000165	CARHR292600	Ag004G0623500, Ag025G2946100, Ag016G2292600, Ag006G0843300, Ag004G0621300, Ag025G2946000
OG0000165	CARHR085710, CARHR085700, CARHR085180	Ag014G1928400
OG0000167	CARHR108190, CARHR108200	Ag014G2104000, Ag014G2103200, Ag014G2102400
OG0000167	CARHR099220	Ag003G0383500, Ag003G0383700
OG0000170	CARHR171350	Ag031G3214400
OG0000170	CARHR140750	Ag003G0319700, Ag003G0319800, Ag003G0320300, Ag003G0320600, Ag003G0320500, Ag003G0320200
OG0000170	CARHR140780, CARHR140790, CARHR140740	Ag003G0320000
OG0000171	CARHR266340	Ag020G2575200
OG0000171	CARHR046700	Ag024G2869500
OG0000171	CARHR107000	Ag044G4495800
OG0000171	CARHR269520	Ag004G0721800
OG0000171	CARHR083000, CARHR082990	Ag014G1883300
OG0000171	CARHR235660	Ag010G1018000
OG0000173	CARHR246590	Ag011G1059500, Ag011G1063500, Ag011G1063400, Ag011G1063300
OG0000173	CARHR132630	Ag060G4997300, Ag060G4996700, Ag060G4997500, Ag060G4997700, Ag060G4996200, Ag060G4997100, Ag022G2648900, Ag022G2648400, Ag022G2648200, Ag067G5186700, Ag011G1085300
OG0000173	CARHR100900	Ag014G1845700, Ag014G1846300, Ag014G1846000
OG0000173	CARHR246290, CARHR146050	Ag068G5224200, Ag068G5224000, Ag011G1085700
OG0000174	CARHR292260, CARHR102990	Ag064G5095900, Ag013G1514400, Ag004G0425200, Ag042G4401700, Ag072G5254600, Ag039G4257400, Ag014G1813500, Ag011G1172800
OG0000174	CARHR115250	Ag061G5042100, Ag027G3034800, Ag075G5303100, Ag025G2929800, Ag043G4452900
OG0000175	CARHR023910	Ag034G4063600
OG0000175	CARHR198650	Ag013G1441100
OG0000175	CARHR052550	Ag002G0234800
OG0000175	CARHR142560	Ag003G0294400
OG0000176	CARHR118040	Ag014G1823200, Ag014G1822800, Ag014G1822900, Ag014G1823300, Ag014G1822700
OG0000176	CARHR291360, CARHR291330, CARHR121440	Ag014G1833200
OG0000177	CARHR256500, CARHR181980	Ag034G3998900, Ag034G3998500, Ag034G3998600
OG0000177	CARHR181970	Ag004G0483700
OG0000178	CARHR253020	Ag066G5142800
OG0000178	CARHR250370	Ag016G2366900, Ag016G2366600
OG0000178	CARHR250360	Ag016G2366000, Ag016G2366700
OG0000178	CARHR259510, CARHR252970, CARHR263930, CARHR252960	Ag066G5144100, Ag066G5143400
OG0000179	CARHR058170	Ag003G0391500
OG0000182	CARHR167770	Ag013G1406700
OG0000183	CARHR215030, CARHR058380	Ag061G5037800
OG0000183	CARHR136200	Ag031G3311200
OG0000183	CARHR119300	Ag013G1588300
OG0000184	CARHR103600	Ag027G3048800
OG0000185	CARHR087540, CARHR087530, CARHR160040, CARHR160050, CARHR028040	Ag032G3420100
OG0000186	CARHR050630	Ag031G3213700
OG0000188	CARHR078890	Ag042G4412300
OG0000188	CARHR201470	Ag063G5067000, Ag002G0125500, Ag014G1815800
OG0000188	CARHR078860, CARHR078880	Ag014G2100300
OG0000188	CARHR078870	Ag014G1820500, Ag014G1820600, Ag011G1195700
OG0000189	CARHR108220	Ag011G1112900
OG0000189	CARHR069390, CARHR020570	Ag048G4687900
OG0000191	CARHR150970	Ag015G2179600, Ag002G0173300, Ag047G4543700, Ag033G3514800, Ag031G3293800, Ag052G4855700, Ag004G0666500, Ag022G2668400, Ag011G1171900, Ag015G2179500, Ag002G0258300
OG0000193	CARHR031320, CARHR091800, CARHR036940	Ag014G2033900
OG0000193	CARHR091790	Ag014G2035100, Ag014G2034500, Ag014G2034300, Ag014G2034200
OG0000193	CARHR036380, CARHR036970	Ag014G2096100, Ag014G2096200, Ag014G2036800, Ag034G3813900
OG0000195	CARHR175680	Ag004G0622100
OG0000195	CARHR273570	Ag004G0630200
OG0000195	CARHR273530, CARHR273550, CARHR273540	Ag004G0631000
OG0000196	CARHR288120, CARHR287580, CARHR213590	Ag075G5300100, Ag011G1221400
OG0000197	CARHR215070, CARHR051370, CARHR215060, CARHR215050, CARHR215370, CARHR226280, CARHR226370	Ag001G0061800, Ag032G3452100, Ag033G3647000, Ag033G3646800
OG0000198	CARHR144080	Ag039G4275700
OG0000198	CARHR015470, CARHR015480	Ag034G3875600
OG0000198	CARHR147290	Ag034G3844000, Ag033G3487200, Ag077G5316000
OG0000199	CARHR063270, CARHR063300	Ag068G5227600
OG0000200	CARHR005020, CARHR203250	Ag034G3715200, Ag034G3715500
OG0000200	CARHR028750, CARHR037140, CARHR037150, CARHR037160, CARHR037130	Ag034G3715400
OG0000202	CARHR250390, CARHR248840, CARHR250050, CARHR250400	Ag019G2492100
OG0000203	CARHR168640	Ag031G3304300
OG0000203	CARHR168740	Ag031G3270000
OG0000203	CARHR168690, CARHR168710	Ag031G3270800
OG0000208	CARHR057780, CARHR183230	Ag008G0951300, Ag029G3116900, Ag034G3931200, Ag013G1421500
OG0000209	CARHR014880, CARHR035940, CARHR010330	Ag034G3863700
OG0000209	CARHR202500	Ag013G1527000, Ag013G1527200, Ag013G1526500
OG0000209	CARHR024930, CARHR008650	Ag033G3479100, Ag052G4844900, Ag033G3481200, Ag052G4843000
OG0000210	CARHR140170	Ag003G0329800, Ag003G0330000
OG0000210	CARHR059620	Ag002G0166900
OG0000210	CARHR057970	Ag004G0616900
OG0000210	CARHR170840	Ag031G3221600
OG0000210	CARHR069160, CARHR059610	Ag031G3221000
OG0000210	CARHR170850	Ag031G3369000, Ag031G3377000
OG0000215	CARHR033990, CARHR055980, CARHR108830	Ag061G5039900, Ag040G4337500
OG0000215	CARHR284710	Ag007G0896700
OG0000216	CARHR253870	Ag030G3133600
OG0000216	CARHR253840	Ag030G3134000, Ag030G3134400, Ag030G3133900
OG0000216	CARHR054340	Ag002G0262400
OG0000216	CARHR166590	Ag031G3320500
OG0000219	CARHR065380, CARHR037370, CARHR272960, CARHR219370, CARHR253110, CARHR037380, CARHR123890	Ag015G2278200, Ag013G1733900, Ag003G0403300
OG0000225	CARHR072290	Ag061G5039000, Ag048G4599700, Ag048G4599600, Ag048G4599100, Ag048G4599800, Ag048G4598800, Ag048G4598900, Ag048G4598600, Ag034G3762800, Ag048G4598700
OG0000225	CARHR072300, CARHR072270, CARHR141370, CARHR201930, CARHR072280	Ag025G2955300
OG0000226	CARHR209980	Ag022G2747400, Ag022G2743200
OG0000227	CARHR080100, CARHR085660	Ag014G1926300, Ag014G1926900
OG0000229	CARHR062190	Ag031G3248700
OG0000229	CARHR004570	Ag013G1568700, Ag015G2186100
OG0000230	CARHR169340	Ag039G4289100, Ag031G3254100, Ag031G3253000, Ag031G3254300, Ag031G3402900, Ag031G3254500, Ag031G3254400, Ag031G3254600, Ag031G3402700
OG0000230	CARHR051200	Ag031G3402000
OG0000230	CARHR169400	Ag031G3255600, Ag031G3298100, Ag031G3298200
OG0000232	CARHR180870, CARHR049200, CARHR122740, CARHR110940, CARHR174010, CARHR102280	Ag047G4548200
OG0000233	CARHR205620	Ag013G1570500
OG0000234	CARHR139700	Ag003G0323000
OG0000234	CARHR135510, CARHR049800	Ag022G2764600, Ag022G2764800
OG0000234	CARHR210320, CARHR095200, CARHR095190, CARHR100580, CARHR100650, CARHR100570, CARHR210300	Ag022G2764200, Ag022G2764500, Ag022G2764700, Ag022G2764000, Ag022G2768000, Ag022G2768600, Ag022G2768200, Ag022G2768100, Ag022G2768400, Ag022G2768300, Ag011G1232900, Ag022G2767600, Ag022G2767700, Ag054G4882400, Ag022G2767800, Ag022G2764100, Ag022G2767900, Ag022G2764300, Ag039G4209400, Ag039G4208100, Ag039G4208800, Ag039G4208300, Ag039G4208700, Ag039G4209300, Ag039G4209100, Ag039G4209000, Ag039G4208400, Ag039G4208200
OG0000237	CARHR099050	Ag014G1943900, Ag014G1944000
OG0000237	CARHR043980	Ag002G0200000
OG0000237	CARHR098530	Ag027G3032700
OG0000238	CARHR064100, CARHR064090	Ag034G4055200
OG0000238	CARHR064110	Ag034G4054800
OG0000238	CARHR292540	Ag002G0184700
