Orthogroup	Aethionema_saxatile	Brassica_napus
OG0000000	As006G148660, As007G164610, As002G036700, As010G230770	XP_048622406.1
OG0000000	As002G040030	XP_013658077.1
OG0000000	As001G006630, As006G147610	XP_048634050.1
OG0000000	As011G257780	XP_048599884.1, XP_013718283.1
OG0000003	As008G191470	XP_048623767.1, XP_048617123.1, XP_048613209.1, XP_013650755.2, XP_048629524.1, XP_048627545.1, XP_048599996.1, XP_048611684.1, XP_048604999.1, XP_048605785.1, XP_048605458.1, XP_013717832.1, XP_048628762.1, XP_048628164.1, XP_048630693.1, XP_048622366.1
OG0000003	As010G230320	XP_048627106.1
OG0000003	As007G166450, As007G166410, As003G066730, As003G066690, As007G166480	XP_048628610.1, XP_048628617.1, XP_048611574.1
OG0000003	As012G279590	XP_048628351.1
OG0000004	As007G177100	XP_048593472.1, XP_048633069.1
OG0000004	As009G212350	XP_013720023.2, XP_048605758.1, XP_048613516.1
OG0000004	As010G231160	XP_048591457.1
OG0000005	As001G006250	XP_048613553.1
OG0000005	As007G177090, As005G111430	XP_048611997.1, XP_048601578.1
OG0000006	As011G261190	XP_048609003.1
