Orthogroup	Cardamine_amara	Cardamine_glauca
OG0000000	evm.model.RL_4.710	Cg008G288880
OG0000000	evm.model.RL_2.714	Cg001G026290, Cg008G290900, Cg004G127320, Cg008G322460, Cg006G203050, Cg002G060960, Cg002G062120
OG0000000	evm.model.RL_3.245	Cg002G062380, Cg002G069090, Cg005G186670
OG0000000	evm.model.RL_2.920, evm.model.RL_4.662, evm.model.RL_6.582	Cg008G318220, Cg007G256290, Cg005G186910, Cg004G150450, Cg002G062250
OG0000000	evm.model.RL_1.2840, evm.model.RL_3.692, evm.model.RL_5.2512	Cg002G068740, Cg001G030920, Cg011G329020
OG0000000	evm.model.RL_7.1901, evm.model.RL_2.681	Cg014G332090
OG0000003	evm.model.RL_5.2420, evm.model.RL_2.1084	Cg006G209840
OG0000003	evm.model.RL_1.3305	Cg001G032840
OG0000003	evm.model.RL_6.1194	Cg005G163140
OG0000003	evm.model.RL_2.709	Cg005G184670
OG0000003	evm.model.RL_6.671, evm.model.RL_8.1012	Cg004G144140
OG0000003	evm.model.RL_2.708	Cg001G032830
OG0000003	evm.model.RL_1.2633	Cg005G182650
OG0000004	evm.model.RL_2.303	Cg001G033800, Cg004G154080
OG0000005	evm.model.RL_4.402	Cg007G268560
OG0000005	evm.model.RL_8.2917	Cg007G253430
OG0000005	evm.model.RL_1.3117	Cg008G295320, Cg005G188150
OG0000005	evm.model.RL_1.1904, evm.model.RL_2.461	Cg003G087270
OG0000005	evm.model.RL_2.1096	Cg006G213190
OG0000006	evm.model.RL_4.553	Cg006G203530
OG0000006	evm.model.RL_5.578	Cg001G010040
OG0000007	evm.model.RL_2.508	Cg003G084380
OG0000007	evm.model.RL_1.2700, evm.model.RL_2.507, evm.model.RL_2.539	Cg002G061850
OG0000007	evm.model.RL_4.2369	Cg003G086130
OG0000008	evm.model.RL_7.1211	Cg002G060890
OG0000010	evm.model.RL_1.2848, evm.model.RL_7.2062, evm.model.RL_2.395	Cg006G205490
OG0000011	evm.model.RL_6.446	Cg005G184960
OG0000012	evm.model.RL_4.165	Cg003G089470, Cg006G226210
OG0000012	evm.model.RL_2.748	Cg003G096300
OG0000013	evm.model.RL_2.759, evm.model.RL_7.1969	Cg007G257070
OG0000013	evm.model.RL_3.1358	Cg005G184830
OG0000014	evm.model.RL_3.2282	Cg007G281140
