Orthogroup	Erysimum_linariifolium	Arabis_alpina
OG0000000	El004G209750	Aa_G305790.h1.t1
OG0000002	El002G130310	Aa_G251820.h1.t1, Aa_G700320.h1.t1, Aa_G879130.h1.t1, Aa_G871860.h1.t1
OG0000002	El004G208640	Aa_G645190.h1.t1
OG0000002	El006G293750	Aa_G202910.h1.t1, Aa_G473920.h1.t1, Aa_G671100.h1.t1, Aa_G36530.h1.t1, Aa_G272260.h2.t1, Aa_G272260.h1.t1, Aa_G571690.h1.t1
OG0000003	El003G189560, El002G128770	Aa_G301670.h1.t1
OG0000003	El002G128790, El002G128760, El002G138440	Aa_G4640.h1.t1, Aa_G834150.h1.t1, Aa_G80970.h1.t1
OG0000005	El001G038630	Aa_G1025960.h1.t1
OG0000005	El003G166140, El001G039730	Aa_G122060.h1.t1
OG0000007	El006G311470, El007G349510	Aa_G60120.h1.t1
OG0000008	El001G021990, El001G021710, El003G174670	Aa_G302250.h1.t1
OG0000011	El002G121150	Aa_G57260.h1.t1, Aa_G57270.h1.t1, Aa_G57300.h1.t1, Aa_G57280.h1.t1
OG0000012	El002G120760	Aa_G297380.h1.t1
OG0000013	El001G045710	Aa_G366470.h1.t1, Aa_G308560.h1.t1, Aa_G589080.h1.t1
OG0000015	El060G376140, El053G375740	Aa_G1870.h1.t1, Aa_G12580.h1.t1, Aa_G564620.h1.t1, Aa_G201940.h1.t1, Aa_G367160.h1.t1, Aa_G253910.h1.t1, Aa_G1010780.h1.t1, Aa_G461040.h1.t1, Aa_G252900.h1.t1, Aa_G11720.h1.t1
OG0000015	El001G047930	Aa_G183280.h1.t1, Aa_G533220.h1.t1
OG0000017	El007G336340	Aa_G917470.h1.t1
OG0000019	El002G122780	Aa_G277650.h1.t1
OG0000020	El002G120700, El006G296260	Aa_G209100.h1.t1
OG0000020	El007G347970, El005G264160	Aa_G907350.h1.t1
OG0000023	El003G162170	Aa_G200900.h1.t1
OG0000025	El001G014130, El001G014870, El001G014670, El003G176790, El003G190320, El007G338170, El007G338190, El007G338230, El007G338200	Aa_G123400.h1.t1, Aa_G71570.h1.t1, Aa_G123410.h1.t1
OG0000025	El007G342330, El007G342400, El007G342390, El007G340950, El003G176780, El001G014170	Aa_G553200.h1.t1
OG0000026	El007G356660	Aa_G387540.h1.t1
OG0000027	El002G118130, El002G117940, El002G117910	Aa_G737030.h1.t1, Aa_G731070.h1.t1
OG0000027	El002G117730	Aa_G230140.h1.t1
OG0000027	El001G029050, El001G025570	Aa_G565550.h1.t1, Aa_G614530.h1.t1, Aa_G511000.h1.t1, Aa_G14060.h1.t1
OG0000028	El008G369630, El004G212000, El004G211990, El007G348580, El007G334290, El007G365340, El007G351990	Aa_G248570.h1.t1
OG0000028	El007G352000	Aa_G988890.h1.t1
OG0000029	El003G179090, El007G348030, El008G371400, El008G371420, El008G371370, El008G371360, El001G044810	Aa_G154360.h1.t1
OG0000029	El001G046730	Aa_G302660.h1.t1
OG0000030	El007G358700, El008G371380, El007G349640	Aa_G67230.h1.t1
OG0000030	El002G130810	Aa_G76670.h1.t1
OG0000030	El007G346180	Aa_G273270.h1.t1, Aa_G660430.h1.t1, Aa_G517310.h1.t1, Aa_G528960.h1.t1, Aa_G569810.h1.t1, Aa_G361630.h1.t1, Aa_G61910.h1.t1
OG0000030	El003G181960	Aa_G347570.h1.t1, Aa_G618610.h1.t1, Aa_G125500.h1.t1, Aa_G963460.h1.t1, Aa_G338960.h1.t1
OG0000030	El003G178390, El003G178450, El004G207450, El004G207460, El002G136200	Aa_G500830.h1.t1
OG0000031	El007G349520	Aa_G830960.h1.t1, Aa_G357190.h1.t1, Aa_G22660.h1.t1
OG0000031	El002G096100	Aa_G291980.h1.t1, Aa_G291990.h1.t1
OG0000031	El005G253470	Aa_G97120.h1.t1
OG0000033	El003G162140, El003G162150	Aa_G619140.h1.t1, Aa_G782810.h1.t1
OG0000033	El003G192480	Aa_G191730.h1.t1
OG0000033	El003G162220	Aa_G191690.h1.t1
OG0000033	El001G014890	Aa_G92840.h1.t1
OG0000034	El004G208110, El007G350680, El007G350130	Aa_G997690.h1.t1
OG0000035	El006G299540	Aa_G154560.h1.t1
OG0000036	El006G312180	Aa_G527390.h1.t1
OG0000038	El006G281890, El006G282510	Aa_G525570.h1.t1
OG0000038	El002G110410, El002G110580, El002G110340	Aa_G470970.h1.t1
