Orthogroup	Brassica_rapa	Euclidium_syriacum
OG0000000	XP_009139680.2, XP_009119930.2, XP_009128546.1	ESY7_g16163_DN2_SP0_c0.t1
OG0000000	XP_009123079.1	ESY7_g16535_DN2_SP0_c0.t1, ESY20_g12791_DN2_SP0_c0.t1
OG0000000	XP_033148634.1	ESY6_g47093_DN2_SP0_c0.t1
OG0000002	XP_033140595.1, XP_018511523.1, XP_033138748.1, XP_033139562.1, XP_033138881.1, XP_033139102.1, XP_033129425.1, XP_033129376.1, XP_033139223.1, XP_033129408.1, XP_033134214.1, XP_033135851.1, XP_033147588.1, XP_033138789.1, XP_033129436.1, XP_033148879.1, XP_033142691.1, XP_033134367.1, XP_033136957.1, XP_033143541.1, XP_033136250.1, XP_033134280.1, XP_033139166.1, XP_033134986.1, XP_033128755.1, XP_033148549.1, XP_033148076.1, XP_033134169.1, XP_033148513.1	ESY9_g43349_DN2_SP0_c0.t1
OG0000003	XP_009123480.1	ESY8_g60366_DN2_SP0_c0.t1
OG0000003	XP_033129372.1	ESY2_g37194_DN1_SP0_c0.t1
OG0000003	XP_033129393.1, XP_009107616.2, XP_009138649.2, XP_033148502.1, XP_033133979.1, XP_033141128.1, XP_009119170.2	ESY9_g43824_DN1_SP0_c0.t1
OG0000003	XP_033146211.1	ESY9_g43536_DN2_SP0_c0.t1, ESY9_g43962_DN2_SP0_c0.t1, ESY17_g39790_DN2_SP0_c0.t1
OG0000004	XP_033148227.1, XP_033141775.1, XP_033140426.1, XP_033141600.1, XP_033131490.1, XP_033129333.1, XP_033132866.1, XP_033139421.1, XP_033146851.1, XP_033143942.1, XP_033137068.1, XP_033132321.1, XP_033132255.1, XP_033128096.1, XP_033139470.1, XP_033139367.1	ESY9_g43878_DN2_SP0_c0.t1
OG0000004	XP_033138950.1, XP_033130324.1	ESY3_g27908_DN2_SP0_c72.t1, ESY3_g29030_DN1_SP0_c59.t1, ESY2_g38064_DN2_SP0_c54.t1
OG0000005	XP_033148793.1	ESY8_g60803_DN3_SP0_c6.t1
