Orthogroup	Rorippa_islandica	Capsella_rubella
OG0000000	Roisl.0012s0255.1.p, Roisl.0053s0040.1.p	XP_023644510.1, XP_023644490.1
OG0000000	Roisl.0020s0162.1.p, Roisl.0213s0727.1.p	XP_023636065.1, XP_023634315.1, XP_023640349.1, XP_023633451.1, XP_023633818.1
OG0000000	Roisl.0213s0280.1.p	XP_023642406.1, XP_023644536.1, XP_023640443.1, XP_023633512.1
OG0000002	Roisl.0006s0264.1.p, Roisl.0012s0025.1.p, Roisl.0038s0052.1.p, Roisl.0184s0176.1.p	XP_023638855.1
OG0000003	Roisl.0210s2108.1.p, Roisl.0193s0004.1.p, Roisl.0189s0031.1.p, Roisl.0124s0003.1.p, Roisl.0185s0057.1.p, Roisl.0210s2127.1.p, Roisl.0188s0002.1.p, Roisl.0061s0013.1.p, Roisl.0066s0222.1.p, Roisl.0023s0114.1.p, Roisl.0214s0241.1.p, Roisl.0194s0028.1.p, Roisl.0209s0038.1.p	XP_023644456.1
OG0000005	Roisl.0201s0014.1.p, Roisl.0087s0005.1.p, Roisl.0014s0007.1.p, Roisl.0087s0007.1.p, Roisl.0195s0029.1.p, Roisl.0179s0085.1.p	XP_023636063.1
OG0000008	Roisl.0014s0140.1.p, Roisl.0025s0028.1.p, Roisl.0072s0014.1.p, Roisl.0053s0439.1.p	XP_023641963.1
OG0000008	Roisl.0066s0187.1.p, Roisl.0066s0390.1.p, Roisl.0050s0011.1.p	XP_023633617.1
OG0000008	Roisl.0213s0742.1.p, Roisl.0188s0051.1.p	XP_006282156.2
OG0000008	Roisl.0066s0428.1.p, Roisl.0066s0426.1.p, Roisl.0008s0018.1.p	XP_023641902.1
OG0000008	Roisl.0046s1132.1.p, Roisl.0046s1119.1.p	XP_023638567.1
OG0000008	Roisl.0027s0062.1.p, Roisl.0058s0016.1.p, Roisl.0022s0261.1.p	XP_023633352.1
OG0000008	Roisl.0014s0136.1.p, Roisl.0214s0127.1.p, Roisl.0179s0096.1.p	XP_023633344.1
OG0000011	Roisl.0008s0052.1.p	XP_023638113.1, XP_023633028.1
OG0000012	Roisl.0031s0101.1.p, Roisl.0213s0834.1.p	XP_023644370.1, XP_023634858.1, XP_023636049.1
OG0000014	Roisl.0191s0716.1.p	XP_023644214.1
OG0000014	Roisl.0111s0029.1.p, Roisl.0050s0113.1.p, Roisl.0050s0122.1.p, Roisl.0209s0681.1.p, Roisl.0184s0043.1.p, Roisl.0066s0348.1.p, Roisl.0202s0002.1.p, Roisl.0066s0452.1.p, Roisl.0087s0027.1.p, Roisl.0075s0232.1.p, Roisl.0204s0101.1.p, Roisl.0179s0033.1.p, Roisl.0045s0064.1.p, Roisl.0040s0043.1.p, Roisl.0184s0044.1.p, Roisl.0184s0162.1.p, Roisl.0056s0049.1.p, Roisl.0191s0708.1.p, Roisl.0188s0121.1.p, Roisl.0075s0002.1.p	XP_023639612.1
OG0000014	Roisl.0041s0069.1.p, Roisl.0214s0137.1.p, Roisl.0002s0076.1.p, Roisl.0029s0003.1.p, Roisl.0040s0055.1.p, Roisl.0055s0017.1.p, Roisl.0194s0041.1.p	XP_023638462.1, XP_023634279.1
OG0000015	Roisl.0010s0007.1.p	XP_023633382.1
OG0000016	Roisl.0214s0061.1.p, Roisl.0031s0055.1.p, Roisl.0213s0004.1.p, Roisl.0194s0052.1.p	XP_023634145.1
OG0000016	Roisl.0188s0048.1.p, Roisl.0209s0119.1.p	XP_023639630.1
OG0000020	Roisl.0179s0050.1.p	XP_006279199.1
OG0000020	Roisl.0025s0020.1.p, Roisl.0204s0053.1.p, Roisl.0066s0088.1.p, Roisl.0036s0054.1.p, Roisl.0040s0004.1.p, Roisl.0214s0552.1.p, Roisl.0194s0048.1.p	XP_023644500.1, XP_023642646.1, XP_023644234.1, XP_023636041.1, XP_023633702.1, XP_023633829.1, XP_023644232.1
OG0000020	Roisl.0082s0242.1.p	XP_023644230.1, XP_023638100.1, XP_023633554.1, XP_023644447.1, XP_023640322.1, XP_006301549.2, XP_023638121.1
OG0000021	Roisl.0082s0017.1.p	XP_023637954.1
OG0000021	Roisl.0198s0008.1.p	XP_023641377.1
OG0000021	Roisl.0213s0355.1.p, Roisl.0006s0361.1.p, Roisl.0046s0769.1.p	XP_023634149.1, XP_023640318.1, XP_023634347.1, XP_023644512.1, XP_023636053.1, XP_006285455.2, XP_023638958.1, XP_023645856.1, XP_023634319.1
OG0000021	Roisl.0014s0139.1.p	XP_023634431.1, XP_023644454.1, XP_023641962.1, XP_023641378.1, XP_023637243.1, XP_023642574.1
OG0000022	Roisl.0022s0346.1.p	XP_006283550.1
OG0000022	Roisl.0210s1365.1.p	XP_023636761.1
OG0000022	Roisl.0010s0095.1.p	XP_006301194.2, XP_006300860.1
OG0000022	Roisl.0010s0065.1.p	XP_006302102.1
OG0000022	Roisl.0010s0069.1.p	XP_006301814.1
OG0000022	Roisl.0021s0361.1.p	XP_006306232.1
OG0000022	Roisl.0050s0030.1.p	XP_023643559.1
OG0000022	Roisl.0050s0031.1.p	XP_006302132.1
OG0000022	Roisl.0009s0109.1.p	XP_023635463.1
OG0000022	Roisl.0074s0275.1.p	XP_006297483.1
OG0000024	Roisl.0066s0178.1.p	XP_023632988.1
OG0000024	Roisl.0213s0367.1.p	XP_023632980.1, XP_023632975.1, XP_023632970.1
OG0000025	Roisl.0002s0230.1.p, Roisl.0062s0001.1.p, Roisl.0020s0076.1.p	XP_023636962.1
OG0000025	Roisl.0213s0858.1.p, Roisl.0022s0006.1.p	XP_023636110.1
OG0000027	Roisl.0213s0582.1.p	XP_023635858.1, XP_006289355.2, XP_006286462.1
OG0000027	Roisl.0213s0590.1.p, Roisl.0213s0588.1.p, Roisl.0213s0583.1.p	XP_023635866.1
OG0000027	Roisl.0008s0130.1.p	XP_006284983.1
OG0000027	Roisl.0184s0126.1.p	XP_006283253.1
OG0000027	Roisl.0184s0128.1.p, Roisl.0184s0127.1.p	XP_023634688.1
OG0000027	Roisl.0008s0080.1.p	XP_023638659.1
OG0000027	Roisl.0214s0896.1.p	XP_006285954.1
OG0000027	Roisl.0008s0076.1.p	XP_006282816.1
OG0000027	Roisl.0012s0193.1.p	XP_023634702.1
OG0000028	Roisl.0080s0376.1.p, Roisl.0075s0120.1.p, Roisl.0001s0071.1.p, Roisl.0075s0080.1.p, Roisl.0075s0121.1.p	XP_023634475.1
OG0000028	Roisl.0008s0342.1.p	XP_006285133.1
OG0000028	Roisl.0053s0333.1.p	XP_006291347.1
OG0000028	Roisl.0053s0334.1.p	XP_006292343.1
OG0000028	Roisl.0091s1124.1.p, Roisl.0053s0416.1.p, Roisl.0053s0421.1.p, Roisl.0214s0405.1.p	XP_006299262.2
OG0000029	Roisl.0208s0029.1.p	XP_023644241.1
OG0000030	Roisl.0115s0348.1.p, Roisl.0115s0350.1.p, Roisl.0115s0351.1.p	XP_023642658.1, XP_023641336.1, XP_006296044.1
OG0000030	Roisl.0019s0830.1.p, Roisl.0019s0831.1.p	XP_023644289.1
OG0000030	Roisl.0115s0300.1.p	XP_006297884.1
OG0000030	Roisl.0213s0186.1.p	XP_006303634.1, XP_023632886.1, XP_023632793.1
OG0000030	Roisl.0046s0887.1.p	XP_006293126.1
OG0000030	Roisl.0021s0166.1.p	XP_006305030.1
OG0000030	Roisl.0046s0886.1.p	XP_006297854.1, XP_006297862.1, XP_006300177.2
OG0000030	Roisl.0074s0618.1.p	XP_006298407.2
OG0000031	Roisl.0023s0119.1.p	XP_023633361.1
OG0000032	Roisl.0005s0192.1.p	XP_023632591.1
OG0000034	Roisl.0008s0068.1.p	XP_006283285.1
OG0000034	Roisl.0214s0895.1.p	XP_023634692.1
OG0000034	Roisl.0008s0077.1.p	XP_006285944.1
OG0000034	Roisl.0091s0190.1.p	XP_023634856.1
OG0000034	Roisl.0214s0897.1.p, Roisl.0214s0900.1.p, Roisl.0214s0898.1.p	XP_023634693.1, XP_023634678.1
OG0000034	Roisl.0008s0129.1.p, Roisl.0008s0131.1.p	XP_006283145.1, XP_006283273.1, XP_023634701.1
OG0000034	Roisl.0214s0904.1.p	XP_006284972.1
OG0000034	Roisl.0019s0659.1.p	XP_006283283.1
OG0000034	Roisl.0214s0905.1.p	XP_023635576.1
OG0000035	Roisl.0213s0218.1.p	XP_023633542.1, XP_023633652.1, XP_023639706.1
OG0000035	Roisl.0038s0018.1.p, Roisl.0082s0037.1.p, Roisl.0213s0025.1.p	XP_023640381.1, XP_023634177.1
