Cochlearia_excelsa	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
g1	3150					
g10	417	AT5G65990.1	AT5G65990.1	orthologue	GO:0015175;GO:0003333;GO:0005774;GO:0015179;GO:0015801;GO:0015171;GO:0015804;GO:0015173;GO:0016020	Amino acid transporter AVT3A (AtAvt3A) (Aromatic and neutral amino acid transporter-like protein 3)
g100	379	AT5G67460.1	AT5G67460.1	orthologue	GO:0005576;GO:0005886;GO:0005975;GO:0042973;GO:0009506;GO:0098552;GO:0004553	glucan endo-1,3-beta-D-glucosidase (EC 3.2.1.39)
g1000	105	AT2G04115.1, AT1G51240.1, AT1G51250.1, AT1G51230.1, AT5G39493.1, AT1G09245.1, AT3G10455.1	AT2G04115.1	other	GO:0003674;GO:0005575;GO:0008150;GO:0005576;GO:0005739;GO:0060320	At1g51250 (F11M15.11 protein) (Plant self-incompatibility protein S1 family);F11M15.10 protein (Plant self-incompatibility protein S1 family);Plant self-incompatibility protein S1 family;Plant self-incompatibility protein S1 family protein;S-protein homolog;S-protein homolog 14;S-protein homolog 15
g10000	334	AT5G24180.1, AT5G24220.1, AT5G24190.1	AT5G24220.1	orthologue	GO:0003674;GO:0005634;GO:0006629;GO:0005575	Gb|AAD29063.1 (Lipase class 3-related protein)
g10001	636	AT5G24300.1	AT5G24300.1	orthologue	GO:0009570;GO:0019252;GO:0009536;GO:0010021;GO:0004373;GO:0009507;GO:0009011;GO:0033840;GO:0009501;GO:0009960;GO:0016757	Starch synthase 1, chloroplastic/amyloplastic (AtSS1) (SSS) (EC 2.4.1.21) (Soluble starch synthase I)
g10002	72					
g10003	159				GO:0046872	
g10004	205	AT1G06900.1	AT1G06900.1	other	GO:0004222;GO:0008150;GO:0005737;GO:0005829;GO:0006508;GO:0046872	Nardilysin-like (EC 3.4.24.61) (N-arginine dibasic convertase-like) (NRD convertase-like) (NRD-C)
g10005	162	AT5G24314.2	AT5G24314.2	orthologue	GO:0042644;GO:0042793;GO:0009658;GO:0010027;GO:0005515;GO:0009507;GO:0009735;GO:0009416;GO:0000427;GO:0005634	Protein PLASTID TRANSCRIPTIONALLY ACTIVE 7 (pTAC7) (PEP-associated protein 12) (Protein PIGMENT DEFECTIVE 225)
g10006	88	AT5G24330.1	AT5G24330.1	other	GO:0003712;GO:0009901;GO:0006357;GO:0005515;GO:0046976;GO:0051726;GO:0005634;GO:0000785;GO:0003682;GO:0004402;GO:0006275;GO:0008270;GO:0032259;GO:0140953	Histone-lysine N-methyltransferase ATXR6 (EC 2.1.1.369) (Protein SET DOMAIN GROUP 34) (Trithorax-related protein 6) (TRX-related protein 6)
g10007	445					
g10008	314				GO:0003676;GO:0015074	
g10009	766				GO:0003676;GO:0008270	
g1001	109	AT5G55160.2	AT5G55160.2	orthologue	GO:0031386;GO:0005829;GO:0005634;GO:0005737;GO:0044389;GO:0009536;GO:0009408;GO:0016925;GO:0005515	Small ubiquitin-related modifier (SUMO);Small ubiquitin-related modifier 2 (AtSUMO2)
g10010	172	AT5G24370.1	AT5G24370.1	orthologue	GO:0005575;GO:0046910;GO:0043086;GO:0004857	Emb|CAB66412.1 (Plant invertase/pectin methylesterase inhibitor superfamily protein)
g10011	661	AT5G24380.1	AT5G24380.1	orthologue	GO:0010043;GO:0010039;GO:0048316;GO:0005886;GO:0051980;GO:0035673;GO:0006811;GO:0016020	Metal-nicotianamine transporter YSL2 (Protein YELLOW STRIPE LIKE 2) (AtYSL2)
g10012	533	AT5G24390.1	AT5G24390.1	orthologue	GO:0005096;GO:0009507;GO:0090630	At5g24390 (GTPase activator-like protein of Rab-like small GTPases) (Ypt/Rab-GAP domain of gyp1p superfamily protein)
g10013	333	AT5G24400.1	AT5G24400.1	orthologue	GO:0009051;GO:0006098;GO:0005829;GO:0009793;GO:0005975;GO:0009507;GO:0009570;GO:0042742;GO:0017057;GO:0002229;GO:0005515;GO:0009536;GO:0042128;GO:0005777;GO:0071461	6-phosphogluconolactonase 3, chloroplastic (6PGL3) (EC 3.1.1.31) (Protein EMBRYO DEFECTIVE 2024)
g10014	556	AT5G24450.1	AT5G24450.1	orthologue	GO:0006384;GO:0000127;GO:0005634;GO:0001003;GO:0001002;GO:0003677	Transcription factor IIIC, subunit 5
g10015	89	AT5G24460.1	AT5G24460.1	other	GO:0005634;GO:0009505;GO:0003674	RING-H2 zinc finger protein
g10016	333	AT5G24400.1	AT5G24400.1	orthologue	GO:0009051;GO:0006098;GO:0005829;GO:0009793;GO:0005975;GO:0009507;GO:0009570;GO:0042742;GO:0017057;GO:0002229;GO:0005515;GO:0009536;GO:0042128;GO:0005777;GO:0071461	6-phosphogluconolactonase 3, chloroplastic (6PGL3) (EC 3.1.1.31) (Protein EMBRYO DEFECTIVE 2024)
g10017	478	AT5G24460.1	AT5G24460.1	orthologue	GO:0005634;GO:0009505;GO:0003674	RING-H2 zinc finger protein
g10018	66					
g10019	245	AT5G24560.1	AT5G24560.1	other	GO:0030246;GO:0005634;GO:0005515	Phloem protein 2-B12;Putative F-box protein PP2-B12 (Protein PHLOEM PROTEIN 2-LIKE B12) (AtPP2-B12)
g1002	462	AT5G55180.2	AT5G55180.2	orthologue	GO:0005576;GO:0009507;GO:0005975;GO:0042973;GO:0005886;GO:0006952;GO:0009506;GO:0098552;GO:0004553	glucan endo-1,3-beta-D-glucosidase (EC 3.2.1.39)
g10020	72					
g10021	248	AT5G24600.1	AT5G24600.1	orthologue	GO:0005739;GO:0003674;GO:0016020	At5g24600;DUF599 domain-containing protein
g10022	237	AT5G24610.1, AT3G49550.1	AT5G24610.1	orthologue	GO:0005575;GO:0003674	At3g49550;At5g24610 (Cyclic AMP-responsive element-binding protein) (Emb|CAB62459.1)
g10023	522	AT5G24690.1	AT5G24690.1	orthologue	GO:0009941;GO:0009507;GO:0009706;GO:0009536;GO:0099402;GO:0003674	AT5g24690/MXC17_8 (Plant/protein, putative (DUF3411))
g10024	1373	AT5G24710.1	AT5G24710.1	orthologue	GO:0009555;GO:0072583;GO:0009536;GO:0003674;GO:0005515	Transducin/WD40 repeat-like superfamily protein
g10025	3458	AT5G24740.3	AT5G24740.3	orthologue	GO:0010015;GO:0010082;GO:0006623;GO:0045053;GO:0003674;GO:1990064;GO:0005794;GO:0006869	Vacuolar protein sorting-associated protein, putative (DUF1162)
g10026	259	AT5G24840.1	AT5G24840.1	orthologue	GO:0008176;GO:0043527;GO:0006400;GO:0030488;GO:0005739;GO:0036265;GO:0005575;GO:0000049;GO:0005634	tRNA (guanine-N(7)-)-methyltransferase (EC 2.1.1.33) (tRNA (guanine(46)-N(7))-methyltransferase) (tRNA(m7G46)-methyltransferase)
g10027	434	AT5G24880.1	AT5G24880.1	orthologue	GO:0005634;GO:0003674	Chromo domain cec-like protein
g10028	241	AT5G24890.1	AT5G24890.1	orthologue	GO:0003674;GO:0045893;GO:0005634;GO:0046686;GO:0006979	Protein OXIDATIVE STRESS 3 LIKE 4 (AtO3L4) (KID-containing protein) (AtKCP)
g10029	288					
g1003	482	AT5G55200.1	AT5G55200.1	other	GO:0005524;GO:0001405;GO:0000774;GO:0005739;GO:0009507;GO:0030150;GO:0051087;GO:0006457;GO:0005507;GO:0051082;GO:0042803;GO:0009411;GO:0005759;GO:0005525;GO:0003924;GO:0006913;GO:0000054;GO:0005634;GO:0005737;GO:0006606	GrpE protein homolog 1, mitochondrial
g10030	95	AT4G23160.2	AT4G23160.2	other	GO:0042742;GO:0004674;GO:0004672;GO:0009626;GO:0016301;GO:0005886;GO:0007165;GO:0005524;GO:0106310;GO:0016020	Cysteine-rich RECEPTOR-like kinase;Cysteine-rich receptor-like protein kinase 8 (Cysteine-rich RLK8) (EC 2.7.11.-)
g10031	450				GO:0015074;GO:0003676	
g10032	252				GO:0003676;GO:0008270	
g10033	350	AT5G24930.1	AT5G24930.1	orthologue	GO:0009909;GO:0032922;GO:0006355;GO:0008270;GO:0005634;GO:0003700;GO:0016607;GO:0005515	Zinc finger protein CONSTANS-LIKE 4
g10034	479	AT5G24940.1	AT5G24940.1	orthologue	GO:1902531;GO:0009536;GO:0017018;GO:0004722;GO:0005634;GO:0046872;GO:0043169;GO:0006470	Probable protein phosphatase 2C 71 (AtPP2C71) (EC 3.1.3.16)
g10035	502	AT5G25040.2, AT5G25050.1	AT5G25050.1	orthologue	GO:0005575;GO:0003674;GO:0009507;GO:0009536;GO:0016020	Major facilitator superfamily protein;Probable folate-biopterin transporter 2;Probable folate-biopterin transporter 5
g10036	219	AT5G25080.1	AT5G25080.1	orthologue	GO:0003677;GO:0000460;GO:0003723;GO:0010468;GO:0005634;GO:0005730;GO:0000178;GO:0005737	Nuclear nucleic acid-binding protein C1D
g10037	89					
g10038	184	AT5G25090.1	AT5G25090.1	orthologue	GO:0005886;GO:0016020;GO:0009536;GO:0009506;GO:0009055;GO:0098552	Early nodulin-like protein 13 (AtENODL13) (Early nodulin-like protein 3) (Phytocyanin-like protein ENODL13)
g10039	510				GO:0003824	
g1004	160	AT5G55210.1	AT5G55210.1	other	GO:0072598;GO:0003674;GO:0009507;GO:0005634	At5g55210
g10040	453	AT5G25110.1	AT5G25110.1	orthologue	GO:0004674;GO:0001666;GO:0050832;GO:0005515;GO:0010150;GO:0007165;GO:0030007;GO:0005794;GO:0005524;GO:0106310;GO:0004672;GO:0006468	CBL-interacting serine/threonine-protein kinase 25 (EC 2.7.11.1) (SNF1-related kinase 3.25) (SOS2-like protein kinase PKS25)
g10041	475	AT5G25180.1, AT5G25130.1, AT5G25120.1, AT5G25140.1	AT5G25120.1	orthologue	GO:0005506;GO:0009507;GO:0020037;GO:0016705;GO:0009536;GO:0004497;GO:0016020	Cytochrome P450 71B11 (EC 1.14.-.-);Cytochrome P450 71B12 (EC 1.14.-.-);Cytochrome P450 71B13 (EC 1.14.-.-);Cytochrome P450 71B14 (EC 1.14.-.-)
g10042	496	AT5G25120.1, AT5G25130.1, AT5G25140.1, AT5G25180.1	AT5G25120.1	other	GO:0005506;GO:0009507;GO:0020037;GO:0016705;GO:0009536;GO:0004497;GO:0016020	Cytochrome P450 71B11 (EC 1.14.-.-);Cytochrome P450 71B12 (EC 1.14.-.-);Cytochrome P450 71B13 (EC 1.14.-.-);Cytochrome P450 71B14 (EC 1.14.-.-)
g10043	484					
g10044	131	AT1G18740.1	AT1G18740.1	other	GO:1901332;GO:0005886;GO:0005515;GO:0006887;GO:0009631;GO:0009409;GO:0031982;GO:0016192;GO:0019428;GO:0000145;GO:0006904;GO:0005737;GO:0005634;GO:1900140;GO:0009741;GO:0140115;GO:2000012;GO:0009734;GO:0009742	Protein BYPASS1-LIKE
g10045	101					
g10046	173	AT5G25190.1	AT5G25190.1	orthologue	GO:0003700;GO:0006355;GO:0005515;GO:0009873;GO:0005622;GO:0005634;GO:0003677	Ethylene-responsive transcription factor ERF003
g10047	176	AT5G25210.2	AT5G25210.2	orthologue	GO:0003674;GO:0005634	Uncharacterized protein;Uncharacterized protein At5g25210
g10048	121	AT5G25240.1	AT5G25240.1	orthologue	GO:0005575;GO:0003674	Stress induced protein
