Orthogroup	Arabidopsis_arenosa	Odontarrhena_muralis
OG0000000	jg21092	Om002G080460, Om002G078940, Om002G076380, Om001G000920, Om003G104880, Om006G261430, Om001G034540, Om004G160680, Om008G353120, Om008G341090, Om004G130950, Om003G093730, Om018G373830
OG0000000	jg27456, jg2001, jg27197, jg21191, jg32817, jg27337, jg72, jg32155, jg20829, jg8262	Om005G215690, Om007G308190
OG0000000	jg1749	Om004G142780, Om003G104870, Om003G105610
OG0000000	jg6905, jg17418	Om008G350470, Om008G347230, Om008G345480, Om002G077030, Om006G263450
OG0000000	jg16482, jg16492	Om004G154060, Om009G363570, Om004G177240, Om006G269410
OG0000000	jg27064	Om006G263990
OG0000002	jg2023, jg27584, jg11830	Om007G309520, Om002G043270
OG0000002	jg13863	Om003G105370, Om003G107650, Om008G342070, Om003G102030
OG0000002	jg1783	Om004G152900
OG0000003	jg14786	Om007G276690
OG0000003	jg11918	Om005G217790
OG0000004	jg25786	Om004G166890, Om008G350240, Om004G154990, Om007G295840, Om008G361070, Om003G090730
OG0000005	jg12267, jg12278	Om005G219680, Om008G356930, Om004G145060
OG0000005	jg28095	Om003G112550
OG0000005	jg1846, jg6872, jg23533	Om007G282810
OG0000005	jg11602	Om003G120090, Om004G171760, Om001G040140, Om005G219160, Om004G133100, Om007G278140, Om004G162990, Om002G061770, Om005G208920, Om001G009210, Om003G121940, Om008G357500, Om002G087060
OG0000005	jg1845	Om003G112530, Om008G348300
OG0000005	jg25251, jg5560	Om007G313790
OG0000005	jg8025, jg11080, jg14183, jg14024, jg21899, jg13959, jg1165, jg13498, jg21058, jg18867, jg13113, jg21920	Om002G076060
OG0000005	jg21901, jg12230	Om008G339990
OG0000005	jg27468	Om004G151870, Om002G089170, Om004G141530
OG0000005	jg21611, jg16911, jg12161, jg12492	Om003G100620
OG0000007	jg7091	Om004G138310, Om002G075780, Om007G295140, Om006G263650, Om006G268070, Om002G088480, Om002G062480
OG0000007	jg33137	Om005G227520
OG0000007	jg14512, jg5404, jg7218, jg32933, jg21574	Om006G248820, Om006G248770
OG0000011	jg27473, jg29119, jg27079	Om005G184900
OG0000012	jg26919, jg12454, jg31920, jg1757, jg32331, jg12319, jg3735	Om004G146180
OG0000012	jg27744, jg1550, jg27237, jg26946, jg7019, jg10010, jg11974, jg21172, jg12128, jg11895, jg21243, jg32109, jg17207, jg1599, jg12143, jg31034, jg32719, jg17365, jg31024	Om005G215090
OG0000013	jg1575	Om008G346820, Om005G224220
OG0000013	jg11978	Om002G089030
OG0000013	jg12130	Om003G108850, Om006G268640
OG0000014	jg22974	Om008G343710
OG0000014	jg18640	Om005G227750
OG0000015	jg11869	Om008G350280
OG0000015	jg27710	Om006G271980
OG0000015	jg21314, jg11868	Om003G098660
OG0000017	jg32618	Om003G112310
OG0000017	jg6965	Om004G151020, Om004G146420, Om008G347290, Om002G079940, Om008G359420, Om007G308900
OG0000017	jg1560	Om003G110750, Om007G302050, Om004G150950, Om009G363620, Om007G307580, Om008G344670, Om002G080330, Om001G016040
OG0000017	jg6883	Om003G101880, Om004G153720
OG0000018	jg4400, jg32393, jg11989, jg32560, jg26774, jg3954, jg701, jg1978, jg32225, jg20321, jg32267, jg11853, jg1316, jg17083, jg15089, jg16332, jg12414, jg15196, jg2029, jg27287, jg27179, jg25715	Om008G335480, Om007G284460, Om008G361630
OG0000019	jg13839	Om004G154810, Om003G104700, Om002G077910
OG0000021	jg17562	Om005G226540, Om001G020790
OG0000021	jg17386, jg13577, jg12206	Om001G020780, Om001G006810, Om002G059070
OG0000023	jg10174	Om001G010400
OG0000023	jg7515, jg7514, jg10181	Om001G010360, Om001G009290
OG0000023	jg7521	Om008G351580
OG0000023	jg7533, jg7537, jg7530	Om008G351620, Om008G351630
OG0000023	jg10191	Om001G010200
OG0000023	jg10192	Om001G010250
OG0000023	jg10199	Om001G011570
OG0000024	jg2022	Om001G030080, Om007G305000
OG0000025	jg22442, jg11446	Om002G073490, Om002G073430
OG0000025	jg22244	Om003G114490, Om003G114450
OG0000026	jg1482, jg6966, jg6980, jg14688, jg1903, jg7349	Om002G080990
OG0000027	jg17071	Om007G316890
