Orthogroup	Capsella_rubella	Rorippa_islandica
OG0000000	XP_023644510.1, XP_023644490.1	Roisl.0012s0255.1.p, Roisl.0053s0040.1.p
OG0000000	XP_023636065.1, XP_023634315.1, XP_023640349.1, XP_023633451.1, XP_023633818.1	Roisl.0020s0162.1.p, Roisl.0213s0727.1.p
OG0000000	XP_023642406.1, XP_023644536.1, XP_023640443.1, XP_023633512.1	Roisl.0213s0280.1.p
OG0000002	XP_023638855.1	Roisl.0006s0264.1.p, Roisl.0012s0025.1.p, Roisl.0038s0052.1.p, Roisl.0184s0176.1.p
OG0000003	XP_023644456.1	Roisl.0210s2108.1.p, Roisl.0193s0004.1.p, Roisl.0189s0031.1.p, Roisl.0124s0003.1.p, Roisl.0185s0057.1.p, Roisl.0210s2127.1.p, Roisl.0188s0002.1.p, Roisl.0061s0013.1.p, Roisl.0066s0222.1.p, Roisl.0023s0114.1.p, Roisl.0214s0241.1.p, Roisl.0194s0028.1.p, Roisl.0209s0038.1.p
OG0000005	XP_023636063.1	Roisl.0201s0014.1.p, Roisl.0087s0005.1.p, Roisl.0014s0007.1.p, Roisl.0087s0007.1.p, Roisl.0195s0029.1.p, Roisl.0179s0085.1.p
OG0000008	XP_023641963.1	Roisl.0014s0140.1.p, Roisl.0025s0028.1.p, Roisl.0072s0014.1.p, Roisl.0053s0439.1.p
OG0000008	XP_023633617.1	Roisl.0066s0187.1.p, Roisl.0066s0390.1.p, Roisl.0050s0011.1.p
OG0000008	XP_006282156.2	Roisl.0213s0742.1.p, Roisl.0188s0051.1.p
OG0000008	XP_023641902.1	Roisl.0066s0428.1.p, Roisl.0066s0426.1.p, Roisl.0008s0018.1.p
OG0000008	XP_023638567.1	Roisl.0046s1132.1.p, Roisl.0046s1119.1.p
OG0000008	XP_023633352.1	Roisl.0027s0062.1.p, Roisl.0058s0016.1.p, Roisl.0022s0261.1.p
OG0000008	XP_023633344.1	Roisl.0014s0136.1.p, Roisl.0214s0127.1.p, Roisl.0179s0096.1.p
OG0000011	XP_023638113.1, XP_023633028.1	Roisl.0008s0052.1.p
OG0000012	XP_023644370.1, XP_023634858.1, XP_023636049.1	Roisl.0031s0101.1.p, Roisl.0213s0834.1.p
OG0000014	XP_023644214.1	Roisl.0191s0716.1.p
OG0000014	XP_023639612.1	Roisl.0111s0029.1.p, Roisl.0050s0113.1.p, Roisl.0050s0122.1.p, Roisl.0209s0681.1.p, Roisl.0184s0043.1.p, Roisl.0066s0348.1.p, Roisl.0202s0002.1.p, Roisl.0066s0452.1.p, Roisl.0087s0027.1.p, Roisl.0075s0232.1.p, Roisl.0204s0101.1.p, Roisl.0179s0033.1.p, Roisl.0045s0064.1.p, Roisl.0040s0043.1.p, Roisl.0184s0044.1.p, Roisl.0184s0162.1.p, Roisl.0056s0049.1.p, Roisl.0191s0708.1.p, Roisl.0188s0121.1.p, Roisl.0075s0002.1.p
OG0000014	XP_023638462.1, XP_023634279.1	Roisl.0041s0069.1.p, Roisl.0214s0137.1.p, Roisl.0002s0076.1.p, Roisl.0029s0003.1.p, Roisl.0040s0055.1.p, Roisl.0055s0017.1.p, Roisl.0194s0041.1.p
OG0000015	XP_023633382.1	Roisl.0010s0007.1.p
OG0000016	XP_023634145.1	Roisl.0214s0061.1.p, Roisl.0031s0055.1.p, Roisl.0213s0004.1.p, Roisl.0194s0052.1.p
OG0000016	XP_023639630.1	Roisl.0188s0048.1.p, Roisl.0209s0119.1.p
OG0000020	XP_006279199.1	Roisl.0179s0050.1.p
OG0000020	XP_023644500.1, XP_023642646.1, XP_023644234.1, XP_023636041.1, XP_023633702.1, XP_023633829.1, XP_023644232.1	Roisl.0025s0020.1.p, Roisl.0204s0053.1.p, Roisl.0066s0088.1.p, Roisl.0036s0054.1.p, Roisl.0040s0004.1.p, Roisl.0214s0552.1.p, Roisl.0194s0048.1.p
OG0000020	XP_023644230.1, XP_023638100.1, XP_023633554.1, XP_023644447.1, XP_023640322.1, XP_006301549.2, XP_023638121.1	Roisl.0082s0242.1.p
OG0000021	XP_023637954.1	Roisl.0082s0017.1.p
OG0000021	XP_023641377.1	Roisl.0198s0008.1.p
OG0000021	XP_023634149.1, XP_023640318.1, XP_023634347.1, XP_023644512.1, XP_023636053.1, XP_006285455.2, XP_023638958.1, XP_023645856.1, XP_023634319.1	Roisl.0213s0355.1.p, Roisl.0006s0361.1.p, Roisl.0046s0769.1.p
OG0000021	XP_023634431.1, XP_023644454.1, XP_023641962.1, XP_023641378.1, XP_023637243.1, XP_023642574.1	Roisl.0014s0139.1.p
OG0000022	XP_006283550.1	Roisl.0022s0346.1.p
OG0000022	XP_023636761.1	Roisl.0210s1365.1.p
OG0000022	XP_006301194.2, XP_006300860.1	Roisl.0010s0095.1.p
OG0000022	XP_006302102.1	Roisl.0010s0065.1.p
OG0000022	XP_006301814.1	Roisl.0010s0069.1.p
OG0000022	XP_006306232.1	Roisl.0021s0361.1.p
OG0000022	XP_023643559.1	Roisl.0050s0030.1.p
OG0000022	XP_006302132.1	Roisl.0050s0031.1.p
OG0000022	XP_023635463.1	Roisl.0009s0109.1.p
OG0000022	XP_006297483.1	Roisl.0074s0275.1.p
OG0000024	XP_023632988.1	Roisl.0066s0178.1.p
OG0000024	XP_023632980.1, XP_023632975.1, XP_023632970.1	Roisl.0213s0367.1.p
OG0000025	XP_023636962.1	Roisl.0002s0230.1.p, Roisl.0062s0001.1.p, Roisl.0020s0076.1.p
OG0000025	XP_023636110.1	Roisl.0213s0858.1.p, Roisl.0022s0006.1.p
OG0000027	XP_023635858.1, XP_006289355.2, XP_006286462.1	Roisl.0213s0582.1.p
OG0000027	XP_023635866.1	Roisl.0213s0590.1.p, Roisl.0213s0588.1.p, Roisl.0213s0583.1.p
OG0000027	XP_006284983.1	Roisl.0008s0130.1.p
OG0000027	XP_006283253.1	Roisl.0184s0126.1.p
OG0000027	XP_023634688.1	Roisl.0184s0128.1.p, Roisl.0184s0127.1.p
OG0000027	XP_023638659.1	Roisl.0008s0080.1.p
OG0000027	XP_006285954.1	Roisl.0214s0896.1.p
OG0000027	XP_006282816.1	Roisl.0008s0076.1.p
OG0000027	XP_023634702.1	Roisl.0012s0193.1.p
OG0000028	XP_023634475.1	Roisl.0080s0376.1.p, Roisl.0075s0120.1.p, Roisl.0001s0071.1.p, Roisl.0075s0080.1.p, Roisl.0075s0121.1.p
OG0000028	XP_006285133.1	Roisl.0008s0342.1.p
OG0000028	XP_006291347.1	Roisl.0053s0333.1.p
OG0000028	XP_006292343.1	Roisl.0053s0334.1.p
OG0000028	XP_006299262.2	Roisl.0091s1124.1.p, Roisl.0053s0416.1.p, Roisl.0053s0421.1.p, Roisl.0214s0405.1.p
OG0000029	XP_023644241.1	Roisl.0208s0029.1.p
OG0000030	XP_023642658.1, XP_023641336.1, XP_006296044.1	Roisl.0115s0348.1.p, Roisl.0115s0350.1.p, Roisl.0115s0351.1.p
OG0000030	XP_023644289.1	Roisl.0019s0830.1.p, Roisl.0019s0831.1.p
OG0000030	XP_006297884.1	Roisl.0115s0300.1.p
OG0000030	XP_006303634.1, XP_023632886.1, XP_023632793.1	Roisl.0213s0186.1.p
OG0000030	XP_006293126.1	Roisl.0046s0887.1.p
OG0000030	XP_006305030.1	Roisl.0021s0166.1.p
OG0000030	XP_006297854.1, XP_006297862.1, XP_006300177.2	Roisl.0046s0886.1.p
OG0000030	XP_006298407.2	Roisl.0074s0618.1.p
OG0000031	XP_023633361.1	Roisl.0023s0119.1.p
OG0000032	XP_023632591.1	Roisl.0005s0192.1.p
OG0000034	XP_006283285.1	Roisl.0008s0068.1.p
OG0000034	XP_023634692.1	Roisl.0214s0895.1.p
OG0000034	XP_006285944.1	Roisl.0008s0077.1.p
OG0000034	XP_023634856.1	Roisl.0091s0190.1.p
OG0000034	XP_023634693.1, XP_023634678.1	Roisl.0214s0897.1.p, Roisl.0214s0900.1.p, Roisl.0214s0898.1.p
OG0000034	XP_006283145.1, XP_006283273.1, XP_023634701.1	Roisl.0008s0129.1.p, Roisl.0008s0131.1.p
OG0000034	XP_006284972.1	Roisl.0214s0904.1.p
OG0000034	XP_006283283.1	Roisl.0019s0659.1.p
OG0000034	XP_023635576.1	Roisl.0214s0905.1.p
OG0000035	XP_023633542.1, XP_023633652.1, XP_023639706.1	Roisl.0213s0218.1.p
OG0000035	XP_023640381.1, XP_023634177.1	Roisl.0038s0018.1.p, Roisl.0082s0037.1.p, Roisl.0213s0025.1.p
OG0000040	XP_023644222.1, XP_023644534.1, XP_023640572.1, XP_023639239.1, XP_023634852.1, XP_023643349.1, XP_023644573.1, XP_023643216.1, XP_023641303.1, XP_023638978.1, XP_023642459.1, XP_023632551.1, XP_023638973.1, XP_023644566.1, XP_023634840.1, XP_023636105.1, XP_023633811.1	Roisl.0209s0055.1.p
OG0000040	XP_023640353.1	Roisl.0012s0087.1.p
OG0000042	XP_023634283.1	Roisl.0204s0126.1.p, Roisl.0012s0194.1.p, Roisl.0032s0094.1.p, Roisl.0009s0193.1.p, Roisl.0025s0036.1.p, Roisl.0022s0501.1.p, Roisl.0058s0030.1.p, Roisl.0214s0122.1.p, Roisl.0209s0062.1.p, Roisl.0035s0107.1.p, Roisl.0012s0035.1.p, Roisl.0032s0093.1.p
OG0000044	XP_023634755.1	Roisl.0005s0268.1.p
OG0000044	XP_006282385.2	Roisl.0055s0047.1.p, Roisl.0055s0046.1.p, Roisl.0012s0357.1.p
OG0000044	XP_006296267.1	Roisl.0046s0833.1.p
OG0000044	XP_023633381.1	Roisl.0005s0176.1.p
OG0000046	XP_023641942.1, XP_023640348.1, XP_023636067.1, XP_006289233.2, XP_023638196.1	Roisl.0005s0079.1.p, Roisl.0056s0010.1.p, Roisl.0208s0028.1.p, Roisl.0008s0152.1.p, Roisl.0045s0045.1.p, Roisl.0062s0016.1.p, Roisl.0198s0056.1.p, Roisl.0209s0245.1.p, Roisl.0005s0329.1.p, Roisl.0015s0173.1.p
OG0000048	XP_023640388.1	Roisl.0214s0362.1.p
OG0000048	XP_023640387.1	Roisl.0017s0418.1.p, Roisl.0082s0583.1.p
OG0000048	XP_023640514.1	Roisl.0028s0624.1.p, Roisl.0211s0012.1.p
OG0000048	XP_023643230.1, XP_023643229.1, XP_023636083.1, XP_006289868.2	Roisl.0028s0615.1.p
OG0000050	XP_006299955.2	Roisl.0214s0827.1.p
OG0000050	XP_023643276.1	Roisl.0082s0464.1.p
OG0000051	XP_023640424.1	Roisl.0189s0079.1.p
OG0000052	XP_023639087.1	Roisl.0011s0477.1.p, Roisl.0209s0363.1.p
OG0000052	XP_006301891.2, XP_006301896.2	Roisl.0019s0256.1.p, Roisl.0019s0270.1.p
OG0000052	XP_006293172.2	Roisl.0011s0480.1.p
OG0000052	XP_006291102.1	Roisl.0046s0692.1.p
OG0000054	XP_023640334.1	Roisl.0191s0715.1.p, Roisl.0058s0107.1.p
OG0000054	XP_023633331.1	Roisl.0053s0423.1.p
OG0000055	XP_006299228.1, XP_006300113.1	Roisl.0053s0213.1.p, Roisl.0001s0543.1.p, Roisl.0210s1750.1.p, Roisl.0210s1827.1.p
OG0000055	XP_023641570.1	Roisl.0074s0202.1.p
OG0000055	XP_006292584.2	Roisl.0053s0119.1.p
OG0000055	XP_023641561.1	Roisl.0066s0141.1.p, Roisl.0066s0140.1.p, Roisl.0028s0608.1.p
OG0000055	XP_006299379.1	Roisl.0074s0210.1.p
OG0000056	XP_006302241.1	Roisl.0209s0766.1.p
OG0000056	XP_006302237.1	Roisl.0209s0593.1.p
OG0000056	XP_006300465.1	Roisl.0019s0013.1.p
OG0000056	XP_006302243.1	Roisl.0209s0606.1.p, Roisl.0209s0600.1.p
OG0000056	XP_006301193.1	Roisl.0209s0615.1.p, Roisl.0209s0596.1.p, Roisl.0209s0605.1.p
OG0000056	XP_006292456.1	Roisl.0209s0402.1.p
OG0000059	XP_023636099.1, XP_006290464.1	Roisl.0019s0008.1.p, Roisl.0027s0012.1.p, Roisl.0214s0427.1.p, Roisl.0018s0107.1.p, Roisl.0010s0148.1.p, Roisl.0214s0190.1.p
OG0000061	XP_006307356.2, XP_023645797.1	Roisl.0045s0092.1.p
