Orthogroup	Alyssum_gmelinii	Brassica_oleracea
OG0000000	Ag071G5244500, Ag014G1982800, Ag013G1560600	XP_013594726.1, XP_013633348.1, XP_013601000.1, XP_013625538.1, XP_013594959.1, XP_013627809.1, XP_013601491.1, XP_013625599.1, XP_013589527.1, XP_013629098.1, XP_013639526.1, XP_013595181.1, XP_013594888.1
OG0000000	Ag031G3405800, Ag046G4528700, Ag013G1557700, Ag033G3510800, Ag004G0752300, Ag037G4141800, Ag048G4661000, Ag034G3877500, Ag017G2425100	XP_013639285.1, XP_013616974.1
OG0000000	Ag017G2413700, Ag016G2404700, Ag018G2474800, Ag004G0601400, Ag033G3558200, Ag032G3454800	XP_013589224.1
OG0000000	Ag039G4294900, Ag016G2393600	XP_013615253.1
OG0000000	Ag028G3079600, Ag058G4972900, Ag034G4051300, Ag022G2647900	XP_013589426.1, XP_013608138.1, XP_013601226.1, XP_013594546.1, XP_013589191.1, XP_013617741.1, XP_013624739.1
OG0000000	Ag011G1252700	XP_013633053.1
OG0000000	Ag054G4887300	XP_013594889.1
OG0000000	Ag055G4904400	XP_013589383.1, XP_013589700.1, XP_013601857.1, XP_013622853.1, XP_013601345.1, XP_013632715.1, XP_013634222.1, XP_013623801.1, XP_013595032.1, XP_013589172.1, XP_013589702.1, XP_013617761.1, XP_013624139.1, XP_013600971.1, XP_013594922.1, XP_013639569.1, XP_013639421.1
OG0000000	Ag061G5017100	XP_013639528.1
OG0000000	Ag078G5391400	XP_013623967.1, XP_013595003.1, XP_013608296.1
OG0000000	Ag048G4660900	XP_013601638.1
OG0000000	Ag055G4901500, Ag013G1366000, Ag011G1209700, Ag014G2027100	XP_013628112.1
OG0000000	Ag078G5385300, Ag040G4340700, Ag052G4868500	XP_013632833.1, XP_013594838.1, XP_013624723.1
OG0000000	Ag052G4861800, Ag004G0706900, Ag033G3514900, Ag018G2438300, Ag032G3442900, Ag016G2353100, Ag067G5186800, Ag031G3358900, Ag047G4548700, Ag013G1396900, Ag016G2398200, Ag013G1719000, Ag014G2113700, Ag016G2347700	XP_013624532.1, XP_013624835.1, XP_013589327.1, XP_013633450.1
OG0000000	Ag066G5137400	XP_013624473.1, XP_013616899.1, XP_013614454.1
OG0000000	Ag020G2571600, Ag013G1635500	XP_013601459.1, XP_013624458.1, XP_013633199.1
OG0000000	Ag034G3852600	XP_013601024.1, XP_013601437.1
OG0000000	Ag034G3811600	XP_013639767.1
OG0000000	Ag067G5173700	XP_013632878.1
OG0000002	Ag027G3030200	XP_013594451.1, XP_013608132.1, XP_013617459.1
OG0000002	Ag013G1414500	XP_013624531.1
OG0000003	Ag005G0787400	XP_013594483.1, XP_013632484.1, XP_013616875.1, XP_013589405.1, XP_013595187.1
OG0000003	Ag022G2672700, Ag014G2084900	XP_013589325.1, XP_013589254.1, XP_013614571.1, XP_013624212.1, XP_013633333.1, XP_013624315.1, XP_013588987.1, XP_013583277.1, XP_013607765.1, XP_013601688.1, XP_013617795.1, XP_013601139.1
OG0000003	Ag067G5203100	XP_013617138.1, XP_013607918.1, XP_013617405.1, XP_013608114.1, XP_013639726.1, XP_013600128.1, XP_013633271.1, XP_013595102.1, XP_013589262.1
OG0000003	Ag004G0525300	XP_013639646.1, XP_013608327.1, XP_013608171.1, XP_013617581.1, XP_013632772.1, XP_013616902.1, XP_013627293.1, XP_013639645.1, XP_013583424.1
OG0000003	Ag014G1978400, Ag039G4231800, Ag011G1040600, Ag016G2400500, Ag014G1921200, Ag049G4724200	XP_013639397.1, XP_013608047.1, XP_013589064.1, XP_013589011.1, XP_013633237.1, XP_013613698.1, XP_013607939.1, XP_013633178.1, XP_013608078.1, XP_013607852.1, XP_013588944.1, XP_013614573.1, XP_013632736.1, XP_013595073.1, XP_013626569.1
OG0000003	Ag025G2976100	XP_013633247.1, XP_013601581.1, XP_013594653.1, XP_013617757.1, XP_013594768.1, XP_013615239.1, XP_013601482.1, XP_013633133.1, XP_013613644.1
OG0000003	Ag013G1682200, Ag011G1271000	XP_013617246.1, XP_013601220.1
OG0000003	Ag011G1183800	XP_013624580.1, XP_013607533.1
OG0000004	Ag033G3561100	XP_013639674.1, XP_013607775.1, XP_013624852.1, XP_013624387.1, XP_013633000.1
OG0000004	Ag050G4758900	XP_013624193.1
OG0000004	Ag039G4237400	XP_013616947.1
OG0000004	Ag015G2248700	XP_013639281.1
OG0000004	Ag066G5158800	XP_013601294.1
OG0000005	Ag025G2943500	XP_013626656.1, XP_013589417.1
OG0000005	Ag041G4377100	XP_013616730.1
OG0000005	Ag013G1642000	XP_013617438.1
OG0000005	Ag042G4407900, Ag078G5366100	XP_013624826.1
OG0000007	Ag003G0374300	XP_013596032.1, XP_013617093.1, XP_013589320.1, XP_013608313.1, XP_013624232.1, XP_013634404.1, XP_013639187.1, XP_013608445.1
OG0000008	Ag027G3059500	XP_013594703.1, XP_013583429.1, XP_013639704.1, XP_013639167.1, XP_013615146.1, XP_013612199.1, XP_013633438.1
OG0000008	Ag005G0786100	XP_013617727.1, XP_013601202.1, XP_013624229.1, XP_013607910.1, XP_013601357.1, XP_013629664.1
OG0000008	Ag027G3054100	XP_013614821.1
OG0000008	Ag014G2109900	XP_013624621.1, XP_013639785.1
OG0000008	Ag001G0025300	XP_013583252.1, XP_013601615.1, XP_013615550.1, XP_013624694.1, XP_013632335.1
OG0000009	Ag034G3970500, Ag034G3983500	XP_013616938.1
OG0000009	Ag002G0216700, Ag075G5300000, Ag004G0685200	XP_013635062.1, XP_013639201.1, XP_013608026.1
OG0000009	Ag034G3964200, Ag048G4700800	XP_013617184.1, XP_013595190.1
OG0000009	Ag014G2163600	XP_013633205.1
OG0000009	Ag015G2264800	XP_013623891.1, XP_013601015.1, XP_013589709.1, XP_013624846.1, XP_013607693.1, XP_013607455.1, XP_013600965.1, XP_013623859.1, XP_013613667.1, XP_013617039.1, XP_013616732.1, XP_013589719.1, XP_013608471.1
OG0000009	Ag040G4348900, Ag088G5430700	XP_013613616.1
OG0000009	Ag058G4969600, Ag052G4854400	XP_013614431.1
OG0000009	Ag019G2551400	XP_013624886.1
OG0000009	Ag016G2319900, Ag025G2919200	XP_013633284.1, XP_013589640.1, XP_013617979.1, XP_013608540.1, XP_013595158.1, XP_013589654.1, XP_013601782.1, XP_013588992.1, XP_013633488.1
OG0000011	Ag015G2211300	XP_013617429.1
OG0000011	Ag019G2529100, Ag039G4286000	XP_013627832.1, XP_013615711.1
