Orthogroup	Cochlearia_excelsa	Capsella_rubella
OG0000000	g23875, g4482	XP_023632598.1
OG0000000	g15642	XP_023644510.1, XP_023644490.1
OG0000000	g4407, g12767, g32529, g14904, g23387, g17148, g557, g16965, g14625, g13935, g31989, g1635, g14365, g47735, g1361, g10755, g37592, g39292, g4630, g41809, g41811, g1664, g47712, g1393, g31899, g26833, g41879, g46860, g14950, g30821, g7470, g17871, g24558, g2149, g2379	XP_023637681.1
OG0000000	g36335	XP_023640349.1
OG0000000	g30907	XP_023640443.1, XP_023633512.1
OG0000002	g44628, g5460, g51805, g6616, g5880, g29227, g49681, g9947, g35122, g12827, g22517, g22299, g14099, g23128, g16024, g17546, g22357, g54221, g22707, g40366, g33609, g51791, g16254, g12053, g52853, g57, g36475, g33085, g32227, g2531, g12890, g3989, g17420, g50076, g39920, g43321, g35849, g15943, g22279, g12708, g46797, g517, g33084, g42698, g194, g14098, g24145, g44742, g2225, g18734, g16611, g35850, g48969, g35126, g46299, g34796, g36749, g37143, g40655, g12891, g12952, g23648, g37011, g46087, g50562, g10421, g38467, g19554, g41590, g32328, g31909, g92, g3931, g28790, g2558, g52048, g4353, g42923, g25758, g39438, g3132, g16037, g32048, g2353, g1175, g4895, g38552, g17829, g45326, g19106, g12705, g54131, g12567, g53909, g51166, g32228, g13093, g26238, g53437, g9948, g22268, g41801, g38312, g31092, g50475, g49477, g22706, g20017, g36478, g4705, g24147, g56, g19235, g5458, g4202, g36769, g6617, g22858, g22281, g40197, g16025, g35637, g22483, g29768, g37989, g39923, g47601, g28189, g19054, g31608, g5152, g36551, g5878, g51652, g43320, g32846, g18735, g3257, g45380, g30785, g36477, g19234, g2906, g17597, g30784, g50260, g23112, g10785, g13170, g49645, g38313, g17830, g38094, g18733, g51782, g51654, g53783, g22354, g25505, g4702, g49476, g47321, g22754, g40394, g6620, g24144, g44741, g28463, g36764, g17951, g52049, g10783, g54223, g47322, g50479, g22753, g1903, g3746, g17293, g28808, g36550, g2075, g51102, g19055, g14321, g49632, g49475, g41842, g41535, g12570, g45323, g23052, g6837, g29104, g38549, g1173, g4356, g3134, g24273, g31606, g31905, g24143, g12828, g5461, g42699, g19117, g37245, g2354, g39436, g6838, g25760, g29103, g23772, g90, g50454, g36751, g4010, g43962, g19245, g43934, g44424, g41749, g24257, g3133, g3191, g4742, g52215, g3933, g13094, g23775, g35212, g16357, g1174, g39575, g53949, g32517, g38095, g38550, g45383, g31907, g19556, g35262, g42582, g4354, g3990, g34279, g45327, g19105, g28792, g31361, g9965, g16038, g50948, g24802, g16867, g54126, g2355, g25413, g53914, g39435, g16050, g49182, g16055, g23051, g18890, g45322, g36393, g17831, g43957, g43885, g32847, g42704, g32759, g22481, g22300, g26182, g22499, g51595, g16351, g4776, g22857, g34979, g16823, g32695, g26240, g28129, g11929, g37738	XP_023638855.1
OG0000004	g42410, g1669, g8852, g8926, g33256, g8658, g27882, g42971, g52490, g11635, g26594, g26034, g30059	XP_023644517.1, XP_023638874.1
OG0000004	g15980, g52602, g15019	XP_023639960.1
OG0000004	g15622	XP_023632701.1
OG0000005	g3007	XP_023640321.1
OG0000005	g52866, g10483, g26067, g34544, g15875, g33596, g14065, g35068, g53526, g19913, g53525, g15922, g34539, g43208, g6103, g1720, g25223, g41973	XP_023639598.1
OG0000005	g33986	XP_023634510.1
OG0000005	g4552, g14576	XP_023638126.1
OG0000005	g21883	XP_023645768.1
OG0000005	g15274, g3525	XP_023640434.1, XP_023642103.1
OG0000005	g39056	XP_023642453.1
OG0000005	g20611, g15105, g33817	XP_023636063.1
OG0000007	g4635	XP_023640317.1
OG0000007	g1504, g5172, g25855	XP_023635150.1
OG0000007	g4033	XP_023640335.1
OG0000007	g47006, g45886, g50470	XP_023643356.1, XP_023634292.1
OG0000007	g40353, g47960	XP_023644453.1
OG0000008	g26783	XP_023641963.1
OG0000008	g29630, g27680, g4391, g43762, g33124	XP_023633617.1
OG0000008	g36094, g12608, g25554, g19408	XP_023644475.1, XP_023640337.1, XP_023633664.1, XP_023642844.1, XP_006279329.2, XP_006300347.2, XP_023644459.1, XP_006304508.2, XP_023634290.1
OG0000008	g27995	XP_006282156.2
OG0000008	g37068, g26784, g43729	XP_023641902.1
OG0000008	g4392, g11343, g33123	XP_023633352.1
OG0000008	g39484, g13991	XP_023633344.1
OG0000009	g35969	XP_023639614.1, XP_023644435.1, XP_023644436.1
OG0000009	g11275, g53238, g41488, g4401, g4394, g44957	XP_023640352.1
OG0000011	g6794, g51199, g2482, g2714, g11450, g46138, g50714	XP_023638113.1, XP_023633028.1
OG0000011	g18071, g2721, g42559, g4725, g47538	XP_023644226.1
OG0000011	g41576	XP_023641372.1
OG0000011	g16517, g46209, g52302, g50725, g9756, g40322, g40680, g46208, g46628, g28265, g45606, g286, g36844, g27603	XP_023643301.1, XP_023638031.1
OG0000011	g450, g26627, g32634	XP_023641182.1, XP_006288329.2
OG0000014	g3040, g14220, g34324, g32793, g24981, g53174	XP_023644214.1
OG0000014	g2094	XP_023639612.1
OG0000014	g36351, g14316, g41825, g44037, g25611, g18847, g24842, g45989, g27951, g4696, g41767, g15819, g19859, g30542, g32573, g14586, g26651, g3784, g17508, g35072, g19854, g17344, g52328, g4565, g8823, g18001, g43148, g43743, g53295, g42951, g48054, g53564, g43041, g19840	XP_023638462.1, XP_023634279.1
OG0000015	g36461, g634, g23355	XP_023644452.1
OG0000015	g43580, g47633, g11559, g47481, g16302	XP_023638902.1
OG0000015	g6105, g38798, g8683, g11560	XP_023636914.1
OG0000015	g12631	XP_023638085.1
OG0000016	g15828, g15815, g15878	XP_023634145.1
OG0000016	g26416, g24990	XP_023639630.1
OG0000018	g16177, g16042, g30020, g19811, g42269, g33163, g35707, g33621, g38595, g9170, g39203, g9232, g30079, g20922, g8680, g43303, g22450, g49080, g20884, g34255, g30334, g35739, g35715, g3557, g3800, g1406, g1731, g34303, g45124, g36592, g30241, g22178, g22177, g42074, g15587, g26133, g49000, g33242, g48916, g46455, g52653, g21880, g41722, g34939, g34229, g43876, g53716, g41538, g11427, g38783, g34799, g53178, g33713, g49263, g42960, g3085, g25310, g15011, g49060, g36788, g19945, g48662, g52301, g25141, g34307, g4841, g34516, g15876, g22231, g15499, g33620, g26661, g14696, g4267, g52726, g11575, g52999, g34386, g16152, g4546, g5989, g35625, g4708, g34558, g15594, g14708, g22069, g36940, g30064, g35434, g42919, g3581, g32708, g43865, g34852, g53011, g52932, g20839, g24984	XP_023639601.1
OG0000018	g35494, g53447, g42604	XP_023641956.1
OG0000020	g32689, g14805	XP_006279199.1
