Orthogroup	Odontarrhena_muralis	Arabidopsis_thaliana
OG0000005	Om001G028590, Om007G295980	AT4G09490.1
OG0000005	Om003G120090, Om004G171760, Om001G040140, Om005G219160, Om004G133100, Om007G278140, Om004G162990, Om002G061770, Om005G208920, Om001G009210, Om003G121940, Om008G357500, Om002G087060	AT1G10000.1
OG0000005	Om006G261840	AT3G27495.1
OG0000013	Om008G346820, Om005G224220, Om008G350670	AT2G06105.1
OG0000018	Om008G335480, Om007G284460, Om008G361630	AT1G52950.1, AT3G31925.1
OG0000019	Om005G222770	AT1G18050.1
OG0000019	Om006G268990	AT5G15685.1
OG0000021	Om005G226540, Om001G020790	AT1G40390.1, AT1G43760.1
OG0000023	Om001G010400	AT4G23320.3
OG0000023	Om001G010360, Om001G009290	AT4G11460.1, AT4G23260.1, AT4G23250.2
OG0000023	Om008G351620, Om008G351630	AT4G11530.1
OG0000023	Om008G351640, Om008G351650	AT4G11521.1
OG0000023	Om001G010250	AT4G23190.1, AT4G23300.1
OG0000025	Om002G073490, Om002G073430	AT4G13680.1
OG0000028	Om001G022770	AT5G36225.1
OG0000031	Om005G191840, Om005G192090, Om005G192080, Om005G192190, Om005G191850	AT1G12700.2
OG0000031	Om006G252510	AT5G16640.1
OG0000031	Om007G317990	AT5G41170.1
OG0000031	Om002G063040	AT3G16710.1
OG0000031	Om001G018890	AT4G26800.2
OG0000033	Om001G010240	AT4G23180.1
OG0000033	Om001G011550	AT4G23230.1, AT4G23140.2
OG0000033	Om001G007120	AT4G21410.3
OG0000033	Om001G010110	AT4G23130.2
OG0000035	Om006G273920, Om002G042810	AT3G23960.1, AT3G10990.1, AT3G49440.1, AT2G19630.1
OG0000035	Om007G280220, Om007G279280, Om006G269650, Om008G331040	AT5G65850.1
OG0000038	Om003G091800	AT1G22000.1, AT1G26890.1
OG0000038	Om006G262290	AT3G49480.2, AT3G53550.1
OG0000038	Om008G356970	AT5G44850.1
OG0000038	Om002G053860, Om001G005520	AT3G10750.1
OG0000040	Om002G084710, Om002G084780, Om002G084740, Om002G084670	AT1G25211.1, AT1G24881.1, AT1G25055.1, AT1G25150.1, AT1G24800.1
OG0000040	Om008G328570	AT3G49510.1, AT3G49520.1, AT1G54550.1
OG0000042	Om007G298450	AT3G25720.1
OG0000042	Om004G177160	AT1G50080.1, AT2G19146.1
OG0000046	Om006G241220	AT5G39020.1, AT5G39030.1
OG0000046	Om001G001860	AT4G18250.1
OG0000046	Om005G206750	AT1G66930.2, AT1G67000.1
OG0000048	Om002G045390	AT3G03830.1
OG0000048	Om002G045400	AT3G03820.1
OG0000052	Om008G354070, Om008G326640	AT2G42460.1
OG0000052	Om008G326600	AT2G42455.1
OG0000052	Om008G326590	AT2G42480.1
OG0000054	Om002G043200, Om007G279110, Om006G263890, Om006G251510, Om008G354720, Om007G277220, Om003G128320, Om005G214240, Om002G057290	AT3G30730.2
OG0000055	Om001G019570	AT1G56380.2
OG0000055	Om008G361740, Om008G332920, Om003G120530, Om005G198120	AT1G61990.1, AT1G61980.1, AT1G61970.1
OG0000056	Om007G293600, Om007G317020, Om002G062780, Om004G164880, Om007G309970	AT3G31430.1
OG0000056	Om008G361080, Om003G090740, Om007G293830, Om008G321670	AT3G42140.1
OG0000057	Om004G172320, Om008G335030, Om004G172300	AT2G18780.1
OG0000061	Om003G100910	AT4G07445.1
OG0000061	Om006G238480	AT1G48285.1, AT2G37125.1
OG0000061	Om005G223660, Om006G249810, Om002G076700, Om003G106600, Om008G345470, Om008G347220	AT3G30165.1
OG0000062	Om002G089260, Om019G374190, Om019G374330, Om019G374380, Om002G089220, Om005G205060, Om005G204090, Om003G124440, Om002G089320, Om003G109490	AT2G07200.1
OG0000064	Om001G041080	AT4G38940.1
OG0000066	Om004G164550	AT4G40030.2, AT5G10980.1, AT4G40040.1, AT1G75600.1, AT1G13370.1
OG0000066	Om004G165570	AT5G65350.1, AT3G27360.1, AT1G09200.1, AT5G10390.1, AT5G10400.1, AT5G65360.1
OG0000067	Om001G023220	AT3G09160.1
OG0000067	Om004G137760	AT5G05430.2
OG0000071	Om001G016290, Om004G163830	AT2G07760.1
OG0000074	Om004G144080	AT1G23590.1
