Orthogroup	Cardamine_amara	Capsella_rubella
OG0000000	evm.model.RL_4.710	XP_023644517.1
OG0000000	evm.model.RL_3.1962, evm.model.RL_6.1375, evm.model.RL_6.904, evm.model.RL_8.1136	XP_023632701.1
OG0000000	evm.model.RL_4.599	XP_023633832.1
OG0000003	evm.model.RL_1.3305	XP_023640434.1, XP_023642103.1
OG0000003	evm.model.RL_5.2504	XP_023636063.1
OG0000003	evm.model.RL_6.652	XP_023643044.1
OG0000004	evm.model.RL_2.303	XP_023638968.1, XP_006300431.2, XP_023632892.1, XP_023635799.1
OG0000006	evm.model.RL_1.2522	XP_023643663.1
OG0000006	evm.model.RL_2.3087, evm.model.RL_5.3322	XP_023636902.1
OG0000006	evm.model.RL_4.552	XP_023640317.1
OG0000006	evm.model.RL_5.2330	XP_023644546.1, XP_023639048.1, XP_023641260.1, XP_023644414.1
OG0000007	evm.model.RL_4.2369	XP_023644256.1
OG0000007	evm.model.RL_2.2279, evm.model.RL_4.1690, evm.model.RL_7.1569	XP_023637681.1
OG0000008	evm.model.RL_4.1914	XP_006305876.2, XP_023641963.1, XP_023633343.1, XP_006303816.2, XP_023644880.1, XP_023633617.1
OG0000008	evm.model.RL_7.1211	XP_023638567.1
OG0000010	evm.model.RL_5.2484	XP_023639612.1
OG0000010	evm.model.RL_1.2848, evm.model.RL_7.2062, evm.model.RL_2.395	XP_023636068.1
OG0000013	evm.model.RL_6.609, evm.model.RL_4.752	XP_023638853.1
OG0000013	evm.model.RL_5.2591	XP_023638858.1
OG0000013	evm.model.RL_6.796	XP_023634267.1, XP_023644229.1
OG0000014	evm.model.RL_3.2283	XP_023636038.1
OG0000015	evm.model.RL_1.2714	XP_023633382.1
OG0000017	evm.model.RL_7.1888	XP_023638100.1, XP_023644447.1, XP_023640322.1, XP_023633554.1, XP_006301549.2, XP_023644230.1, XP_023638121.1
OG0000017	evm.model.RL_3.613	XP_006279199.1
OG0000017	evm.model.RL_2.1821, evm.model.RL_6.717	XP_006302668.2
OG0000017	evm.model.RL_7.1516	XP_023636109.1
OG0000017	evm.model.RL_3.2130	XP_023644234.1, XP_023642646.1, XP_023636041.1, XP_023633702.1, XP_023644500.1, XP_023633829.1, XP_023644232.1
OG0000018	evm.model.RL_6.190	XP_023634149.1, XP_023640318.1, XP_023645856.1, XP_023634431.1, XP_023634319.1
OG0000018	evm.model.RL_7.1872	XP_023642574.1, XP_023637243.1, XP_023644454.1, XP_023641378.1, XP_023641962.1
OG0000020	evm.model.RL_8.1178, evm.model.RL_7.1677, evm.model.RL_7.2128	XP_023634318.1
OG0000023	evm.model.RL_2.1848	XP_006284983.1
OG0000023	evm.model.RL_2.1843	XP_023634683.1
OG0000023	evm.model.RL_2.1842	XP_006283253.1
