Orthogroup	Raphanus_sativus	Conringia_planisiliqua
OG0000000	XP_018443468.1, XP_018460143.1, XP_018436074.1, XP_018458626.1, XP_018487800.1, XP_018461381.1, XP_018487582.1	CP24_g46939_DN1_SP0_c.t1
OG0000000	XP_018453653.1	CP18_g12262_DN2_SP0_c.t1, CP2_g50571_DN2_SP0_c.t1, CP3_g14987_DN2_SP0_c.t1
OG0000000	XP_018436035.1	CP18_g11997_DN3_SP0_c.t1
OG0000000	XP_018443420.1	CP8_g52821_DN1_SP0_c.t1
OG0000000	XP_018453501.1	CP9_g27696_DN1_SP0_c.t1
OG0000000	XP_018479586.1, XP_018479587.1, XP_018443691.1, XP_018473623.1, XP_018477037.1, XP_018479597.1	CP21_g10514_DN2_SP0_c.t1, CP5_g2283_DN1_SP0_c.t1, CP3_g15925_DN2_SP0_c.t1
OG0000000	XP_018436376.1	CP3_g15136_DN1_SP0_c.t1, CP1_g40632_DN1_SP0_c.t1
OG0000000	XP_018459875.1	CP4_g26294_DN2_SP0_c.t1
OG0000000	XP_018473555.1	CP3_g15795_DN1_SP0_c.t1
OG0000000	XP_018474641.1, XP_018463709.1, XP_018435631.1, XP_018453541.1	CP5_g2387_DN3_SP0_c.t1, CP7_g44192_DN2_SP0_c.t1
OG0000000	XP_018472282.1	CP84_g51831_DN2_SP0_c.t1, CP17_g5536_DN3_SP0_c.t1
OG0000000	XP_018453689.1	CP2_g50561_DN2_SP0_c.t1
OG0000000	XP_018479455.1	CP3_g14989_DN1_SP0_c.t1
OG0000000	XP_018474039.1	CP13_g20778_DN3_SP0_c.t1
OG0000000	XP_018458646.1	CP1_g40810_DN1_SP0_c.t1
OG0000000	XP_018459162.1	CP5_g2386_DN1_SP0_c.t1, CP1_g40811_DN1_SP0_c.t1
OG0000000	XP_018465308.1, XP_018463500.1	CP6_g7625_DN1_SP0_c.t1
OG0000000	XP_018443699.1, XP_018459856.1	CP1_g40809_DN2_SP0_c.t1
OG0000000	XP_018461626.1	CP36_g50963_DN2_SP0_c.t1
