Orthogroup	Brassica_oleracea	Cardamine_glauca
OG0000000	XP_013624387.1, XP_013624852.1, XP_013633000.1	Cg004G132730
OG0000000	XP_013639674.1, XP_013607775.1	Cg008G288880
OG0000000	XP_013624478.1, XP_013594857.1, XP_013601901.1, XP_013617473.1, XP_013601242.1, XP_013601368.1, XP_013594627.1	Cg003G090030, Cg003G090000
OG0000000	XP_013594978.1	Cg002G068740, Cg001G030920, Cg011G329020
OG0000000	XP_013587282.1	Cg014G332090
OG0000003	XP_013632989.1, XP_013624327.1, XP_013594796.1, XP_013624018.1, XP_013626656.1, XP_013589417.1, XP_013639462.1, XP_013624390.1, XP_013624966.1, XP_013601267.1, XP_013617299.1, XP_013617697.1, XP_013607686.1, XP_013589115.1, XP_013632587.1, XP_013601292.1, XP_013624493.1, XP_013627530.1, XP_013601768.1, XP_013632538.1, XP_013624806.1, XP_013639428.1, XP_013607867.1, XP_013615207.1, XP_013624595.1, XP_013633002.1, XP_013614810.1, XP_013601863.1, XP_013589557.1	Cg006G209840
OG0000003	XP_013617438.1, XP_013613453.1	Cg005G163140
OG0000003	XP_013639562.1	Cg005G182650
OG0000004	XP_013632878.1	Cg004G154080
OG0000004	XP_013601125.1, XP_013639798.1	Cg005G167340
OG0000005	XP_013589654.1, XP_013633488.1, XP_013588992.1, XP_013601782.1, XP_013589640.1, XP_013595158.1, XP_013608540.1, XP_013633284.1	Cg005G186690, Cg003G078000, Cg005G192860
OG0000005	XP_013617184.1, XP_013595190.1	Cg003G086520
OG0000005	XP_013627264.1, XP_013635272.1, XP_013633205.1, XP_013607452.1, XP_013589362.1, XP_013614191.1, XP_013630471.1	Cg005G188160
OG0000005	XP_013583375.1	Cg005G185830
OG0000005	XP_013632594.1	Cg008G295320
OG0000005	XP_013624887.1	Cg003G087270
OG0000005	XP_013589398.1, XP_013601140.1	Cg005G189270
OG0000006	XP_013633055.1	Cg008G312070
OG0000006	XP_013594807.1, XP_013633894.1	Cg006G206830
OG0000006	XP_013617289.1	Cg008G318730
OG0000006	XP_013617071.1	Cg004G148130
OG0000006	XP_013623981.1	Cg001G021710
OG0000007	XP_013601000.1, XP_013633348.1, XP_013627809.1, XP_013594959.1, XP_013625538.1	Cg005G188670, Cg005G188650, Cg005G188640, Cg005G188690, Cg005G188630, Cg008G303470
OG0000007	XP_013589191.1, XP_013594546.1, XP_013624739.1, XP_013617741.1	Cg003G084380
OG0000007	XP_013589426.1, XP_013601226.1	Cg001G041960, Cg003G089200
OG0000007	XP_013633450.1, XP_013624835.1, XP_013594922.1, XP_013624723.1, XP_013632833.1, XP_013594838.1, XP_013639528.1, XP_013617764.1, XP_013628112.1, XP_013639285.1, XP_013617205.1, XP_013607556.1, XP_013594455.1, XP_013608296.1, XP_013595003.1, XP_013623967.1, XP_013594889.1, XP_013594406.1, XP_013601638.1	Cg002G061850
OG0000007	XP_013595032.1	Cg002G054650
OG0000008	XP_013617721.1, XP_013617143.1, XP_013633025.1	Cg002G071180
OG0000008	XP_013601615.1	Cg002G055170
OG0000010	XP_013613442.1, XP_013608075.1	Cg001G010610
OG0000010	XP_013632708.1, XP_013634434.1, XP_013594557.1, YP_004927512.1	Cg006G205490
OG0000011	XP_013608304.1, XP_013624714.1, XP_013583467.1, XP_013601355.1, XP_013624342.1, XP_013583393.1, XP_013594605.1, XP_013588899.1, XP_013614655.1, XP_013614778.1, XP_013607652.1, XP_013601161.1, XP_013594412.1, XP_013633302.1, XP_013594716.1, XP_013608513.1, XP_013624746.1, XP_013594658.1, XP_013624535.1, XP_013601337.1, XP_013601077.1, XP_013623653.1, XP_013633036.1, XP_013633008.1, XP_013633347.1, XP_013601548.1, XP_013616871.1, XP_013594810.1, XP_013623942.1	Cg005G184960
OG0000012	XP_013617060.1	Cg003G089470, Cg006G226210
OG0000012	XP_013589396.1	Cg003G096300
OG0000012	XP_013630371.1	Cg007G277670, Cg006G218130, Cg003G093950
