Orthogroup	Conringia_planisiliqua	Cardamine_glauca
OG0000000	CP24_g46939_DN1_SP0_c.t1	Cg005G1732700, Cg005G1732800, Cg005G1732600, Cg005G1732500, Cg005G1732900, Cg008G2794500
OG0000000	CP18_g11997_DN3_SP0_c.t1	Cg003G0947300
OG0000000	CP27_g41816_DN1_SP0_c.t1	Cg006G1881000
OG0000000	CP5_g2387_DN3_SP0_c.t1, CP7_g44192_DN2_SP0_c.t1, CP24_g47107_DN1_SP0_c.t1, CP27_g41817_DN2_SP0_c.t1, CP84_g51831_DN2_SP0_c.t1, CP17_g5536_DN3_SP0_c.t1, CP3_g14602_DN2_SP0_c.t1	Cg002G0506900
OG0000000	CP6_g8047_DN1_SP0_c.t1, CP6_g8613_DN2_SP0_c.t1, CP15_g35744_DN2_SP0_c.t1, CP18_g11729_DN2_SP0_c.t1, CP1_g39877_DN1_SP0_c.t1	Cg001G0315700
OG0000000	CP2_g49699_DN2_SP0_c.t1	Cg004G1415700
OG0000002	CP1_g38933_DN1_SP0_c.t1, CP35_g52018_DN2_SP0_c.t1, CP4_g26881_DN2_SP0_c.t1	Cg001G0121200
OG0000002	CP3_g16153_DN2_SP0_c.t1	Cg002G0472400, Cg005G1504200
OG0000003	CP5_g2027_DN3_SP0_c.t1, CP2_g50573_DN1_SP0_c.t1, CP36_g50971_DN3_SP0_c.t1, CP5_g3096_DN1_SP0_c.t1	Cg006G1905700
OG0000003	CP8_g52677_DN2_SP0_c.t1, CP2_g50567_DN2_SP0_c.t1	Cg001G0274200, Cg002G0686800
OG0000003	CP4_g26010_DN1_SP0_c.t1, CP6_g7989_DN2_SP0_c.t1	Cg001G0323400, Cg008G2981700
OG0000004	CP18_g11724_DN3_SP0_c.t1, CP17_g5889_DN1_SP0_c.t1, CP1_g39400_DN3_SP0_c.t1, CP1_g39844_DN3_SP0_c.t1	Cg002G0566400, Cg004G1175600, Cg008G2960200, Cg001G0254800, Cg008G2671600, Cg008G2922100, Cg007G2351100, Cg005G1719500, Cg004G1384700, Cg002G0576600, Cg002G0577700
OG0000007	CP8_g52162_DN2_SP0_c.t1	Cg006G1865000, Cg001G0098100, Cg005G1765200
OG0000008	CP14_g23480_DN3_SP0_c.t1	Cg002G0653600
OG0000009	CP3_g16492_DN1_SP0_c.t1	Cg008G2714900
OG0000009	CP4_g26233_DN2_SP0_c.t1, CP3_g15237_DN1_SP0_c.t1	Cg005G1737500
OG0000009	CP12_g31672_DN2_SP0_c.t1	Cg005G1717900, Cg003G0717800, Cg005G1769300
OG0000011	CP18_g11548_DN1_SP0_c.t1	Cg003G0778000
