Orthogroup	Cardamine_amara	Arabidopsis_arenosa
OG0000000	evm.model.RL_3.1962	jg21340
OG0000000	evm.model.RL_3.245	jg2924, jg12072, jg12472
OG0000000	evm.model.RL_2.920, evm.model.RL_4.662, evm.model.RL_6.582	jg1749
OG0000000	evm.model.RL_2.738, evm.model.RL_4.733, evm.model.RL_1.3301	jg17418
OG0000000	evm.model.RL_8.1072	jg16482, jg16492
OG0000002	evm.model.RL_7.2046, evm.model.RL_4.1699, evm.model.RL_7.2065	jg27118
OG0000003	evm.model.RL_6.633	jg1672
OG0000003	evm.model.RL_2.709	jg11917
OG0000003	evm.model.RL_7.2059, evm.model.RL_6.676, evm.model.RL_1.2633	jg11918
OG0000004	evm.model.RL_2.303	jg25786
OG0000005	evm.model.RL_4.816, evm.model.RL_4.229	jg19324, jg12452
OG0000005	evm.model.RL_1.1086	jg11602
OG0000005	evm.model.RL_1.3117	jg13854, jg1845, jg4267, jg10505
OG0000005	evm.model.RL_1.1904, evm.model.RL_2.461	jg8025, jg11080, jg14183, jg14024, jg21899, jg13959, jg1165, jg13498, jg21058, jg18867, jg13113
OG0000007	evm.model.RL_2.1094	jg7091
OG0000007	evm.model.RL_2.508	jg6465
OG0000007	evm.model.RL_4.1690, evm.model.RL_7.1569	jg25591
OG0000008	evm.model.RL_7.1211	jg15069, jg15062, jg15057, jg15054
OG0000010	evm.model.RL_2.396	jg11731
OG0000011	evm.model.RL_1.2267	jg27473, jg29119
OG0000012	evm.model.RL_4.165	jg26919, jg12454, jg31920, jg1757, jg32331, jg12319, jg3735
OG0000012	evm.model.RL_3.685	jg32355, jg32390, jg32436, jg32336, jg17412
OG0000013	evm.model.RL_6.796	jg12130
OG0000014	evm.model.RL_3.2284	jg22974
OG0000015	evm.model.RL_1.3215	jg11869
OG0000017	evm.model.RL_7.1888	jg32618
OG0000017	evm.model.RL_3.613	jg27354
OG0000017	evm.model.RL_6.717	jg1560
OG0000017	evm.model.RL_7.1516	jg6883
OG0000017	evm.model.RL_3.2130	jg6884
OG0000018	evm.model.RL_4.1915	jg4400, jg32393, jg11989, jg32560, jg26774
OG0000018	evm.model.RL_7.1872	jg25715
OG0000019	evm.model.RL_7.2531	jg13840
OG0000019	evm.model.RL_7.2268	jg13838, jg27639, jg22122, jg16702
OG0000021	evm.model.RL_6.438	jg17562
OG0000021	evm.model.RL_2.653	jg27173
OG0000021	evm.model.RL_4.3275, evm.model.RL_5.2792	jg17386, jg13577, jg12206
OG0000023	evm.model.RL_2.1848	jg10174
OG0000023	evm.model.RL_2.1831	jg10183
OG0000023	evm.model.RL_2.1843	jg10181
OG0000023	evm.model.RL_8.636	jg7521
OG0000023	evm.model.RL_2.1829, evm.model.RL_2.1830	jg10191
OG0000023	evm.model.RL_2.1825.3.687c86e4	jg10192
OG0000023	evm.model.RL_2.1827	jg10187
OG0000024	evm.model.RL_5.2480	jg2022
OG0000025	evm.model.RL_2.872	jg22442
OG0000025	evm.model.RL_8.1541	jg22259
OG0000025	evm.model.RL_2.3111	jg8748
OG0000027	evm.model.RL_7.603, evm.model.RL_7.580	jg14278
OG0000028	evm.model.RL_7.4, evm.model.RL_5.3115	jg2197, jg17461, jg12004, jg26958, jg13640, jg2465
OG0000028	evm.model.RL_4.1689	jg21311, jg32932, jg1778
OG0000029	evm.model.RL_4.797	jg5864, jg27798, jg17174, jg18126
OG0000029	evm.model.RL_2.306	jg1946
OG0000030	evm.model.RL_7.2074	jg32380
OG0000030	evm.model.RL_5.2340, evm.model.RL_6.2259	jg20585
OG0000030	evm.model.RL_3.1268, evm.model.RL_5.2343, evm.model.RL_6.2258	jg17129
OG0000031	evm.model.RL_3.758	jg645, jg586, jg583, jg572
OG0000031	evm.model.RL_3.205	jg618, jg613, jg617, jg616, jg643
OG0000033	evm.model.RL_2.1828	jg10186
OG0000033	evm.model.RL_2.1847, evm.model.RL_2.1846	jg10177
OG0000033	evm.model.RL_2.1820_evm.model.RL_2.1823	jg10195, jg10202
OG0000033	evm.model.RL_8.413	jg7784
OG0000034	evm.model.RL_5.2586	jg32649, jg13995
OG0000034	evm.model.RL_7.2041	jg11749, jg11798
OG0000036	evm.model.RL_5.2564	jg16618
OG0000036	evm.model.RL_2.742, evm.model.RL_2.665	jg299, jg1839, jg32415, jg11724, jg17278, jg1046, jg1567, jg11852, jg13931, jg6976, jg17098, jg1485, jg16419, jg27812, jg17384, jg21000, jg17522, jg31083
OG0000038	evm.model.RL_7.1446	jg14792
OG0000038	evm.model.RL_8.1346, evm.model.RL_8.1344	jg21941
OG0000039	evm.model.RL_3.1691	jg6819
OG0000040	evm.model.RL_7.2097	jg25536
OG0000040	evm.model.RL_3.1121	jg2274
OG0000044	evm.model.RL_4.607	jg1572
OG0000044	evm.model.RL_6.541	jg21339, jg1555
OG0000044	evm.model.RL_8.225, evm.model.RL_2.612, evm.model.RL_1.2874, evm.model.RL_8.631, evm.model.RL_8.462, evm.model.RL_6.580, evm.model.RL_4.2682	jg17523, jg29315, jg14196, jg1834, jg309, jg32416, jg1035, jg17283, jg1573
OG0000044	evm.model.RL_3.633, evm.model.RL_7.2338, evm.model.RL_8.226	jg13501, jg20886
