Orthogroup	Raphanus_sativus	Cardamine_hirsuta
OG0000000	XP_018453653.1	CARHR219240, CARHR166210
OG0000000	XP_018436035.1	CARHR219900, CARHR034550
OG0000000	XP_018435931.1	CARHR228880, CARHR142010
OG0000000	XP_018435536.1, XP_018465308.1, XP_018463500.1, XP_018443699.1, XP_018459856.1, XP_018461626.1	CARHR153350
OG0000007	XP_018462223.1	CARHR258710
OG0000007	XP_018448723.1, XP_018448724.1	CARHR183200, CARHR262650, CARHR128850, CARHR121710, CARHR180980, CARHR287750, CARHR115290, CARHR256390, CARHR262640, CARHR216870, CARHR058800, CARHR052910, CARHR152010, CARHR154010
OG0000007	XP_018480139.1	CARHR144660, CARHR100290
OG0000007	XP_018487693.1	CARHR266890
OG0000007	XP_018479518.1, XP_018479614.1	CARHR151410
OG0000007	XP_018468724.1	CARHR214530
OG0000007	XP_018459130.1	CARHR216040
OG0000007	XP_018458777.1	CARHR051840
OG0000008	XP_018487720.1	CARHR101910
OG0000008	XP_018487527.1, XP_018467072.1	CARHR035430, CARHR217860
OG0000008	XP_018436131.1	CARHR118900
OG0000008	XP_018459044.1	CARHR115010
OG0000008	XP_018487725.1	CARHR291920, CARHR221030, CARHR117380
OG0000008	XP_018438736.1	CARHR161310, CARHR161290, CARHR161300, CARHR161340, CARHR161350
OG0000008	XP_018473385.1	CARHR103530
OG0000008	XP_018448604.1	CARHR257810, CARHR218380
OG0000008	XP_018435526.1	CARHR118910, CARHR216990, CARHR111800
OG0000009	XP_018479454.1	CARHR034640, CARHR017910
OG0000009	XP_018473642.1	CARHR160220
OG0000009	XP_018459193.1	CARHR153540, CARHR055780
OG0000011	XP_018448673.1, XP_018475002.1	CARHR259400
OG0000012	XP_018458558.1	CARHR032700
OG0000015	XP_018459146.1, XP_018463612.1	CARHR110600
OG0000020	XP_018463663.1, XP_018481037.1, XP_018464215.1, XP_018448670.1, XP_018448669.1	CARHR113350, CARHR034150, CARHR049310
OG0000020	XP_018460984.1, XP_018460983.1	CARHR213120
OG0000021	XP_018454009.1, XP_018435368.1, XP_018462063.1, XP_018473966.1, XP_018462293.1, XP_018435614.1, XP_018469340.1, XP_018470860.1, XP_018437387.1, XP_018463883.1, XP_018443708.1, XP_018462647.1, XP_018460228.1, XP_018463561.1, XP_018444645.1, XP_018443745.1, XP_018443744.1, XP_018479594.1, XP_018486634.1, XP_018463665.1, XP_018463095.1, XP_018479103.1, XP_018435392.1	CARHR146600
OG0000022	XP_018467852.1	CARHR234420
OG0000022	XP_018446660.1	CARHR196550
OG0000022	XP_018452507.1	CARHR049170
OG0000022	XP_018456914.1, XP_018456330.1	CARHR045470, CARHR051030, CARHR048220, CARHR049120
OG0000022	XP_018439379.1	CARHR013000
OG0000022	XP_018478989.1	CARHR213210
OG0000022	XP_018437843.1	CARHR091960
OG0000024	XP_018458976.1, XP_018467451.1	CARHR030420
OG0000024	XP_018467644.1	CARHR126510, CARHR030870
OG0000024	XP_018436387.1	CARHR062310
OG0000024	XP_018487153.1	CARHR168020, CARHR167830
OG0000024	XP_018448575.1, XP_018448576.1	CARHR030470, CARHR148710, CARHR030440, CARHR030410, CARHR045190
OG0000025	XP_018487947.1	CARHR288360
OG0000026	XP_018461685.1, XP_018479510.1, XP_018487597.1, XP_018480090.1, XP_018462643.1, XP_018487821.1, XP_018475107.1, XP_018456285.1, XP_018433777.1, XP_018448780.1, XP_018467220.1, XP_018487563.1, XP_018463237.1, XP_018470316.1, XP_018465470.1, XP_018487975.1, XP_018487976.1, XP_018448492.1, XP_018487480.1, XP_018440445.1, XP_018458044.1, XP_018462689.1, XP_018458371.1, XP_018479432.1, XP_018432616.1, XP_018489035.1, XP_018448499.1, XP_018463920.1	CARHR104160
OG0000027	XP_018476504.1, XP_018476512.1, XP_018454315.1	CARHR255040
OG0000027	XP_018468520.1, XP_018468522.1	CARHR057450
OG0000027	XP_018468514.1, XP_018468509.1, XP_018468512.1	CARHR230660
OG0000027	XP_018451933.1, XP_018448914.1	CARHR230510
OG0000027	XP_018451939.1, XP_018448955.1	CARHR230500
OG0000027	XP_018458837.1, XP_018459041.1	CARHR230410
OG0000027	XP_018454312.1	CARHR254870
OG0000027	XP_018453781.1	CARHR254910, CARHR254920
OG0000027	XP_018455630.1	CARHR254880
OG0000027	XP_018463400.1, XP_018480408.1	CARHR230440
OG0000028	XP_018467289.1, XP_018480012.1	CARHR267510, CARHR281550, CARHR242960, CARHR104940, CARHR028790, CARHR285330, CARHR220000, CARHR100780
OG0000028	XP_018474154.1, XP_018475339.1	CARHR030090, CARHR289310
OG0000028	XP_018474185.1, XP_018475245.1, XP_018465891.1, XP_018474187.1	CARHR269260, CARHR269250
OG0000028	XP_018475306.1, XP_018475278.1	CARHR268630, CARHR289300
OG0000028	XP_018474189.1, XP_018474190.1, XP_018466632.1, XP_018466593.1, XP_018466641.1, XP_018466603.1, XP_018469501.1, XP_018466579.1, XP_018466613.1, XP_018469209.1, XP_018469254.1, XP_018440554.1, XP_018440555.1, XP_018469276.1, XP_018469113.1, XP_018466902.1, XP_018466824.1, XP_018469469.1	CARHR267520, CARHR267660
OG0000028	XP_018465681.1, XP_018448362.1	CARHR242050
OG0000028	XP_018448361.1, XP_018448364.1, XP_018435503.1	CARHR244240
OG0000028	XP_018474193.1, XP_018474191.1, XP_018466544.1, XP_018480011.1	CARHR028780, CARHR203520
OG0000029	XP_018492516.1	CARHR116610, CARHR153140
OG0000030	XP_018481995.1, XP_018492454.1	CARHR134370
OG0000030	XP_018479424.1, XP_018466469.1, XP_018462013.1	CARHR025790, CARHR162370, CARHR260760, CARHR260790
OG0000030	XP_018453970.1	CARHR158520, CARHR158510, CARHR158530
OG0000030	XP_018435374.1, XP_018435377.1, XP_018435375.1, XP_018435378.1	CARHR088860, CARHR095910, CARHR026350
OG0000032	XP_018459344.1	CARHR266440, CARHR116050, CARHR284910, CARHR106310, CARHR182600, CARHR114460, CARHR159330
OG0000032	XP_018487411.1	CARHR284230
OG0000032	XP_018487719.1	CARHR289940
OG0000032	XP_018482431.1	CARHR159350, CARHR287070, CARHR115000, CARHR258320, CARHR152520, CARHR154280, CARHR217870, CARHR103550, CARHR183020, CARHR149880
OG0000034	XP_018483350.1, XP_018468503.1	CARHR230270, CARHR230290
