Orthogroup	Cardamine_amara	Noccaea_praecox
OG0000000	evm.model.RL_2.714	Np004G220190
OG0000000	evm.model.RL_4.599	Np005G293490
OG0000000	evm.model.RL_3.693	Np005G293500
OG0000000	evm.model.RL_2.920, evm.model.RL_4.662, evm.model.RL_6.582	Np003G167670, Np002G107260, Np004G207890
OG0000000	evm.model.RL_7.1901, evm.model.RL_2.681	Np010G434710
OG0000002	evm.model.RL_7.2065	Np001G043410, Np002G102940, Np001G043030
OG0000002	evm.model.RL_3.619, evm.model.RL_3.842, evm.model.RL_8.341, evm.model.RL_5.754, evm.model.RL_2.2032, evm.model.RL_4.152, evm.model.RL_8.607	Np001G043040
OG0000003	evm.model.RL_2.667, evm.model.RL_2.693, evm.model.RL_7.2022, evm.model.RL_2.688, evm.model.RL_8.1019, evm.model.RL_8.1021, evm.model.RL_1.2656, evm.model.RL_8.1024, evm.model.RL_1.2650, evm.model.RL_8.1013	Np001G030960
OG0000003	evm.model.RL_1.2632	Np003G172820
OG0000003	evm.model.RL_5.2494	Np009G429960, Np003G168500
OG0000003	evm.model.RL_6.1194	Np006G354000, Np006G347320, Np006G346740, Np006G353400
OG0000003	evm.model.RL_2.548	Np003G170050
OG0000003	evm.model.RL_2.708	Np003G172810
OG0000003	evm.model.RL_6.652	Np006G346690
OG0000003	evm.model.RL_5.2495, evm.model.RL_5.2496, evm.model.RL_1.2659, evm.model.RL_1.2653, evm.model.RL_1.2637	Np012G437010, Np004G222380, Np011G436600, Np011G436790, Np009G430460, Np003G168990, Np004G221780, Np004G221640, Np004G222040
OG0000003	evm.model.RL_1.2661, evm.model.RL_1.2660, evm.model.RL_2.686	Np003G172700
OG0000003	evm.model.RL_1.2633	Np003G170760
OG0000004	evm.model.RL_2.303	Np002G100200
OG0000004	evm.model.RL_2.401	Np006G348510
OG0000005	evm.model.RL_7.1952, evm.model.RL_8.339	Np004G197000
OG0000005	evm.model.RL_1.1902	Np003G166380
OG0000005	evm.model.RL_2.1105	Np006G359670
OG0000005	evm.model.RL_1.1903	Np001G041480, Np003G174230, Np001G015150, Np001G036410
OG0000005	evm.model.RL_1.3117	Np006G352060, Np002G098830
OG0000005	evm.model.RL_1.1904, evm.model.RL_2.461	Np001G012890, Np001G012870
OG0000006	evm.model.RL_6.444	Np002G092120
OG0000006	evm.model.RL_1.817, evm.model.RL_2.785, evm.model.RL_7.1936, evm.model.RL_4.552, evm.model.RL_3.2052, evm.model.RL_4.553, evm.model.RL_5.578	Np005G313160
OG0000007	evm.model.RL_2.1094	Np005G307400
OG0000007	evm.model.RL_2.508	Np007G402890
OG0000007	evm.model.RL_2.539	Np004G201210, Np004G226300, Np002G092690, Np001G031480
OG0000007	evm.model.RL_2.2279	Np006G356870
OG0000008	evm.model.RL_4.1914	Np002G102670, Np005G307780, Np002G103180
OG0000008	evm.model.RL_7.1211	Np001G053530
OG0000010	evm.model.RL_7.2083, evm.model.RL_3.1061, evm.model.RL_2.724, evm.model.RL_2.751, evm.model.RL_2.615, evm.model.RL_2.220, evm.model.RL_7.2000, evm.model.RL_3.814, evm.model.RL_7.1970	Np001G027540, Np002G098260
OG0000010	evm.model.RL_1.2848, evm.model.RL_7.2062	Np002G095240
OG0000011	evm.model.RL_6.446	Np005G296030, Np001G026330, Np005G265830, Np003G163940
OG0000012	evm.model.RL_4.165	Np005G284530, Np006G343630, Np002G100520, Np003G169510, Np006G350820, Np007G404020, Np004G218280
OG0000012	evm.model.RL_6.730, evm.model.RL_5.2582	Np002G117990
OG0000013	evm.model.RL_3.807, evm.model.RL_3.1357, evm.model.RL_4.820, evm.model.RL_2.791, evm.model.RL_6.523, evm.model.RL_4.704, evm.model.RL_2.641	Np001G055860, Np003G162090, Np001G033350, Np002G120320, Np002G087920, Np007G378740, Np007G378660, Np007G393900, Np002G095230, Np001G029000, Np006G365160
OG0000013	evm.model.RL_2.759, evm.model.RL_7.1969	Np002G102600, Np003G173130
OG0000014	evm.model.RL_3.2282, evm.model.RL_1.2917	Np001G042570, Np002G073300
OG0000015	evm.model.RL_1.3215	Np005G274380
OG0000015	evm.model.RL_7.2535	Np007G402630
OG0000015	evm.model.RL_1.2713, evm.model.RL_1.2714	Np008G427030
OG0000015	evm.model.RL_8.879	Np001G029500
OG0000017	evm.model.RL_7.1516	Np003G171300
OG0000017	evm.model.RL_3.2130	Np005G282110, Np005G282180, Np007G396400
OG0000018	evm.model.RL_4.1915, evm.model.RL_6.190	Np002G096490, Np002G106410, Np005G301740, Np003G138910, Np007G393420, Np003G172010
OG0000019	evm.model.RL_7.2531	Np001G027630
OG0000019	evm.model.RL_7.2268	Np003G166760, Np002G106220
OG0000020	evm.model.RL_8.674	Np002G102400
OG0000021	evm.model.RL_7.92, evm.model.RL_2.444, evm.model.RL_5.2428, evm.model.RL_6.438	Np005G303890
OG0000021	evm.model.RL_7.2168, evm.model.RL_8.1544, evm.model.RL_6.430, evm.model.RL_5.3643, evm.model.RL_3.291, evm.model.RL_6.1178, evm.model.RL_5.2234, evm.model.RL_4.405, evm.model.RL_3.587, evm.model.RL_2.653, evm.model.RL_8.2219, evm.model.RL_3.586, evm.model.RL_1.1352, evm.model.RL_3.1079, evm.model.RL_2.288, evm.model.RL_1.2419	Np004G199140
OG0000021	evm.model.RL_4.3275, evm.model.RL_5.2792	Np007G402490, Np003G147560, Np002G120150, Np002G109960, Np003G148260
OG0000023	evm.model.RL_2.1842	Np005G283730
OG0000023	evm.model.RL_2.1839	Np005G283900
OG0000023	evm.model.RL_2.1829, evm.model.RL_2.1830	Np005G284120
OG0000023	evm.model.RL_2.1841, evm.model.RL_2.1826	Np005G284010
OG0000024	evm.model.RL_7.2066, evm.model.RL_8.1089	Np002G092500
OG0000024	evm.model.RL_5.2480	Np002G100170, Np001G029650, Np002G091590, Np007G393480
OG0000025	evm.model.RL_2.3111	Np006G347410, Np006G369800, Np006G369660, Np006G353350, Np006G347480, Np006G353280, Np006G347370, Np003G146280, Np006G369850, Np006G370360
OG0000026	evm.model.RL_2.467, evm.model.RL_1.1627, evm.model.RL_1.2710	Np002G101380, Np004G216210
OG0000026	evm.model.RL_7.315	Np003G171320
OG0000027	evm.model.RL_5.2839	Np004G214870, Np005G271730, Np004G214850
OG0000027	evm.model.RL_7.603, evm.model.RL_7.580	Np001G057950, Np001G057940
OG0000028	evm.model.RL_4.1689	Np003G170790, Np003G189760, Np004G207130, Np006G356860, Np002G105400, Np003G145220, Np003G175090
OG0000029	evm.model.RL_8.656	Np011G435770, Np011G435790, Np004G206740, Np004G225200, Np001G048900
OG0000029	evm.model.RL_2.306	Np003G172500
OG0000029	evm.model.RL_1.2704	Np002G095530
OG0000033	evm.model.RL_2.1834, evm.model.RL_2.1824	Np005G284050, Np005G284060
OG0000033	evm.model.RL_2.1828	Np005G283960, Np005G284080
OG0000033	evm.model.RL_2.1820_evm.model.RL_2.1823	Np005G284160
OG0000034	evm.model.RL_5.2588	Np007G396340, Np007G403460, Np001G040260, Np002G107010
OG0000036	evm.model.RL_5.2564	Np006G342180, Np004G233440, Np005G260660
OG0000036	evm.model.RL_2.742, evm.model.RL_2.665	Np006G350450, Np006G342170, Np003G136960, Np002G107350, Np007G403810, Np006G342300, Np006G342240, Np004G218290, Np007G394200
