Orthogroup	Cardamine_hirsuta	Euclidium_syriacum
OG0000005	CARHR217600	ESY7_g17772_DN2_SP0_c0.t1
OG0000005	CARHR091740, CARHR034120, CARHR056420, CARHR077050	ESY16_g61766_DN2_SP0_c0.t1
OG0000005	CARHR059740	ESY2_g36311_DN2_SP0_c0.t1, ESY2_g33257_DN1_SP0_c0.t1
OG0000005	CARHR248000	ESY6_g47366_DN1_SP0_c0.t1
OG0000007	CARHR034550, CARHR166210, CARHR219900, CARHR219240	ESY7_g16535_DN2_SP0_c0.t1
OG0000008	CARHR114970, CARHR117380, CARHR149870, CARHR046080, CARHR116420, CARHR284250, CARHR288670, CARHR101910, CARHR217630, CARHR159360, CARHR102600, CARHR111800, CARHR114980, CARHR293430, CARHR150550, CARHR215010, CARHR056560, CARHR103540, CARHR258310, CARHR217850, CARHR104250, CARHR181300, CARHR038360, CARHR257900, CARHR286450, CARHR035440, CARHR031010, CARHR117390, CARHR218770, CARHR259120, CARHR257810, CARHR218380, CARHR103530, CARHR115010, CARHR215020, CARHR181140, CARHR034850, CARHR216990, CARHR118910, CARHR217880, CARHR291920, CARHR221030, CARHR161340, CARHR161350, CARHR161300, CARHR161310, CARHR161290, CARHR131120, CARHR217020, CARHR164530, CARHR288680, CARHR051890, CARHR035430, CARHR217860, CARHR286130, CARHR178960, CARHR119350, CARHR214330	ESY15_g64840_DN3_SP0_c0.t1
OG0000013	CARHR218430, CARHR058120, CARHR259710, CARHR057870, CARHR288340, CARHR183500, CARHR181670, CARHR116230, CARHR285000, CARHR287550	ESY8_g60272_DN2_SP0_c0.t1
OG0000015	CARHR258200	ESY18_g63644_DN2_SP0_c0.t1, ESY14_g21118_DN1_SP0_c0.t1
OG0000015	CARHR110600	ESY6_g46006_DN2_SP0_c14.t1
OG0000017	CARHR213120	ESY5_g674_DN3_SP0_c68.t1
OG0000017	CARHR049310, CARHR034150	ESY11_g52417_DN3_SP0_c0.t1, ESY18_g63699_DN3_SP0_c0.t1, ESY9_g44479_DN2_SP0_c0.t1, ESY17_g39372_DN3_SP0_c44.t1
