Orthogroup	Brassica_oleracea	Brassica_rapa
OG0000000	XP_013633348.1, XP_013601000.1, XP_013625538.1, XP_013594959.1, XP_013627809.1	XP_009139680.2
OG0000000	XP_013629098.1, XP_013639526.1	XP_009119930.2
OG0000000	XP_013595181.1, XP_013594888.1	XP_009128546.1
OG0000000	XP_013589281.1, XP_013639605.1	XP_009117155.1
OG0000000	XP_013589224.1	XP_009123079.1
OG0000000	XP_013607847.1	XP_033138771.1
OG0000000	XP_013601606.1	XP_033148634.1
OG0000000	XP_013639798.1	XP_009123632.2, XP_009150012.1, XP_033128757.1, XP_009106474.1
OG0000000	XP_013589426.1, XP_013608138.1, XP_013601226.1	XP_009150345.1
OG0000000	XP_013594546.1, XP_013589191.1, XP_013617741.1, XP_013624739.1	XP_033134315.1
OG0000000	XP_013594673.1	XP_033133908.1, XP_033139542.1
OG0000000	XP_013624981.1	XP_033134352.1, XP_033141135.1, XP_033131653.1, XP_033136613.1, XP_033143400.1, XP_033131005.1, XP_033136774.1, XP_033131803.1, XP_033131796.1, XP_033131795.1
OG0000000	XP_013624943.1	XP_033132141.1
OG0000000	XP_013629442.1	XP_033131560.1, XP_033132135.1, XP_033148733.1, XP_033135014.1, XP_033138739.1, XP_033148515.1, XP_033131337.1, XP_033143353.1
OG0000000	XP_013629898.1, XP_013589204.1	XP_033143430.1
OG0000000	XP_013632831.1, XP_013633053.1, XP_013594889.1	XP_033146952.1
OG0000000	XP_013625528.1, XP_013601584.1	XP_018512944.1
OG0000000	XP_013589383.1, XP_013589700.1, XP_013601857.1, XP_013622853.1, XP_013601345.1, XP_013632715.1, XP_013634222.1	XP_009140188.1
OG0000000	XP_013595032.1	XP_018514383.1
OG0000000	XP_013589172.1	XP_033148610.1
OG0000000	XP_013617761.1	XP_009150816.2
OG0000000	XP_013639421.1	XP_009103791.2, XP_009103405.1
OG0000000	XP_013639528.1	XP_033128765.1
OG0000000	XP_013617205.1, XP_013594406.1, XP_013601638.1	XP_009108636.2
OG0000000	XP_013628112.1	XP_033132438.1
OG0000000	XP_013624835.1	XP_033146231.1
OG0000000	XP_013589327.1, XP_013633450.1	XP_009127418.1
OG0000000	XP_013632634.1	XP_033131903.1
OG0000000	XP_013608111.1, XP_013594666.1, XP_013608239.1, XP_013601232.1, XP_013617485.1	XP_033138224.1
OG0000000	XP_013616899.1, XP_013614454.1	XP_009129274.1
OG0000000	XP_013624757.1, XP_013608522.1	XP_033139897.1
OG0000000	XP_013617633.1	XP_033147600.1
OG0000000	XP_013594493.1	XP_033142720.1
OG0000000	XP_013617747.1, XP_013625011.1, XP_013583433.1	XP_033147264.1
OG0000000	XP_013601125.1	XP_033134838.1
OG0000000	XP_013608309.1	XP_033130352.1, XP_033142250.1
OG0000000	XP_013617255.1	XP_009114092.1
OG0000000	XP_013595166.1	XP_009138592.1
OG0000000	XP_013632878.1	XP_009124577.2
OG0000002	XP_013589182.1	XP_033140595.1
OG0000002	XP_013613929.1, XP_013594570.1	XP_018511523.1
OG0000002	XP_013632468.1	XP_033138748.1
OG0000002	XP_013617501.1	XP_033139562.1
OG0000002	XP_013624889.1	XP_033139102.1
OG0000002	XP_013627007.1	XP_033129425.1
OG0000002	XP_013588955.1, XP_013613745.1, XP_013639517.1, XP_013583333.1	XP_033129376.1
OG0000002	XP_013601115.1	XP_033139223.1
OG0000002	XP_013613445.1, XP_013614194.1, XP_013594822.1, XP_013601080.1, XP_013589610.1	XP_033129408.1
OG0000002	XP_013617221.1	XP_033134214.1, XP_033135851.1, XP_033147588.1, XP_033138789.1, XP_033129436.1, XP_033148879.1, XP_033142691.1, XP_033134367.1, XP_033136957.1, XP_033143541.1
OG0000002	XP_013632894.1, XP_013617715.1, XP_013607692.1	XP_033136250.1, XP_033134280.1, XP_033139166.1
OG0000002	XP_013615062.1	XP_033134986.1
OG0000002	XP_013617294.1	XP_033128755.1
OG0000002	XP_013624471.1	XP_033148076.1
OG0000002	XP_013630619.1	XP_033134169.1
OG0000003	XP_013594483.1	XP_033145314.1
OG0000003	XP_013632484.1	XP_009145336.1
OG0000003	XP_013607730.1, XP_013595127.1	XP_009106506.2
OG0000003	XP_013617895.1	XP_033147757.1, XP_018509111.1, XP_033133957.1
OG0000003	XP_013601861.1	XP_033145281.1, XP_033134016.1
OG0000003	XP_013614571.1, XP_013624212.1	XP_009123480.1
OG0000003	XP_013588987.1, XP_013583277.1	XP_033129481.1, XP_033134448.1
OG0000003	XP_013607765.1	XP_033143250.1
