Orthogroup	Arabis_alpina	Raphanus_sativus
OG0000002	Aa_G645190.h1.t1	XP_018466031.1
OG0000003	Aa_G505500.h1.t1	XP_018479340.1, XP_018473970.1, XP_018474062.1
OG0000005	Aa_G301670.h1.t1	XP_018453890.1, XP_018463384.1
OG0000005	Aa_G418640.h1.t1	XP_018460312.1, XP_018448667.1
OG0000005	Aa_G169510.h1.t1	XP_018462024.1, XP_018463630.1
OG0000007	Aa_G596260.h1.t1	XP_018459130.1, XP_018458777.1
OG0000007	Aa_G727680.h1.t1	XP_018466130.1, XP_018467308.1, XP_018464921.1
OG0000008	Aa_G302250.h1.t1	XP_018438736.1
OG0000009	Aa_G122060.h1.t1	XP_018467691.1
OG0000012	Aa_G57270.h1.t1, Aa_G57260.h1.t1, Aa_G57300.h1.t1, Aa_G57280.h1.t1	XP_018479747.1, XP_018479745.1, XP_018487564.1, XP_018466969.1, XP_018450842.1, XP_018479316.1, XP_018481586.1, XP_018466155.1, XP_018436044.1, XP_018465050.1, XP_018479889.1, XP_018471963.1, XP_018448880.1, XP_018479604.1, XP_018459024.1, XP_018462958.1
OG0000014	Aa_G227980.h1.t1, Aa_G848940.h1.t1, Aa_G286860.h1.t1, Aa_G162930.h1.t1, Aa_G7690.h1.t1	XP_018461000.1
OG0000015	Aa_G982290.h1.t1	XP_018475313.1
OG0000015	Aa_G11720.h1.t1	XP_018467773.1
OG0000016	Aa_G540.h1.t1, Aa_G280.h1.t1	XP_018463982.1
OG0000016	Aa_G590.h1.t1	XP_018473920.1, XP_018473934.1, XP_018487853.1
OG0000020	Aa_G135640.h1.t1	XP_018487868.1, XP_018435883.1, XP_018466125.1, XP_018461261.1, XP_018467394.1, XP_018463332.1, XP_018458674.1, XP_018479532.1, XP_018459067.1, XP_018471648.1, XP_018473772.1, XP_018476168.1, XP_018461992.1, XP_018435266.1, XP_018436016.1, XP_018439110.1, XP_018463663.1, XP_018481037.1, XP_018464215.1, XP_018448670.1, XP_018448669.1, XP_018463043.1
OG0000022	Aa_G447870.h1.t1	XP_018446660.1
OG0000022	Aa_G319760.h1.t1, Aa_G683730.h1.t1	XP_018456914.1, XP_018456330.1
OG0000022	Aa_G291980.h1.t1, Aa_G291990.h1.t1, Aa_G291960.h1.t1, Aa_G328340.h1.t1	XP_018490861.1, XP_018490862.1, XP_018439418.1, XP_018436026.1, XP_018438506.1, XP_018438505.1, XP_018435012.1, XP_018491224.1, XP_018491225.1, XP_018485652.1, XP_018440869.1, XP_018451491.1, XP_018438507.1, XP_018440496.1, XP_018463937.1, XP_018451058.1, XP_018448229.1
OG0000022	Aa_G22660.h1.t1	XP_018493478.1, XP_018487942.1
OG0000022	Aa_G97120.h1.t1	XP_018478989.1, XP_018437843.1
OG0000023	Aa_G297380.h1.t1	XP_018480111.1
OG0000024	Aa_G737030.h1.t1, Aa_G731070.h1.t1	XP_018458976.1, XP_018467451.1, XP_018467644.1
OG0000024	Aa_G565550.h1.t1, Aa_G614530.h1.t1, Aa_G511000.h1.t1, Aa_G14060.h1.t1	XP_018487153.1
OG0000024	Aa_G230140.h1.t1	XP_018448575.1, XP_018448576.1
