Orthogroup	Brassica_rapa	Cardamine_glauca
OG0000000	XP_033129333.1	Cg004G132730
OG0000000	XP_033142309.1	Cg008G288880
OG0000000	XP_033141125.1, XP_033140369.1, XP_033148095.1	Cg003G090030, Cg003G090000
OG0000000	XP_033146645.1, XP_033138950.1	Cg008G318220, Cg007G256290, Cg005G186910, Cg004G150450, Cg002G062250
OG0000003	XP_033147287.1, XP_018514447.1, XP_033148793.1, XP_033144892.1, XP_018511976.2, XP_009106784.1, XP_033148226.1, XP_033147058.1	Cg006G209840
OG0000003	XP_009113007.1	Cg005G163140
OG0000003	XP_033139262.1, XP_033139474.1, XP_033139183.1	Cg005G184670
OG0000003	XP_033139261.1	Cg005G182650
OG0000004	XP_009124577.2	Cg004G154080
OG0000004	XP_009123632.2, XP_009150012.1, XP_009106474.1	Cg005G167340
OG0000005	XP_009102722.2, XP_009113005.2, XP_033131870.1, XP_009135550.2, XP_033134013.1, XP_009146774.1, XP_009139318.2, XP_009124848.1, XP_009140864.1, XP_018509100.1, XP_009129720.1, XP_009122880.1, XP_018513613.1, XP_009147334.1, XP_009117702.1	Cg005G186690, Cg003G078000, Cg005G192860
OG0000005	XP_033140104.1, XP_033141066.1, XP_033146099.1, XP_009137100.1, XP_018515469.2	Cg003G086520
OG0000005	XP_033139816.1, XP_009110782.1	Cg005G188160
OG0000005	XP_033132529.1	Cg005G185830
OG0000007	XP_009139680.2	Cg005G188670, Cg005G188650, Cg005G188640, Cg005G188690, Cg005G188630, Cg008G303470
OG0000007	XP_033134315.1	Cg003G084380
OG0000007	XP_033146231.1, XP_033148554.1, XP_009140393.1, XP_009127418.1, XP_033132438.1, XP_033128765.1, XP_033146952.1, XP_009108636.2	Cg002G061850
OG0000008	XP_033148559.1, XP_033143621.1, XP_033138365.1, XP_033143620.1, XP_033141059.1, XP_033143195.1	Cg002G071180
OG0000008	XP_033131033.1, XP_033139686.1, XP_033140769.1, XP_033133054.1, XP_033128088.1	Cg007G263310
OG0000008	XP_009115858.3	Cg002G055170
OG0000010	XP_033143861.1, XP_033137204.1	Cg001G010610
OG0000010	XP_033136253.1	Cg006G205490
OG0000011	XP_033139230.1, XP_033145505.1, XP_018512892.1, XP_033132935.1	Cg005G184960
OG0000014	XP_033139578.1	Cg008G312030
OG0000014	XP_009124283.2, XP_009115282.1, XP_009128583.2, XP_033138826.1, XP_009120263.2, XP_033148537.1, XP_033143577.1	Cg007G266660
OG0000015	XP_033146964.1	Cg008G310160
OG0000015	XP_018509062.1, XP_009118914.1, XP_009105628.1	Cg004G140320
OG0000015	XP_033130405.1	Cg007G254560
OG0000015	XP_033143221.1	Cg007G249020
OG0000018	XP_033129353.1, XP_033148520.1, XP_033129522.1, XP_033141116.1, XP_033129361.1, XP_009119482.2, XP_018513563.2, XP_033131843.1, XP_033141097.1, XP_009123464.1, XP_033133955.1, XP_033145227.1, XP_033136601.1, XP_033136202.1, XP_033146808.1, XP_009124449.2	Cg003G089030, Cg003G095110
OG0000019	XP_033144010.1, XP_018509279.1	Cg008G308170
OG0000019	XP_033128807.1	Cg003G084410, Cg008G317890
OG0000019	XP_009117181.1, XP_033148528.1, XP_018509802.2, XP_009124475.1, XP_033144190.1	Cg004G134340
OG0000021	XP_033145314.1, XP_033133938.1, XP_009145336.1	Cg006G208570
OG0000021	XP_009106506.2	Cg003G100100
OG0000021	XP_033143250.1	Cg002G061370
OG0000023	XP_009136778.1, XP_009136797.2	Cg001G017560
OG0000023	XP_009137326.1, XP_009137327.1, XP_009108600.1	Cg001G017610, Cg001G017600
OG0000023	XP_033142038.1	Cg003G082320
OG0000023	XP_009108162.1	Cg003G082240
OG0000023	XP_009114807.1	Cg001G017690
OG0000025	XP_018509211.2, XP_009148196.2, XP_009105560.1, XP_009102308.1, XP_009133872.1, XP_009102299.1, XP_009133873.1	Cg001G005300
OG0000027	XP_033132209.1	Cg002G070600
OG0000027	XP_009144063.2, XP_033148397.1, XP_018514372.2	Cg006G215350, Cg006G215360
OG0000027	XP_009116539.1	Cg002G048550, Cg002G048720
OG0000028	XP_009119478.1	Cg001G041970
OG0000029	XP_033129539.1, XP_009108043.1, XP_033129024.1	Cg007G253930
OG0000029	XP_033145454.1	Cg005G177640
OG0000030	XP_033148072.1	Cg007G253140
OG0000030	XP_033131887.1	Cg013G330360
OG0000031	XP_009112698.1	Cg007G247710
OG0000031	XP_009140073.1	Cg001G042060
OG0000031	XP_009114567.1	Cg004G133170
OG0000031	XP_009118532.1	Cg007G245660
OG0000033	XP_009108047.1, XP_009109092.2, XP_009136929.1, XP_009137321.1	Cg001G017700
OG0000033	XP_033135404.1, XP_009137324.1	Cg001G017780
OG0000033	XP_009137188.1, XP_009134716.1	Cg001G019630
OG0000033	XP_033143973.1	Cg001G017580
OG0000033	XP_033136442.1	Cg003G079950, Cg003G094060
OG0000034	XP_033143708.1, XP_033133157.1	Cg002G066600
