Orthogroup	Brassica_oleracea	Euclidium_syriacum
OG0000000	XP_013594726.1, XP_013633348.1, XP_013601000.1, XP_013625538.1, XP_013594959.1, XP_013627809.1, XP_013601491.1, XP_013625599.1, XP_013589527.1, XP_013629098.1, XP_013639526.1, XP_013595181.1, XP_013594888.1	ESY7_g16163_DN2_SP0_c0.t1
OG0000000	XP_013589224.1	ESY7_g16535_DN2_SP0_c0.t1, ESY20_g12791_DN2_SP0_c0.t1
OG0000000	XP_013615253.1, XP_013595033.1, XP_013632378.1, XP_013601606.1, XP_013631219.1	ESY6_g47093_DN2_SP0_c0.t1
OG0000002	XP_013589153.1, XP_013624587.1, XP_013594480.1, XP_013624534.1, XP_013617579.1, XP_013617544.1, XP_013630563.1, XP_013613891.1, XP_013617538.1, XP_013589182.1, XP_013617573.1, XP_013613929.1, XP_013594570.1, XP_013601542.1, XP_013617416.1, XP_013629257.1, XP_013601258.1, XP_013601696.1, XP_013617415.1, XP_013601104.1, XP_013604825.1, XP_013624612.1, XP_013615241.1, XP_013624472.1, XP_013632468.1, XP_013594451.1, XP_013608132.1, XP_013617459.1, XP_013624531.1, XP_013594539.1, XP_013614633.1, XP_013588951.1, XP_013617501.1, XP_013617190.1, XP_013624889.1, XP_013627007.1, XP_013601271.1, XP_013617774.1, XP_013588955.1, XP_013613745.1, XP_013639517.1, XP_013583333.1, XP_013594447.1, XP_013613743.1, XP_013617626.1, XP_013617419.1, XP_013632734.1, XP_013624189.1, XP_013639686.1, XP_013614171.1, XP_013601115.1, XP_013613445.1, XP_013614194.1, XP_013594822.1, XP_013601080.1, XP_013589610.1, XP_013632991.1, XP_013616926.1, XP_013629770.1, XP_013632851.1, XP_013624497.1, XP_013617221.1, XP_013632894.1, XP_013617715.1, XP_013607692.1, XP_013615062.1, XP_013617294.1, XP_013583360.1, XP_013589138.1, XP_013624471.1, XP_013630619.1, XP_013632362.1, XP_013632797.1	ESY9_g43349_DN2_SP0_c0.t1
OG0000003	XP_013589605.1, XP_013624294.1	ESY7_g19226_DN2_SP0_c46.t1
OG0000003	XP_013639726.1	ESY9_g43283_DN2_SP0_c0.t1
OG0000003	XP_013614573.1	ESY2_g37194_DN1_SP0_c0.t1
OG0000003	XP_013613468.1, XP_013617596.1, XP_013617356.1, XP_013627043.1, XP_013617494.1, XP_013632789.1, XP_013601566.1, XP_013639497.1, XP_013624636.1, XP_013614100.1, XP_013632720.1, XP_013639355.1, XP_013588945.1, XP_013632709.1, XP_013583280.1, XP_013601339.1, XP_013639556.1, XP_013617158.1, XP_013594697.1	ESY9_g43824_DN1_SP0_c0.t1
OG0000003	XP_013617855.1	ESY9_g43536_DN2_SP0_c0.t1, ESY9_g43962_DN2_SP0_c0.t1, ESY17_g39790_DN2_SP0_c0.t1
OG0000004	XP_013624852.1, XP_013624387.1, XP_013633000.1	ESY9_g43878_DN2_SP0_c0.t1
OG0000004	XP_013601294.1	ESY3_g28075_DN1_SP0_c100.t1, ESY15_g65683_DN1_SP0_c52.t1, ESY13_g56188_DN3_SP0_c88.t1
OG0000005	XP_013626656.1, XP_013589417.1	ESY8_g60803_DN3_SP0_c6.t1
OG0000005	XP_013624826.1	ESY1_g7388_DN1_SP0_c0.t1
OG0000007	XP_013614260.1, XP_013624837.1, XP_013589419.1, XP_013632751.1, XP_013639708.1, XP_013617290.1, XP_013585405.1, XP_013605146.1, XP_013634604.1, XP_013617289.1, XP_013603784.1, XP_013635455.1, XP_013623981.1, XP_013617071.1, XP_013632908.1, XP_013633377.1, XP_013632977.1, XP_013623353.1, XP_013633146.1, XP_013639247.1, XP_013614053.1, XP_013589057.1, XP_013617886.1, XP_013633894.1, XP_013624226.1, XP_013610211.1, XP_013594005.1, XP_013601472.1, XP_013632874.1, XP_013594943.1, XP_013601489.1, XP_013632690.1, XP_013589492.1, XP_013634243.1, XP_013594807.1, XP_013601610.1, XP_013595036.1, XP_013632892.1, XP_013617022.1, XP_013601509.1, XP_013596032.1, XP_013617093.1, XP_013589320.1, XP_013608313.1, XP_013624232.1, XP_013634404.1, XP_013639187.1, XP_013608445.1, XP_013632862.1, XP_013639373.1, XP_013595054.1, XP_013617368.1, XP_013589618.1, XP_013632912.1, XP_013594580.1, XP_013607658.1, XP_013594930.1, XP_013608328.1	ESY9_g43616_DN3_SP0_c12.t1
OG0000008	XP_013594703.1, XP_013583429.1, XP_013639704.1, XP_013639167.1, XP_013615146.1, XP_013612199.1, XP_013633438.1	ESY1_g7826_DN2_SP0_c27.t1
OG0000009	XP_013616938.1	ESY2_g34470_DN1_SP0_c0.t1
OG0000009	XP_013633213.1	ESY18_g63291_DN2_SP0_c0.t1, ESY8_g59590_DN3_SP0_c0.t1, ESY7_g17672_DN2_SP0_c0.t1, ESY2_g38373_DN2_SP0_c0.t1
OG0000009	XP_013639216.1, XP_013589238.1, XP_013589005.1, XP_013608331.1, XP_013589604.1, XP_013595149.1, XP_013639361.1, XP_013601764.1	ESY8_g59457_DN2_SP0_c0.t1, ESY5_g5477_DN1_SP0_c0.t1, ESY5_g5044_DN1_SP0_c0.t1, ESY15_g65873_DN1_SP0_c0.t1, ESY5_g1712_DN1_SP0_c0.t1, ESY9_g43818_DN1_SP0_c0.t1, ESY19_g41266_DN2_SP0_c0.t1
OG0000011	XP_013617429.1	ESY12_g51066_DN2_SP0_c0.t1, ESY1_g9462_DN1_SP0_c0.t1
