Orthogroup	Arabidopsis_lyrata_NCBI	Capsella_rubella
OG0000000	XP_020890704.1, XP_020869115.1	XP_023632598.1
OG0000000	XP_020887909.1	XP_023644510.1, XP_023644490.1
OG0000000	XP_020885936.1, XP_020888529.1	XP_023637681.1
OG0000000	XP_020867739.1	XP_023633818.1
OG0000000	XP_020874113.1	XP_023634340.1, XP_023643231.1, XP_023644538.1, XP_023639555.1, XP_023633877.1, XP_023634308.1, XP_023645887.1, XP_023644483.1, XP_023634285.1
OG0000004	XP_020881080.1, XP_020874109.1	XP_023639960.1
OG0000005	XP_020877200.1	XP_023633718.1
OG0000005	XP_020872641.1, XP_020866154.1, XP_020872381.1, XP_020877193.1	XP_023640321.1
OG0000005	XP_020871957.1, XP_020866342.1, XP_020887113.1	XP_023639598.1
OG0000007	XP_020873755.1, XP_020876409.1, XP_020866331.1, XP_020872053.1, XP_020879940.1, XP_020872382.1	XP_023639048.1, XP_023644546.1
OG0000007	XP_020871008.1	XP_023643663.1
OG0000007	XP_020866419.1	XP_023634292.1
OG0000007	XP_002893144.2, XP_020870776.1, XP_020871034.1, XP_002875947.2, XP_002868379.2	XP_023644418.1
OG0000007	XP_020879876.1, XP_020883895.1, XP_020866620.1, XP_020873499.1, XP_020887609.1, XP_020874852.1	XP_023636143.1, XP_023633251.1, XP_023633686.1, XP_023640302.1
OG0000008	XP_020871586.1	XP_023644880.1, XP_006303816.2
OG0000008	XP_020881833.1	XP_006282156.2
OG0000008	XP_020881885.1, XP_020881611.1	XP_023638567.1
OG0000008	XP_020879836.1	XP_023633352.1
OG0000008	XP_020879665.1, XP_020882645.1	XP_023633344.1
OG0000009	XP_020887659.1	XP_023639354.1
OG0000009	XP_020877155.1, XP_020876055.1	XP_023640352.1
OG0000011	XP_020881814.1, XP_020878850.1	XP_023638113.1, XP_023633028.1
OG0000011	XP_020873638.1	XP_023644226.1
OG0000011	XP_020876758.1, XP_020889800.1, XP_020881514.1	XP_023641372.1
OG0000011	XP_020888576.1	XP_023636996.1
OG0000011	XP_020887134.1	XP_023635713.1, XP_023636144.1
OG0000011	XP_020887782.1	XP_023636084.1
OG0000011	XP_020889569.1	XP_006305811.2, XP_023641252.1, XP_023637592.1, XP_023644258.1
OG0000011	XP_020885594.1, XP_020870692.1	XP_006298993.2, XP_023637233.1
OG0000011	XP_020889856.1	XP_023641182.1
OG0000011	XP_020872445.1, XP_020875855.1	XP_006288329.2
OG0000011	XP_020875471.1, XP_020876980.1, XP_002888416.2	XP_023638956.1
OG0000014	XP_020871367.1, XP_020871369.1	XP_023638462.1, XP_023634279.1
OG0000018	XP_020876240.1	XP_023639601.1
OG0000020	XP_020887777.1	XP_023640323.1
OG0000020	XP_002862745.2, XP_020874187.1	XP_006279199.1
OG0000020	XP_020879010.1, XP_020874114.1, XP_002883754.2	XP_023644230.1, XP_023638100.1, XP_023633554.1, XP_023644447.1, XP_023640322.1, XP_006301549.2, XP_023638121.1
OG0000021	XP_020872563.1, XP_020870832.1	XP_023637241.1
OG0000021	XP_020889705.1, XP_020876177.1, XP_020889912.1, XP_020882641.1, XP_020879663.1, XP_020876808.1, XP_020879537.1, XP_020888861.1, XP_020872277.1, XP_020871456.1, XP_020872555.1, XP_020886835.1, XP_020867207.1, XP_020876809.1	XP_023638098.1
OG0000021	XP_020887754.1, XP_020885800.1, XP_020871592.1, XP_020879735.1, XP_020879721.1, XP_020887591.1	XP_023634347.1, XP_023644512.1, XP_023636053.1, XP_006285455.2, XP_023638958.1
OG0000021	XP_020879723.1	XP_023634431.1
OG0000021	XP_020874134.1	XP_023641962.1, XP_023641378.1
OG0000021	XP_020871964.1, XP_020874896.1, XP_020872412.1	XP_023637243.1, XP_023642574.1
OG0000022	XP_020873422.1	XP_006283550.1
OG0000022	XP_020878202.1	XP_023636761.1
OG0000022	XP_002886462.1	XP_006302102.1
OG0000022	XP_020890773.1	XP_006301814.1
OG0000022	XP_020869509.1	XP_006306232.1
OG0000022	XP_020868327.1, XP_020870640.1, XP_020868325.1	XP_006303680.2, XP_006303621.1
OG0000022	XP_020869508.1, XP_020870927.1	XP_006306401.2, XP_006303167.1
OG0000022	XP_020865918.1	XP_023643559.1
OG0000022	XP_020890021.1	XP_006302132.1
OG0000022	XP_002868609.1	XP_023635463.1
OG0000022	XP_002883021.2	XP_006297483.1
OG0000023	XP_020888558.1, XP_020874042.1, XP_020875073.1	XP_023642187.1
OG0000024	XP_020869784.1, XP_020870297.1, XP_020870502.1, XP_020866340.1, XP_002890925.2	XP_023643300.1, XP_023632994.1
OG0000024	XP_020869389.1, XP_020869783.1, XP_020866486.1, XP_020866487.1, XP_002893661.2, XP_020869388.1	XP_023633131.1
OG0000024	XP_020866666.1, XP_002890932.2, XP_002890929.1, XP_020866416.1	XP_023632988.1
OG0000024	XP_002890930.2, XP_002890933.2	XP_023644421.1, XP_023644420.1, XP_023632644.1, XP_023632643.1, XP_023644419.1
OG0000024	XP_002893706.2	XP_023633039.1
OG0000024	XP_020881113.1, XP_020879759.1	XP_023633004.1, XP_023639207.1
OG0000025	XP_020881073.1, XP_020879655.1	XP_023644235.1, XP_023636040.1, XP_023641958.1, XP_023644550.1, XP_023644451.1, XP_023634078.1
OG0000025	XP_020877486.1	XP_023636962.1
OG0000025	XP_020876192.1	XP_023644446.1, XP_023636071.1
OG0000027	XP_020878446.1	XP_023635857.1
OG0000027	XP_020878445.1	XP_023635858.1, XP_006289355.2
OG0000027	XP_002872592.1	XP_006287218.1
OG0000027	XP_002872595.1	XP_023635866.1
OG0000027	XP_020873367.1	XP_023634683.1
OG0000027	XP_020873341.1	XP_006283253.1
OG0000027	XP_002872599.2	XP_006289052.2
OG0000027	XP_020873349.1	XP_023634685.1
OG0000028	XP_020885754.1, XP_020874777.1, XP_020875627.1, XP_020874778.1, XP_020871166.1, XP_020886436.1	XP_023634475.1
OG0000028	XP_020875061.1	XP_006285133.1
OG0000028	XP_020871243.1, XP_020880825.1	XP_006291347.1
OG0000028	XP_020867900.1	XP_006292343.1
OG0000029	XP_020871888.1	XP_023633422.1
OG0000030	XP_020871692.1, XP_020871677.1, XP_020888510.1	XP_006296044.1
OG0000030	XP_002885337.1	XP_006297884.1
OG0000030	XP_002893432.1, XP_020866580.1	XP_023632886.1, XP_023632793.1
OG0000030	XP_020879678.1, XP_020881930.1, XP_020880910.1	XP_006293126.1
OG0000030	XP_020869589.1	XP_006305030.1
OG0000030	XP_020888486.1	XP_006297854.1, XP_006297862.1, XP_006300177.2
OG0000030	XP_002884990.1	XP_006298407.2
OG0000034	XP_002867849.1	XP_023634856.1
OG0000034	XP_020873368.1	XP_023634693.1, XP_023634678.1
OG0000034	XP_020873366.1	XP_023635576.1
OG0000035	XP_020883112.1, XP_020887195.1, XP_020871214.1, XP_020875318.1, XP_020870256.1, XP_020884941.1, XP_020875756.1, XP_020887746.1, XP_020877165.1	XP_023633542.1, XP_023633652.1, XP_023639706.1
OG0000035	XP_020883624.1, XP_020882782.1, XP_020891219.1, XP_020872062.1, XP_020889582.1	XP_023640381.1, XP_023634177.1
OG0000035	XP_020870265.1, XP_020886028.1	XP_023634166.1
OG0000040	XP_020870158.1	XP_023644222.1, XP_023644534.1, XP_023640572.1, XP_023639239.1, XP_023634852.1
OG0000040	XP_020877174.1	XP_023638978.1
OG0000040	XP_020890764.1, XP_020881671.1, XP_020871402.1	XP_023634840.1, XP_023636105.1, XP_023633811.1
OG0000040	XP_020884682.1, XP_020887780.1	XP_023640353.1
OG0000042	XP_020872945.1, XP_020876174.1	XP_023634283.1
OG0000044	XP_002865187.1	XP_023638545.1
OG0000044	XP_002865185.1	XP_023634755.1
OG0000044	XP_020881042.1	XP_006282385.2
OG0000044	XP_020878609.1	XP_006281533.1
OG0000044	XP_002863747.1	XP_023634969.1
OG0000044	XP_020875361.1	XP_006282434.2
OG0000046	XP_020872615.1, XP_020878672.1, XP_020882823.1, XP_020877149.1, XP_020879796.1, XP_020872313.1	XP_023641942.1, XP_023640348.1, XP_023636067.1, XP_006289233.2, XP_023638196.1
OG0000048	XP_002879361.2	XP_023640514.1
OG0000048	XP_002886496.1, XP_002886498.2	XP_023643230.1, XP_023643229.1, XP_023636083.1, XP_006289868.2
OG0000051	XP_020868191.1	XP_006304062.1
OG0000051	XP_002881850.2	XP_023640868.1
OG0000051	XP_020883307.1	XP_023640424.1
OG0000051	XP_020883310.1, XP_020883308.1	XP_023639525.1
OG0000051	XP_020883311.1	XP_023640425.1, XP_023640455.1, XP_023640454.1
OG0000052	XP_020882518.1	XP_023639245.1
OG0000052	XP_020881407.1, XP_020881410.1, XP_020881406.1	XP_023638292.1
OG0000052	XP_002894621.2	XP_006301891.2, XP_006301896.2
OG0000052	XP_020881409.1	XP_006293172.2
OG0000052	XP_020881215.1	XP_006293230.1
OG0000052	XP_020881213.1	XP_006290348.2
OG0000052	XP_020881212.1	XP_023638945.1, XP_023638947.1
OG0000052	XP_020881214.1	XP_023638946.1
OG0000052	XP_020880077.1	XP_006291090.1
OG0000052	XP_020882208.1	XP_006291102.1
OG0000052	XP_020879882.1	XP_006305853.1
OG0000052	XP_020879883.1, XP_020879991.1	XP_023641037.1, XP_023633372.1
OG0000052	XP_020879878.1, XP_020876149.1, XP_020879879.1	XP_023638561.1, XP_006293221.1
OG0000052	XP_020879992.1	XP_023638815.1
OG0000055	XP_020889173.1	XP_006299228.1, XP_006300113.1
OG0000055	XP_002883536.1, XP_020888450.1	XP_006300080.1, XP_023641394.1, XP_006299259.1, XP_006301327.2
OG0000055	XP_020889148.1	XP_023641570.1
OG0000055	XP_020883674.1	XP_006286657.2
OG0000055	XP_020886512.1	XP_023641561.1
OG0000055	XP_020889170.1	XP_006299379.1
OG0000056	XP_002886466.1	XP_006301460.1
OG0000056	XP_002886488.1	XP_006302237.1
OG0000056	XP_020865627.1	XP_006300465.1, XP_006302243.1
OG0000056	XP_020890625.1, XP_002888056.1	XP_006301237.2
OG0000056	XP_020891225.1	XP_006301411.1
OG0000056	XP_002888053.1	XP_006301193.1
OG0000056	XP_020891223.1	XP_006301052.1
OG0000056	XP_020880767.1	XP_006292456.1
OG0000059	XP_020889554.1, XP_020890752.1, XP_020876125.1	XP_023633548.1, XP_023644244.1, XP_023634277.1
OG0000059	XP_020876486.1	XP_023636099.1, XP_006290464.1
OG0000060	XP_020884530.1	XP_006292099.1
OG0000060	XP_002864647.1, XP_020880298.1, XP_002862282.2	XP_006303455.1
OG0000060	XP_020868710.1	XP_006292098.1
OG0000061	XP_020868372.1	XP_023645797.1
OG0000061	XP_002871528.2	XP_006287607.1
OG0000061	XP_020874135.1	XP_006286287.2
OG0000061	XP_020873461.1	XP_023633781.1
