Orthogroup	Arabidopsis_arenosa	Rorippa_islandica
OG0000000	jg16911, jg12161, jg21611	Roisl.0214s0322.1.p, Roisl.0008s0147.1.p, Roisl.0082s0510.1.p, Roisl.0009s0190.1.p, Roisl.0191s0689.1.p, Roisl.0053s0029.1.p, Roisl.0055s0043.1.p, Roisl.0046s1083.1.p, Roisl.0185s0067.1.p, Roisl.0204s0096.1.p, Roisl.0185s0075.1.p
OG0000000	jg27616	Roisl.0020s0162.1.p, Roisl.0213s0727.1.p
OG0000002	jg2023, jg27584	Roisl.0194s0020.1.p
OG0000003	jg27926	Roisl.0058s0052.1.p, Roisl.0189s0151.1.p, Roisl.0214s0907.1.p, Roisl.0047s0023.1.p, Roisl.0213s0678.1.p, Roisl.0005s0145.1.p, Roisl.0214s0184.1.p, Roisl.0188s0028.1.p, Roisl.0004s0406.1.p, Roisl.0053s0433.1.p, Roisl.0037s0060.1.p, Roisl.0184s0058.1.p
OG0000003	jg13879	Roisl.0194s0028.1.p, Roisl.0209s0038.1.p
OG0000003	jg27173	Roisl.0041s0053.1.p, Roisl.0008s0063.1.p, Roisl.0040s0026.1.p, Roisl.0015s0146.1.p, Roisl.0083s0007.1.p, Roisl.0066s0424.1.p
OG0000003	jg17562	Roisl.0179s0091.1.p, Roisl.0214s0894.1.p
OG0000004	jg12072, jg12472, jg1749	Roisl.0022s0436.1.p
OG0000005	jg1672	Roisl.0027s0129.1.p, Roisl.0211s0001.1.p, Roisl.0010s0029.1.p, Roisl.0082s0007.1.p, Roisl.0209s0534.1.p, Roisl.0213s0012.1.p, Roisl.0210s2163.1.p, Roisl.0083s0041.1.p, Roisl.0179s0032.1.p, Roisl.0206s0002.1.p, Roisl.0075s0007.1.p, Roisl.0185s0041.1.p, Roisl.0061s0001.1.p, Roisl.0077s0002.1.p, Roisl.0087s0026.1.p, Roisl.0184s0028.1.p, Roisl.0061s0007.1.p
OG0000008	jg15054, jg15062, jg15069, jg15057	Roisl.0046s1132.1.p, Roisl.0046s1119.1.p
OG0000011	jg33383, jg21637	Roisl.0008s0052.1.p
OG0000011	jg4342	Roisl.0019s0018.1.p
OG0000012	jg27473, jg29119	Roisl.0011s0567.1.p
OG0000012	jg9712, jg17246	Roisl.0198s0021.1.p, Roisl.0082s0083.1.p
OG0000014	jg1574	Roisl.0023s0108.1.p
OG0000020	jg27354	Roisl.0179s0050.1.p
OG0000020	jg2142	Roisl.0025s0020.1.p, Roisl.0204s0053.1.p, Roisl.0066s0088.1.p, Roisl.0036s0054.1.p, Roisl.0040s0004.1.p, Roisl.0214s0552.1.p, Roisl.0194s0048.1.p
OG0000020	jg32618	Roisl.0082s0242.1.p
OG0000020	jg6884, jg7335	Roisl.0037s0007.1.p, Roisl.0066s0087.1.p
OG0000020	jg11780, jg21044, jg32221, jg11614, jg1479, jg1901, jg6982, jg14690, jg6883	Roisl.0210s2188.1.p, Roisl.0083s0053.1.p
OG0000020	jg32222, jg15995	Roisl.0214s0109.1.p
OG0000021	jg32225, jg20321, jg1978, jg701, jg3954	Roisl.0082s0017.1.p
OG0000021	jg2029, jg15196, jg12414, jg15089, jg17083, jg11853, jg32267, jg1316, jg16332, jg27287	Roisl.0179s0097.1.p, Roisl.0198s0008.1.p
OG0000021	jg32393, jg11989, jg32560, jg4400, jg26774	Roisl.0066s0388.1.p
OG0000021	jg25715	Roisl.0014s0139.1.p
OG0000022	jg9770	Roisl.0022s0346.1.p
OG0000022	jg5495	Roisl.0210s1365.1.p
OG0000022	jg643, jg617, jg616, jg618, jg613	Roisl.0010s0089.1.p, Roisl.0010s0086.1.p
OG0000022	jg645, jg586, jg583, jg572	Roisl.0010s0095.1.p
OG0000022	jg642	Roisl.0010s0065.1.p
OG0000022	jg612, jg610, jg644	Roisl.0010s0092.1.p
OG0000022	jg582, jg588, jg580, jg611	Roisl.0008s0013.1.p
OG0000022	jg29675	Roisl.0028s0598.1.p
OG0000022	jg638	Roisl.0010s0069.1.p
OG0000022	jg29724	Roisl.0021s0361.1.p
OG0000022	jg29711	Roisl.0021s0350.1.p
OG0000022	jg372	Roisl.0050s0030.1.p
OG0000022	jg12744	Roisl.0009s0109.1.p
OG0000022	jg25741	Roisl.0074s0275.1.p
OG0000024	jg17071	Roisl.0015s0178.1.p
OG0000024	jg31710	Roisl.0066s0178.1.p
OG0000024	jg31705	Roisl.0213s0369.1.p
OG0000024	jg31856, jg31855	Roisl.0213s0506.1.p
OG0000024	jg31708	Roisl.0213s0508.1.p, Roisl.0213s0507.1.p
OG0000024	jg27402, jg18984	Roisl.0213s0365.1.p, Roisl.0213s0382.1.p, Roisl.0213s0370.1.p, Roisl.0213s0366.1.p
OG0000024	jg31665, jg31668	Roisl.0213s0367.1.p
OG0000024	jg14278	Roisl.0026s0135.1.p
OG0000025	jg21506, jg20543, jg32153, jg27936, jg1637, jg14016, jg1257	Roisl.0213s0858.1.p, Roisl.0022s0006.1.p
OG0000026	jg6878	Roisl.0213s0871.1.p
OG0000027	jg7517, jg7516	Roisl.0213s0582.1.p
OG0000027	jg7523	Roisl.0213s0590.1.p, Roisl.0213s0588.1.p, Roisl.0213s0583.1.p
OG0000027	jg10174	Roisl.0008s0130.1.p
OG0000027	jg10184	Roisl.0184s0130.1.p
OG0000027	jg10183	Roisl.0184s0131.1.p
OG0000027	jg10189	Roisl.0008s0071.1.p
OG0000027	jg10205	Roisl.0214s0896.1.p
OG0000027	jg10191	Roisl.0008s0079.1.p
OG0000027	jg10192	Roisl.0008s0069.1.p
OG0000027	jg10199	Roisl.0008s0076.1.p
OG0000028	jg22442	Roisl.0075s0120.1.p, Roisl.0001s0071.1.p, Roisl.0075s0080.1.p
OG0000028	jg22443, jg22441	Roisl.0075s0121.1.p
OG0000028	jg8944, jg8946	Roisl.0001s0017.1.p, Roisl.0001s0010.1.p
OG0000028	jg22236	Roisl.0080s0746.1.p, Roisl.0080s0747.1.p
OG0000028	jg23436, jg23431	Roisl.0053s0335.1.p
OG0000028	jg8750	Roisl.0008s0342.1.p
OG0000028	jg23433, jg23437	Roisl.0053s0333.1.p
OG0000028	jg23430	Roisl.0053s0334.1.p
OG0000028	jg14606	Roisl.0091s1124.1.p
OG0000028	jg29584	Roisl.0053s0416.1.p, Roisl.0053s0421.1.p, Roisl.0214s0405.1.p
OG0000029	jg6737, jg11997	Roisl.0208s0029.1.p
OG0000029	jg21311	Roisl.0210s0592.1.p, Roisl.0046s0704.1.p
OG0000030	jg26153, jg26152	Roisl.0115s0348.1.p, Roisl.0115s0350.1.p, Roisl.0115s0351.1.p
OG0000030	jg2274	Roisl.0019s0830.1.p, Roisl.0019s0831.1.p
OG0000030	jg30787	Roisl.0056s0019.1.p, Roisl.0046s0733.1.p
OG0000030	jg31203, jg31202	Roisl.0213s0186.1.p
OG0000030	jg25536	Roisl.0053s0027.1.p, Roisl.0060s0006.1.p
OG0000030	jg25377, jg1071	Roisl.0074s0600.1.p, Roisl.0043s0011.1.p
OG0000030	jg1537, jg14799, jg17824, jg14802, jg14804	Roisl.0046s0887.1.p
OG0000030	jg2112	Roisl.0042s0059.1.p
OG0000030	jg29499	Roisl.0021s0166.1.p
OG0000030	jg25272	Roisl.0046s0886.1.p
OG0000030	jg738, jg25360	Roisl.0074s0618.1.p
OG0000031	jg21124	Roisl.0023s0119.1.p
OG0000031	jg21055	Roisl.0204s0033.1.p, Roisl.0027s0121.1.p, Roisl.0048s0016.1.p
OG0000032	jg27281, jg13794, jg27158, jg18577, jg19520, jg25717	Roisl.0005s0192.1.p
OG0000034	jg10193, jg10203, jg10197	Roisl.0008s0068.1.p
OG0000034	jg10204	Roisl.0214s0895.1.p
OG0000034	jg10200	Roisl.0008s0077.1.p
OG0000034	jg10426	Roisl.0091s0192.1.p, Roisl.0091s0193.1.p, Roisl.0091s0191.1.p
OG0000034	jg10425	Roisl.0091s0190.1.p
OG0000034	jg10207	Roisl.0214s0897.1.p, Roisl.0214s0900.1.p, Roisl.0214s0898.1.p
OG0000034	jg10186	Roisl.0008s0074.1.p
OG0000034	jg10175, jg10176	Roisl.0008s0129.1.p, Roisl.0008s0131.1.p
OG0000034	jg10198	Roisl.0019s0659.1.p
OG0000034	jg10202, jg10195, jg10208	Roisl.0214s0905.1.p
OG0000035	jg32621, jg13872	Roisl.0213s0218.1.p
OG0000035	jg32484	Roisl.0082s0037.1.p
OG0000035	jg7027	Roisl.0213s0025.1.p
OG0000035	jg6998, jg7008, jg32675, jg6987, jg1581	Roisl.0214s0147.1.p
OG0000038	jg27503	Roisl.0046s1475.1.p, Roisl.0209s0432.1.p
OG0000040	jg17939	Roisl.0008s0082.1.p, Roisl.0189s0061.1.p, Roisl.0189s0088.1.p, Roisl.0006s0287.1.p, Roisl.0082s0467.1.p, Roisl.0209s0082.1.p, Roisl.0019s0385.1.p, Roisl.0046s0431.1.p
OG0000040	jg26952	Roisl.0020s0088.1.p, Roisl.0179s0100.1.p, Roisl.0058s0100.1.p, Roisl.0209s0494.1.p, Roisl.0214s0186.1.p
OG0000041	jg28661, jg10344	Roisl.0046s0022.1.p
OG0000042	jg11609	Roisl.0204s0126.1.p, Roisl.0012s0194.1.p
OG0000042	jg2222	Roisl.0035s0107.1.p, Roisl.0012s0035.1.p
OG0000042	jg6977	Roisl.0025s0035.1.p, Roisl.0048s0004.1.p
OG0000044	jg20418	Roisl.0005s0130.1.p, Roisl.0005s0269.1.p
OG0000044	jg7084, jg7157	Roisl.0214s0309.1.p
OG0000044	jg20420	Roisl.0055s0047.1.p, Roisl.0055s0046.1.p, Roisl.0012s0357.1.p
OG0000044	jg13687, jg20423	Roisl.0210s2195.1.p
OG0000044	jg20416	Roisl.0005s0157.1.p, Roisl.0005s0158.1.p, Roisl.0005s0160.1.p
OG0000044	jg20415	Roisl.0005s0150.1.p
OG0000046	jg12140	Roisl.0210s2226.1.p
OG0000046	jg13501, jg20886	Roisl.0200s0033.1.p, Roisl.0006s0046.1.p, Roisl.0082s0471.1.p, Roisl.0213s0356.1.p, Roisl.0209s0778.1.p, Roisl.0210s2175.1.p, Roisl.0029s0020.1.p, Roisl.0082s0470.1.p, Roisl.0189s0032.1.p, Roisl.0028s0924.1.p, Roisl.0184s0183.1.p, Roisl.0202s0007.1.p, Roisl.0200s0032.1.p, Roisl.0184s0227.1.p, Roisl.0029s0021.1.p, Roisl.0210s2176.1.p, Roisl.0213s0357.1.p, Roisl.0209s0777.1.p, Roisl.0189s0033.1.p
OG0000046	jg29315, jg17523, jg14196	Roisl.0029s0014.1.p
OG0000046	jg1035, jg17283, jg1573, jg1834, jg309, jg32416	Roisl.0005s0079.1.p, Roisl.0056s0010.1.p, Roisl.0208s0028.1.p, Roisl.0008s0152.1.p, Roisl.0045s0045.1.p, Roisl.0062s0016.1.p, Roisl.0198s0056.1.p, Roisl.0209s0245.1.p, Roisl.0005s0329.1.p, Roisl.0015s0173.1.p
OG0000048	jg20748, jg20747	Roisl.0017s0448.1.p, Roisl.0017s0447.1.p, Roisl.0017s0418.1.p, Roisl.0082s0583.1.p, Roisl.0012s0264.1.p
OG0000048	jg18309, jg18271	Roisl.0028s0624.1.p, Roisl.0211s0012.1.p
OG0000048	jg33607	Roisl.0006s0337.1.p
OG0000048	jg18210, jg18207	Roisl.0017s0510.1.p
OG0000048	jg25048	Roisl.0074s0908.1.p
OG0000048	jg740	Roisl.0028s0615.1.p
OG0000050	jg11604, jg13853, jg14086	Roisl.0008s0345.1.p, Roisl.0025s0047.1.p
OG0000050	jg19949, jg4268	Roisl.0214s0827.1.p
OG0000050	jg1167, jg27469, jg7250, jg20411, jg7021, jg12231, jg18866, jg13112, jg13499, jg21057, jg8024, jg14182, jg14025, jg21900, jg21898, jg13958, jg1166, jg11079	Roisl.0082s0464.1.p
OG0000051	jg497	Roisl.0082s0147.1.p
OG0000051	jg19551, jg19550, jg907, jg19552, jg19554, jg18423	Roisl.0028s0722.1.p
OG0000051	jg19560	Roisl.0189s0079.1.p
OG0000052	jg1458, jg1459, jg1457	Roisl.0019s0256.1.p, Roisl.0019s0270.1.p
OG0000052	jg13394, jg13392, jg13393	Roisl.0011s0480.1.p
OG0000052	jg14762	Roisl.0046s0692.1.p
OG0000052	jg20319	Roisl.0011s0479.1.p
OG0000055	jg25886, jg26868	Roisl.0053s0213.1.p, Roisl.0001s0543.1.p, Roisl.0210s1750.1.p, Roisl.0210s1827.1.p
OG0000055	jg12073	Roisl.0053s0284.1.p
OG0000055	jg12035	Roisl.0053s0119.1.p
OG0000055	jg25759, jg25744	Roisl.0074s0270.1.p
