Orthogroup	Capsella_rubella	Alyssum_gmelinii
OG0000000	XP_023639960.1	Ag004G340890, Ag001G084200
OG0000002	XP_023638855.1	Ag005G410720
OG0000003	XP_023639625.1	Ag007G617260
OG0000003	XP_023633682.1	Ag003G271610
OG0000003	XP_023643044.1	Ag001G046010
OG0000004	XP_023633818.1	Ag008G684310
OG0000004	XP_023644510.1, XP_023644490.1	Ag005G427550
OG0000004	XP_023639065.1, XP_023634340.1, XP_023639555.1, XP_023644538.1, XP_023634315.1, XP_023643231.1, XP_023633877.1, XP_023634308.1, XP_023644483.1, XP_023645887.1	Ag006G503330
OG0000005	XP_006292284.1	Ag005G452100
OG0000005	XP_023634342.1	Ag007G622540
OG0000006	XP_023641719.1, XP_023637544.1	Ag005G455250
OG0000007	XP_023637681.1	Ag001G006450, Ag006G516390, Ag001G011750, Ag004G330770, Ag002G136200, Ag001G003030
OG0000007	XP_023633451.1	Ag002G132800
OG0000008	XP_023638567.1, XP_023633352.1	Ag001G015890
OG0000013	XP_023644225.1	Ag001G041140
OG0000014	XP_023641911.1	Ag008G691080
OG0000015	XP_023633382.1	Ag008G687430
OG0000017	XP_023638100.1, XP_023644447.1, XP_023640322.1, XP_023633554.1, XP_006301549.2, XP_023644230.1, XP_023638121.1	Ag005G432180, Ag001G042370
OG0000017	XP_006279199.1	Ag004G336140, Ag001G069670
OG0000017	XP_023640323.1	Ag002G124100, Ag004G375560, Ag001G050140
OG0000017	XP_006302668.2	Ag004G368420, Ag003G267410, Ag004G341270, Ag002G159510, Ag002G182860
OG0000018	XP_023642574.1, XP_023637243.1, XP_023644454.1, XP_023641378.1, XP_023641962.1	Ag007G609170
OG0000019	XP_023633409.1	Ag005G436930
OG0000019	XP_023638956.1	Ag007G642200, Ag006G545350
OG0000019	XP_023638031.1, XP_023643301.1	Ag005G447690, Ag004G361020, Ag001G055110, Ag007G635570, Ag001G073070
OG0000020	XP_023632591.1	Ag005G440730
OG0000023	XP_006284983.1	Ag006G545600, Ag006G549030
OG0000023	XP_023634683.1, XP_006283253.1	Ag006G569900, Ag006G545580, Ag006G549040
OG0000023	XP_006289355.2, XP_023635858.1, XP_006286462.1, XP_023635857.1	Ag002G145570, Ag002G145600
OG0000023	XP_006287218.1	Ag002G145500
OG0000023	XP_006285954.1	Ag006G547270
OG0000023	XP_023634688.1	Ag006G545440
OG0000023	XP_023634702.1	Ag006G549060
OG0000025	XP_023634475.1, XP_006281712.1	Ag003G230310
OG0000026	XP_023636110.1	Ag013G741580
OG0000027	XP_023644529.1	Ag006G546200, Ag005G439390
