Orthogroup	Brassica_oleracea	Camelina_sativa
OG0000000	XP_013615253.1	XP_019094484.1, XP_010469202.1
OG0000000	XP_013631219.1	XP_010419000.1, XP_010431245.1
OG0000000	XP_013639798.1	XP_019097419.1, XP_019093315.1, XP_010419097.1, XP_010445866.1, XP_010513025.1
OG0000000	XP_013589426.1, XP_013608138.1, XP_013601226.1	XP_010431321.2, XP_010480531.1
OG0000000	XP_013594889.1	XP_019084310.1, XP_010484878.1
OG0000000	XP_013625528.1, XP_013601584.1	XP_019085587.1, XP_019087550.1
OG0000000	XP_013624139.1	XP_010436306.1
OG0000000	XP_013639528.1, XP_013623967.1, XP_013595003.1, XP_013608296.1, XP_013617205.1, XP_013594406.1, XP_013601638.1, XP_013594455.1, XP_013607556.1, XP_013624151.1, XP_013628112.1, XP_013632833.1, XP_013594838.1, XP_013624723.1, XP_013617764.1	XP_019097375.1, XP_010513742.1, XP_010495131.1, XP_010518579.1, XP_010462992.1
OG0000000	XP_013624532.1, XP_013624835.1, XP_013589327.1, XP_013633450.1	XP_010472251.1, XP_019099588.1, XP_010474031.1, XP_010472440.1, XP_010451797.1, XP_010507264.1, XP_010468426.1
OG0000000	XP_013594975.1	XP_019093305.1
OG0000000	XP_013632634.1	XP_010507173.1, XP_019101891.1
OG0000000	XP_013624473.1, XP_013616899.1, XP_013614454.1	XP_019101890.1
OG0000000	XP_013623358.1	XP_019098912.1
OG0000000	XP_013624757.1, XP_013608522.1	XP_010507174.1
OG0000000	XP_013601125.1	XP_010473903.1, XP_010512944.1, XP_019099570.1
OG0000000	XP_013601024.1, XP_013601437.1	XP_010419021.1, XP_010490159.1, XP_010474601.1, XP_019095662.1
OG0000000	XP_013632885.1, XP_013624410.1	XP_010513002.1
OG0000000	XP_013632878.1	XP_010495165.1, XP_010495244.1
OG0000002	XP_013601696.1, XP_013617415.1, XP_013601104.1, XP_013604825.1	XP_019101801.1, XP_019100799.1, XP_010431635.1, XP_010456767.1
OG0000002	XP_013624612.1	XP_010513476.1, XP_010484771.1
OG0000002	XP_013594451.1	XP_010468482.1, XP_010419143.1, XP_010424375.1, XP_010430672.1
OG0000002	XP_013624531.1	XP_019096313.1
OG0000002	XP_013624471.1, XP_013630619.1	XP_010495465.1, XP_010513345.1
OG0000003	XP_013589605.1, XP_013624294.1	XP_010418986.1, XP_010424688.1, XP_019085419.1
OG0000003	XP_013616875.1	XP_019095265.1, XP_010468638.1
OG0000003	XP_013589405.1, XP_013595187.1	XP_019085542.1, XP_019096508.1, XP_019082748.1
OG0000003	XP_013617895.1, XP_013601861.1, XP_013613505.1, XP_013632463.1	XP_010462886.1, XP_010418651.1, XP_010481131.1, XP_010431573.1, XP_010463260.1, XP_010446053.1
OG0000003	XP_013589254.1	XP_010436564.1
OG0000003	XP_013624212.1	XP_019082654.1
OG0000003	XP_013601688.1	XP_010419362.1, XP_019094392.1, XP_010507045.1, XP_010490042.1, XP_010412489.1
OG0000003	XP_013617795.1	XP_010418577.1, XP_010501871.1, XP_010501997.1
OG0000003	XP_013601139.1	XP_010445721.1
OG0000003	XP_013617405.1, XP_013608114.1	XP_010512971.1
OG0000003	XP_013639726.1	XP_019087498.1, XP_010473996.1, XP_010513199.1, XP_019087344.1, XP_010507014.1, XP_019091090.1, XP_019089122.1, XP_010436801.1, XP_010424388.1, XP_010445682.1, XP_010422568.1, XP_010445926.1, XP_019090166.1, XP_010424222.1, XP_019097041.1, XP_010451419.2, XP_010474264.1, XP_010475217.1
OG0000003	XP_013600128.1, XP_013633271.1, XP_013595102.1, XP_013589262.1	XP_010496100.1, XP_010474339.1, XP_010418675.1
OG0000003	XP_013639646.1, XP_013608327.1, XP_013608171.1, XP_013617581.1	XP_019100972.1
OG0000003	XP_013632772.1, XP_013616902.1, XP_013627293.1, XP_013639645.1, XP_013583424.1	XP_010435962.1, XP_010513407.1
OG0000003	XP_013639347.1	XP_010463164.1, XP_019090146.1, XP_010473202.1
OG0000003	XP_013614573.1	XP_019087435.1
OG0000003	XP_013595073.1	XP_010481038.1
OG0000003	XP_013633247.1, XP_013601581.1, XP_013594653.1, XP_013617757.1	XP_010473894.1
OG0000003	XP_013594768.1	XP_010431475.1
OG0000003	XP_013601482.1, XP_013633133.1	XP_019095868.1
OG0000003	XP_013617246.1	XP_010446092.1
OG0000003	XP_013617855.1, XP_013589622.1	XP_019089103.1
OG0000003	XP_013639486.1, XP_013624949.1, XP_013624679.1, XP_013608037.1, XP_013617230.1, XP_013601547.1	XP_010424837.2
OG0000003	XP_013624580.1, XP_013607533.1	XP_010495645.1
OG0000004	XP_013639674.1, XP_013607775.1	XP_010446038.1
OG0000004	XP_013624852.1, XP_013624387.1, XP_013633000.1	XP_010484959.1, XP_019098112.1, XP_010451376.1, XP_010468186.1, XP_010501684.1
OG0000004	XP_013590901.1, XP_013608188.1	XP_019096716.1
OG0000004	XP_013624193.1	XP_019084411.1, XP_010445388.1, XP_010501566.1, XP_010507019.1
OG0000004	XP_013616947.1	XP_010495705.2
OG0000004	XP_013608060.1, XP_013632935.1	XP_010445376.1
OG0000004	XP_013601294.1	XP_019095344.1, XP_019085777.1, XP_019094874.1, XP_019088092.1
OG0000005	XP_013614810.1, XP_013624578.1	XP_010468824.1
OG0000005	XP_013615213.1, XP_013627530.1, XP_013589557.1, XP_013632989.1, XP_013594796.1, XP_013624327.1	XP_010445703.1, XP_010497063.1
OG0000005	XP_013639546.1, XP_013624082.1, XP_013589023.1, XP_013588872.1, XP_013583408.1	XP_010445304.1
OG0000005	XP_013617438.1, XP_013613453.1	XP_010484739.1
OG0000005	XP_013614903.1	XP_010412462.1, XP_010451773.2
OG0000005	XP_013639562.1, XP_013594450.1, XP_013632769.1, XP_013624568.1	XP_019098316.1, XP_019094600.1, XP_019097484.1, XP_019086811.1, XP_019091104.1, XP_019089272.1, XP_019085539.1, XP_019089029.1
OG0000005	XP_013632581.1	XP_010445897.1, XP_010484749.1
OG0000005	XP_013624627.1	XP_010470568.1
OG0000007	XP_013617290.1, XP_013585405.1	XP_010479585.2
OG0000007	XP_013634604.1	XP_019086691.1
OG0000007	XP_013617289.1	XP_019100941.1
OG0000007	XP_013603784.1, XP_013635455.1	XP_010436667.1, XP_010435400.1
OG0000007	XP_013623981.1	XP_010496706.1
OG0000007	XP_013632908.1	XP_019099475.1
OG0000007	XP_013633377.1, XP_013632977.1, XP_013623353.1, XP_013633146.1, XP_013639247.1, XP_013614053.1, XP_013589057.1, XP_013617886.1	XP_010456919.1, XP_019096427.1
OG0000007	XP_013610211.1	XP_010485281.1
OG0000007	XP_013594807.1	XP_019087471.1
OG0000007	XP_013596032.1, XP_013617093.1, XP_013589320.1, XP_013608313.1, XP_013624232.1, XP_013634404.1, XP_013639187.1, XP_013608445.1	XP_010501923.1
OG0000007	XP_013632862.1	XP_019084200.1, XP_010490462.1, XP_010485011.1, XP_010462584.1, XP_010485291.1, XP_010478660.1, XP_010500080.1, XP_019082601.1, XP_019090940.1, XP_019094917.1, XP_019093341.1, XP_019087695.1, XP_010470530.1, XP_019089183.1
OG0000007	XP_013639373.1	XP_019101696.1, XP_019087470.1, XP_010513731.1, XP_010495913.1, XP_010507724.1, XP_010424263.1, XP_010501166.1, XP_019093691.1
OG0000007	XP_013632912.1	XP_010428435.1
OG0000007	XP_013607658.1	XP_019099816.1, XP_010463256.1
OG0000007	XP_013608328.1	XP_010436672.1, XP_010478058.1, XP_010507227.1
OG0000008	XP_013594703.1, XP_013583429.1, XP_013639704.1, XP_013639167.1, XP_013615146.1, XP_013612199.1, XP_013633438.1	XP_010451669.1
OG0000008	XP_013617727.1, XP_013601202.1, XP_013624229.1, XP_013607910.1	XP_010418963.1, XP_010494551.1, XP_019090719.1
OG0000008	XP_013601357.1	XP_019085413.1
OG0000008	XP_013639786.1	XP_010451903.1, XP_019085491.1
OG0000008	XP_013601568.1	XP_010479356.2
OG0000008	XP_013614821.1	XP_010445013.1, XP_010507052.1, XP_010490195.1, XP_019089099.1
OG0000008	XP_013608259.1, XP_013584735.1, XP_013639639.1	XP_010456611.1, XP_010469634.1, XP_010468583.2
OG0000008	XP_013639623.1, XP_013639271.1	XP_010468434.1, XP_019086304.1, XP_010496023.1, XP_010484923.1, XP_010474067.1, XP_019094615.1, XP_010484960.1, XP_010473823.2, XP_010506903.1
OG0000008	XP_013624474.1	XP_010424538.1, XP_019096484.1
OG0000008	XP_013624621.1, XP_013639785.1	XP_019085490.1, XP_010451904.1
OG0000008	XP_013601615.1	XP_010431254.1, XP_010507402.1, XP_010507400.1, XP_019101905.1, XP_010431252.2
OG0000008	XP_013624694.1	XP_019087202.1
OG0000008	XP_013632335.1	XP_010495176.1, XP_010497048.1, XP_019100926.1, XP_010451668.1, XP_010434876.2, XP_010495526.1, XP_010445463.1, XP_010445485.1
OG0000009	XP_013616938.1	XP_019085473.1
OG0000009	XP_013617184.1, XP_013595190.1	XP_010481118.1
OG0000009	XP_013623891.1, XP_013601015.1, XP_013589709.1, XP_013624846.1, XP_013607693.1, XP_013607455.1, XP_013600965.1, XP_013623859.1, XP_013613667.1, XP_013617039.1, XP_013616732.1, XP_013589719.1, XP_013608471.1, XP_013594815.1, XP_013624783.1, XP_013639114.1, XP_013588892.1, XP_013595202.1, XP_013617786.1, XP_013613616.1	XP_019097316.1
OG0000009	XP_013608016.1	XP_019089129.1
OG0000009	XP_013624886.1	XP_010424774.1, XP_019085342.1
OG0000009	XP_013633284.1, XP_013589640.1, XP_013617979.1, XP_013608540.1, XP_013595158.1, XP_013589654.1, XP_013601782.1, XP_013588992.1, XP_013633488.1	XP_010474388.1, XP_010445324.1, XP_010418625.1, XP_010419080.1, XP_010506918.1, XP_019092367.1, XP_010412434.1, XP_019082570.1, XP_019093323.1, XP_010490288.1, XP_010473858.1, XP_019091186.1, XP_010512831.1, XP_010436807.1, XP_010423650.1, XP_010457037.1, XP_019086349.1, XP_019096504.1, XP_019092384.1, XP_010485041.1, XP_010436406.1, XP_010468814.1, XP_010495742.1, XP_010431090.1, XP_010468349.1
OG0000009	XP_013616789.1, XP_013617492.1, XP_013624812.1, XP_013607654.1, XP_013615193.1, XP_013583289.1, XP_013617990.1, XP_013633184.1	XP_010506896.1, XP_010507310.1, XP_019093287.1, XP_010495420.1, XP_010456726.1
OG0000009	XP_013616754.1, XP_013615524.1	XP_019089031.1
OG0000011	XP_013608199.1	XP_010445506.1, XP_010495668.1, XP_019085606.1, XP_019101898.1, XP_010473511.2, XP_019090007.1
OG0000011	XP_013601186.1, XP_013594913.1, XP_013639515.1, XP_013601179.1	XP_010496928.1, XP_010501572.1, XP_019084218.1, XP_010497051.1, XP_010496929.1, XP_010456825.1, XP_010496981.1, XP_010480376.1, XP_010451291.1
OG0000011	XP_013615397.1	XP_019087271.1
OG0000011	XP_013610312.1, XP_013624126.1, XP_013624406.1, XP_013608203.1	XP_010436576.1
OG0000011	XP_013622528.1	XP_010451589.1, XP_019094549.1, XP_010496057.1, XP_010495781.2, XP_010501777.1, XP_010436526.1, XP_019087679.1, XP_010431020.1, XP_010441447.2, XP_010461380.2, XP_010472684.2, XP_010489801.1, XP_019082513.1, XP_019090446.1
OG0000011	XP_013607728.1	XP_010463347.1, XP_010436569.1, XP_010445159.1, XP_010463024.1, XP_019090975.1
OG0000011	XP_013589498.1, XP_013632628.1, XP_013633248.1	XP_019086294.1, XP_019087453.1, XP_010471647.1
OG0000012	XP_013601212.1	XP_010464671.1, XP_010500083.1, XP_010517357.1, XP_010446274.1, XP_010474320.1, XP_010418947.1, XP_010451621.1, XP_010436204.1, XP_010445208.1, XP_010463434.1
OG0000012	XP_013639372.1, XP_013624793.1, XP_013613506.1, XP_013623455.1, XP_013626439.1, XP_013611088.1, XP_013612972.1, XP_013594278.1, XP_013608173.1, XP_013617074.1, XP_013632853.1, XP_013632664.1, XP_013583440.1, XP_013608356.1, XP_013594808.1, XP_013632621.1, XP_013624069.1, XP_013589134.1, XP_013617725.1, XP_013617879.1, XP_013632620.1, XP_013589147.1, XP_013594932.1, XP_013607434.1, XP_013632771.1, XP_013632776.1, XP_013633419.1, XP_013584775.1, XP_013608370.1, XP_013589462.1, XP_013631748.1, XP_013601625.1, XP_013624348.1, XP_013639143.1, XP_013608057.1, XP_013624389.1, XP_013617337.1, XP_013623757.1, XP_013617763.1, XP_013632469.1, XP_013617104.1, XP_013624952.1	XP_010456918.1, XP_010489976.1, XP_019087426.1, XP_019097606.1, XP_010507182.1, XP_019094134.1, XP_010473919.1, XP_010462803.1, XP_019100981.1, XP_010513730.1, XP_010467672.1
OG0000014	XP_013614685.1	XP_010418861.1
OG0000014	XP_013594557.1	XP_010470900.1
OG0000014	XP_013607832.1	XP_019096531.1, XP_019095899.1, XP_010496850.1, XP_010507594.1
OG0000014	XP_013624744.1	XP_019084314.1
