Orthogroup	Arabidopsis_thaliana	Arabidopsis_lyrata_NCBI
OG0000003	AT1G43760.1	XP_020881895.1
OG0000008	AT3G51690.1	XP_020881699.1
OG0000008	AT3G51700.1	XP_020881700.1
OG0000009	AT2G06845.1	XP_020867197.1
OG0000011	AT3G30370.1, AT1G18050.1	XP_020881814.1, XP_020878850.1
OG0000011	AT5G15685.1	XP_020889569.1
OG0000012	AT3G47680.1	XP_020891087.1
OG0000020	AT2G06420.1	XP_020877054.1, XP_020869021.1
OG0000021	AT1G52950.1	XP_020885208.1, XP_020885137.1, XP_020886953.1, XP_020886960.1, XP_020890910.1, XP_020885657.1
OG0000021	AT3G31925.1	XP_020879723.1, XP_020874134.1, XP_020871964.1, XP_020874896.1, XP_020872412.1
OG0000022	AT4G26800.2	XP_020873422.1
OG0000022	AT5G16640.1	XP_020878202.1
OG0000022	AT1G62914.1	XP_020865991.1, XP_020890510.1, XP_020865986.1
OG0000022	AT1G62670.1	XP_002886463.2, XP_020865982.1
OG0000022	AT1G62680.1	XP_002886462.1
OG0000022	AT1G63400.1, AT1G62590.1	XP_020891718.1
OG0000022	AT1G62910.1, AT1G63150.1	XP_020891198.1
OG0000022	AT1G63080.1	XP_020865844.1
OG0000022	AT1G62930.1	XP_020890513.1
OG0000022	AT1G63070.1	XP_020865987.1, XP_020865810.1
OG0000022	AT1G62720.1	XP_020890773.1
OG0000022	AT3G22470.1	XP_002885504.2
OG0000022	AT1G12700.2	XP_020869509.1
OG0000022	AT1G12620.1	XP_020868327.1, XP_020870640.1, XP_020868325.1
OG0000022	AT1G12300.1, AT1G12775.1	XP_020869508.1, XP_020870927.1
OG0000022	AT1G06580.1	XP_020869233.1
OG0000022	AT1G64583.1	XP_020865918.1
OG0000022	AT1G64580.1	XP_020890021.1
OG0000022	AT5G41170.1	XP_002868609.1
OG0000022	AT3G16710.1	XP_002883021.2
OG0000024	AT1G60370.1	XP_002891475.2
OG0000024	AT1G30925.1	XP_020869784.1, XP_020870297.1, XP_020870502.1, XP_020866340.1, XP_002890925.2
OG0000024	AT1G30930.1	XP_020869389.1, XP_020869783.1, XP_020866486.1, XP_020866487.1, XP_002893661.2, XP_020869388.1
OG0000024	AT1G31090.1	XP_002890930.2, XP_002890933.2
OG0000024	AT1G67130.1	XP_002888578.2
OG0000024	AT5G42430.1	XP_002890934.2, XP_002890931.2
OG0000024	AT1G33020.1	XP_020866613.1
OG0000024	AT1G33010.1	XP_002893705.2, XP_002893704.2
OG0000024	AT3G56890.1	XP_020881113.1
OG0000024	AT3G57580.1	XP_020879759.1
OG0000024	AT3G57590.1	XP_020879758.1
OG0000027	AT4G11480.1	XP_020878446.1
OG0000027	AT4G11470.2	XP_020878445.1
OG0000027	AT4G11460.1	XP_020878438.1
OG0000027	AT4G23260.1	XP_020873367.1
OG0000027	AT4G23250.2	XP_020873341.1
OG0000027	AT4G23220.1	XP_020873363.1
OG0000027	AT4G11530.1	XP_020867640.1
OG0000027	AT4G11521.1	XP_002872599.2
OG0000027	AT4G23190.1	XP_002867727.1
OG0000027	AT4G23210.3	XP_020873349.1
OG0000028	AT4G13680.1	XP_020874778.1
OG0000028	AT5G55870.1, AT5G54330.1	XP_002864330.1
