protein	mRNA	gene
XP_009119762.1	XM_009121514.3	LOC103844700
XP_009119760.1	XM_009121512.3	LOC103844699
XP_009119759.1	XM_009121511.3	LOC103844698
XP_009119757.1	XM_009121509.3	LOC103844697
XP_009119756.1	XM_009121508.2	LOC103844695
XP_033138414.1	XM_033282523.1	LOC103844693
XP_009119751.3	XM_009121503.3	LOC103844693
XP_033138417.1	XM_033282526.1	LOC103844694
XP_033138418.1	XM_033282527.1	LOC103844694
XP_033138419.1	XM_033282528.1	LOC103844694
XP_033138420.1	XM_033282529.1	LOC103844694
XP_033138415.1	XM_033282524.1	LOC117129137
XP_009119750.1	XM_009121502.3	LOC103844692
XP_033138416.1	XM_033282525.1	LOC117129139
XP_033138412.1	XM_033282521.1	LOC103844691
XP_033138413.1	XM_033282522.1	LOC103844691
XP_033138153.1	XM_033282262.1	LOC117129000
XP_009119749.1	XM_009121501.3	LOC103844690
XP_009119748.1	XM_009121500.3	LOC103844689
XP_033137722.1	XM_033281831.1	LOC103844688
XP_009119746.1	XM_009121498.3	LOC103844687
XP_033137723.1	XM_033281832.1	LOC103844685
XP_033138018.1	XM_033282127.1	LOC103844684
XP_009119738.1	XM_009121490.3	LOC103844682
XP_009119739.1	XM_009121491.3	LOC103844682
XP_033138008.1	XM_033282117.1	LOC103844682
XP_033138009.1	XM_033282118.1	LOC103844682
XP_009119737.1	XM_009121489.3	LOC103844682
XP_033138007.1	XM_033282116.1	LOC103844682
XP_009119742.1	XM_009121494.2	LOC103844683
XP_009119740.1	XM_009121492.3	LOC103844683
XP_033138154.1	XM_033282263.1	LOC103844680
XP_033138006.1	XM_033282115.1	LOC103844679
XP_009119736.1	XM_009121488.3	LOC103844678
XP_033138005.1	XM_033282114.1	LOC103844678
XP_009119730.1	XM_009121482.3	LOC103844675
XP_033138013.1	XM_033282122.1	LOC103844675
XP_033138014.1	XM_033282123.1	LOC103844675
XP_009119731.1	XM_009121483.2	LOC103844676
XP_018511155.1	XM_018655639.2	LOC103844677
XP_018511154.1	XM_018655638.2	LOC103844677
XP_009119732.1	XM_009121484.3	LOC103844677
XP_009119729.1	XM_009121481.3	LOC103844674
XP_009119728.1	XM_009121480.3	LOC103844673
XP_009119727.1	XM_009121479.3	LOC103844672
XP_009119726.1	XM_009121478.3	LOC103844672
XP_009119725.1	XM_009121477.3	LOC103844671
XP_009119721.1	XM_009121473.3	LOC103844671
XP_009119719.1	XM_009121471.3	LOC103844670
XP_009119717.1	XM_009121469.3	LOC103844669
XP_009119718.1	XM_009121470.3	LOC103844669
XP_033138011.1	XM_033282120.1	LOC103844669
XP_033138012.1	XM_033282121.1	LOC103844669
XP_009119716.2	XM_009121468.3	LOC103844668
XP_018511196.1	XM_018655680.2	LOC103844667
XP_009119715.1	XM_009121467.3	LOC103844667
XP_033138017.1	XM_033282126.1	LOC103844665
XP_033138015.1	XM_033282124.1	LOC103844665
XP_009119713.1	XM_009121465.3	LOC103844665
XP_033138016.1	XM_033282125.1	LOC103844665
XP_009119714.1	XM_009121466.3	LOC103844666
XP_009119712.2	XM_009121464.3	LOC103844664
XP_009119711.1	XM_009121463.3	LOC103844663
XP_033138019.1	XM_033282128.1	LOC117128977
XP_009119710.1	XM_009121462.3	LOC103844662
XP_009119709.1	XM_009121461.3	LOC103844661
XP_009119708.2	XM_009121460.3	LOC103844660
XP_009119706.1	XM_009121458.3	LOC103844659
XP_009119704.2	XM_009121456.3	LOC103844658
XP_033137506.1	XM_033281615.1	LOC103844658
