Orthogroup	Brassica_napus	Capsella_rubella
OG0000000	XP_048611822.1	XP_023638874.1
OG0000000	XP_048622406.1, XP_013658077.1	XP_023632701.1
OG0000000	XP_048635065.1, XP_048596306.1, XP_013669519.2, XP_048604928.1, XP_048620124.1, XP_048600598.1, XP_048633279.1, XP_013728730.2, XP_048598145.1, XP_048593431.1, XP_013659995.1, XP_048615615.1, XP_013645609.2, XP_048591404.1, XP_013694115.1, XP_048594901.1, XP_022557450.2	XP_023639960.1
OG0000000	XP_048616517.1, XP_048605168.1, XP_048610163.1, XP_048605519.1, XP_048622155.1, XP_048594846.1, XP_048627981.1, XP_048604862.1, XP_048621926.1, XP_048600318.1, XP_048622627.1, XP_048623922.1, XP_048620208.1, XP_048622769.1	XP_023639601.1
OG0000002	XP_022549733.2, XP_013730849.1	XP_023638855.1
OG0000003	XP_048612037.1, XP_048604599.1, XP_013700336.2, XP_013709251.1, XP_013713350.1, XP_013729530.2, XP_022560082.1, XP_013729306.2, XP_022567565.1	XP_023640321.1
OG0000003	XP_022573072.1	XP_023639598.1
OG0000003	XP_048623767.1, XP_048617123.1, XP_048613209.1, XP_013650755.2, XP_048629524.1, XP_048627545.1, XP_048599996.1, XP_048611684.1, XP_048604999.1, XP_048605785.1, XP_048605458.1, XP_013717832.1, XP_048628762.1, XP_048628164.1, XP_048630693.1	XP_023639625.1
OG0000003	XP_048622366.1	XP_023643366.1
OG0000003	XP_013658381.1, XP_013751798.1	XP_023638126.1
OG0000003	XP_048631220.1, XP_048627963.1	XP_023643044.1
OG0000003	XP_048628244.1, XP_048628243.1, XP_048628350.1, XP_048630864.1, XP_048628796.1, XP_048627881.1, XP_048628805.1, XP_048590783.1	XP_023642453.1
OG0000004	XP_048593472.1, XP_048633069.1	XP_023632892.1
OG0000004	XP_048591457.1	XP_023633818.1
OG0000004	XP_048599890.1, XP_048622927.1, XP_048598122.1, XP_048626290.1, XP_013709134.2, XP_022562623.2	XP_023644510.1, XP_023644490.1
OG0000005	XP_048613553.1	XP_023634342.1
OG0000005	XP_022557495.1, XP_048623614.1	XP_023640809.1
OG0000006	XP_048603704.1, XP_048596481.1, XP_048611470.1, XP_048604740.1, XP_013704285.1	XP_023643663.1
OG0000006	XP_022553496.1, XP_048591653.1, XP_048610451.1, XP_048612141.1, XP_048624568.1, XP_022549981.2, XP_022552001.1, XP_048601748.1, XP_048606946.1, XP_048609380.1, XP_048610801.1	XP_023636902.1
OG0000006	XP_048601765.1	XP_023640317.1
OG0000006	XP_048613014.1	XP_023635150.1
OG0000006	XP_048593388.1, XP_048609348.1, XP_048609347.1, XP_013665085.2, XP_048613183.1	XP_023644546.1, XP_023639048.1
OG0000006	XP_048631151.1, XP_048621605.1, XP_048621349.1, XP_048612104.1, XP_048602935.1, XP_048607098.1, XP_048602894.1, XP_022557024.2, XP_048631548.1, XP_013739847.3, XP_048597124.1, XP_048632399.1, XP_048629681.1	XP_023641260.1, XP_023644414.1
OG0000006	XP_048633298.1	XP_023635039.1
OG0000007	XP_013669482.2	XP_023633614.1
OG0000007	XP_048624246.1, XP_013709372.2, XP_022553380.1, XP_048634063.1, XP_048615667.1, XP_013654036.3, XP_013654011.2, XP_013646207.2, XP_048591502.1	XP_023637681.1
OG0000007	XP_048628012.1, XP_048635094.1, XP_022565607.2	XP_023633451.1
OG0000008	XP_048605305.1	XP_023641902.1, XP_023633645.1
OG0000008	XP_048605193.1, XP_048602098.1, XP_013729777.3, XP_048614654.1, XP_048613386.1, XP_013726652.1, XP_048634180.1	XP_023641963.1
OG0000008	XP_048615675.1, XP_048627521.1, XP_048600989.1, XP_013649895.1, XP_048593291.1, XP_048637651.1, XP_048634041.1, XP_048599181.1, XP_048607915.1, XP_048607904.1, XP_013717411.2, XP_013691111.2, XP_013722649.1, XP_048633127.1, XP_048599584.1, XP_048603850.1, XP_048614138.1, XP_022548693.2, XP_022557716.2, XP_048612002.1, XP_048612005.1, XP_048630290.1, XP_048637523.1, XP_048605750.1, XP_048630899.1, XP_048612699.1, XP_048611975.1, XP_048622867.1, XP_022549239.1, XP_048615069.1, XP_048622956.1, XP_048621207.1, XP_048605224.1, XP_048622188.1, XP_022574272.2, XP_048593363.1, XP_048623066.1, XP_022565168.1, XP_048619957.1	XP_023633343.1, XP_006303816.2, XP_023644880.1
OG0000008	XP_048605194.1, XP_048604578.1, XP_048619954.1, XP_022560005.2, XP_048596270.1, XP_048614935.1, XP_048613237.1, XP_022557626.1	XP_006299996.2
OG0000008	XP_048605325.1	XP_006300347.2, XP_006279329.2, XP_023644459.1, XP_023634290.1, XP_006304508.2, XP_023640337.1, XP_023644475.1, XP_023633664.1, XP_023642844.1
OG0000008	XP_048634097.1, XP_048613323.1, XP_048608334.1, XP_048606350.1, XP_048601609.1, XP_048622948.1	XP_023633344.1
OG0000008	XP_048627537.1	XP_023633352.1
OG0000010	XP_048611974.1, XP_048618623.1, YP_717137.1	XP_023636068.1
OG0000011	XP_048615750.1	XP_023636126.1
OG0000011	XP_013668563.1, XP_048611795.1, XP_048613988.1, XP_048604660.1, XP_048612142.1, XP_048615068.1, XP_048604154.1, XP_048623923.1, XP_022551178.1, XP_048605490.1, XP_048607127.1, XP_048620540.1, XP_048605592.1, XP_048624406.1, XP_048615315.1, XP_013739652.1, XP_013697297.1, XP_013752157.1, XP_048606534.1, XP_013729917.3, XP_013651057.2, XP_013699609.2, XP_048624972.1, XP_013689590.2, XP_048625258.1, XP_048618052.1, XP_048617631.1, XP_013751784.1, XP_013645429.2, XP_048616619.1, XP_048602222.1, XP_048600267.1, XP_048609749.1, XP_048624236.1	XP_023634858.1, XP_023636049.1, XP_023644370.1
OG0000012	XP_048630516.1, XP_013679369.1, XP_048623298.1, XP_048629573.1, XP_048598672.1, XP_048627969.1, XP_048605693.1	XP_023642187.1
OG0000012	XP_013695049.2, XP_048623277.1	XP_023636242.1
OG0000012	XP_022551324.2, XP_048611834.1	XP_023636237.1
OG0000013	XP_048605032.1, XP_048604687.1, XP_048605139.1, XP_048605122.1, XP_048617118.1, XP_048609588.1, XP_013694773.1	XP_023644225.1
OG0000013	XP_013651123.1, XP_013699897.1, XP_013729113.2, XP_048608937.1, XP_048619944.1	XP_023634267.1, XP_023644229.1
OG0000014	XP_048611538.1	XP_023641911.1
OG0000014	XP_048622641.1, XP_048622642.1, XP_048622974.1, XP_048613287.1, XP_048622935.1, XP_013709049.2, XP_013728258.2, XP_048612638.1, XP_022562478.1, XP_013673831.2, XP_048605138.1, XP_048625982.1, XP_013704133.1, XP_048604637.1, XP_048596513.1, XP_013715021.2, XP_048626508.1	XP_023636039.1
OG0000014	XP_048628089.1, XP_013694775.2, XP_013665386.3, XP_048613249.1, XP_013674378.2, XP_013722901.1, XP_048623672.1, XP_013703493.2, XP_013713287.1, XP_013645645.2, XP_013704858.1, XP_013669211.2	XP_023638842.1
OG0000014	XP_048611805.1, XP_048615723.1, XP_013650803.1, XP_013674396.1, XP_013694070.1, XP_013658466.1, XP_013708671.1, XP_048624069.1, XP_013658227.1, XP_048599863.1, XP_048604671.1, XP_048624017.1, XP_048604978.1, XP_048613067.1, XP_013689140.2, XP_048615831.1, XP_048620011.1, XP_048613476.1, XP_048629487.1, XP_048615614.1, XP_048622743.1, XP_048623549.1, XP_048611837.1, XP_048622934.1, XP_048619919.1	XP_023636038.1
OG0000015	XP_048623927.1, XP_013645200.2, XP_048611390.1, XP_048606234.1	XP_023633382.1
OG0000015	XP_013741841.2	XP_023644452.1
OG0000017	XP_048592801.1, XP_048620235.1, XP_048599118.1, XP_048594622.1, XP_022546269.2, XP_013715010.1	XP_006302668.2
OG0000017	XP_048615612.1, XP_048610757.1, XP_022559532.2	XP_023636109.1
OG0000017	XP_048603682.1, XP_048613364.1, XP_048637487.1, XP_048604833.1, XP_048623309.1, XP_048616263.1, XP_048622348.1, XP_022556500.2, XP_048605067.1, XP_013673983.1, XP_048611629.1	XP_023644234.1, XP_023642646.1, XP_023636041.1, XP_023633702.1, XP_023644500.1, XP_023633829.1, XP_023644232.1
OG0000018	XP_048605770.1, XP_048596272.1, XP_048599222.1, XP_048605670.1, XP_013723218.1, XP_013688917.1, XP_013651116.2, XP_048633126.1, XP_013729972.2, XP_048605202.1, XP_048611582.1, XP_013700193.2, XP_048637481.1, XP_048594395.1, XP_048634308.1, XP_048610225.1, XP_048610582.1, XP_048599165.1, XP_048593225.1, XP_022567697.1, XP_013664995.2, XP_048627957.1, XP_048633984.1, XP_048612571.1, XP_048599180.1, XP_013723386.1, XP_048620905.1, XP_048596639.1, XP_022565086.2, XP_048615837.1, XP_048623681.1, XP_013694986.1, XP_013651110.1, XP_048604736.1, XP_013724413.2, XP_048621801.1, XP_048621797.1, XP_048619956.1, XP_048619958.1, XP_048633112.1, XP_048623936.1, XP_013669249.1	XP_023641905.1, XP_023634354.1, XP_023638482.1
