Orthogroup	Arabidopsis_arenosa	Brassica_napus
OG0000000	jg21092	XP_048593480.1, XP_048596517.1, XP_048634183.1, XP_048612628.1, XP_048627567.1, XP_048627466.1, XP_048630614.1, XP_048627477.1, XP_048630686.1, XP_048629081.1, XP_048627742.1, XP_048611410.1
OG0000000	jg27456, jg2001	XP_048635065.1
OG0000000	jg42	XP_048622713.1, XP_048632191.1, XP_048610848.1
OG0000000	jg1749	XP_048621624.1, XP_048626126.1, XP_048609471.1, XP_048610906.1, XP_048604588.1
OG0000000	jg16482, jg16492	XP_048618529.1
OG0000002	jg27118	XP_022565049.2
OG0000002	jg11830	XP_013730849.1
OG0000002	jg13863	XP_048624137.1, XP_048605110.1, XP_013678027.1, XP_013699413.2, XP_048605922.1, XP_013704005.2, XP_013705046.2, XP_013743402.2, XP_022554443.2, XP_022557545.2, XP_048602403.1, XP_048603537.1, XP_048604763.1, XP_048605599.1, XP_048606467.1, XP_048606492.1, XP_048608321.1, XP_048613262.1, XP_048614401.1, XP_048615840.1, XP_048618038.1, XP_048621685.1, XP_048622894.1, XP_048619508.1, XP_048623072.1, XP_048624199.1, XP_048624223.1, XP_048624554.1, XP_048619988.1, XP_048604876.1, XP_022564570.2, XP_022557418.2, XP_048605038.1
OG0000002	jg1783	XP_022566326.2
OG0000003	jg14786	XP_013723216.2, XP_048599891.1, XP_048621360.1, XP_048605811.1, XP_013751647.1, XP_048605647.1, XP_048605472.1, XP_022575815.1, XP_048599772.1
OG0000003	jg1672	XP_048611587.1
OG0000003	jg11918	XP_013688944.1, XP_048631221.1, XP_048629910.1, XP_048628610.1, XP_048628617.1, XP_048611574.1, XP_048630645.1, XP_013669098.1, XP_048611542.1, XP_048628470.1
OG0000005	jg20691, jg3218	XP_048615628.1
OG0000005	jg19324, jg12452	XP_013713475.1, XP_013658836.1
OG0000005	jg17698	XP_013673764.3, XP_048622638.1, XP_013739679.2, XP_013729746.2
OG0000005	jg23533	XP_048608242.1
OG0000005	jg1845	XP_048599804.1, XP_022564309.1, XP_048627733.1
OG0000005	jg8025, jg11080, jg14183, jg14024, jg21899, jg13959, jg1165, jg13498, jg21058, jg18867, jg13113	XP_048599654.1, XP_013713504.1, XP_013658645.2
OG0000005	jg21920	XP_013718672.1
OG0000005	jg12230	XP_013700236.1
OG0000005	jg27468	XP_022557495.1, XP_048623614.1
OG0000007	jg7091	XP_022569889.1
OG0000007	jg6465	XP_013689641.1
OG0000007	jg32942	XP_048603717.1
OG0000010	jg11731	XP_048602259.1
OG0000011	jg27080	XP_048599992.1, XP_048620029.1, XP_048611560.1
OG0000011	jg14895, jg31555	XP_013668563.1, XP_048611795.1, XP_048613988.1, XP_048604660.1, XP_048612142.1, XP_048615068.1, XP_048604154.1, XP_048623923.1, XP_022551178.1, XP_048605490.1, XP_048607127.1, XP_048620540.1, XP_048605592.1, XP_048624406.1, XP_048615315.1, XP_013739652.1, XP_013697297.1, XP_013752157.1, XP_048606534.1, XP_013729917.3, XP_013651057.2, XP_013699609.2, XP_048624972.1, XP_013689590.2, XP_048625258.1, XP_048618052.1, XP_048617631.1, XP_013751784.1, XP_013645429.2, XP_048616619.1, XP_048602222.1, XP_048600267.1, XP_048609749.1, XP_048624236.1
OG0000011	jg27079	XP_048611431.1, XP_013674395.2
OG0000012	jg12454, jg31920	XP_048613104.1
OG0000012	jg32355, jg32390, jg32436, jg32336, jg17412	XP_048596427.1
OG0000013	jg11978	XP_048605773.1
OG0000013	jg12130	XP_013651123.1, XP_013699897.1, XP_013729113.2, XP_048608937.1, XP_048619944.1
OG0000014	jg18640	XP_022558682.2
OG0000015	jg32444	XP_048614634.1
OG0000015	jg11869	XP_048627782.1, XP_048595751.1, XP_048607541.1
OG0000015	jg21314, jg11868	XP_048605893.1, XP_048604728.1
OG0000015	jg21086	XP_048616951.1, XP_013751521.1
OG0000017	jg21095	XP_048622511.1, XP_048606925.1, XP_022570736.1, XP_048605556.1, XP_013654026.2, XP_013700317.1, XP_013709336.2, XP_048615768.1, XP_013650781.2, XP_048638133.1, XP_022546268.1, XP_048599243.1, XP_048621674.1, XP_048601570.1, XP_048605890.1, XP_048614703.1, XP_048607286.1, XP_022565172.2, XP_048624705.1, XP_048602823.1, XP_048609626.1, XP_048614569.1, XP_048608279.1, XP_048607119.1, XP_048622871.1, XP_048616199.1, XP_048599687.1, XP_048596318.1, XP_048615681.1, XP_048631555.1, XP_022564699.2, XP_048605724.1, XP_048624468.1, XP_048622792.1, XP_048615810.1, XP_022565299.2, XP_013681784.2, XP_048605597.1, XP_048618332.1, XP_048610882.1, XP_022563919.2, XP_013649958.1, XP_013645061.2, XP_048622874.1, XP_022562505.2, XP_013700865.1, XP_048600781.1, XP_048600780.1, XP_048605929.1
OG0000017	jg11431	XP_048592801.1, XP_048620235.1, XP_048599118.1, XP_048594622.1, XP_022546269.2, XP_013715010.1
OG0000017	jg6883	XP_048615612.1, XP_048610757.1, XP_022559532.2
OG0000017	jg6884	XP_048603682.1
OG0000019	jg26287	XP_022551193.1
OG0000019	jg13840	XP_048621485.1
OG0000019	jg13838, jg27639, jg22122, jg16702	XP_022564361.1, XP_048596600.1, XP_013745161.1, XP_048620186.1, XP_048604827.1, XP_022571038.1, XP_022562585.2, XP_048593373.1, XP_013658360.2, XP_013674258.2, XP_048596246.1
OG0000019	jg28177	XP_048627764.1, XP_048606410.1, XP_048610367.1, XP_048618308.1, XP_048605574.1, XP_022547754.2, XP_013739682.2
OG0000019	jg13487, jg13649, jg11481, jg20674	XP_048619647.1, XP_048633186.1
OG0000021	jg27173	XP_048622704.1
OG0000021	jg17386, jg13577	XP_048604627.1, XP_048611960.1, XP_048604719.1, XP_048622881.1, XP_013704354.2
OG0000021	jg12206	XP_013700069.1, XP_013700070.1, XP_013720866.1, XP_022557494.1
OG0000023	jg10174	XP_013697411.2, XP_013738434.2, XP_013738445.2, XP_022570725.1
OG0000023	jg10189, jg10184, jg10183	XP_013661254.1, XP_013737516.2
OG0000023	jg10181	XP_048633858.1
OG0000023	jg7523	XP_048605400.1
OG0000023	jg7521	XP_048625802.1, XP_048632003.1
OG0000023	jg7533, jg7537, jg7530	XP_013718560.2
OG0000023	jg10191	XP_022572340.2, XP_048632570.1, XP_013690743.1
OG0000023	jg10192	XP_013710801.1, XP_013717353.1
OG0000023	jg10190	XP_013741339.2
OG0000025	jg22353	XP_048603142.1
OG0000025	jg22247, jg22250	XP_013717234.2, XP_048627191.1, XP_022569752.1, XP_048607491.1, XP_013712755.1, XP_013686788.2, XP_013674736.2, XP_048604076.1, XP_048604483.1, XP_022560149.2, XP_048630233.1, XP_013726076.2
OG0000025	jg12583, jg12582, jg22219	XP_048604678.1, XP_048603144.1, XP_013714776.2, XP_013674735.2
OG0000025	jg8946, jg8944	XP_048607423.1, XP_048607435.1, XP_013655489.2, XP_022571152.1, XP_048626769.1, XP_048626770.1, XP_013693915.2, XP_048606182.1, XP_048624533.1, XP_022554086.2, XP_048607422.1, XP_013670188.1, XP_022554085.2, XP_048607429.1
OG0000025	jg22445	XP_022548711.2
OG0000025	jg22262, jg22279, jg22270, jg22269, jg22278, jg22242	XP_048607496.1, XP_013704762.2
OG0000025	jg22244	XP_048634788.1
OG0000025	jg22074	XP_022548570.1
OG0000025	jg29584	XP_013690637.1
OG0000025	jg8748	XP_022546346.2, XP_048630650.1, XP_013674435.1, XP_048627723.1, XP_013674438.1, XP_022563912.2
OG0000025	jg8750	XP_022563911.2, XP_048631222.1, XP_013674433.2, XP_048627722.1, XP_048627726.1, XP_013674436.2, XP_013645094.1
OG0000025	jg4646	XP_013645334.2, XP_013651019.1, XP_022569112.2, XP_013739125.2, XP_013733752.2
OG0000025	jg21837, jg4645	XP_013645330.1, XP_013651021.2, XP_013733741.2, XP_013734914.2
OG0000027	jg31665, jg31668, jg27402, jg18984	XP_022575972.2, XP_048609431.1, XP_048636470.1
OG0000027	jg14278, jg15770, jg15695, jg15696, jg15771	XP_013663491.2, XP_013663656.1
OG0000028	jg13951, jg1780, jg13681, jg3965, jg11165, jg14797, jg11997, jg6737, jg2197, jg17461, jg12004, jg26958, jg13640, jg2465, jg27218, jg11460, jg33138, jg30060, jg20837	XP_013665034.1
OG0000028	jg21311	XP_013665035.2, XP_048613429.1
OG0000028	jg32932, jg1778	XP_048622652.1
OG0000029	jg21060	XP_048634081.1
OG0000029	jg5864, jg27798, jg17174, jg18126	XP_048605707.1
OG0000029	jg17949	XP_048593383.1
OG0000030	jg32380, jg32294, jg33373, jg6978, jg12236, jg6977	XP_013673703.1
OG0000030	jg17129	XP_013654433.1, XP_048605211.1, XP_048622936.1, XP_013658434.2, XP_048626196.1
OG0000030	jg900, jg26487, jg11586, jg11588	XP_048611490.1, XP_013669162.1, XP_013713780.1, XP_048620176.1
OG0000031	jg663, jg481, jg538, jg645, jg586, jg583, jg572, jg642	XP_013733295.2, XP_013664368.1
OG0000031	jg29724	XP_013708901.1, XP_022547209.2
OG0000031	jg29711	XP_013712408.2
OG0000031	jg29675	XP_013653843.2, XP_013661513.2
OG0000031	jg5495	XP_013728454.1, XP_013667568.2
OG0000031	jg12744	XP_013731595.1, XP_013743363.2
OG0000031	jg25741	XP_048602151.1, XP_048594826.1
OG0000031	jg9770	XP_013742432.1, XP_013741893.2
OG0000031	jg638	XP_013664370.2, XP_048595644.1
OG0000031	jg372	XP_013716382.2
OG0000033	jg10203, jg10197, jg10193	XP_013714969.1, XP_013737559.2, XP_022555869.1, XP_013694313.2, XP_013737653.2, XP_013694321.1
OG0000033	jg10204	XP_013686564.1
OG0000033	jg10200	XP_048622964.1, XP_013694292.1, XP_013694271.1, XP_013737656.2
OG0000033	jg10425	XP_013717260.1, XP_013737259.1
OG0000033	jg10175	XP_048597020.1, XP_013738358.2, XP_022570722.1
OG0000033	jg10177	XP_022573444.1, XP_048597043.1, XP_048601628.1, XP_048597076.1
OG0000033	jg10198	XP_013737646.2, XP_013737574.2
OG0000033	jg10195, jg10202	XP_013737581.2
OG0000033	jg7784	XP_048596713.1, XP_013644429.1
OG0000034	jg32649, jg13995	XP_048618955.1, XP_048630873.1, XP_048604268.1, XP_013720627.2, XP_048604734.1, XP_022561433.2
OG0000034	jg32391, jg32356, jg32339, jg32338	XP_048627000.1
OG0000034	jg17222	XP_048620282.1
OG0000035	jg18270	XP_013751269.1
OG0000035	jg25048	XP_048634349.1, XP_048611991.1, XP_013747176.2, XP_048610025.1, XP_013723850.2, XP_013747222.2, XP_048635821.1, XP_048613549.1, XP_013645362.1, XP_048611994.1, XP_048634354.1, XP_013746089.2, XP_013696206.2, XP_013747225.2, XP_013723835.2, XP_048612494.1, XP_013666043.2, XP_013747220.2, XP_022574418.2, XP_013723790.1, XP_013723791.2, XP_048634353.1, XP_048633807.1
OG0000035	jg23606, jg20747, jg20748	XP_048611992.1, XP_048634350.1
OG0000035	jg18271	XP_013683389.1
OG0000035	jg18309	XP_013715831.2, XP_022551123.2, XP_048603751.1, XP_013715819.2
OG0000036	jg16618	XP_048604985.1
OG0000036	jg21000, jg17522, jg31083	XP_048605396.1, XP_013657831.1, XP_022573022.1
OG0000038	jg20023, jg549	XP_013674918.2
OG0000038	jg15287	XP_048620565.1, XP_022547368.1, XP_013746550.1, XP_048610886.1
OG0000038	jg20757, jg20756	XP_013683826.1, XP_048620271.1, XP_048620270.1
OG0000038	jg12601, jg12599	XP_048596296.1
OG0000038	jg25017, jg25016, jg25015	XP_048615236.1, XP_048635940.1, XP_048635115.1, XP_048615249.1, XP_048635116.1, XP_048615246.1
OG0000039	jg6819	XP_048637497.1, XP_013745367.1, XP_013704436.1, XP_048615849.1
OG0000040	jg31203	XP_013701833.2, XP_022560216.2, XP_048591590.1
OG0000040	jg25347	XP_048600575.1
OG0000040	jg25272	XP_022550055.1, XP_022547723.2, XP_048600572.1, XP_048627995.1, XP_048600577.1, XP_048600576.1, XP_048600578.1, XP_048600582.1, XP_048600573.1
OG0000040	jg738, jg25360	XP_048634184.1, XP_013744698.2, XP_048634467.1, XP_013744695.2, XP_013687565.1
OG0000040	jg2112	XP_013679817.1, XP_013717097.2, XP_013679818.1
OG0000040	jg26152, jg26153	XP_048628652.1, XP_022574870.2
OG0000040	jg2274	XP_013706039.1, XP_013675588.2, XP_013719126.2, XP_013716736.2, XP_048611111.1, XP_013747379.2
OG0000041	jg6878	XP_048605013.1, XP_022565661.2, XP_048614815.1
OG0000042	jg17939	XP_048626916.1, XP_013739572.2, XP_013668593.2
OG0000044	jg1834, jg309, jg32416, jg1035, jg17283, jg1573	XP_048599977.1, XP_013733293.2, XP_048591383.1, XP_048592554.1, XP_048605908.1, XP_048613135.1, XP_048623805.1, XP_048631733.1, XP_048591444.1, XP_048600193.1, XP_048606399.1, XP_048605166.1, XP_022567046.1, XP_048620073.1, XP_022552709.1, XP_048609363.1, XP_048607154.1, XP_048626706.1, XP_048595608.1, XP_048604688.1, XP_048627544.1, XP_048616284.1, XP_022552197.1, XP_048628171.1, XP_048608413.1, XP_048628439.1, XP_048593377.1, XP_013724632.2, XP_013723763.2
OG0000044	jg13501, jg20886, jg12140	XP_022547672.2, XP_013669672.2, XP_048623948.1, XP_048598164.1, XP_048613213.1, XP_048615669.1, XP_013642234.3, XP_013669592.2, XP_048608518.1, XP_013736305.1
OG0000045	jg21124	XP_048627518.1, XP_048625806.1, XP_048633024.1, XP_048615579.1, XP_048598081.1
OG0000045	jg21055	XP_022562451.1, XP_048613579.1
OG0000046	jg12463, jg12464	XP_048591104.1
OG0000046	jg12337	XP_048633450.1, XP_013710778.1
OG0000046	jg10780	XP_048638243.1, XP_013669844.2
OG0000046	jg2195, jg2209, jg2212	XP_048616752.1, XP_048610981.1, XP_048604137.1
OG0000046	jg2189	XP_013676359.3, XP_048610976.1
OG0000046	jg2188, jg2193	XP_048611004.1, XP_013731656.2
OG0000046	jg12331	XP_048633516.1, XP_048628795.1, XP_048612190.1
OG0000046	jg12330	XP_048616547.1, XP_048592855.1
OG0000047	jg14037	XP_048605495.1, XP_048606198.1, XP_022565160.1
OG0000047	jg32532, jg14038	XP_013673366.2, XP_048609206.1, XP_013745490.2
OG0000048	jg5635	XP_048599159.1, XP_022555240.1, XP_048605157.1, XP_022568749.1, XP_048605165.1, XP_013728801.1, XP_048605161.1, XP_013680529.1, XP_048627116.1, XP_022554450.2, XP_048627114.1
OG0000048	jg5646	XP_048625022.1, XP_013676074.2, XP_013683129.2, XP_048625023.1, XP_022544292.2, XP_048607995.1
OG0000048	jg5640	XP_013680531.1, XP_013740217.1
OG0000048	jg5634, jg5644	XP_048605148.1, XP_013728790.2, XP_013680693.1, XP_013722306.3, XP_048625026.1, XP_048599157.1, XP_013722311.1, XP_048599156.1
OG0000050	jg21178	XP_048634070.1
OG0000052	jg29349	XP_048613662.1, XP_048599350.1, XP_013680648.2, XP_022549241.2, XP_048598261.1, XP_048597938.1
OG0000052	jg19557	XP_013691740.1, XP_013747418.2
OG0000052	jg24823	XP_048625302.1
OG0000052	jg19552, jg19554	XP_048605363.1, XP_048632926.1
OG0000052	jg19560	XP_022556477.2, XP_022564157.2, XP_048637054.1, XP_022558010.2, XP_013752059.2, XP_013716726.2, XP_013716727.2
OG0000053	jg32414, jg31675	XP_013651105.1, XP_048633080.1, XP_013650489.2, XP_048637467.1, XP_048635066.1, XP_013645312.2, XP_013674059.1, XP_013694485.1, XP_022559955.1, XP_013689214.2, XP_013713672.1
OG0000053	jg1077, jg28178, jg4817, jg5943, jg25268, jg33384, jg11480, jg32839	XP_013740947.1, XP_013741291.2, XP_013676972.1, XP_048633337.1, XP_013647473.2, XP_013741357.2, XP_013691360.1, XP_048610556.1, XP_013713105.2, XP_048596247.1
OG0000053	jg27640, jg13837	XP_022564363.1, XP_048623806.1, XP_013711122.2, XP_013747493.2, XP_013668598.1, XP_013660360.1, XP_048613279.1, XP_013675621.2, XP_013726592.2, XP_013708501.1, XP_022548821.1
OG0000055	jg14491	XP_013647831.2, XP_013642588.2
OG0000055	jg728	XP_013670350.1, XP_013691180.2
OG0000055	jg743	XP_048633192.1, XP_013686982.2
OG0000056	jg12109	XP_048606184.1
OG0000056	jg20178	XP_013689080.1
OG0000056	jg12110, jg25787	XP_048634929.1, XP_013645844.2, XP_048593471.1, XP_013688936.2, XP_048609321.1, XP_013688795.2, XP_048635087.1, XP_013694675.1, XP_013645882.2, XP_048611631.1, XP_013694324.1, XP_013690206.1, XP_048596449.1, XP_013645336.1, XP_013689842.1, XP_048626013.1, XP_048622740.1, XP_048607413.1, XP_013709826.3, XP_013665443.2, XP_013709534.2, XP_048623820.1, XP_048611849.1, XP_048633213.1, XP_048594492.1
OG0000056	jg6475	XP_013679415.1
OG0000057	jg12073	XP_048613510.1
OG0000057	jg1195, jg14633	XP_048635092.1, XP_048635090.1, XP_013695133.1
OG0000057	jg25647	XP_048613531.1
OG0000057	jg25886, jg26868	XP_013665444.2, XP_022565713.1
OG0000057	jg26780	XP_022568087.1
OG0000058	jg13853	XP_048605594.1, XP_048620815.1, XP_013705003.1, XP_048627202.1
OG0000061	jg1799, jg24928, jg17678, jg1125, jg28032, jg32127, jg20814	XP_048609345.1
