Orthogroup	Arabidopsis_thaliana	Cardamine_glauca
OG0000003	AT1G43760.1	Cg006G1905700
OG0000007	AT2G13770.1	Cg006G1865000
OG0000021	AT3G31925.1	Cg006G1912000, Cg004G1333000
OG0000022	AT4G26800.2	Cg001G0134600
OG0000022	AT1G62680.1	Cg007G2277400
OG0000022	AT1G63070.1	Cg007G2272800, Cg007G2270400, Cg007G2272900, Cg007G2273000
OG0000022	AT1G64583.1	Cg007G2258400
OG0000022	AT5G41170.1	Cg001G0385000
OG0000022	AT3G16710.1	Cg004G1232100
OG0000024	AT1G31080.1, AT1G31090.1, AT1G67130.1, AT1G30920.1, AT5G42430.1	Cg006G1959100, Cg006G1958900, Cg006G1959600, Cg006G1959000, Cg006G1959800, Cg006G1959300
OG0000024	AT3G56890.1, AT3G57580.1, AT3G57590.1	Cg002G0447000, Cg002G0448700
OG0000027	AT4G11470.2	Cg003G0758600
OG0000027	AT4G23320.3	Cg001G0170600
OG0000027	AT4G11460.1	Cg003G0758900
OG0000027	AT4G23250.2	Cg001G0171100
OG0000027	AT4G23200.1	Cg001G0171400
OG0000027	AT4G11530.1	Cg003G0757800
OG0000027	AT4G23190.1	Cg001G0171900
OG0000027	AT4G23210.3, AT4G23300.1	Cg001G0171700
OG0000028	AT4G13680.1	Cg003G0981300
OG0000030	AT5G60560.2, AT3G20030.1	Cg004G1270000
OG0000030	AT1G67450.1	Cg004G1261500
OG0000030	AT1G25150.1, AT1G25055.1, AT1G25211.1, AT1G24800.1, AT1G24881.1	Cg006G1982700
OG0000030	AT1G54550.1, AT3G49510.1, AT3G49520.1	Cg002G0532900
OG0000030	AT4G17200.1	Cg005G1472200
OG0000034	AT4G23180.1	Cg001G0172000
OG0000034	AT4G21400.1	Cg001G0190400
OG0000034	AT4G21410.3	Cg001G0190500
OG0000034	AT4G23140.2	Cg001G0172600
OG0000034	AT4G23310.1	Cg001G0170800
OG0000034	AT4G23130.2	Cg001G0172700
OG0000040	AT2G19146.1, AT1G50080.1	Cg008G2847400, Cg008G2861900
OG0000044	AT5G46470.1	Cg008G2897600
OG0000044	AT5G22690.2	Cg004G1380900
OG0000051	AT2G42460.1	Cg005G1506300
OG0000051	AT2G42455.1	Cg013G3025800, Cg005G1600400
OG0000051	AT2G42480.1	Cg005G1723400
OG0000052	AT3G26920.1	Cg002G0657800
OG0000052	AT1G55030.2	Cg007G2494300
OG0000052	AT4G00160.1, AT3G52680.1	Cg002G0501500
OG0000052	AT2G04230.1	Cg002G0537500
OG0000055	AT3G17400.1	Cg004G1287600
