Brassica_napus	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
NP_001302468.1	241	AT1G06040.1	AT1G06040.1	orthologue	GO:0008270;GO:0003712;GO:0009640;GO:0005634;GO:0010228;GO:0005515;GO:0006355;GO:0003700;GO:1902448;GO:0003677;GO:0009651;GO:0048573;GO:0009416;GO:0090351	B-box zinc finger family protein;B-box zinc finger protein 24 (Salt tolerance protein)
NP_001302471.1	337	AT3G01140.1	AT3G01140.1	orthologue	GO:0010091;GO:0000902;GO:0003700;GO:0035017;GO:0005634;GO:1901957;GO:0003677	Myb domain protein 106;Transcription factor MYB106 (Myb-related protein 106) (AtMYB106) (Transcription factor NOEK)
NP_001302477.1	394	AT5G13930.1	AT5G13930.1	orthologue	GO:0009715;GO:0009813;GO:0005515;GO:0005783;GO:0016210;GO:0009753;GO:0009733;GO:0009926;GO:0030639;GO:0009611;GO:0016747;GO:0005634;GO:0009629;GO:0010224;GO:0031540;GO:0006979;GO:0005737;GO:0009705;GO:0009058;GO:0016746	Chalcone synthase (EC 2.3.1.74) (Naringenin-chalcone synthase) (Protein TRANSPARENT TESTA 4)
NP_001302481.1	249	AT4G33000.1	AT4G33000.1	orthologue	GO:0009705;GO:0005515;GO:0042538;GO:0005886;GO:0019900;GO:0005509;GO:0050801;GO:0019722;GO:0043266;GO:0005737;GO:0005634;GO:0005768;GO:0016020	Calcineurin B-like protein;Calcineurin B-like protein 10 (SOS3-like calcium binding protein 8) (SCaBP8)
NP_001302482.1	590	AT2G36190.1	AT2G36190.1	orthologue	GO:0005987;GO:0071836;GO:0048481;GO:0090406;GO:0005982;GO:0009505;GO:0004575;GO:0048046;GO:0004553;GO:0005975	Beta-fructofuranosidase, insoluble isoenzyme CWINV4 (EC 3.2.1.26) (Beta-fructofuranosidase 6) (AtFruct6) (Cell wall beta-fructosidase 4) (Cell wall invertase 4) (AtcwINV4) (Sucrose hydrolase 4)
NP_001302483.1	424	AT5G17230.3	AT5G17230.3	orthologue	GO:0005515;GO:0004311;GO:0009507;GO:0046905;GO:0016117;GO:0016767;GO:0010287;GO:0031969;GO:0051996;GO:0009058;GO:0016765	15-cis-phytoene synthase (EC 2.5.1.32);Phytoene synthase 1, chloroplastic (EC 2.5.1.32)
NP_001302484.1	306	AT3G06490.1	AT3G06490.1	orthologue	GO:0000976;GO:0005634;GO:0120195;GO:0006355;GO:0003700;GO:0009620;GO:0043565;GO:0012501;GO:0006952;GO:0008219	Transcription factor MYB108 (Myb-related protein 108) (AtMYB108) (Protein BOTRYTIS-SUSCEPTIBLE 1)
NP_001302485.1	210	AT5G40420.1	AT5G40420.1	orthologue	GO:0012511;GO:0010344;GO:0009845;GO:0050826;GO:0019915;GO:0003729;GO:0016020	Oleosin 21.2 kDa (Oleosin type 2)
NP_001302489.1	377	AT3G18780.2	AT3G18780.2	orthologue	GO:0005515;GO:0005829;GO:0048768;GO:0048767;GO:0010053;GO:0005737;GO:0010218;GO:0009735;GO:0005634;GO:0015629;GO:0009644;GO:0005200;GO:0010114;GO:0005524;GO:0005856;GO:0016787;GO:0009653;GO:0048468;GO:0048731	Actin 2;Actin-2 (EC 3.6.4.-)
NP_001302490.2	518	AT5G24160.1, AT5G24150.1	AT5G24150.1	other	GO:0016126;GO:0004506;GO:0050660;GO:0005783;GO:0005739;GO:0005576;GO:0009725;GO:0016020	Squalene epoxidase 5 (AtSQE5) (EC 1.14.14.17) (Squalene monooxygenase 1,1) (SE 1,1);Squalene epoxidase 6 (AtSQE6) (EC 1.14.14.17) (Squalene monooxygenase 1,2) (SE 1,2);Squalene monooxygenase (EC 1.14.14.17)
