Orthogroup	Capsella_rubella	Cardamine_glauca
OG0000000	XP_023644490.1	Cg005G1542700
OG0000000	XP_023637681.1	Cg002G0506900
OG0000000	XP_023634268.1, XP_023644256.1	Cg002G0574500
OG0000000	XP_023632892.1	Cg004G1415700
OG0000002	XP_023638855.1	Cg001G0121200
OG0000003	XP_023641338.1	Cg008G2696300, Cg007G2280100
OG0000004	XP_023644517.1, XP_023638874.1	Cg014G3042600
OG0000004	XP_023639960.1, XP_023633832.1	Cg004G1187900
OG0000005	XP_023639598.1	Cg006G1917400
OG0000007	XP_023640317.1	Cg006G1865000, Cg001G0098100, Cg005G1765200
OG0000007	XP_023635039.1	Cg008G2911000
OG0000008	XP_023641963.1, XP_023644880.1, XP_006303816.2, XP_023633343.1, XP_023633617.1, XP_006305876.2	Cg002G0653600
OG0000008	XP_023638567.1	Cg002G0565700
OG0000009	XP_023640352.1	Cg005G1717900, Cg003G0717800, Cg005G1769300
OG0000009	XP_006292284.1	Cg008G2845600
OG0000011	XP_023644226.1	Cg008G2919200, Cg002G0664700, Cg003G0778000
OG0000011	XP_006298993.2, XP_023637233.1, XP_023641182.1, XP_006288329.2	Cg005G1679200
OG0000014	XP_023638462.1, XP_023634279.1	Cg001G0103300
OG0000015	XP_023636914.1	Cg007G2289100
OG0000016	XP_023634145.1	Cg005G1715500
OG0000018	XP_023639601.1, XP_023641956.1	Cg003G0814300
OG0000020	XP_006279199.1	Cg004G1313600
OG0000021	XP_023634269.1, XP_023637241.1, XP_023637954.1, XP_006303531.2, XP_023644562.1, XP_023641377.1	Cg006G1871200
OG0000021	XP_023634431.1, XP_023644454.1, XP_023641962.1, XP_023641378.1, XP_023637243.1, XP_023642574.1	Cg006G1912000, Cg004G1333000
OG0000022	XP_006283550.1	Cg001G0134600
OG0000022	XP_006302102.1	Cg007G2277400
OG0000022	XP_023643559.1	Cg007G2258400
OG0000022	XP_023635463.1	Cg001G0385000
OG0000022	XP_006297483.1	Cg004G1232100
OG0000024	XP_023632988.1, XP_023644421.1, XP_023644420.1, XP_023632644.1, XP_023632643.1, XP_023644419.1	Cg006G1959100, Cg006G1958900, Cg006G1959600, Cg006G1959000, Cg006G1959800, Cg006G1959300
OG0000024	XP_023644529.1	Cg001G0380300
OG0000024	XP_023633039.1	Cg002G0647900
OG0000024	XP_023633004.1, XP_023639207.1	Cg002G0447000, Cg002G0448700
OG0000025	XP_023636962.1	Cg007G2444400
OG0000025	XP_023636110.1	Cg005G1690200, Cg004G1264500
OG0000027	XP_023635858.1, XP_006289355.2, XP_006286462.1	Cg003G0758600
OG0000027	XP_006287218.1	Cg003G0758500
OG0000027	XP_006284983.1	Cg001G0170600
OG0000027	XP_006283253.1	Cg001G0171100
OG0000027	XP_023638659.1	Cg001G0171400
OG0000027	XP_006285954.1	Cg001G0172400
OG0000027	XP_006283274.1, XP_006282816.1, XP_023634698.1, XP_006283296.1, XP_023634685.1	Cg001G0171700
OG0000028	XP_023634475.1	Cg003G0981300
OG0000028	XP_006285133.1	Cg007G2581000
OG0000028	XP_006299262.2	Cg006G2183100
OG0000028	XP_023633414.1	Cg003G0941300
OG0000029	XP_023644241.1	Cg007G2405400, Cg007G2364600
OG0000029	XP_023638860.1, XP_023634002.1, XP_023644242.1, XP_023644257.1, XP_023638123.1, XP_023633373.1, XP_023633615.1, XP_023641909.1	Cg001G0384100
OG0000030	XP_023642658.1, XP_023641336.1, XP_006296044.1	Cg004G1270000
OG0000030	XP_023644289.1	Cg004G1261500
OG0000030	XP_006297884.1	Cg004G1264800
OG0000030	XP_006303634.1, XP_023632886.1, XP_023632793.1	Cg006G1982700
OG0000030	XP_006293126.1	Cg002G0532900
OG0000030	XP_006305030.1	Cg006G2154000
OG0000031	XP_023635342.1	Cg003G0842000
OG0000032	XP_023632591.1	Cg001G0339700
OG0000034	XP_006283285.1	Cg001G0172000
OG0000034	XP_023634692.1	Cg001G0172200, Cg001G0172300
OG0000034	XP_006285944.1	Cg001G0172500
OG0000034	XP_023634856.1	Cg001G0190500
OG0000034	XP_023634693.1, XP_023634678.1	Cg001G0172600
OG0000034	XP_006283145.1	Cg001G0170800
OG0000034	XP_023635576.1	Cg001G0172700
OG0000040	XP_023634840.1, XP_023636105.1, XP_023633811.1	Cg003G0770800, Cg006G1822500, Cg003G0954000
OG0000040	XP_023640353.1	Cg008G2847400, Cg008G2861900
OG0000043	XP_006299187.2	Cg007G2421300, Cg006G1860500
OG0000044	XP_023638545.1	Cg008G2973700
OG0000044	XP_006282385.2	Cg008G2897600
OG0000044	XP_023636248.1, XP_023634969.1	Cg004G1380900
OG0000050	XP_006299955.2	Cg002G0525300, Cg008G2715000, Cg001G0215700
OG0000050	XP_023643276.1	Cg005G1737200
OG0000051	XP_006304062.1	Cg006G2232100
OG0000051	XP_023640868.1	Cg005G1506300
OG0000051	XP_023640424.1	Cg005G1723400
OG0000051	XP_023639525.1, XP_023640425.1, XP_023640455.1, XP_023640454.1	Cg003G0782100
OG0000052	XP_006301891.2, XP_006301896.2	Cg007G2494300
OG0000052	XP_006291114.1, XP_006291129.1	Cg002G0501500
OG0000052	XP_006291102.1	Cg002G0537500
OG0000055	XP_023641570.1	Cg004G1239300
OG0000056	XP_006302241.1	Cg007G2285200
OG0000056	XP_006302237.1	Cg007G2283300
OG0000056	XP_006302243.1	Cg007G2283500
OG0000056	XP_006301193.1	Cg007G2284900, Cg007G2285100
OG0000056	XP_006292456.1	Cg002G0557700
OG0000058	XP_023636060.1	Cg005G1680800, Cg005G1670600
OG0000058	XP_023640345.1, XP_023636058.1, XP_023640315.1, XP_023643584.1, XP_023640320.1, XP_023634265.1, XP_023644147.1, XP_023644470.1, XP_023634034.1, XP_023638869.1	Cg002G0582900, Cg004G1300700, Cg006G1919800
OG0000059	XP_023636099.1, XP_006290464.1	Cg003G0778100
OG0000061	XP_006307356.2, XP_023645797.1	Cg004G1379900
OG0000061	XP_023640829.1	Cg005G1631000
OG0000064	XP_006301177.1, XP_006279224.1, XP_006279222.1, XP_006301148.1, XP_006300412.1, XP_006279227.1, XP_006301373.1, XP_006301746.1, XP_006301302.1, XP_006279223.1, XP_006301675.1, XP_006301967.1, XP_006281741.1, XP_006301107.1, XP_006301805.1, XP_006301207.1, XP_006301336.1, XP_006301472.1, XP_006301343.1, XP_006301855.1, XP_006301176.1, XP_006306169.1	Cg003G0987600
